tencentBlock.ns22826 S3FIFO-0.0100-1.9000 cache size      457, 4072454 req, miss ratio 0.5646, byte miss ratio 0.5646
tencentBlock.ns22826 S3FIFO-0.0100-1.9000 cache size     1373, 4072454 req, miss ratio 0.3835, byte miss ratio 0.3835
tencentBlock.ns22826 S3FIFO-0.0100-1.9000 cache size     4578, 4072454 req, miss ratio 0.3351, byte miss ratio 0.3351
tencentBlock.ns22826 S3FIFO-0.0100-1.9000 cache size    13736, 4072454 req, miss ratio 0.2818, byte miss ratio 0.2818
tencentBlock.ns22826 S3FIFO-0.0100-1.9000 cache size    45787, 4072454 req, miss ratio 0.2402, byte miss ratio 0.2402
tencentBlock.ns22826 S3FIFO-0.0100-1.9000 cache size    91575, 4072454 req, miss ratio 0.1840, byte miss ratio 0.1840
tencentBlock.ns22826 S3FIFO-0.0100-1.9000 cache size   183151, 4072454 req, miss ratio 0.1340, byte miss ratio 0.1340
tencentBlock.ns22826 S3FIFO-0.0100-1.9000 cache size   366303, 4072454 req, miss ratio 0.1136, byte miss ratio 0.1136
tencentBlock.ns22826 S3FIFO-0.9900-0.9000 cache size      457, 4072454 req, miss ratio 0.6581, byte miss ratio 0.6581
tencentBlock.ns22826 S3FIFO-0.9900-0.9000 cache size     1373, 4072454 req, miss ratio 0.5166, byte miss ratio 0.5166
tencentBlock.ns22826 S3FIFO-0.9900-0.9000 cache size     4578, 4072454 req, miss ratio 0.3902, byte miss ratio 0.3902
tencentBlock.ns22826 S3FIFO-0.9900-0.9000 cache size    13736, 4072454 req, miss ratio 0.3249, byte miss ratio 0.3249
tencentBlock.ns22826 S3FIFO-0.9900-0.9000 cache size    45787, 4072454 req, miss ratio 0.2407, byte miss ratio 0.2407
tencentBlock.ns22826 S3FIFO-0.9900-0.9000 cache size    91575, 4072454 req, miss ratio 0.1883, byte miss ratio 0.1883
tencentBlock.ns22826 S3FIFO-0.9900-0.9000 cache size   183151, 4072454 req, miss ratio 0.1449, byte miss ratio 0.1449
tencentBlock.ns22826 S3FIFO-0.9900-0.9000 cache size   366303, 4072454 req, miss ratio 0.1224, byte miss ratio 0.1224
tencentBlock.ns22826 S3FIFO-0.0250-0.9000 cache size      457, 4072454 req, miss ratio 0.5655, byte miss ratio 0.5655
tencentBlock.ns22826 S3FIFO-0.0250-0.9000 cache size     1373, 4072454 req, miss ratio 0.3724, byte miss ratio 0.3724
tencentBlock.ns22826 S3FIFO-0.0250-0.9000 cache size     4578, 4072454 req, miss ratio 0.3287, byte miss ratio 0.3287
tencentBlock.ns22826 S3FIFO-0.0250-0.9000 cache size    13736, 4072454 req, miss ratio 0.2830, byte miss ratio 0.2830
tencentBlock.ns22826 S3FIFO-0.0250-0.9000 cache size    45787, 4072454 req, miss ratio 0.2382, byte miss ratio 0.2382
tencentBlock.ns22826 S3FIFO-0.0250-0.9000 cache size    91575, 4072454 req, miss ratio 0.1819, byte miss ratio 0.1819
tencentBlock.ns22826 S3FIFO-0.0250-0.9000 cache size   183151, 4072454 req, miss ratio 0.1312, byte miss ratio 0.1312
tencentBlock.ns22826 S3FIFO-0.0250-0.9000 cache size   366303, 4072454 req, miss ratio 0.1136, byte miss ratio 0.1136
tencentBlock.ns22826 S3FIFO-0.6500-0.9000 cache size      457, 4072454 req, miss ratio 0.5681, byte miss ratio 0.5681
tencentBlock.ns22826 S3FIFO-0.6500-0.9000 cache size     1373, 4072454 req, miss ratio 0.4559, byte miss ratio 0.4559
