query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   594994, 63962758 req, miss ratio 0.0128, byte miss ratio 0.0128
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size      743, 63962758 req, miss ratio 0.4680, byte miss ratio 0.4680
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size     2231, 63962758 req, miss ratio 0.2151, byte miss ratio 0.2151
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size     7437, 63962758 req, miss ratio 0.1154, byte miss ratio 0.1154
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    22312, 63962758 req, miss ratio 0.0835, byte miss ratio 0.0835
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    74374, 63962758 req, miss ratio 0.0551, byte miss ratio 0.0551
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   148748, 63962758 req, miss ratio 0.0376, byte miss ratio 0.0376
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   297497, 63962758 req, miss ratio 0.0211, byte miss ratio 0.0211
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   594994, 63962758 req, miss ratio 0.0128, byte miss ratio 0.0128
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size      743, 63962758 req, miss ratio 0.3813, byte miss ratio 0.3813
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size     2231, 63962758 req, miss ratio 0.1831, byte miss ratio 0.1831
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size     7437, 63962758 req, miss ratio 0.1151, byte miss ratio 0.1151
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    22312, 63962758 req, miss ratio 0.0833, byte miss ratio 0.0833
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    74374, 63962758 req, miss ratio 0.0559, byte miss ratio 0.0559
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   148748, 63962758 req, miss ratio 0.0399, byte miss ratio 0.0399
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   297497, 63962758 req, miss ratio 0.0229, byte miss ratio 0.0229
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   594994, 63962758 req, miss ratio 0.0129, byte miss ratio 0.0129
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size      743, 63962758 req, miss ratio 0.3661, byte miss ratio 0.3661
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size     2231, 63962758 req, miss ratio 0.1861, byte miss ratio 0.1861
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size     7437, 63962758 req, miss ratio 0.1165, byte miss ratio 0.1165
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    22312, 63962758 req, miss ratio 0.0842, byte miss ratio 0.0842
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    74374, 63962758 req, miss ratio 0.0571, byte miss ratio 0.0571
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   148748, 63962758 req, miss ratio 0.0417, byte miss ratio 0.0417
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   297497, 63962758 req, miss ratio 0.0241, byte miss ratio 0.0241
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   594994, 63962758 req, miss ratio 0.0130, byte miss ratio 0.0130
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size      743, 63962758 req, miss ratio 0.3424, byte miss ratio 0.3424
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     2231, 63962758 req, miss ratio 0.1887, byte miss ratio 0.1887
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     7437, 63962758 req, miss ratio 0.1179, byte miss ratio 0.1179
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    22312, 63962758 req, miss ratio 0.0849, byte miss ratio 0.0849
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    74374, 63962758 req, miss ratio 0.0578, byte miss ratio 0.0578
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   148748, 63962758 req, miss ratio 0.0425, byte miss ratio 0.0425
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   297497, 63962758 req, miss ratio 0.0249, byte miss ratio 0.0249
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   594994, 63962758 req, miss ratio 0.0132, byte miss ratio 0.0132
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size      743, 63962758 req, miss ratio 0.3949, byte miss ratio 0.3949
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     2231, 63962758 req, miss ratio 0.1829, byte miss ratio 0.1829
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     7437, 63962758 req, miss ratio 0.1149, byte miss ratio 0.1149
