io_traces.ns375 S3FIFO-0.7500-0.9000 cache size     1194, 3000000 req, miss ratio 0.7497, byte miss ratio 0.7497
io_traces.ns375 S3FIFO-0.7500-0.9000 cache size     3584, 3000000 req, miss ratio 0.7488, byte miss ratio 0.7488
io_traces.ns375 S3FIFO-0.7500-0.9000 cache size    11947, 3000000 req, miss ratio 0.7271, byte miss ratio 0.7271
io_traces.ns375 S3FIFO-0.7500-0.9000 cache size    35842, 3000000 req, miss ratio 0.6132, byte miss ratio 0.6132
io_traces.ns375 S3FIFO-0.7500-0.9000 cache size   119473, 3000000 req, miss ratio 0.4142, byte miss ratio 0.4142
io_traces.ns375 S3FIFO-0.7500-0.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.7500-0.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.7500-0.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.4500-0.9000 cache size     1194, 3000000 req, miss ratio 0.7495, byte miss ratio 0.7495
io_traces.ns375 S3FIFO-0.4500-0.9000 cache size     3584, 3000000 req, miss ratio 0.7480, byte miss ratio 0.7480
io_traces.ns375 S3FIFO-0.4500-0.9000 cache size    11947, 3000000 req, miss ratio 0.7019, byte miss ratio 0.7019
io_traces.ns375 S3FIFO-0.4500-0.9000 cache size    35842, 3000000 req, miss ratio 0.5339, byte miss ratio 0.5339
io_traces.ns375 S3FIFO-0.4500-0.9000 cache size   119473, 3000000 req, miss ratio 0.4000, byte miss ratio 0.4000
io_traces.ns375 S3FIFO-0.4500-0.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.4500-0.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.4500-0.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.8500-0.9000 cache size     1194, 3000000 req, miss ratio 0.7500, byte miss ratio 0.7500
io_traces.ns375 S3FIFO-0.8500-0.9000 cache size     3584, 3000000 req, miss ratio 0.7490, byte miss ratio 0.7490
io_traces.ns375 S3FIFO-0.8500-0.9000 cache size    11947, 3000000 req, miss ratio 0.7425, byte miss ratio 0.7425
io_traces.ns375 S3FIFO-0.8500-0.9000 cache size    35842, 3000000 req, miss ratio 0.6505, byte miss ratio 0.6505
io_traces.ns375 S3FIFO-0.8500-0.9000 cache size   119473, 3000000 req, miss ratio 0.4499, byte miss ratio 0.4499
io_traces.ns375 S3FIFO-0.8500-0.9000 cache size   238947, 3000000 req, miss ratio 0.3987, byte miss ratio 0.3987
io_traces.ns375 S3FIFO-0.8500-0.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.8500-0.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.1500-0.9000 cache size     1194, 3000000 req, miss ratio 0.7506, byte miss ratio 0.7506
io_traces.ns375 S3FIFO-0.1500-0.9000 cache size     3584, 3000000 req, miss ratio 0.7474, byte miss ratio 0.7474
io_traces.ns375 S3FIFO-0.1500-0.9000 cache size    11947, 3000000 req, miss ratio 0.7016, byte miss ratio 0.7016
io_traces.ns375 S3FIFO-0.1500-0.9000 cache size    35842, 3000000 req, miss ratio 0.4433, byte miss ratio 0.4433
io_traces.ns375 S3FIFO-0.1500-0.9000 cache size   119473, 3000000 req, miss ratio 0.4000, byte miss ratio 0.4000
io_traces.ns375 S3FIFO-0.1500-0.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.1500-0.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.1500-0.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.0250-0.9000 cache size     1194, 3000000 req, miss ratio 0.7519, byte miss ratio 0.7519
io_traces.ns375 S3FIFO-0.0250-0.9000 cache size     3584, 3000000 req, miss ratio 0.7482, byte miss ratio 0.7482
io_traces.ns375 S3FIFO-0.0250-0.9000 cache size    11947, 3000000 req, miss ratio 0.7017, byte miss ratio 0.7017
io_traces.ns375 S3FIFO-0.0250-0.9000 cache size    35842, 3000000 req, miss ratio 0.4141, byte miss ratio 0.4141
io_traces.ns375 S3FIFO-0.0250-0.9000 cache size   119473, 3000000 req, miss ratio 0.4000, byte miss ratio 0.4000
io_traces.ns375 S3FIFO-0.0250-0.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.0250-0.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.0250-0.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.0010-1.9000 cache size     1194, 3000000 req, miss ratio 0.7534, byte miss ratio 0.7534
io_traces.ns375 S3FIFO-0.0010-1.9000 cache size     3584, 3000000 req, miss ratio 0.7503, byte miss ratio 0.7503
io_traces.ns375 S3FIFO-0.0010-1.9000 cache size    11947, 3000000 req, miss ratio 0.6418, byte miss ratio 0.6418
io_traces.ns375 S3FIFO-0.0010-1.9000 cache size    35842, 3000000 req, miss ratio 0.4115, byte miss ratio 0.4115
io_traces.ns375 S3FIFO-0.0010-1.9000 cache size   119473, 3000000 req, miss ratio 0.4000, byte miss ratio 0.4000
io_traces.ns375 S3FIFO-0.0010-1.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.0010-1.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.0010-1.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.0100-0.9000 cache size     1194, 3000000 req, miss ratio 0.7527, byte miss ratio 0.7527
io_traces.ns375 S3FIFO-0.0100-0.9000 cache size     3584, 3000000 req, miss ratio 0.7490, byte miss ratio 0.7490
io_traces.ns375 S3FIFO-0.0100-0.9000 cache size    11947, 3000000 req, miss ratio 0.7021, byte miss ratio 0.7021
io_traces.ns375 S3FIFO-0.0100-0.9000 cache size    35842, 3000000 req, miss ratio 0.4141, byte miss ratio 0.4141
io_traces.ns375 S3FIFO-0.0100-0.9000 cache size   119473, 3000000 req, miss ratio 0.4000, byte miss ratio 0.4000
io_traces.ns375 S3FIFO-0.0100-0.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.0100-0.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.0100-0.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.8000-0.9000 cache size     1194, 3000000 req, miss ratio 0.7498, byte miss ratio 0.7498
io_traces.ns375 S3FIFO-0.8000-0.9000 cache size     3584, 3000000 req, miss ratio 0.7489, byte miss ratio 0.7489
io_traces.ns375 S3FIFO-0.8000-0.9000 cache size    11947, 3000000 req, miss ratio 0.7348, byte miss ratio 0.7348
io_traces.ns375 S3FIFO-0.8000-0.9000 cache size    35842, 3000000 req, miss ratio 0.6259, byte miss ratio 0.6259
io_traces.ns375 S3FIFO-0.8000-0.9000 cache size   119473, 3000000 req, miss ratio 0.4319, byte miss ratio 0.4319
io_traces.ns375 S3FIFO-0.8000-0.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.8000-0.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.8000-0.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.8000-1.9000 cache size     1194, 3000000 req, miss ratio 0.7497, byte miss ratio 0.7497
io_traces.ns375 S3FIFO-0.8000-1.9000 cache size     3584, 3000000 req, miss ratio 0.7489, byte miss ratio 0.7489
io_traces.ns375 S3FIFO-0.8000-1.9000 cache size    11947, 3000000 req, miss ratio 0.7493, byte miss ratio 0.7493
io_traces.ns375 S3FIFO-0.8000-1.9000 cache size    35842, 3000000 req, miss ratio 0.6313, byte miss ratio 0.6313
io_traces.ns375 S3FIFO-0.8000-1.9000 cache size   119473, 3000000 req, miss ratio 0.4320, byte miss ratio 0.4320
io_traces.ns375 S3FIFO-0.8000-1.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.8000-1.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.8000-1.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.0050-1.9000 cache size     1194, 3000000 req, miss ratio 0.7531, byte miss ratio 0.7531
io_traces.ns375 S3FIFO-0.0050-1.9000 cache size     3584, 3000000 req, miss ratio 0.7495, byte miss ratio 0.7495
io_traces.ns375 S3FIFO-0.0050-1.9000 cache size    11947, 3000000 req, miss ratio 0.6406, byte miss ratio 0.6406
io_traces.ns375 S3FIFO-0.0050-1.9000 cache size    35842, 3000000 req, miss ratio 0.4107, byte miss ratio 0.4107
io_traces.ns375 S3FIFO-0.0050-1.9000 cache size   119473, 3000000 req, miss ratio 0.4000, byte miss ratio 0.4000
io_traces.ns375 S3FIFO-0.0050-1.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.0050-1.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
io_traces.ns375 S3FIFO-0.0050-1.9000 cache size   955790, 3000000 req, miss ratio 0.3983, byte miss ratio 0.3983
io_traces.ns375 S3FIFO-0.6500-0.9000 cache size     1194, 3000000 req, miss ratio 0.7495, byte miss ratio 0.7495
io_traces.ns375 S3FIFO-0.6500-0.9000 cache size     3584, 3000000 req, miss ratio 0.7486, byte miss ratio 0.7486
io_traces.ns375 S3FIFO-0.6500-0.9000 cache size    11947, 3000000 req, miss ratio 0.7158, byte miss ratio 0.7158
io_traces.ns375 S3FIFO-0.6500-0.9000 cache size    35842, 3000000 req, miss ratio 0.5833, byte miss ratio 0.5833
io_traces.ns375 S3FIFO-0.6500-0.9000 cache size   119473, 3000000 req, miss ratio 0.4000, byte miss ratio 0.4000
io_traces.ns375 S3FIFO-0.6500-0.9000 cache size   238947, 3000000 req, miss ratio 0.3986, byte miss ratio 0.3986
io_traces.ns375 S3FIFO-0.6500-0.9000 cache size   477895, 3000000 req, miss ratio 0.3984, byte miss ratio 0.3984
