tencentBlock.ns9324 S3FIFO-0.0500-1.9000 cache size     4564, 22731447 req, miss ratio 0.3597, byte miss ratio 0.3597
tencentBlock.ns9324 S3FIFO-0.0500-1.9000 cache size    13694, 22731447 req, miss ratio 0.3441, byte miss ratio 0.3441
tencentBlock.ns9324 S3FIFO-0.0500-1.9000 cache size    45648, 22731447 req, miss ratio 0.2832, byte miss ratio 0.2832
tencentBlock.ns9324 S3FIFO-0.0500-1.9000 cache size   136945, 22731447 req, miss ratio 0.2401, byte miss ratio 0.2401
tencentBlock.ns9324 S3FIFO-0.0500-1.9000 cache size   456484, 22731447 req, miss ratio 0.2246, byte miss ratio 0.2246
tencentBlock.ns9324 S3FIFO-0.0500-1.9000 cache size   912969, 22731447 req, miss ratio 0.2216, byte miss ratio 0.2216
tencentBlock.ns9324 S3FIFO-0.0500-1.9000 cache size  1825938, 22731447 req, miss ratio 0.2166, byte miss ratio 0.2166
tencentBlock.ns9324 S3FIFO-0.0500-1.9000 cache size  3651876, 22731447 req, miss ratio 0.2023, byte miss ratio 0.2023
tencentBlock.ns9324 S3FIFO-0.6500-0.9000 cache size     4564, 22731447 req, miss ratio 0.3806, byte miss ratio 0.3806
tencentBlock.ns9324 S3FIFO-0.6500-0.9000 cache size    13694, 22731447 req, miss ratio 0.3497, byte miss ratio 0.3497
tencentBlock.ns9324 S3FIFO-0.6500-0.9000 cache size    45648, 22731447 req, miss ratio 0.3202, byte miss ratio 0.3202
tencentBlock.ns9324 S3FIFO-0.6500-0.9000 cache size   136945, 22731447 req, miss ratio 0.2598, byte miss ratio 0.2598
tencentBlock.ns9324 S3FIFO-0.6500-0.9000 cache size   456484, 22731447 req, miss ratio 0.2287, byte miss ratio 0.2287
tencentBlock.ns9324 S3FIFO-0.6500-0.9000 cache size   912969, 22731447 req, miss ratio 0.2225, byte miss ratio 0.2225
tencentBlock.ns9324 S3FIFO-0.6500-0.9000 cache size  1825938, 22731447 req, miss ratio 0.2167, byte miss ratio 0.2167
tencentBlock.ns9324 S3FIFO-0.6500-0.9000 cache size  3651876, 22731447 req, miss ratio 0.2023, byte miss ratio 0.2023
tencentBlock.ns9324 S3FIFO-0.2500-0.9000 cache size     4564, 22731447 req, miss ratio 0.3579, byte miss ratio 0.3579
tencentBlock.ns9324 S3FIFO-0.2500-0.9000 cache size    13694, 22731447 req, miss ratio 0.3477, byte miss ratio 0.3477
tencentBlock.ns9324 S3FIFO-0.2500-0.9000 cache size    45648, 22731447 req, miss ratio 0.2959, byte miss ratio 0.2959
tencentBlock.ns9324 S3FIFO-0.2500-0.9000 cache size   136945, 22731447 req, miss ratio 0.2460, byte miss ratio 0.2460
tencentBlock.ns9324 S3FIFO-0.2500-0.9000 cache size   456484, 22731447 req, miss ratio 0.2256, byte miss ratio 0.2256
tencentBlock.ns9324 S3FIFO-0.2500-0.9000 cache size   912969, 22731447 req, miss ratio 0.2219, byte miss ratio 0.2219
tencentBlock.ns9324 S3FIFO-0.2500-0.9000 cache size  1825938, 22731447 req, miss ratio 0.2166, byte miss ratio 0.2166
tencentBlock.ns9324 S3FIFO-0.2500-0.9000 cache size  3651876, 22731447 req, miss ratio 0.2023, byte miss ratio 0.2023
tencentBlock.ns9324 S3FIFO-0.7000-1.9000 cache size     4564, 22731447 req, miss ratio 0.4024, byte miss ratio 0.4024
tencentBlock.ns9324 S3FIFO-0.7000-1.9000 cache size    13694, 22731447 req, miss ratio 0.3487, byte miss ratio 0.3487
tencentBlock.ns9324 S3FIFO-0.7000-1.9000 cache size    45648, 22731447 req, miss ratio 0.3233, byte miss ratio 0.3233
tencentBlock.ns9324 S3FIFO-0.7000-1.9000 cache size   136945, 22731447 req, miss ratio 0.2667, byte miss ratio 0.2667
tencentBlock.ns9324 S3FIFO-0.7000-1.9000 cache size   456484, 22731447 req, miss ratio 0.2315, byte miss ratio 0.2315
tencentBlock.ns9324 S3FIFO-0.7000-1.9000 cache size   912969, 22731447 req, miss ratio 0.2239, byte miss ratio 0.2239
tencentBlock.ns9324 S3FIFO-0.7000-1.9000 cache size  1825938, 22731447 req, miss ratio 0.2169, byte miss ratio 0.2169
tencentBlock.ns9324 S3FIFO-0.7000-1.9000 cache size  3651876, 22731447 req, miss ratio 0.2023, byte miss ratio 0.2023
tencentBlock.ns9324 S3FIFO-0.3000-0.9000 cache size     4564, 22731447 req, miss ratio 0.3579, byte miss ratio 0.3579
tencentBlock.ns9324 S3FIFO-0.3000-0.9000 cache size    13694, 22731447 req, miss ratio 0.3483, byte miss ratio 0.3483
tencentBlock.ns9324 S3FIFO-0.3000-0.9000 cache size    45648, 22731447 req, miss ratio 0.2993, byte miss ratio 0.2993
tencentBlock.ns9324 S3FIFO-0.3000-0.9000 cache size   136945, 22731447 req, miss ratio 0.2474, byte miss ratio 0.2474
tencentBlock.ns9324 S3FIFO-0.3000-0.9000 cache size   456484, 22731447 req, miss ratio 0.2257, byte miss ratio 0.2257
tencentBlock.ns9324 S3FIFO-0.3000-0.9000 cache size   912969, 22731447 req, miss ratio 0.2219, byte miss ratio 0.2219
tencentBlock.ns9324 S3FIFO-0.3000-0.9000 cache size  1825938, 22731447 req, miss ratio 0.2166, byte miss ratio 0.2166
