io_traces.ns749 S3FIFO-0.3000-0.9000 cache size     6039, 14200000 req, miss ratio 0.9541, byte miss ratio 0.9541
io_traces.ns749 S3FIFO-0.3000-0.9000 cache size    18117, 14200000 req, miss ratio 0.9515, byte miss ratio 0.9515
io_traces.ns749 S3FIFO-0.3000-0.9000 cache size    60390, 14200000 req, miss ratio 0.8987, byte miss ratio 0.8987
io_traces.ns749 S3FIFO-0.3000-0.9000 cache size   181170, 14200000 req, miss ratio 0.7007, byte miss ratio 0.7007
io_traces.ns749 S3FIFO-0.3000-0.9000 cache size   603902, 14200000 req, miss ratio 0.5261, byte miss ratio 0.5261
io_traces.ns749 S3FIFO-0.3000-0.9000 cache size  1207804, 14200000 req, miss ratio 0.4827, byte miss ratio 0.4827
io_traces.ns749 S3FIFO-0.3000-0.9000 cache size  2415608, 14200000 req, miss ratio 0.4547, byte miss ratio 0.4547
io_traces.ns749 S3FIFO-0.3000-0.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.5500-0.9000 cache size     6039, 14200000 req, miss ratio 0.9553, byte miss ratio 0.9553
io_traces.ns749 S3FIFO-0.5500-0.9000 cache size    18117, 14200000 req, miss ratio 0.9516, byte miss ratio 0.9516
io_traces.ns749 S3FIFO-0.5500-0.9000 cache size    60390, 14200000 req, miss ratio 0.9058, byte miss ratio 0.9058
io_traces.ns749 S3FIFO-0.5500-0.9000 cache size   181170, 14200000 req, miss ratio 0.7569, byte miss ratio 0.7569
io_traces.ns749 S3FIFO-0.5500-0.9000 cache size   603902, 14200000 req, miss ratio 0.5564, byte miss ratio 0.5564
io_traces.ns749 S3FIFO-0.5500-0.9000 cache size  1207804, 14200000 req, miss ratio 0.4882, byte miss ratio 0.4882
io_traces.ns749 S3FIFO-0.5500-0.9000 cache size  2415608, 14200000 req, miss ratio 0.4549, byte miss ratio 0.4549
io_traces.ns749 S3FIFO-0.5500-0.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.4000-0.9000 cache size     6039, 14200000 req, miss ratio 0.9547, byte miss ratio 0.9547
io_traces.ns749 S3FIFO-0.4000-0.9000 cache size    18117, 14200000 req, miss ratio 0.9515, byte miss ratio 0.9515
io_traces.ns749 S3FIFO-0.4000-0.9000 cache size    60390, 14200000 req, miss ratio 0.8989, byte miss ratio 0.8989
io_traces.ns749 S3FIFO-0.4000-0.9000 cache size   181170, 14200000 req, miss ratio 0.7191, byte miss ratio 0.7191
io_traces.ns749 S3FIFO-0.4000-0.9000 cache size   603902, 14200000 req, miss ratio 0.5339, byte miss ratio 0.5339
io_traces.ns749 S3FIFO-0.4000-0.9000 cache size  1207804, 14200000 req, miss ratio 0.4833, byte miss ratio 0.4833
io_traces.ns749 S3FIFO-0.4000-0.9000 cache size  2415608, 14200000 req, miss ratio 0.4547, byte miss ratio 0.4547
io_traces.ns749 S3FIFO-0.4000-0.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.9900-0.9000 cache size     6039, 14200000 req, miss ratio 0.9628, byte miss ratio 0.9628
io_traces.ns749 S3FIFO-0.9900-0.9000 cache size    18117, 14200000 req, miss ratio 0.9617, byte miss ratio 0.9617
io_traces.ns749 S3FIFO-0.9900-0.9000 cache size    60390, 14200000 req, miss ratio 0.9591, byte miss ratio 0.9591
io_traces.ns749 S3FIFO-0.9900-0.9000 cache size   181170, 14200000 req, miss ratio 0.8766, byte miss ratio 0.8766
io_traces.ns749 S3FIFO-0.9900-0.9000 cache size   603902, 14200000 req, miss ratio 0.6819, byte miss ratio 0.6819
io_traces.ns749 S3FIFO-0.9900-0.9000 cache size  1207804, 14200000 req, miss ratio 0.5800, byte miss ratio 0.5800
io_traces.ns749 S3FIFO-0.9900-0.9000 cache size  2415608, 14200000 req, miss ratio 0.4991, byte miss ratio 0.4991
io_traces.ns749 S3FIFO-0.9900-0.9000 cache size  4831216, 14200000 req, miss ratio 0.4461, byte miss ratio 0.4461
io_traces.ns749 S3FIFO-0.8500-0.9000 cache size     6039, 14200000 req, miss ratio 0.9601, byte miss ratio 0.9601
io_traces.ns749 S3FIFO-0.8500-0.9000 cache size    18117, 14200000 req, miss ratio 0.9536, byte miss ratio 0.9536
io_traces.ns749 S3FIFO-0.8500-0.9000 cache size    60390, 14200000 req, miss ratio 0.9395, byte miss ratio 0.9395
io_traces.ns749 S3FIFO-0.8500-0.9000 cache size   181170, 14200000 req, miss ratio 0.8863, byte miss ratio 0.8863
io_traces.ns749 S3FIFO-0.8500-0.9000 cache size   603902, 14200000 req, miss ratio 0.6384, byte miss ratio 0.6384
io_traces.ns749 S3FIFO-0.8500-0.9000 cache size  1207804, 14200000 req, miss ratio 0.5355, byte miss ratio 0.5355
io_traces.ns749 S3FIFO-0.8500-0.9000 cache size  2415608, 14200000 req, miss ratio 0.4709, byte miss ratio 0.4709
io_traces.ns749 S3FIFO-0.8500-0.9000 cache size  4831216, 14200000 req, miss ratio 0.4288, byte miss ratio 0.4288
io_traces.ns749 S3FIFO-0.2000-1.9000 cache size     6039, 14200000 req, miss ratio 0.9540, byte miss ratio 0.9540
io_traces.ns749 S3FIFO-0.2000-1.9000 cache size    18117, 14200000 req, miss ratio 0.9485, byte miss ratio 0.9485
io_traces.ns749 S3FIFO-0.2000-1.9000 cache size    60390, 14200000 req, miss ratio 0.8415, byte miss ratio 0.8415
io_traces.ns749 S3FIFO-0.2000-1.9000 cache size   181170, 14200000 req, miss ratio 0.6917, byte miss ratio 0.6917
io_traces.ns749 S3FIFO-0.2000-1.9000 cache size   603902, 14200000 req, miss ratio 0.5180, byte miss ratio 0.5180
io_traces.ns749 S3FIFO-0.2000-1.9000 cache size  1207804, 14200000 req, miss ratio 0.4816, byte miss ratio 0.4816
io_traces.ns749 S3FIFO-0.2000-1.9000 cache size  2415608, 14200000 req, miss ratio 0.4547, byte miss ratio 0.4547
io_traces.ns749 S3FIFO-0.2000-1.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.0010-0.9000 cache size     6039, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
io_traces.ns749 S3FIFO-0.0010-0.9000 cache size    18117, 14200000 req, miss ratio 0.9515, byte miss ratio 0.9515
io_traces.ns749 S3FIFO-0.0010-0.9000 cache size    60390, 14200000 req, miss ratio 0.8987, byte miss ratio 0.8987
io_traces.ns749 S3FIFO-0.0010-0.9000 cache size   181170, 14200000 req, miss ratio 0.6703, byte miss ratio 0.6703
io_traces.ns749 S3FIFO-0.0010-0.9000 cache size   603902, 14200000 req, miss ratio 0.5283, byte miss ratio 0.5283
io_traces.ns749 S3FIFO-0.0010-0.9000 cache size  1207804, 14200000 req, miss ratio 0.4825, byte miss ratio 0.4825
io_traces.ns749 S3FIFO-0.0010-0.9000 cache size  2415608, 14200000 req, miss ratio 0.4547, byte miss ratio 0.4547
io_traces.ns749 S3FIFO-0.0010-0.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.0250-0.9000 cache size     6039, 14200000 req, miss ratio 0.9541, byte miss ratio 0.9541
io_traces.ns749 S3FIFO-0.0250-0.9000 cache size    18117, 14200000 req, miss ratio 0.9515, byte miss ratio 0.9515
io_traces.ns749 S3FIFO-0.0250-0.9000 cache size    60390, 14200000 req, miss ratio 0.8987, byte miss ratio 0.8987
io_traces.ns749 S3FIFO-0.0250-0.9000 cache size   181170, 14200000 req, miss ratio 0.6718, byte miss ratio 0.6718
io_traces.ns749 S3FIFO-0.0250-0.9000 cache size   603902, 14200000 req, miss ratio 0.5286, byte miss ratio 0.5286
io_traces.ns749 S3FIFO-0.0250-0.9000 cache size  1207804, 14200000 req, miss ratio 0.4825, byte miss ratio 0.4825
io_traces.ns749 S3FIFO-0.0250-0.9000 cache size  2415608, 14200000 req, miss ratio 0.4547, byte miss ratio 0.4547
io_traces.ns749 S3FIFO-0.0250-0.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.8000-1.9000 cache size     6039, 14200000 req, miss ratio 0.9592, byte miss ratio 0.9592
io_traces.ns749 S3FIFO-0.8000-1.9000 cache size    18117, 14200000 req, miss ratio 0.9513, byte miss ratio 0.9513
io_traces.ns749 S3FIFO-0.8000-1.9000 cache size    60390, 14200000 req, miss ratio 0.9445, byte miss ratio 0.9445
io_traces.ns749 S3FIFO-0.8000-1.9000 cache size   181170, 14200000 req, miss ratio 0.8899, byte miss ratio 0.8899
io_traces.ns749 S3FIFO-0.8000-1.9000 cache size   603902, 14200000 req, miss ratio 0.6260, byte miss ratio 0.6260
io_traces.ns749 S3FIFO-0.8000-1.9000 cache size  1207804, 14200000 req, miss ratio 0.5265, byte miss ratio 0.5265
io_traces.ns749 S3FIFO-0.8000-1.9000 cache size  2415608, 14200000 req, miss ratio 0.4641, byte miss ratio 0.4641
io_traces.ns749 S3FIFO-0.8000-1.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.2000-0.9000 cache size     6039, 14200000 req, miss ratio 0.9540, byte miss ratio 0.9540
io_traces.ns749 S3FIFO-0.2000-0.9000 cache size    18117, 14200000 req, miss ratio 0.9515, byte miss ratio 0.9515
io_traces.ns749 S3FIFO-0.2000-0.9000 cache size    60390, 14200000 req, miss ratio 0.8987, byte miss ratio 0.8987
io_traces.ns749 S3FIFO-0.2000-0.9000 cache size   181170, 14200000 req, miss ratio 0.6865, byte miss ratio 0.6865
io_traces.ns749 S3FIFO-0.2000-0.9000 cache size   603902, 14200000 req, miss ratio 0.5193, byte miss ratio 0.5193
io_traces.ns749 S3FIFO-0.2000-0.9000 cache size  1207804, 14200000 req, miss ratio 0.4825, byte miss ratio 0.4825
io_traces.ns749 S3FIFO-0.2000-0.9000 cache size  2415608, 14200000 req, miss ratio 0.4547, byte miss ratio 0.4547
io_traces.ns749 S3FIFO-0.2000-0.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.3500-0.9000 cache size     6039, 14200000 req, miss ratio 0.9543, byte miss ratio 0.9543
io_traces.ns749 S3FIFO-0.3500-0.9000 cache size    18117, 14200000 req, miss ratio 0.9515, byte miss ratio 0.9515
io_traces.ns749 S3FIFO-0.3500-0.9000 cache size    60390, 14200000 req, miss ratio 0.8987, byte miss ratio 0.8987
io_traces.ns749 S3FIFO-0.3500-0.9000 cache size   181170, 14200000 req, miss ratio 0.7088, byte miss ratio 0.7088
io_traces.ns749 S3FIFO-0.3500-0.9000 cache size   603902, 14200000 req, miss ratio 0.5297, byte miss ratio 0.5297
io_traces.ns749 S3FIFO-0.3500-0.9000 cache size  1207804, 14200000 req, miss ratio 0.4829, byte miss ratio 0.4829
io_traces.ns749 S3FIFO-0.3500-0.9000 cache size  2415608, 14200000 req, miss ratio 0.4547, byte miss ratio 0.4547
io_traces.ns749 S3FIFO-0.3500-0.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.9900-1.9000 cache size     6039, 14200000 req, miss ratio 0.9628, byte miss ratio 0.9628
io_traces.ns749 S3FIFO-0.9900-1.9000 cache size    18117, 14200000 req, miss ratio 0.9617, byte miss ratio 0.9617
io_traces.ns749 S3FIFO-0.9900-1.9000 cache size    60390, 14200000 req, miss ratio 0.9597, byte miss ratio 0.9597
io_traces.ns749 S3FIFO-0.9900-1.9000 cache size   181170, 14200000 req, miss ratio 0.8741, byte miss ratio 0.8741
io_traces.ns749 S3FIFO-0.9900-1.9000 cache size   603902, 14200000 req, miss ratio 0.6821, byte miss ratio 0.6821
io_traces.ns749 S3FIFO-0.9900-1.9000 cache size  1207804, 14200000 req, miss ratio 0.5769, byte miss ratio 0.5769
io_traces.ns749 S3FIFO-0.9900-1.9000 cache size  2415608, 14200000 req, miss ratio 0.4992, byte miss ratio 0.4992
io_traces.ns749 S3FIFO-0.9900-1.9000 cache size  4831216, 14200000 req, miss ratio 0.4461, byte miss ratio 0.4461
io_traces.ns749 S3FIFO-0.1500-1.9000 cache size     6039, 14200000 req, miss ratio 0.9540, byte miss ratio 0.9540
io_traces.ns749 S3FIFO-0.1500-1.9000 cache size    18117, 14200000 req, miss ratio 0.9485, byte miss ratio 0.9485
io_traces.ns749 S3FIFO-0.1500-1.9000 cache size    60390, 14200000 req, miss ratio 0.8352, byte miss ratio 0.8352
io_traces.ns749 S3FIFO-0.1500-1.9000 cache size   181170, 14200000 req, miss ratio 0.6830, byte miss ratio 0.6830
io_traces.ns749 S3FIFO-0.1500-1.9000 cache size   603902, 14200000 req, miss ratio 0.5198, byte miss ratio 0.5198
io_traces.ns749 S3FIFO-0.1500-1.9000 cache size  1207804, 14200000 req, miss ratio 0.4813, byte miss ratio 0.4813
io_traces.ns749 S3FIFO-0.1500-1.9000 cache size  2415608, 14200000 req, miss ratio 0.4547, byte miss ratio 0.4547
io_traces.ns749 S3FIFO-0.1500-1.9000 cache size  4831216, 14200000 req, miss ratio 0.4286, byte miss ratio 0.4286
io_traces.ns749 S3FIFO-0.9500-1.9000 cache size     6039, 14200000 req, miss ratio 0.9617, byte miss ratio 0.9617
io_traces.ns749 S3FIFO-0.9500-1.9000 cache size    18117, 14200000 req, miss ratio 0.9587, byte miss ratio 0.9587
io_traces.ns749 S3FIFO-0.9500-1.9000 cache size    60390, 14200000 req, miss ratio 0.9588, byte miss ratio 0.9588
io_traces.ns749 S3FIFO-0.9500-1.9000 cache size   181170, 14200000 req, miss ratio 0.8800, byte miss ratio 0.8800
io_traces.ns749 S3FIFO-0.9500-1.9000 cache size   603902, 14200000 req, miss ratio 0.6726, byte miss ratio 0.6726
