cdn1_colo28.ns19 S3FIFO-0.4500-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.4500-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7500-0.9000 cache size    15108, 120746519 req, miss ratio 0.3887, byte miss ratio 0.3887
cdn1_colo28.ns19 S3FIFO-0.7500-0.9000 cache size    45324, 120746519 req, miss ratio 0.2068, byte miss ratio 0.2068
cdn1_colo28.ns19 S3FIFO-0.7500-0.9000 cache size   151083, 120746519 req, miss ratio 0.1271, byte miss ratio 0.1271
cdn1_colo28.ns19 S3FIFO-0.7500-0.9000 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.7500-0.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7500-0.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7500-0.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7500-0.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7000-1.9000 cache size    15108, 120746519 req, miss ratio 0.3805, byte miss ratio 0.3805
cdn1_colo28.ns19 S3FIFO-0.7000-1.9000 cache size    45324, 120746519 req, miss ratio 0.2019, byte miss ratio 0.2019
cdn1_colo28.ns19 S3FIFO-0.7000-1.9000 cache size   151083, 120746519 req, miss ratio 0.1273, byte miss ratio 0.1273
cdn1_colo28.ns19 S3FIFO-0.7000-1.9000 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.7000-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7000-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7000-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7000-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.1000-1.9000 cache size    15108, 120746519 req, miss ratio 0.3108, byte miss ratio 0.3108
cdn1_colo28.ns19 S3FIFO-0.1000-1.9000 cache size    45324, 120746519 req, miss ratio 0.1908, byte miss ratio 0.1908
cdn1_colo28.ns19 S3FIFO-0.1000-1.9000 cache size   151083, 120746519 req, miss ratio 0.1499, byte miss ratio 0.1499
cdn1_colo28.ns19 S3FIFO-0.1000-1.9000 cache size   453249, 120746519 req, miss ratio 0.1338, byte miss ratio 0.1338
cdn1_colo28.ns19 S3FIFO-0.1000-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1253, byte miss ratio 0.1253
cdn1_colo28.ns19 S3FIFO-0.1000-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.1000-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.1000-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.0010-1.9000 cache size    15108, 120746519 req, miss ratio 0.3096, byte miss ratio 0.3096
cdn1_colo28.ns19 S3FIFO-0.0010-1.9000 cache size    45324, 120746519 req, miss ratio 0.2073, byte miss ratio 0.2073
cdn1_colo28.ns19 S3FIFO-0.0010-1.9000 cache size   151083, 120746519 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn1_colo28.ns19 S3FIFO-0.0010-1.9000 cache size   453249, 120746519 req, miss ratio 0.1772, byte miss ratio 0.1772
cdn1_colo28.ns19 S3FIFO-0.0010-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1639, byte miss ratio 0.1639
cdn1_colo28.ns19 S3FIFO-0.0010-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1505, byte miss ratio 0.1505
cdn1_colo28.ns19 S3FIFO-0.0010-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1313, byte miss ratio 0.1313
cdn1_colo28.ns19 S3FIFO-0.0010-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.0050-0.9000 cache size    15108, 120746519 req, miss ratio 0.3054, byte miss ratio 0.3054
cdn1_colo28.ns19 S3FIFO-0.0050-0.9000 cache size    45324, 120746519 req, miss ratio 0.2057, byte miss ratio 0.2057
cdn1_colo28.ns19 S3FIFO-0.0050-0.9000 cache size   151083, 120746519 req, miss ratio 0.1778, byte miss ratio 0.1778
cdn1_colo28.ns19 S3FIFO-0.0050-0.9000 cache size   453249, 120746519 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns19 S3FIFO-0.0050-0.9000 cache size  1510831, 120746519 req, miss ratio 0.1518, byte miss ratio 0.1518
cdn1_colo28.ns19 S3FIFO-0.0050-0.9000 cache size  3021663, 120746519 req, miss ratio 0.1397, byte miss ratio 0.1397
cdn1_colo28.ns19 S3FIFO-0.0050-0.9000 cache size  6043327, 120746519 req, miss ratio 0.1276, byte miss ratio 0.1276
cdn1_colo28.ns19 S3FIFO-0.0050-0.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.0050-1.9000 cache size    15108, 120746519 req, miss ratio 0.3093, byte miss ratio 0.3093
cdn1_colo28.ns19 S3FIFO-0.0050-1.9000 cache size    45324, 120746519 req, miss ratio 0.2054, byte miss ratio 0.2054
cdn1_colo28.ns19 S3FIFO-0.0050-1.9000 cache size   151083, 120746519 req, miss ratio 0.1778, byte miss ratio 0.1778
cdn1_colo28.ns19 S3FIFO-0.0050-1.9000 cache size   453249, 120746519 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns19 S3FIFO-0.0050-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1518, byte miss ratio 0.1518
cdn1_colo28.ns19 S3FIFO-0.0050-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1397, byte miss ratio 0.1397
cdn1_colo28.ns19 S3FIFO-0.0050-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1276, byte miss ratio 0.1276
cdn1_colo28.ns19 S3FIFO-0.0050-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.6500-1.9000 cache size    15108, 120746519 req, miss ratio 0.3725, byte miss ratio 0.3725
cdn1_colo28.ns19 S3FIFO-0.6500-1.9000 cache size    45324, 120746519 req, miss ratio 0.1980, byte miss ratio 0.1980
cdn1_colo28.ns19 S3FIFO-0.6500-1.9000 cache size   151083, 120746519 req, miss ratio 0.1276, byte miss ratio 0.1276
cdn1_colo28.ns19 S3FIFO-0.6500-1.9000 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.6500-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.6500-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.6500-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.6500-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
