io_traces.ns103 S3FIFO-0.0500-1.9000 cache size     8693, 14600000 req, miss ratio 0.8291, byte miss ratio 0.8291
io_traces.ns103 S3FIFO-0.0500-1.9000 cache size    26080, 14600000 req, miss ratio 0.8165, byte miss ratio 0.8165
io_traces.ns103 S3FIFO-0.0500-1.9000 cache size    86934, 14600000 req, miss ratio 0.7439, byte miss ratio 0.7439
io_traces.ns103 S3FIFO-0.0500-1.9000 cache size   260804, 14600000 req, miss ratio 0.7342, byte miss ratio 0.7342
io_traces.ns103 S3FIFO-0.0500-1.9000 cache size   869348, 14600000 req, miss ratio 0.7057, byte miss ratio 0.7057
io_traces.ns103 S3FIFO-0.0500-1.9000 cache size  1738696, 14600000 req, miss ratio 0.6936, byte miss ratio 0.6936
io_traces.ns103 S3FIFO-0.0500-1.9000 cache size  3477392, 14600000 req, miss ratio 0.6503, byte miss ratio 0.6503
io_traces.ns103 S3FIFO-0.0500-1.9000 cache size  6954784, 14600000 req, miss ratio 0.6026, byte miss ratio 0.6026
io_traces.ns103 S3FIFO-0.0100-1.9000 cache size     8693, 14600000 req, miss ratio 0.8310, byte miss ratio 0.8310
io_traces.ns103 S3FIFO-0.0100-1.9000 cache size    26080, 14600000 req, miss ratio 0.8169, byte miss ratio 0.8169
io_traces.ns103 S3FIFO-0.0100-1.9000 cache size    86934, 14600000 req, miss ratio 0.7428, byte miss ratio 0.7428
io_traces.ns103 S3FIFO-0.0100-1.9000 cache size   260804, 14600000 req, miss ratio 0.7340, byte miss ratio 0.7340
io_traces.ns103 S3FIFO-0.0100-1.9000 cache size   869348, 14600000 req, miss ratio 0.7043, byte miss ratio 0.7043
io_traces.ns103 S3FIFO-0.0100-1.9000 cache size  1738696, 14600000 req, miss ratio 0.6931, byte miss ratio 0.6931
io_traces.ns103 S3FIFO-0.0100-1.9000 cache size  3477392, 14600000 req, miss ratio 0.6503, byte miss ratio 0.6503
io_traces.ns103 S3FIFO-0.0100-1.9000 cache size  6954784, 14600000 req, miss ratio 0.6026, byte miss ratio 0.6026
io_traces.ns103 S3FIFO-0.3000-1.9000 cache size     8693, 14600000 req, miss ratio 0.8292, byte miss ratio 0.8292
io_traces.ns103 S3FIFO-0.3000-1.9000 cache size    26080, 14600000 req, miss ratio 0.8210, byte miss ratio 0.8210
io_traces.ns103 S3FIFO-0.3000-1.9000 cache size    86934, 14600000 req, miss ratio 0.7605, byte miss ratio 0.7605
io_traces.ns103 S3FIFO-0.3000-1.9000 cache size   260804, 14600000 req, miss ratio 0.7345, byte miss ratio 0.7345
