io_traces.ns57 S3FIFO-0.9900-0.9000 cache size      627, 7400000 req, miss ratio 0.5392, byte miss ratio 0.5392
io_traces.ns57 S3FIFO-0.9900-0.9000 cache size     1882, 7400000 req, miss ratio 0.5069, byte miss ratio 0.5069
io_traces.ns57 S3FIFO-0.9900-0.9000 cache size     6273, 7400000 req, miss ratio 0.4394, byte miss ratio 0.4394
io_traces.ns57 S3FIFO-0.9900-0.9000 cache size    18821, 7400000 req, miss ratio 0.4079, byte miss ratio 0.4079
io_traces.ns57 S3FIFO-0.9900-0.9000 cache size    62737, 7400000 req, miss ratio 0.2859, byte miss ratio 0.2859
io_traces.ns57 S3FIFO-0.9900-0.9000 cache size   125475, 7400000 req, miss ratio 0.1651, byte miss ratio 0.1651
io_traces.ns57 S3FIFO-0.9900-0.9000 cache size   250950, 7400000 req, miss ratio 0.1064, byte miss ratio 0.1064
io_traces.ns57 S3FIFO-0.9900-0.9000 cache size   501900, 7400000 req, miss ratio 0.0915, byte miss ratio 0.0915
io_traces.ns57 S3FIFO-0.3500-1.9000 cache size      627, 7400000 req, miss ratio 0.5124, byte miss ratio 0.5124
io_traces.ns57 S3FIFO-0.3500-1.9000 cache size     1882, 7400000 req, miss ratio 0.4879, byte miss ratio 0.4879
io_traces.ns57 S3FIFO-0.3500-1.9000 cache size     6273, 7400000 req, miss ratio 0.4311, byte miss ratio 0.4311
io_traces.ns57 S3FIFO-0.3500-1.9000 cache size    18821, 7400000 req, miss ratio 0.3768, byte miss ratio 0.3768
io_traces.ns57 S3FIFO-0.3500-1.9000 cache size    62737, 7400000 req, miss ratio 0.2542, byte miss ratio 0.2542
io_traces.ns57 S3FIFO-0.3500-1.9000 cache size   125475, 7400000 req, miss ratio 0.1235, byte miss ratio 0.1235
io_traces.ns57 S3FIFO-0.3500-1.9000 cache size   250950, 7400000 req, miss ratio 0.0889, byte miss ratio 0.0889
io_traces.ns57 S3FIFO-0.3500-1.9000 cache size   501900, 7400000 req, miss ratio 0.0850, byte miss ratio 0.0850
io_traces.ns57 S3FIFO-0.4000-1.9000 cache size      627, 7400000 req, miss ratio 0.5132, byte miss ratio 0.5132
io_traces.ns57 S3FIFO-0.4000-1.9000 cache size     1882, 7400000 req, miss ratio 0.4886, byte miss ratio 0.4886
io_traces.ns57 S3FIFO-0.4000-1.9000 cache size     6273, 7400000 req, miss ratio 0.4300, byte miss ratio 0.4300
io_traces.ns57 S3FIFO-0.4000-1.9000 cache size    18821, 7400000 req, miss ratio 0.3811, byte miss ratio 0.3811
io_traces.ns57 S3FIFO-0.4000-1.9000 cache size    62737, 7400000 req, miss ratio 0.2601, byte miss ratio 0.2601
io_traces.ns57 S3FIFO-0.4000-1.9000 cache size   125475, 7400000 req, miss ratio 0.1276, byte miss ratio 0.1276
io_traces.ns57 S3FIFO-0.4000-1.9000 cache size   250950, 7400000 req, miss ratio 0.0887, byte miss ratio 0.0887
io_traces.ns57 S3FIFO-0.4000-1.9000 cache size   501900, 7400000 req, miss ratio 0.0850, byte miss ratio 0.0850
io_traces.ns57 S3FIFO-0.8000-1.9000 cache size      627, 7400000 req, miss ratio 0.5239, byte miss ratio 0.5239
io_traces.ns57 S3FIFO-0.8000-1.9000 cache size     1882, 7400000 req, miss ratio 0.4981, byte miss ratio 0.4981
io_traces.ns57 S3FIFO-0.8000-1.9000 cache size     6273, 7400000 req, miss ratio 0.4307, byte miss ratio 0.4307
io_traces.ns57 S3FIFO-0.8000-1.9000 cache size    18821, 7400000 req, miss ratio 0.4008, byte miss ratio 0.4008
io_traces.ns57 S3FIFO-0.8000-1.9000 cache size    62737, 7400000 req, miss ratio 0.2903, byte miss ratio 0.2903
io_traces.ns57 S3FIFO-0.8000-1.9000 cache size   125475, 7400000 req, miss ratio 0.1521, byte miss ratio 0.1521
io_traces.ns57 S3FIFO-0.8000-1.9000 cache size   250950, 7400000 req, miss ratio 0.0966, byte miss ratio 0.0966
io_traces.ns57 S3FIFO-0.8000-1.9000 cache size   501900, 7400000 req, miss ratio 0.0851, byte miss ratio 0.0851
io_traces.ns57 S3FIFO-0.0050-0.9000 cache size      627, 7400000 req, miss ratio 0.5320, byte miss ratio 0.5320
io_traces.ns57 S3FIFO-0.0050-0.9000 cache size     1882, 7400000 req, miss ratio 0.5025, byte miss ratio 0.5025
io_traces.ns57 S3FIFO-0.0050-0.9000 cache size     6273, 7400000 req, miss ratio 0.4433, byte miss ratio 0.4433
