cdn1_allcolo.ns631 S3FIFO-0.6500-0.9000 cache size      135, 18023909 req, miss ratio 0.6829, byte miss ratio 0.6829
cdn1_allcolo.ns631 S3FIFO-0.6500-0.9000 cache size      407, 18023909 req, miss ratio 0.5510, byte miss ratio 0.5510
cdn1_allcolo.ns631 S3FIFO-0.6500-0.9000 cache size     1357, 18023909 req, miss ratio 0.3492, byte miss ratio 0.3492
cdn1_allcolo.ns631 S3FIFO-0.6500-0.9000 cache size     4071, 18023909 req, miss ratio 0.1510, byte miss ratio 0.1510
cdn1_allcolo.ns631 S3FIFO-0.6500-0.9000 cache size    13570, 18023909 req, miss ratio 0.0424, byte miss ratio 0.0424
cdn1_allcolo.ns631 S3FIFO-0.6500-0.9000 cache size    27141, 18023909 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns631 S3FIFO-0.6500-0.9000 cache size    54282, 18023909 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn1_allcolo.ns631 S3FIFO-0.6500-0.9000 cache size   108564, 18023909 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_allcolo.ns631 S3FIFO-0.0050-1.9000 cache size      135, 18023909 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns631 S3FIFO-0.0050-1.9000 cache size      407, 18023909 req, miss ratio 0.4784, byte miss ratio 0.4784
cdn1_allcolo.ns631 S3FIFO-0.0050-1.9000 cache size     1357, 18023909 req, miss ratio 0.2744, byte miss ratio 0.2744
cdn1_allcolo.ns631 S3FIFO-0.0050-1.9000 cache size     4071, 18023909 req, miss ratio 0.1015, byte miss ratio 0.1015
cdn1_allcolo.ns631 S3FIFO-0.0050-1.9000 cache size    13570, 18023909 req, miss ratio 0.0295, byte miss ratio 0.0295
cdn1_allcolo.ns631 S3FIFO-0.0050-1.9000 cache size    27141, 18023909 req, miss ratio 0.0143, byte miss ratio 0.0143
cdn1_allcolo.ns631 S3FIFO-0.0050-1.9000 cache size    54282, 18023909 req, miss ratio 0.0090, byte miss ratio 0.0090
cdn1_allcolo.ns631 S3FIFO-0.0050-1.9000 cache size   108564, 18023909 req, miss ratio 0.0077, byte miss ratio 0.0077
cdn1_allcolo.ns631 S3FIFO-0.1000-0.9000 cache size      135, 18023909 req, miss ratio 0.6195, byte miss ratio 0.6195
cdn1_allcolo.ns631 S3FIFO-0.1000-0.9000 cache size      407, 18023909 req, miss ratio 0.4750, byte miss ratio 0.4750
cdn1_allcolo.ns631 S3FIFO-0.1000-0.9000 cache size     1357, 18023909 req, miss ratio 0.2739, byte miss ratio 0.2739
cdn1_allcolo.ns631 S3FIFO-0.1000-0.9000 cache size     4071, 18023909 req, miss ratio 0.1043, byte miss ratio 0.1043
