atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size   122684, 99119244 req, miss ratio 0.1662, byte miss ratio 0.1662
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size   408949, 99119244 req, miss ratio 0.0995, byte miss ratio 0.0995
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size   817899, 99119244 req, miss ratio 0.0693, byte miss ratio 0.0693
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size  1635798, 99119244 req, miss ratio 0.0496, byte miss ratio 0.0496
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-2.0000 cache size     4089, 99119244 req, miss ratio 0.4289, byte miss ratio 0.4289
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-2.0000 cache size    12268, 99119244 req, miss ratio 0.3273, byte miss ratio 0.3273
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-2.0000 cache size    40894, 99119244 req, miss ratio 0.2384, byte miss ratio 0.2384
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-2.0000 cache size   122684, 99119244 req, miss ratio 0.1713, byte miss ratio 0.1713
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-2.0000 cache size   408949, 99119244 req, miss ratio 0.0971, byte miss ratio 0.0971
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-2.0000 cache size   817899, 99119244 req, miss ratio 0.0715, byte miss ratio 0.0715
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-2.0000 cache size  1635798, 99119244 req, miss ratio 0.0507, byte miss ratio 0.0507
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-2.0000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size     4089, 99119244 req, miss ratio 0.4333, byte miss ratio 0.4333
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size    12268, 99119244 req, miss ratio 0.3317, byte miss ratio 0.3317
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size    40894, 99119244 req, miss ratio 0.2417, byte miss ratio 0.2417
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size   122684, 99119244 req, miss ratio 0.1740, byte miss ratio 0.1740
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size   408949, 99119244 req, miss ratio 0.0979, byte miss ratio 0.0979
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size   817899, 99119244 req, miss ratio 0.0728, byte miss ratio 0.0728
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size  1635798, 99119244 req, miss ratio 0.0513, byte miss ratio 0.0513
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.2000 cache size     4089, 99119244 req, miss ratio 0.4333, byte miss ratio 0.4333
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.2000 cache size    12268, 99119244 req, miss ratio 0.3323, byte miss ratio 0.3323
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.2000 cache size    40894, 99119244 req, miss ratio 0.2423, byte miss ratio 0.2423
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.2000 cache size   122684, 99119244 req, miss ratio 0.1750, byte miss ratio 0.1750
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.2000 cache size   408949, 99119244 req, miss ratio 0.0991, byte miss ratio 0.0991
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.2000 cache size   817899, 99119244 req, miss ratio 0.0733, byte miss ratio 0.0733
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.2000 cache size  1635798, 99119244 req, miss ratio 0.0517, byte miss ratio 0.0517
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.2000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size     4089, 99119244 req, miss ratio 0.4204, byte miss ratio 0.4204
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    12268, 99119244 req, miss ratio 0.3204, byte miss ratio 0.3204
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    40894, 99119244 req, miss ratio 0.2322, byte miss ratio 0.2322
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   122684, 99119244 req, miss ratio 0.1658, byte miss ratio 0.1658
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   408949, 99119244 req, miss ratio 0.0997, byte miss ratio 0.0997
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   817899, 99119244 req, miss ratio 0.0691, byte miss ratio 0.0691
