cdn1_colo28.ns435 S3FIFO-0.0050-1.9000 cache size       50, 1226636 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns435 S3FIFO-0.0050-1.9000 cache size      150, 1226636 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns435 S3FIFO-0.0050-1.9000 cache size      503, 1226636 req, miss ratio 0.5195, byte miss ratio 0.5195
cdn1_colo28.ns435 S3FIFO-0.0050-1.9000 cache size     1509, 1226636 req, miss ratio 0.3410, byte miss ratio 0.3410
cdn1_colo28.ns435 S3FIFO-0.0050-1.9000 cache size     5033, 1226636 req, miss ratio 0.1613, byte miss ratio 0.1613
cdn1_colo28.ns435 S3FIFO-0.0050-1.9000 cache size    10066, 1226636 req, miss ratio 0.0968, byte miss ratio 0.0968
cdn1_colo28.ns435 S3FIFO-0.0050-1.9000 cache size    20132, 1226636 req, miss ratio 0.0592, byte miss ratio 0.0592
cdn1_colo28.ns435 S3FIFO-0.0050-1.9000 cache size    40265, 1226636 req, miss ratio 0.0432, byte miss ratio 0.0432
cdn1_colo28.ns435 S3FIFO-0.9900-1.9000 cache size       50, 1226636 req, miss ratio 0.8615, byte miss ratio 0.8615
cdn1_colo28.ns435 S3FIFO-0.9900-1.9000 cache size      150, 1226636 req, miss ratio 0.7783, byte miss ratio 0.7783
cdn1_colo28.ns435 S3FIFO-0.9900-1.9000 cache size      503, 1226636 req, miss ratio 0.6508, byte miss ratio 0.6508
cdn1_colo28.ns435 S3FIFO-0.9900-1.9000 cache size     1509, 1226636 req, miss ratio 0.4780, byte miss ratio 0.4780
cdn1_colo28.ns435 S3FIFO-0.9900-1.9000 cache size     5033, 1226636 req, miss ratio 0.2531, byte miss ratio 0.2531
cdn1_colo28.ns435 S3FIFO-0.9900-1.9000 cache size    10066, 1226636 req, miss ratio 0.1527, byte miss ratio 0.1527
cdn1_colo28.ns435 S3FIFO-0.9900-1.9000 cache size    20132, 1226636 req, miss ratio 0.0892, byte miss ratio 0.0892
cdn1_colo28.ns435 S3FIFO-0.9900-1.9000 cache size    40265, 1226636 req, miss ratio 0.0514, byte miss ratio 0.0514
cdn1_colo28.ns435 S3FIFO-0.1500-1.9000 cache size       50, 1226636 req, miss ratio 0.7437, byte miss ratio 0.7437
cdn1_colo28.ns435 S3FIFO-0.1500-1.9000 cache size      150, 1226636 req, miss ratio 0.6639, byte miss ratio 0.6639
cdn1_colo28.ns435 S3FIFO-0.1500-1.9000 cache size      503, 1226636 req, miss ratio 0.5344, byte miss ratio 0.5344
cdn1_colo28.ns435 S3FIFO-0.1500-1.9000 cache size     1509, 1226636 req, miss ratio 0.3577, byte miss ratio 0.3577
cdn1_colo28.ns435 S3FIFO-0.1500-1.9000 cache size     5033, 1226636 req, miss ratio 0.1708, byte miss ratio 0.1708
cdn1_colo28.ns435 S3FIFO-0.1500-1.9000 cache size    10066, 1226636 req, miss ratio 0.1027, byte miss ratio 0.1027
cdn1_colo28.ns435 S3FIFO-0.1500-1.9000 cache size    20132, 1226636 req, miss ratio 0.0611, byte miss ratio 0.0611
cdn1_colo28.ns435 S3FIFO-0.1500-1.9000 cache size    40265, 1226636 req, miss ratio 0.0432, byte miss ratio 0.0432
cdn1_colo28.ns435 S3FIFO-0.9500-0.9000 cache size       50, 1226636 req, miss ratio 0.8507, byte miss ratio 0.8507
cdn1_colo28.ns435 S3FIFO-0.9500-0.9000 cache size      150, 1226636 req, miss ratio 0.7671, byte miss ratio 0.7671
cdn1_colo28.ns435 S3FIFO-0.9500-0.9000 cache size      503, 1226636 req, miss ratio 0.6413, byte miss ratio 0.6413
cdn1_colo28.ns435 S3FIFO-0.9500-0.9000 cache size     1509, 1226636 req, miss ratio 0.4750, byte miss ratio 0.4750
cdn1_colo28.ns435 S3FIFO-0.9500-0.9000 cache size     5033, 1226636 req, miss ratio 0.2542, byte miss ratio 0.2542
cdn1_colo28.ns435 S3FIFO-0.9500-0.9000 cache size    10066, 1226636 req, miss ratio 0.1544, byte miss ratio 0.1544
cdn1_colo28.ns435 S3FIFO-0.9500-0.9000 cache size    20132, 1226636 req, miss ratio 0.0872, byte miss ratio 0.0872
cdn1_colo28.ns435 S3FIFO-0.9500-0.9000 cache size    40265, 1226636 req, miss ratio 0.0504, byte miss ratio 0.0504
cdn1_colo28.ns435 S3FIFO-0.7500-0.9000 cache size       50, 1226636 req, miss ratio 0.8029, byte miss ratio 0.8029
cdn1_colo28.ns435 S3FIFO-0.7500-0.9000 cache size      150, 1226636 req, miss ratio 0.7224, byte miss ratio 0.7224
cdn1_colo28.ns435 S3FIFO-0.7500-0.9000 cache size      503, 1226636 req, miss ratio 0.6048, byte miss ratio 0.6048
cdn1_colo28.ns435 S3FIFO-0.7500-0.9000 cache size     1509, 1226636 req, miss ratio 0.4422, byte miss ratio 0.4422
cdn1_colo28.ns435 S3FIFO-0.7500-0.9000 cache size     5033, 1226636 req, miss ratio 0.2277, byte miss ratio 0.2277
cdn1_colo28.ns435 S3FIFO-0.7500-0.9000 cache size    10066, 1226636 req, miss ratio 0.1371, byte miss ratio 0.1371
cdn1_colo28.ns435 S3FIFO-0.7500-0.9000 cache size    20132, 1226636 req, miss ratio 0.0779, byte miss ratio 0.0779
cdn1_colo28.ns435 S3FIFO-0.7500-0.9000 cache size    40265, 1226636 req, miss ratio 0.0457, byte miss ratio 0.0457
cdn1_colo28.ns435 S3FIFO-0.0250-0.9000 cache size       50, 1226636 req, miss ratio 0.7341, byte miss ratio 0.7341
cdn1_colo28.ns435 S3FIFO-0.0250-0.9000 cache size      150, 1226636 req, miss ratio 0.6511, byte miss ratio 0.6511
cdn1_colo28.ns435 S3FIFO-0.0250-0.9000 cache size      503, 1226636 req, miss ratio 0.5094, byte miss ratio 0.5094
cdn1_colo28.ns435 S3FIFO-0.0250-0.9000 cache size     1509, 1226636 req, miss ratio 0.3326, byte miss ratio 0.3326
cdn1_colo28.ns435 S3FIFO-0.0250-0.9000 cache size     5033, 1226636 req, miss ratio 0.1573, byte miss ratio 0.1573
cdn1_colo28.ns435 S3FIFO-0.0250-0.9000 cache size    10066, 1226636 req, miss ratio 0.0946, byte miss ratio 0.0946
cdn1_colo28.ns435 S3FIFO-0.0250-0.9000 cache size    20132, 1226636 req, miss ratio 0.0593, byte miss ratio 0.0593
cdn1_colo28.ns435 S3FIFO-0.0250-0.9000 cache size    40265, 1226636 req, miss ratio 0.0432, byte miss ratio 0.0432
cdn1_colo28.ns435 S3FIFO-0.9500-1.9000 cache size       50, 1226636 req, miss ratio 0.8538, byte miss ratio 0.8538
cdn1_colo28.ns435 S3FIFO-0.9500-1.9000 cache size      150, 1226636 req, miss ratio 0.7703, byte miss ratio 0.7703
cdn1_colo28.ns435 S3FIFO-0.9500-1.9000 cache size      503, 1226636 req, miss ratio 0.6440, byte miss ratio 0.6440
cdn1_colo28.ns435 S3FIFO-0.9500-1.9000 cache size     1509, 1226636 req, miss ratio 0.4728, byte miss ratio 0.4728
cdn1_colo28.ns435 S3FIFO-0.9500-1.9000 cache size     5033, 1226636 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_colo28.ns435 S3FIFO-0.9500-1.9000 cache size    10066, 1226636 req, miss ratio 0.1497, byte miss ratio 0.1497
cdn1_colo28.ns435 S3FIFO-0.9500-1.9000 cache size    20132, 1226636 req, miss ratio 0.0872, byte miss ratio 0.0872
cdn1_colo28.ns435 S3FIFO-0.9500-1.9000 cache size    40265, 1226636 req, miss ratio 0.0504, byte miss ratio 0.0504
cdn1_colo28.ns435 S3FIFO-0.4500-0.9000 cache size       50, 1226636 req, miss ratio 0.7632, byte miss ratio 0.7632
cdn1_colo28.ns435 S3FIFO-0.4500-0.9000 cache size      150, 1226636 req, miss ratio 0.6836, byte miss ratio 0.6836
cdn1_colo28.ns435 S3FIFO-0.4500-0.9000 cache size      503, 1226636 req, miss ratio 0.5626, byte miss ratio 0.5626
cdn1_colo28.ns435 S3FIFO-0.4500-0.9000 cache size     1509, 1226636 req, miss ratio 0.3918, byte miss ratio 0.3918
cdn1_colo28.ns435 S3FIFO-0.4500-0.9000 cache size     5033, 1226636 req, miss ratio 0.1939, byte miss ratio 0.1939
cdn1_colo28.ns435 S3FIFO-0.4500-0.9000 cache size    10066, 1226636 req, miss ratio 0.1167, byte miss ratio 0.1167
cdn1_colo28.ns435 S3FIFO-0.4500-0.9000 cache size    20132, 1226636 req, miss ratio 0.0677, byte miss ratio 0.0677
cdn1_colo28.ns435 S3FIFO-0.4500-0.9000 cache size    40265, 1226636 req, miss ratio 0.0433, byte miss ratio 0.0433
cdn1_colo28.ns435 S3FIFO-0.0250-1.9000 cache size       50, 1226636 req, miss ratio 0.7365, byte miss ratio 0.7365
cdn1_colo28.ns435 S3FIFO-0.0250-1.9000 cache size      150, 1226636 req, miss ratio 0.6561, byte miss ratio 0.6561
cdn1_colo28.ns435 S3FIFO-0.0250-1.9000 cache size      503, 1226636 req, miss ratio 0.5205, byte miss ratio 0.5205
cdn1_colo28.ns435 S3FIFO-0.0250-1.9000 cache size     1509, 1226636 req, miss ratio 0.3422, byte miss ratio 0.3422
cdn1_colo28.ns435 S3FIFO-0.0250-1.9000 cache size     5033, 1226636 req, miss ratio 0.1619, byte miss ratio 0.1619
cdn1_colo28.ns435 S3FIFO-0.0250-1.9000 cache size    10066, 1226636 req, miss ratio 0.0972, byte miss ratio 0.0972
cdn1_colo28.ns435 S3FIFO-0.0250-1.9000 cache size    20132, 1226636 req, miss ratio 0.0594, byte miss ratio 0.0594
cdn1_colo28.ns435 S3FIFO-0.0250-1.9000 cache size    40265, 1226636 req, miss ratio 0.0432, byte miss ratio 0.0432
cdn1_colo28.ns435 S3FIFO-0.7000-0.9000 cache size       50, 1226636 req, miss ratio 0.7956, byte miss ratio 0.7956
cdn1_colo28.ns435 S3FIFO-0.7000-0.9000 cache size      150, 1226636 req, miss ratio 0.7150, byte miss ratio 0.7150
cdn1_colo28.ns435 S3FIFO-0.7000-0.9000 cache size      503, 1226636 req, miss ratio 0.5971, byte miss ratio 0.5971
cdn1_colo28.ns435 S3FIFO-0.7000-0.9000 cache size     1509, 1226636 req, miss ratio 0.4338, byte miss ratio 0.4338
cdn1_colo28.ns435 S3FIFO-0.7000-0.9000 cache size     5033, 1226636 req, miss ratio 0.2218, byte miss ratio 0.2218
cdn1_colo28.ns435 S3FIFO-0.7000-0.9000 cache size    10066, 1226636 req, miss ratio 0.1330, byte miss ratio 0.1330
cdn1_colo28.ns435 S3FIFO-0.7000-0.9000 cache size    20132, 1226636 req, miss ratio 0.0762, byte miss ratio 0.0762
cdn1_colo28.ns435 S3FIFO-0.7000-0.9000 cache size    40265, 1226636 req, miss ratio 0.0449, byte miss ratio 0.0449
cdn1_colo28.ns435 S3FIFO-0.2000-1.9000 cache size       50, 1226636 req, miss ratio 0.7476, byte miss ratio 0.7476
cdn1_colo28.ns435 S3FIFO-0.2000-1.9000 cache size      150, 1226636 req, miss ratio 0.6676, byte miss ratio 0.6676
cdn1_colo28.ns435 S3FIFO-0.2000-1.9000 cache size      503, 1226636 req, miss ratio 0.5405, byte miss ratio 0.5405
cdn1_colo28.ns435 S3FIFO-0.2000-1.9000 cache size     1509, 1226636 req, miss ratio 0.3643, byte miss ratio 0.3643
cdn1_colo28.ns435 S3FIFO-0.2000-1.9000 cache size     5033, 1226636 req, miss ratio 0.1748, byte miss ratio 0.1748
cdn1_colo28.ns435 S3FIFO-0.2000-1.9000 cache size    10066, 1226636 req, miss ratio 0.1051, byte miss ratio 0.1051
cdn1_colo28.ns435 S3FIFO-0.2000-1.9000 cache size    20132, 1226636 req, miss ratio 0.0620, byte miss ratio 0.0620
cdn1_colo28.ns435 S3FIFO-0.2000-1.9000 cache size    40265, 1226636 req, miss ratio 0.0432, byte miss ratio 0.0432
cdn1_colo28.ns435 S3FIFO-0.4000-1.9000 cache size       50, 1226636 req, miss ratio 0.7637, byte miss ratio 0.7637
cdn1_colo28.ns435 S3FIFO-0.4000-1.9000 cache size      150, 1226636 req, miss ratio 0.6851, byte miss ratio 0.6851
cdn1_colo28.ns435 S3FIFO-0.4000-1.9000 cache size      503, 1226636 req, miss ratio 0.5658, byte miss ratio 0.5658
cdn1_colo28.ns435 S3FIFO-0.4000-1.9000 cache size     1509, 1226636 req, miss ratio 0.3926, byte miss ratio 0.3926
cdn1_colo28.ns435 S3FIFO-0.4000-1.9000 cache size     5033, 1226636 req, miss ratio 0.1917, byte miss ratio 0.1917
cdn1_colo28.ns435 S3FIFO-0.4000-1.9000 cache size    10066, 1226636 req, miss ratio 0.1147, byte miss ratio 0.1147
cdn1_colo28.ns435 S3FIFO-0.4000-1.9000 cache size    20132, 1226636 req, miss ratio 0.0664, byte miss ratio 0.0664
cdn1_colo28.ns435 S3FIFO-0.4000-1.9000 cache size    40265, 1226636 req, miss ratio 0.0432, byte miss ratio 0.0432
cdn1_colo28.ns435 S3FIFO-0.7000-1.9000 cache size       50, 1226636 req, miss ratio 0.8008, byte miss ratio 0.8008
cdn1_colo28.ns435 S3FIFO-0.7000-1.9000 cache size      150, 1226636 req, miss ratio 0.7212, byte miss ratio 0.7212
cdn1_colo28.ns435 S3FIFO-0.7000-1.9000 cache size      503, 1226636 req, miss ratio 0.6041, byte miss ratio 0.6041
cdn1_colo28.ns435 S3FIFO-0.7000-1.9000 cache size     1509, 1226636 req, miss ratio 0.4375, byte miss ratio 0.4375
cdn1_colo28.ns435 S3FIFO-0.7000-1.9000 cache size     5033, 1226636 req, miss ratio 0.2203, byte miss ratio 0.2203
cdn1_colo28.ns435 S3FIFO-0.7000-1.9000 cache size    10066, 1226636 req, miss ratio 0.1314, byte miss ratio 0.1314
cdn1_colo28.ns435 S3FIFO-0.7000-1.9000 cache size    20132, 1226636 req, miss ratio 0.0762, byte miss ratio 0.0762
cdn1_colo28.ns435 S3FIFO-0.7000-1.9000 cache size    40265, 1226636 req, miss ratio 0.0449, byte miss ratio 0.0449
cdn1_colo28.ns435 S3FIFO-0.2000-0.9000 cache size       50, 1226636 req, miss ratio 0.7444, byte miss ratio 0.7444
cdn1_colo28.ns435 S3FIFO-0.2000-0.9000 cache size      150, 1226636 req, miss ratio 0.6622, byte miss ratio 0.6622
cdn1_colo28.ns435 S3FIFO-0.2000-0.9000 cache size      503, 1226636 req, miss ratio 0.5291, byte miss ratio 0.5291
cdn1_colo28.ns435 S3FIFO-0.2000-0.9000 cache size     1509, 1226636 req, miss ratio 0.3543, byte miss ratio 0.3543
cdn1_colo28.ns435 S3FIFO-0.2000-0.9000 cache size     5033, 1226636 req, miss ratio 0.1697, byte miss ratio 0.1697
cdn1_colo28.ns435 S3FIFO-0.2000-0.9000 cache size    10066, 1226636 req, miss ratio 0.1026, byte miss ratio 0.1026
cdn1_colo28.ns435 S3FIFO-0.2000-0.9000 cache size    20132, 1226636 req, miss ratio 0.0619, byte miss ratio 0.0619
cdn1_colo28.ns435 S3FIFO-0.2000-0.9000 cache size    40265, 1226636 req, miss ratio 0.0432, byte miss ratio 0.0432
