cdn1_colo28.ns92 S3FIFO-0.6000-1.9000 cache size       93, 15004405 req, miss ratio 0.3926, byte miss ratio 0.3926
cdn1_colo28.ns92 S3FIFO-0.6000-1.9000 cache size      279, 15004405 req, miss ratio 0.2498, byte miss ratio 0.2498
cdn1_colo28.ns92 S3FIFO-0.6000-1.9000 cache size      930, 15004405 req, miss ratio 0.1066, byte miss ratio 0.1066
cdn1_colo28.ns92 S3FIFO-0.6000-1.9000 cache size     2791, 15004405 req, miss ratio 0.0439, byte miss ratio 0.0439
cdn1_colo28.ns92 S3FIFO-0.6000-1.9000 cache size     9304, 15004405 req, miss ratio 0.0177, byte miss ratio 0.0177
cdn1_colo28.ns92 S3FIFO-0.6000-1.9000 cache size    18609, 15004405 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn1_colo28.ns92 S3FIFO-0.6000-1.9000 cache size    37218, 15004405 req, miss ratio 0.0076, byte miss ratio 0.0076
cdn1_colo28.ns92 S3FIFO-0.6000-1.9000 cache size    74436, 15004405 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_colo28.ns92 S3FIFO-0.6500-0.9000 cache size       93, 15004405 req, miss ratio 0.3948, byte miss ratio 0.3948
cdn1_colo28.ns92 S3FIFO-0.6500-0.9000 cache size      279, 15004405 req, miss ratio 0.2536, byte miss ratio 0.2536
cdn1_colo28.ns92 S3FIFO-0.6500-0.9000 cache size      930, 15004405 req, miss ratio 0.1095, byte miss ratio 0.1095
cdn1_colo28.ns92 S3FIFO-0.6500-0.9000 cache size     2791, 15004405 req, miss ratio 0.0452, byte miss ratio 0.0452
cdn1_colo28.ns92 S3FIFO-0.6500-0.9000 cache size     9304, 15004405 req, miss ratio 0.0182, byte miss ratio 0.0182
cdn1_colo28.ns92 S3FIFO-0.6500-0.9000 cache size    18609, 15004405 req, miss ratio 0.0117, byte miss ratio 0.0117
cdn1_colo28.ns92 S3FIFO-0.6500-0.9000 cache size    37218, 15004405 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_colo28.ns92 S3FIFO-0.6500-0.9000 cache size    74436, 15004405 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_colo28.ns92 S3FIFO-0.4000-0.9000 cache size       93, 15004405 req, miss ratio 0.3624, byte miss ratio 0.3624
cdn1_colo28.ns92 S3FIFO-0.4000-0.9000 cache size      279, 15004405 req, miss ratio 0.2272, byte miss ratio 0.2272
cdn1_colo28.ns92 S3FIFO-0.4000-0.9000 cache size      930, 15004405 req, miss ratio 0.0955, byte miss ratio 0.0955
cdn1_colo28.ns92 S3FIFO-0.4000-0.9000 cache size     2791, 15004405 req, miss ratio 0.0390, byte miss ratio 0.0390
cdn1_colo28.ns92 S3FIFO-0.4000-0.9000 cache size     9304, 15004405 req, miss ratio 0.0158, byte miss ratio 0.0158
cdn1_colo28.ns92 S3FIFO-0.4000-0.9000 cache size    18609, 15004405 req, miss ratio 0.0102, byte miss ratio 0.0102
cdn1_colo28.ns92 S3FIFO-0.4000-0.9000 cache size    37218, 15004405 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_colo28.ns92 S3FIFO-0.4000-0.9000 cache size    74436, 15004405 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_colo28.ns92 S3FIFO-0.0100-1.9000 cache size       93, 15004405 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns92 S3FIFO-0.0100-1.9000 cache size      279, 15004405 req, miss ratio 0.2014, byte miss ratio 0.2014
cdn1_colo28.ns92 S3FIFO-0.0100-1.9000 cache size      930, 15004405 req, miss ratio 0.0853, byte miss ratio 0.0853
cdn1_colo28.ns92 S3FIFO-0.0100-1.9000 cache size     2791, 15004405 req, miss ratio 0.0341, byte miss ratio 0.0341
cdn1_colo28.ns92 S3FIFO-0.0100-1.9000 cache size     9304, 15004405 req, miss ratio 0.0136, byte miss ratio 0.0136
cdn1_colo28.ns92 S3FIFO-0.0100-1.9000 cache size    18609, 15004405 req, miss ratio 0.0088, byte miss ratio 0.0088
cdn1_colo28.ns92 S3FIFO-0.0100-1.9000 cache size    37218, 15004405 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn1_colo28.ns92 S3FIFO-0.0100-1.9000 cache size    74436, 15004405 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_colo28.ns92 S3FIFO-0.7000-1.9000 cache size       93, 15004405 req, miss ratio 0.4093, byte miss ratio 0.4093
cdn1_colo28.ns92 S3FIFO-0.7000-1.9000 cache size      279, 15004405 req, miss ratio 0.2588, byte miss ratio 0.2588
cdn1_colo28.ns92 S3FIFO-0.7000-1.9000 cache size      930, 15004405 req, miss ratio 0.1125, byte miss ratio 0.1125
cdn1_colo28.ns92 S3FIFO-0.7000-1.9000 cache size     2791, 15004405 req, miss ratio 0.0465, byte miss ratio 0.0465
cdn1_colo28.ns92 S3FIFO-0.7000-1.9000 cache size     9304, 15004405 req, miss ratio 0.0187, byte miss ratio 0.0187
cdn1_colo28.ns92 S3FIFO-0.7000-1.9000 cache size    18609, 15004405 req, miss ratio 0.0120, byte miss ratio 0.0120
cdn1_colo28.ns92 S3FIFO-0.7000-1.9000 cache size    37218, 15004405 req, miss ratio 0.0080, byte miss ratio 0.0080
cdn1_colo28.ns92 S3FIFO-0.7000-1.9000 cache size    74436, 15004405 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_colo28.ns92 S3FIFO-0.8000-0.9000 cache size       93, 15004405 req, miss ratio 0.4239, byte miss ratio 0.4239
cdn1_colo28.ns92 S3FIFO-0.8000-0.9000 cache size      279, 15004405 req, miss ratio 0.2694, byte miss ratio 0.2694
cdn1_colo28.ns92 S3FIFO-0.8000-0.9000 cache size      930, 15004405 req, miss ratio 0.1199, byte miss ratio 0.1199
cdn1_colo28.ns92 S3FIFO-0.8000-0.9000 cache size     2791, 15004405 req, miss ratio 0.0499, byte miss ratio 0.0499
cdn1_colo28.ns92 S3FIFO-0.8000-0.9000 cache size     9304, 15004405 req, miss ratio 0.0201, byte miss ratio 0.0201
cdn1_colo28.ns92 S3FIFO-0.8000-0.9000 cache size    18609, 15004405 req, miss ratio 0.0127, byte miss ratio 0.0127
cdn1_colo28.ns92 S3FIFO-0.8000-0.9000 cache size    37218, 15004405 req, miss ratio 0.0084, byte miss ratio 0.0084
cdn1_colo28.ns92 S3FIFO-0.8000-0.9000 cache size    74436, 15004405 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns92 S3FIFO-0.3000-0.9000 cache size       93, 15004405 req, miss ratio 0.3512, byte miss ratio 0.3512
cdn1_colo28.ns92 S3FIFO-0.3000-0.9000 cache size      279, 15004405 req, miss ratio 0.2168, byte miss ratio 0.2168
cdn1_colo28.ns92 S3FIFO-0.3000-0.9000 cache size      930, 15004405 req, miss ratio 0.0911, byte miss ratio 0.0911
cdn1_colo28.ns92 S3FIFO-0.3000-0.9000 cache size     2791, 15004405 req, miss ratio 0.0369, byte miss ratio 0.0369
cdn1_colo28.ns92 S3FIFO-0.3000-0.9000 cache size     9304, 15004405 req, miss ratio 0.0150, byte miss ratio 0.0150
cdn1_colo28.ns92 S3FIFO-0.3000-0.9000 cache size    18609, 15004405 req, miss ratio 0.0098, byte miss ratio 0.0098
