tencentBlock.ns12006 S3FIFO-0.7500-0.9000 cache size      147, 2774032 req, miss ratio 0.4634, byte miss ratio 0.4634
tencentBlock.ns12006 S3FIFO-0.7500-0.9000 cache size      442, 2774032 req, miss ratio 0.3505, byte miss ratio 0.3505
tencentBlock.ns12006 S3FIFO-0.7500-0.9000 cache size     1474, 2774032 req, miss ratio 0.2932, byte miss ratio 0.2932
tencentBlock.ns12006 S3FIFO-0.7500-0.9000 cache size     4424, 2774032 req, miss ratio 0.2314, byte miss ratio 0.2314
tencentBlock.ns12006 S3FIFO-0.7500-0.9000 cache size    14747, 2774032 req, miss ratio 0.2003, byte miss ratio 0.2003
tencentBlock.ns12006 S3FIFO-0.7500-0.9000 cache size    29495, 2774032 req, miss ratio 0.1828, byte miss ratio 0.1828
tencentBlock.ns12006 S3FIFO-0.7500-0.9000 cache size    58990, 2774032 req, miss ratio 0.1162, byte miss ratio 0.1162
tencentBlock.ns12006 S3FIFO-0.7500-0.9000 cache size   117981, 2774032 req, miss ratio 0.0617, byte miss ratio 0.0617
tencentBlock.ns12006 S3FIFO-0.4500-0.9000 cache size      147, 2774032 req, miss ratio 0.4208, byte miss ratio 0.4208
tencentBlock.ns12006 S3FIFO-0.4500-0.9000 cache size      442, 2774032 req, miss ratio 0.3027, byte miss ratio 0.3027
tencentBlock.ns12006 S3FIFO-0.4500-0.9000 cache size     1474, 2774032 req, miss ratio 0.2745, byte miss ratio 0.2745
tencentBlock.ns12006 S3FIFO-0.4500-0.9000 cache size     4424, 2774032 req, miss ratio 0.2048, byte miss ratio 0.2048
tencentBlock.ns12006 S3FIFO-0.4500-0.9000 cache size    14747, 2774032 req, miss ratio 0.1969, byte miss ratio 0.1969
tencentBlock.ns12006 S3FIFO-0.4500-0.9000 cache size    29495, 2774032 req, miss ratio 0.1926, byte miss ratio 0.1926
tencentBlock.ns12006 S3FIFO-0.4500-0.9000 cache size    58990, 2774032 req, miss ratio 0.1021, byte miss ratio 0.1021
tencentBlock.ns12006 S3FIFO-0.4500-0.9000 cache size   117981, 2774032 req, miss ratio 0.0542, byte miss ratio 0.0542
tencentBlock.ns12006 S3FIFO-0.7000-1.9000 cache size      147, 2774032 req, miss ratio 0.4605, byte miss ratio 0.4605
tencentBlock.ns12006 S3FIFO-0.7000-1.9000 cache size      442, 2774032 req, miss ratio 0.3445, byte miss ratio 0.3445
tencentBlock.ns12006 S3FIFO-0.7000-1.9000 cache size     1474, 2774032 req, miss ratio 0.2953, byte miss ratio 0.2953
tencentBlock.ns12006 S3FIFO-0.7000-1.9000 cache size     4424, 2774032 req, miss ratio 0.2229, byte miss ratio 0.2229
tencentBlock.ns12006 S3FIFO-0.7000-1.9000 cache size    14747, 2774032 req, miss ratio 0.2035, byte miss ratio 0.2035
tencentBlock.ns12006 S3FIFO-0.7000-1.9000 cache size    29495, 2774032 req, miss ratio 0.1828, byte miss ratio 0.1828
tencentBlock.ns12006 S3FIFO-0.7000-1.9000 cache size    58990, 2774032 req, miss ratio 0.1161, byte miss ratio 0.1161
tencentBlock.ns12006 S3FIFO-0.7000-1.9000 cache size   117981, 2774032 req, miss ratio 0.0611, byte miss ratio 0.0611
tencentBlock.ns12006 S3FIFO-0.0010-1.9000 cache size      147, 2774032 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns12006 S3FIFO-0.0010-1.9000 cache size      442, 2774032 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns12006 S3FIFO-0.0010-1.9000 cache size     1474, 2774032 req, miss ratio 0.2842, byte miss ratio 0.2842
tencentBlock.ns12006 S3FIFO-0.0010-1.9000 cache size     4424, 2774032 req, miss ratio 0.2131, byte miss ratio 0.2131
tencentBlock.ns12006 S3FIFO-0.0010-1.9000 cache size    14747, 2774032 req, miss ratio 0.1838, byte miss ratio 0.1838
tencentBlock.ns12006 S3FIFO-0.0010-1.9000 cache size    29495, 2774032 req, miss ratio 0.1684, byte miss ratio 0.1684
tencentBlock.ns12006 S3FIFO-0.0010-1.9000 cache size    58990, 2774032 req, miss ratio 0.0785, byte miss ratio 0.0785
tencentBlock.ns12006 S3FIFO-0.0010-1.9000 cache size   117981, 2774032 req, miss ratio 0.0534, byte miss ratio 0.0534
tencentBlock.ns12006 S3FIFO-0.4500-1.9000 cache size      147, 2774032 req, miss ratio 0.4313, byte miss ratio 0.4313
tencentBlock.ns12006 S3FIFO-0.4500-1.9000 cache size      442, 2774032 req, miss ratio 0.3027, byte miss ratio 0.3027
tencentBlock.ns12006 S3FIFO-0.4500-1.9000 cache size     1474, 2774032 req, miss ratio 0.2857, byte miss ratio 0.2857
tencentBlock.ns12006 S3FIFO-0.4500-1.9000 cache size     4424, 2774032 req, miss ratio 0.2047, byte miss ratio 0.2047
tencentBlock.ns12006 S3FIFO-0.4500-1.9000 cache size    14747, 2774032 req, miss ratio 0.1988, byte miss ratio 0.1988
tencentBlock.ns12006 S3FIFO-0.4500-1.9000 cache size    29495, 2774032 req, miss ratio 0.1981, byte miss ratio 0.1981
tencentBlock.ns12006 S3FIFO-0.4500-1.9000 cache size    58990, 2774032 req, miss ratio 0.1021, byte miss ratio 0.1021
