cdn1_colo28.ns1341 S3FIFO-0.0100-1.9000 cache size      356, 2330272 req, miss ratio 0.2835, byte miss ratio 0.2835
cdn1_colo28.ns1341 S3FIFO-0.0100-1.9000 cache size     1068, 2330272 req, miss ratio 0.2589, byte miss ratio 0.2589
cdn1_colo28.ns1341 S3FIFO-0.0100-1.9000 cache size     3560, 2330272 req, miss ratio 0.2311, byte miss ratio 0.2311
cdn1_colo28.ns1341 S3FIFO-0.0100-1.9000 cache size    10681, 2330272 req, miss ratio 0.2078, byte miss ratio 0.2078
cdn1_colo28.ns1341 S3FIFO-0.0100-1.9000 cache size    35606, 2330272 req, miss ratio 0.1840, byte miss ratio 0.1840
cdn1_colo28.ns1341 S3FIFO-0.0100-1.9000 cache size    71212, 2330272 req, miss ratio 0.1724, byte miss ratio 0.1724
cdn1_colo28.ns1341 S3FIFO-0.0100-1.9000 cache size   142424, 2330272 req, miss ratio 0.1636, byte miss ratio 0.1636
cdn1_colo28.ns1341 S3FIFO-0.0100-1.9000 cache size   284848, 2330272 req, miss ratio 0.1550, byte miss ratio 0.1550
cdn1_colo28.ns1341 S3FIFO-0.6000-0.9000 cache size      356, 2330272 req, miss ratio 0.2905, byte miss ratio 0.2905
cdn1_colo28.ns1341 S3FIFO-0.6000-0.9000 cache size     1068, 2330272 req, miss ratio 0.2665, byte miss ratio 0.2665
cdn1_colo28.ns1341 S3FIFO-0.6000-0.9000 cache size     3560, 2330272 req, miss ratio 0.2398, byte miss ratio 0.2398
cdn1_colo28.ns1341 S3FIFO-0.6000-0.9000 cache size    10681, 2330272 req, miss ratio 0.2156, byte miss ratio 0.2156
cdn1_colo28.ns1341 S3FIFO-0.6000-0.9000 cache size    35606, 2330272 req, miss ratio 0.1909, byte miss ratio 0.1909
cdn1_colo28.ns1341 S3FIFO-0.6000-0.9000 cache size    71212, 2330272 req, miss ratio 0.1762, byte miss ratio 0.1762
cdn1_colo28.ns1341 S3FIFO-0.6000-0.9000 cache size   142424, 2330272 req, miss ratio 0.1645, byte miss ratio 0.1645
cdn1_colo28.ns1341 S3FIFO-0.6000-0.9000 cache size   284848, 2330272 req, miss ratio 0.1550, byte miss ratio 0.1550
cdn1_colo28.ns1341 S3FIFO-0.0500-1.9000 cache size      356, 2330272 req, miss ratio 0.2826, byte miss ratio 0.2826
cdn1_colo28.ns1341 S3FIFO-0.0500-1.9000 cache size     1068, 2330272 req, miss ratio 0.2588, byte miss ratio 0.2588
cdn1_colo28.ns1341 S3FIFO-0.0500-1.9000 cache size     3560, 2330272 req, miss ratio 0.2314, byte miss ratio 0.2314
cdn1_colo28.ns1341 S3FIFO-0.0500-1.9000 cache size    10681, 2330272 req, miss ratio 0.2082, byte miss ratio 0.2082
cdn1_colo28.ns1341 S3FIFO-0.0500-1.9000 cache size    35606, 2330272 req, miss ratio 0.1844, byte miss ratio 0.1844
cdn1_colo28.ns1341 S3FIFO-0.0500-1.9000 cache size    71212, 2330272 req, miss ratio 0.1725, byte miss ratio 0.1725
cdn1_colo28.ns1341 S3FIFO-0.0500-1.9000 cache size   142424, 2330272 req, miss ratio 0.1635, byte miss ratio 0.1635
cdn1_colo28.ns1341 S3FIFO-0.0500-1.9000 cache size   284848, 2330272 req, miss ratio 0.1549, byte miss ratio 0.1549
cdn1_colo28.ns1341 S3FIFO-0.0250-0.9000 cache size      356, 2330272 req, miss ratio 0.2825, byte miss ratio 0.2825
cdn1_colo28.ns1341 S3FIFO-0.0250-0.9000 cache size     1068, 2330272 req, miss ratio 0.2587, byte miss ratio 0.2587
cdn1_colo28.ns1341 S3FIFO-0.0250-0.9000 cache size     3560, 2330272 req, miss ratio 0.2312, byte miss ratio 0.2312
cdn1_colo28.ns1341 S3FIFO-0.0250-0.9000 cache size    10681, 2330272 req, miss ratio 0.2080, byte miss ratio 0.2080
cdn1_colo28.ns1341 S3FIFO-0.0250-0.9000 cache size    35606, 2330272 req, miss ratio 0.1842, byte miss ratio 0.1842
cdn1_colo28.ns1341 S3FIFO-0.0250-0.9000 cache size    71212, 2330272 req, miss ratio 0.1724, byte miss ratio 0.1724
cdn1_colo28.ns1341 S3FIFO-0.0250-0.9000 cache size   142424, 2330272 req, miss ratio 0.1636, byte miss ratio 0.1636
cdn1_colo28.ns1341 S3FIFO-0.0250-0.9000 cache size   284848, 2330272 req, miss ratio 0.1549, byte miss ratio 0.1549
cdn1_colo28.ns1341 S3FIFO-0.7500-1.9000 cache size      356, 2330272 req, miss ratio 0.2938, byte miss ratio 0.2938
cdn1_colo28.ns1341 S3FIFO-0.7500-1.9000 cache size     1068, 2330272 req, miss ratio 0.2695, byte miss ratio 0.2695
cdn1_colo28.ns1341 S3FIFO-0.7500-1.9000 cache size     3560, 2330272 req, miss ratio 0.2430, byte miss ratio 0.2430
cdn1_colo28.ns1341 S3FIFO-0.7500-1.9000 cache size    10681, 2330272 req, miss ratio 0.2187, byte miss ratio 0.2187
cdn1_colo28.ns1341 S3FIFO-0.7500-1.9000 cache size    35606, 2330272 req, miss ratio 0.1935, byte miss ratio 0.1935
cdn1_colo28.ns1341 S3FIFO-0.7500-1.9000 cache size    71212, 2330272 req, miss ratio 0.1785, byte miss ratio 0.1785
cdn1_colo28.ns1341 S3FIFO-0.7500-1.9000 cache size   142424, 2330272 req, miss ratio 0.1654, byte miss ratio 0.1654
cdn1_colo28.ns1341 S3FIFO-0.7500-1.9000 cache size   284848, 2330272 req, miss ratio 0.1550, byte miss ratio 0.1550
cdn1_colo28.ns1341 S3FIFO-0.6500-0.9000 cache size      356, 2330272 req, miss ratio 0.2915, byte miss ratio 0.2915
cdn1_colo28.ns1341 S3FIFO-0.6500-0.9000 cache size     1068, 2330272 req, miss ratio 0.2674, byte miss ratio 0.2674
cdn1_colo28.ns1341 S3FIFO-0.6500-0.9000 cache size     3560, 2330272 req, miss ratio 0.2408, byte miss ratio 0.2408
cdn1_colo28.ns1341 S3FIFO-0.6500-0.9000 cache size    10681, 2330272 req, miss ratio 0.2166, byte miss ratio 0.2166
cdn1_colo28.ns1341 S3FIFO-0.6500-0.9000 cache size    35606, 2330272 req, miss ratio 0.1917, byte miss ratio 0.1917
cdn1_colo28.ns1341 S3FIFO-0.6500-0.9000 cache size    71212, 2330272 req, miss ratio 0.1768, byte miss ratio 0.1768
cdn1_colo28.ns1341 S3FIFO-0.6500-0.9000 cache size   142424, 2330272 req, miss ratio 0.1647, byte miss ratio 0.1647
