tencentBlock.ns8761 S3FIFO-0.0100-0.9000 cache size       46, 1618494 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns8761 S3FIFO-0.0100-0.9000 cache size      138, 1618494 req, miss ratio 0.2644, byte miss ratio 0.2644
tencentBlock.ns8761 S3FIFO-0.0100-0.9000 cache size      461, 1618494 req, miss ratio 0.1555, byte miss ratio 0.1555
tencentBlock.ns8761 S3FIFO-0.0100-0.9000 cache size     1384, 1618494 req, miss ratio 0.1284, byte miss ratio 0.1284
tencentBlock.ns8761 S3FIFO-0.0100-0.9000 cache size     4613, 1618494 req, miss ratio 0.0951, byte miss ratio 0.0951
tencentBlock.ns8761 S3FIFO-0.0100-0.9000 cache size     9227, 1618494 req, miss ratio 0.0838, byte miss ratio 0.0838
tencentBlock.ns8761 S3FIFO-0.0100-0.9000 cache size    18455, 1618494 req, miss ratio 0.0566, byte miss ratio 0.0566
tencentBlock.ns8761 S3FIFO-0.0100-0.9000 cache size    36911, 1618494 req, miss ratio 0.0313, byte miss ratio 0.0313
tencentBlock.ns8761 S3FIFO-0.1500-0.9000 cache size       46, 1618494 req, miss ratio 0.3753, byte miss ratio 0.3753
tencentBlock.ns8761 S3FIFO-0.1500-0.9000 cache size      138, 1618494 req, miss ratio 0.2558, byte miss ratio 0.2558
tencentBlock.ns8761 S3FIFO-0.1500-0.9000 cache size      461, 1618494 req, miss ratio 0.1439, byte miss ratio 0.1439
tencentBlock.ns8761 S3FIFO-0.1500-0.9000 cache size     1384, 1618494 req, miss ratio 0.1250, byte miss ratio 0.1250
tencentBlock.ns8761 S3FIFO-0.1500-0.9000 cache size     4613, 1618494 req, miss ratio 0.0951, byte miss ratio 0.0951
tencentBlock.ns8761 S3FIFO-0.1500-0.9000 cache size     9227, 1618494 req, miss ratio 0.0849, byte miss ratio 0.0849
tencentBlock.ns8761 S3FIFO-0.1500-0.9000 cache size    18455, 1618494 req, miss ratio 0.0575, byte miss ratio 0.0575
tencentBlock.ns8761 S3FIFO-0.1500-0.9000 cache size    36911, 1618494 req, miss ratio 0.0313, byte miss ratio 0.0313
tencentBlock.ns8761 S3FIFO-0.9900-1.9000 cache size       46, 1618494 req, miss ratio 0.5189, byte miss ratio 0.5189
tencentBlock.ns8761 S3FIFO-0.9900-1.9000 cache size      138, 1618494 req, miss ratio 0.3265, byte miss ratio 0.3265
tencentBlock.ns8761 S3FIFO-0.9900-1.9000 cache size      461, 1618494 req, miss ratio 0.1785, byte miss ratio 0.1785
tencentBlock.ns8761 S3FIFO-0.9900-1.9000 cache size     1384, 1618494 req, miss ratio 0.1467, byte miss ratio 0.1467
tencentBlock.ns8761 S3FIFO-0.9900-1.9000 cache size     4613, 1618494 req, miss ratio 0.1098, byte miss ratio 0.1098
tencentBlock.ns8761 S3FIFO-0.9900-1.9000 cache size     9227, 1618494 req, miss ratio 0.0932, byte miss ratio 0.0932
tencentBlock.ns8761 S3FIFO-0.9900-1.9000 cache size    18455, 1618494 req, miss ratio 0.0627, byte miss ratio 0.0627
tencentBlock.ns8761 S3FIFO-0.9900-1.9000 cache size    36911, 1618494 req, miss ratio 0.0350, byte miss ratio 0.0350
tencentBlock.ns8761 S3FIFO-0.1000-0.9000 cache size       46, 1618494 req, miss ratio 0.3768, byte miss ratio 0.3768
tencentBlock.ns8761 S3FIFO-0.1000-0.9000 cache size      138, 1618494 req, miss ratio 0.2507, byte miss ratio 0.2507
tencentBlock.ns8761 S3FIFO-0.1000-0.9000 cache size      461, 1618494 req, miss ratio 0.1439, byte miss ratio 0.1439
tencentBlock.ns8761 S3FIFO-0.1000-0.9000 cache size     1384, 1618494 req, miss ratio 0.1250, byte miss ratio 0.1250
tencentBlock.ns8761 S3FIFO-0.1000-0.9000 cache size     4613, 1618494 req, miss ratio 0.0947, byte miss ratio 0.0947
tencentBlock.ns8761 S3FIFO-0.1000-0.9000 cache size     9227, 1618494 req, miss ratio 0.0852, byte miss ratio 0.0852
tencentBlock.ns8761 S3FIFO-0.1000-0.9000 cache size    18455, 1618494 req, miss ratio 0.0571, byte miss ratio 0.0571
tencentBlock.ns8761 S3FIFO-0.1000-0.9000 cache size    36911, 1618494 req, miss ratio 0.0313, byte miss ratio 0.0313
tencentBlock.ns8761 S3FIFO-0.4000-0.9000 cache size       46, 1618494 req, miss ratio 0.4425, byte miss ratio 0.4425
tencentBlock.ns8761 S3FIFO-0.4000-0.9000 cache size      138, 1618494 req, miss ratio 0.2853, byte miss ratio 0.2853
tencentBlock.ns8761 S3FIFO-0.4000-0.9000 cache size      461, 1618494 req, miss ratio 0.1462, byte miss ratio 0.1462
tencentBlock.ns8761 S3FIFO-0.4000-0.9000 cache size     1384, 1618494 req, miss ratio 0.1279, byte miss ratio 0.1279
tencentBlock.ns8761 S3FIFO-0.4000-0.9000 cache size     4613, 1618494 req, miss ratio 0.0970, byte miss ratio 0.0970
tencentBlock.ns8761 S3FIFO-0.4000-0.9000 cache size     9227, 1618494 req, miss ratio 0.0865, byte miss ratio 0.0865
tencentBlock.ns8761 S3FIFO-0.4000-0.9000 cache size    18455, 1618494 req, miss ratio 0.0594, byte miss ratio 0.0594
tencentBlock.ns8761 S3FIFO-0.4000-0.9000 cache size    36911, 1618494 req, miss ratio 0.0319, byte miss ratio 0.0319
tencentBlock.ns8761 S3FIFO-0.1000-1.9000 cache size       46, 1618494 req, miss ratio 0.3735, byte miss ratio 0.3735
tencentBlock.ns8761 S3FIFO-0.1000-1.9000 cache size      138, 1618494 req, miss ratio 0.2553, byte miss ratio 0.2553
tencentBlock.ns8761 S3FIFO-0.1000-1.9000 cache size      461, 1618494 req, miss ratio 0.1428, byte miss ratio 0.1428
tencentBlock.ns8761 S3FIFO-0.1000-1.9000 cache size     1384, 1618494 req, miss ratio 0.1259, byte miss ratio 0.1259
tencentBlock.ns8761 S3FIFO-0.1000-1.9000 cache size     4613, 1618494 req, miss ratio 0.0950, byte miss ratio 0.0950
tencentBlock.ns8761 S3FIFO-0.1000-1.9000 cache size     9227, 1618494 req, miss ratio 0.0850, byte miss ratio 0.0850
tencentBlock.ns8761 S3FIFO-0.1000-1.9000 cache size    18455, 1618494 req, miss ratio 0.0571, byte miss ratio 0.0571
tencentBlock.ns8761 S3FIFO-0.1000-1.9000 cache size    36911, 1618494 req, miss ratio 0.0313, byte miss ratio 0.0313
tencentBlock.ns8761 S3FIFO-0.9000-1.9000 cache size       46, 1618494 req, miss ratio 0.5154, byte miss ratio 0.5154
tencentBlock.ns8761 S3FIFO-0.9000-1.9000 cache size      138, 1618494 req, miss ratio 0.3156, byte miss ratio 0.3156
tencentBlock.ns8761 S3FIFO-0.9000-1.9000 cache size      461, 1618494 req, miss ratio 0.1681, byte miss ratio 0.1681
tencentBlock.ns8761 S3FIFO-0.9000-1.9000 cache size     1384, 1618494 req, miss ratio 0.1424, byte miss ratio 0.1424
tencentBlock.ns8761 S3FIFO-0.9000-1.9000 cache size     4613, 1618494 req, miss ratio 0.1082, byte miss ratio 0.1082
tencentBlock.ns8761 S3FIFO-0.9000-1.9000 cache size     9227, 1618494 req, miss ratio 0.0930, byte miss ratio 0.0930
tencentBlock.ns8761 S3FIFO-0.9000-1.9000 cache size    18455, 1618494 req, miss ratio 0.0616, byte miss ratio 0.0616
tencentBlock.ns8761 S3FIFO-0.9000-1.9000 cache size    36911, 1618494 req, miss ratio 0.0346, byte miss ratio 0.0346
tencentBlock.ns8761 S3FIFO-0.6500-1.9000 cache size       46, 1618494 req, miss ratio 0.4792, byte miss ratio 0.4792
tencentBlock.ns8761 S3FIFO-0.6500-1.9000 cache size      138, 1618494 req, miss ratio 0.2977, byte miss ratio 0.2977
tencentBlock.ns8761 S3FIFO-0.6500-1.9000 cache size      461, 1618494 req, miss ratio 0.1551, byte miss ratio 0.1551
