cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size     5564, 17143213 req, miss ratio 0.4725, byte miss ratio 0.4725
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    16692, 17143213 req, miss ratio 0.4181, byte miss ratio 0.4181
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    55641, 17143213 req, miss ratio 0.3749, byte miss ratio 0.3749
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size   166924, 17143213 req, miss ratio 0.3372, byte miss ratio 0.3372
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size   556413, 17143213 req, miss ratio 0.3248, byte miss ratio 0.3248
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3247, byte miss ratio 0.3247
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     5564, 17143213 req, miss ratio 0.4587, byte miss ratio 0.4587
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    16692, 17143213 req, miss ratio 0.4118, byte miss ratio 0.4118
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    55641, 17143213 req, miss ratio 0.3697, byte miss ratio 0.3697
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   166924, 17143213 req, miss ratio 0.3345, byte miss ratio 0.3345
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   556413, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     5564, 17143213 req, miss ratio 0.4547, byte miss ratio 0.4547
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    16692, 17143213 req, miss ratio 0.4053, byte miss ratio 0.4053
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    55641, 17143213 req, miss ratio 0.3659, byte miss ratio 0.3659
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   166924, 17143213 req, miss ratio 0.3359, byte miss ratio 0.3359
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   556413, 17143213 req, miss ratio 0.3251, byte miss ratio 0.3251
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     5564, 17143213 req, miss ratio 0.4612, byte miss ratio 0.4612
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    16692, 17143213 req, miss ratio 0.4132, byte miss ratio 0.4132
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    55641, 17143213 req, miss ratio 0.3707, byte miss ratio 0.3707
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   166924, 17143213 req, miss ratio 0.3348, byte miss ratio 0.3348
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   556413, 17143213 req, miss ratio 0.3247, byte miss ratio 0.3247
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     5564, 17143213 req, miss ratio 0.4767, byte miss ratio 0.4767
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    16692, 17143213 req, miss ratio 0.4188, byte miss ratio 0.4188
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    55641, 17143213 req, miss ratio 0.3679, byte miss ratio 0.3679
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size   166924, 17143213 req, miss ratio 0.3436, byte miss ratio 0.3436
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size   556413, 17143213 req, miss ratio 0.3320, byte miss ratio 0.3320
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3266, byte miss ratio 0.3266
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     5564, 17143213 req, miss ratio 0.4557, byte miss ratio 0.4557
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    16692, 17143213 req, miss ratio 0.4098, byte miss ratio 0.4098
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    55641, 17143213 req, miss ratio 0.3681, byte miss ratio 0.3681
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   166924, 17143213 req, miss ratio 0.3339, byte miss ratio 0.3339
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   556413, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     5564, 17143213 req, miss ratio 0.4686, byte miss ratio 0.4686
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size    16692, 17143213 req, miss ratio 0.4130, byte miss ratio 0.4130
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size    55641, 17143213 req, miss ratio 0.3664, byte miss ratio 0.3664
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size   166924, 17143213 req, miss ratio 0.3418, byte miss ratio 0.3418
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size   556413, 17143213 req, miss ratio 0.3293, byte miss ratio 0.3293
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3253, byte miss ratio 0.3253
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     5564, 17143213 req, miss ratio 0.4568, byte miss ratio 0.4568
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    16692, 17143213 req, miss ratio 0.4106, byte miss ratio 0.4106
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    55641, 17143213 req, miss ratio 0.3688, byte miss ratio 0.3688
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   166924, 17143213 req, miss ratio 0.3342, byte miss ratio 0.3342
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   556413, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     5564, 17143213 req, miss ratio 0.5028, byte miss ratio 0.5028
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size    16692, 17143213 req, miss ratio 0.4483, byte miss ratio 0.4483
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size    55641, 17143213 req, miss ratio 0.3853, byte miss ratio 0.3853
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   166924, 17143213 req, miss ratio 0.3515, byte miss ratio 0.3515
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   556413, 17143213 req, miss ratio 0.3388, byte miss ratio 0.3388
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3325, byte miss ratio 0.3325
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     5564, 17143213 req, miss ratio 0.4547, byte miss ratio 0.4547
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    16692, 17143213 req, miss ratio 0.4081, byte miss ratio 0.4081
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    55641, 17143213 req, miss ratio 0.3674, byte miss ratio 0.3674
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   166924, 17143213 req, miss ratio 0.3341, byte miss ratio 0.3341
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   556413, 17143213 req, miss ratio 0.3247, byte miss ratio 0.3247
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
