w01.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7555, byte miss ratio 0.7555
w01.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size 98243210, 215796257 req, miss ratio 0.7109, byte miss ratio 0.7109
w01.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size   122804, 215796257 req, miss ratio 0.8441, byte miss ratio 0.8441
w01.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size   368412, 215796257 req, miss ratio 0.8385, byte miss ratio 0.8385
w01.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8343, byte miss ratio 0.8343
w01.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8315, byte miss ratio 0.8315
w01.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size 12280401, 215796257 req, miss ratio 0.8171, byte miss ratio 0.8171
w01.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size 24560802, 215796257 req, miss ratio 0.7965, byte miss ratio 0.7965
w01.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7565, byte miss ratio 0.7565
w01.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size 98243210, 215796257 req, miss ratio 0.7116, byte miss ratio 0.7116
w01.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   122804, 215796257 req, miss ratio 0.8428, byte miss ratio 0.8428
w01.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   368412, 215796257 req, miss ratio 0.8385, byte miss ratio 0.8385
w01.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8344, byte miss ratio 0.8344
w01.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8315, byte miss ratio 0.8315
w01.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size 12280401, 215796257 req, miss ratio 0.8254, byte miss ratio 0.8254
w01.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size 24560802, 215796257 req, miss ratio 0.8087, byte miss ratio 0.8087
w01.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7576, byte miss ratio 0.7576
w01.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size 98243210, 215796257 req, miss ratio 0.7116, byte miss ratio 0.7116
w01.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   122804, 215796257 req, miss ratio 0.8477, byte miss ratio 0.8477
w01.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   368412, 215796257 req, miss ratio 0.8387, byte miss ratio 0.8387
w01.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8346, byte miss ratio 0.8346
w01.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8312, byte miss ratio 0.8312
w01.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size 12280401, 215796257 req, miss ratio 0.8044, byte miss ratio 0.8044
w01.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size 24560802, 215796257 req, miss ratio 0.7933, byte miss ratio 0.7933
w01.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7555, byte miss ratio 0.7555
w01.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size 98243210, 215796257 req, miss ratio 0.7109, byte miss ratio 0.7109
w01.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size   122804, 215796257 req, miss ratio 0.8464, byte miss ratio 0.8464
w01.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size   368412, 215796257 req, miss ratio 0.8386, byte miss ratio 0.8386
w01.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8352, byte miss ratio 0.8352
w01.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8319, byte miss ratio 0.8319
w01.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size 12280401, 215796257 req, miss ratio 0.8288, byte miss ratio 0.8288
w01.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size 24560802, 215796257 req, miss ratio 0.8225, byte miss ratio 0.8225
w01.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7694, byte miss ratio 0.7694
w01.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size 98243210, 215796257 req, miss ratio 0.5713, byte miss ratio 0.5713
w01.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size   122804, 215796257 req, miss ratio 0.8742, byte miss ratio 0.8742
w01.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size   368412, 215796257 req, miss ratio 0.8605, byte miss ratio 0.8605
w01.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8394, byte miss ratio 0.8394
w01.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8323, byte miss ratio 0.8323
w01.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8011, byte miss ratio 0.8011
w01.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size 24560802, 215796257 req, miss ratio 0.7935, byte miss ratio 0.7935
w01.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7558, byte miss ratio 0.7558
w01.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size 98243210, 215796257 req, miss ratio 0.7109, byte miss ratio 0.7109
w01.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size   122804, 215796257 req, miss ratio 0.8451, byte miss ratio 0.8451
w01.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size   368412, 215796257 req, miss ratio 0.8386, byte miss ratio 0.8386
