io_traces.ns64 S3FIFO-0.9900-1.9000 cache size      956, 21800000 req, miss ratio 0.8075, byte miss ratio 0.8075
io_traces.ns64 S3FIFO-0.9900-1.9000 cache size     2868, 21800000 req, miss ratio 0.7445, byte miss ratio 0.7445
io_traces.ns64 S3FIFO-0.9900-1.9000 cache size     9560, 21800000 req, miss ratio 0.4690, byte miss ratio 0.4690
io_traces.ns64 S3FIFO-0.9900-1.9000 cache size    28680, 21800000 req, miss ratio 0.2321, byte miss ratio 0.2321
io_traces.ns64 S3FIFO-0.9900-1.9000 cache size    95603, 21800000 req, miss ratio 0.1061, byte miss ratio 0.1061
io_traces.ns64 S3FIFO-0.9900-1.9000 cache size   191206, 21800000 req, miss ratio 0.0715, byte miss ratio 0.0715
io_traces.ns64 S3FIFO-0.9900-1.9000 cache size   382412, 21800000 req, miss ratio 0.0586, byte miss ratio 0.0586
io_traces.ns64 S3FIFO-0.9900-1.9000 cache size   764824, 21800000 req, miss ratio 0.0468, byte miss ratio 0.0468
io_traces.ns64 S3FIFO-0.3500-1.9000 cache size      956, 21800000 req, miss ratio 0.7211, byte miss ratio 0.7211
io_traces.ns64 S3FIFO-0.3500-1.9000 cache size     2868, 21800000 req, miss ratio 0.6494, byte miss ratio 0.6494
io_traces.ns64 S3FIFO-0.3500-1.9000 cache size     9560, 21800000 req, miss ratio 0.3576, byte miss ratio 0.3576
io_traces.ns64 S3FIFO-0.3500-1.9000 cache size    28680, 21800000 req, miss ratio 0.1815, byte miss ratio 0.1815
io_traces.ns64 S3FIFO-0.3500-1.9000 cache size    95603, 21800000 req, miss ratio 0.0759, byte miss ratio 0.0759
io_traces.ns64 S3FIFO-0.3500-1.9000 cache size   191206, 21800000 req, miss ratio 0.0546, byte miss ratio 0.0546
io_traces.ns64 S3FIFO-0.3500-1.9000 cache size   382412, 21800000 req, miss ratio 0.0500, byte miss ratio 0.0500
io_traces.ns64 S3FIFO-0.3500-1.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.9000-0.9000 cache size      956, 21800000 req, miss ratio 0.7807, byte miss ratio 0.7807
io_traces.ns64 S3FIFO-0.9000-0.9000 cache size     2868, 21800000 req, miss ratio 0.7252, byte miss ratio 0.7252
io_traces.ns64 S3FIFO-0.9000-0.9000 cache size     9560, 21800000 req, miss ratio 0.4713, byte miss ratio 0.4713
io_traces.ns64 S3FIFO-0.9000-0.9000 cache size    28680, 21800000 req, miss ratio 0.2284, byte miss ratio 0.2284
io_traces.ns64 S3FIFO-0.9000-0.9000 cache size    95603, 21800000 req, miss ratio 0.0989, byte miss ratio 0.0989
io_traces.ns64 S3FIFO-0.9000-0.9000 cache size   191206, 21800000 req, miss ratio 0.0677, byte miss ratio 0.0677
io_traces.ns64 S3FIFO-0.9000-0.9000 cache size   382412, 21800000 req, miss ratio 0.0559, byte miss ratio 0.0559
io_traces.ns64 S3FIFO-0.9000-0.9000 cache size   764824, 21800000 req, miss ratio 0.0447, byte miss ratio 0.0447
io_traces.ns64 S3FIFO-0.0050-1.9000 cache size      956, 21800000 req, miss ratio 0.7115, byte miss ratio 0.7115
io_traces.ns64 S3FIFO-0.0050-1.9000 cache size     2868, 21800000 req, miss ratio 0.5900, byte miss ratio 0.5900
io_traces.ns64 S3FIFO-0.0050-1.9000 cache size     9560, 21800000 req, miss ratio 0.2926, byte miss ratio 0.2926
io_traces.ns64 S3FIFO-0.0050-1.9000 cache size    28680, 21800000 req, miss ratio 0.1728, byte miss ratio 0.1728
io_traces.ns64 S3FIFO-0.0050-1.9000 cache size    95603, 21800000 req, miss ratio 0.0695, byte miss ratio 0.0695
io_traces.ns64 S3FIFO-0.0050-1.9000 cache size   191206, 21800000 req, miss ratio 0.0581, byte miss ratio 0.0581
io_traces.ns64 S3FIFO-0.0050-1.9000 cache size   382412, 21800000 req, miss ratio 0.0497, byte miss ratio 0.0497
io_traces.ns64 S3FIFO-0.0050-1.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.7500-0.9000 cache size      956, 21800000 req, miss ratio 0.7644, byte miss ratio 0.7644
io_traces.ns64 S3FIFO-0.7500-0.9000 cache size     2868, 21800000 req, miss ratio 0.6986, byte miss ratio 0.6986
io_traces.ns64 S3FIFO-0.7500-0.9000 cache size     9560, 21800000 req, miss ratio 0.4423, byte miss ratio 0.4423
io_traces.ns64 S3FIFO-0.7500-0.9000 cache size    28680, 21800000 req, miss ratio 0.2123, byte miss ratio 0.2123
io_traces.ns64 S3FIFO-0.7500-0.9000 cache size    95603, 21800000 req, miss ratio 0.0926, byte miss ratio 0.0926
io_traces.ns64 S3FIFO-0.7500-0.9000 cache size   191206, 21800000 req, miss ratio 0.0611, byte miss ratio 0.0611
io_traces.ns64 S3FIFO-0.7500-0.9000 cache size   382412, 21800000 req, miss ratio 0.0526, byte miss ratio 0.0526
io_traces.ns64 S3FIFO-0.7500-0.9000 cache size   764824, 21800000 req, miss ratio 0.0442, byte miss ratio 0.0442
io_traces.ns64 S3FIFO-0.2500-1.9000 cache size      956, 21800000 req, miss ratio 0.7122, byte miss ratio 0.7122
io_traces.ns64 S3FIFO-0.2500-1.9000 cache size     2868, 21800000 req, miss ratio 0.6307, byte miss ratio 0.6307
io_traces.ns64 S3FIFO-0.2500-1.9000 cache size     9560, 21800000 req, miss ratio 0.3382, byte miss ratio 0.3382
io_traces.ns64 S3FIFO-0.2500-1.9000 cache size    28680, 21800000 req, miss ratio 0.1848, byte miss ratio 0.1848
io_traces.ns64 S3FIFO-0.2500-1.9000 cache size    95603, 21800000 req, miss ratio 0.0713, byte miss ratio 0.0713
io_traces.ns64 S3FIFO-0.2500-1.9000 cache size   191206, 21800000 req, miss ratio 0.0544, byte miss ratio 0.0544
io_traces.ns64 S3FIFO-0.2500-1.9000 cache size   382412, 21800000 req, miss ratio 0.0496, byte miss ratio 0.0496
io_traces.ns64 S3FIFO-0.2500-1.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.7500-1.9000 cache size      956, 21800000 req, miss ratio 0.7652, byte miss ratio 0.7652
io_traces.ns64 S3FIFO-0.7500-1.9000 cache size     2868, 21800000 req, miss ratio 0.7122, byte miss ratio 0.7122
io_traces.ns64 S3FIFO-0.7500-1.9000 cache size     9560, 21800000 req, miss ratio 0.4393, byte miss ratio 0.4393
io_traces.ns64 S3FIFO-0.7500-1.9000 cache size    28680, 21800000 req, miss ratio 0.2096, byte miss ratio 0.2096
io_traces.ns64 S3FIFO-0.7500-1.9000 cache size    95603, 21800000 req, miss ratio 0.0930, byte miss ratio 0.0930
io_traces.ns64 S3FIFO-0.7500-1.9000 cache size   191206, 21800000 req, miss ratio 0.0613, byte miss ratio 0.0613
io_traces.ns64 S3FIFO-0.7500-1.9000 cache size   382412, 21800000 req, miss ratio 0.0526, byte miss ratio 0.0526
io_traces.ns64 S3FIFO-0.7500-1.9000 cache size   764824, 21800000 req, miss ratio 0.0442, byte miss ratio 0.0442
io_traces.ns64 S3FIFO-0.6500-1.9000 cache size      956, 21800000 req, miss ratio 0.7588, byte miss ratio 0.7588
io_traces.ns64 S3FIFO-0.6500-1.9000 cache size     2868, 21800000 req, miss ratio 0.6986, byte miss ratio 0.6986
io_traces.ns64 S3FIFO-0.6500-1.9000 cache size     9560, 21800000 req, miss ratio 0.4254, byte miss ratio 0.4254
io_traces.ns64 S3FIFO-0.6500-1.9000 cache size    28680, 21800000 req, miss ratio 0.2019, byte miss ratio 0.2019
io_traces.ns64 S3FIFO-0.6500-1.9000 cache size    95603, 21800000 req, miss ratio 0.0890, byte miss ratio 0.0890
io_traces.ns64 S3FIFO-0.6500-1.9000 cache size   191206, 21800000 req, miss ratio 0.0574, byte miss ratio 0.0574
io_traces.ns64 S3FIFO-0.6500-1.9000 cache size   382412, 21800000 req, miss ratio 0.0518, byte miss ratio 0.0518
io_traces.ns64 S3FIFO-0.6500-1.9000 cache size   764824, 21800000 req, miss ratio 0.0441, byte miss ratio 0.0441
io_traces.ns64 S3FIFO-0.0250-0.9000 cache size      956, 21800000 req, miss ratio 0.7061, byte miss ratio 0.7061
io_traces.ns64 S3FIFO-0.0250-0.9000 cache size     2868, 21800000 req, miss ratio 0.5729, byte miss ratio 0.5729
io_traces.ns64 S3FIFO-0.0250-0.9000 cache size     9560, 21800000 req, miss ratio 0.2592, byte miss ratio 0.2592
io_traces.ns64 S3FIFO-0.0250-0.9000 cache size    28680, 21800000 req, miss ratio 0.1727, byte miss ratio 0.1727
io_traces.ns64 S3FIFO-0.0250-0.9000 cache size    95603, 21800000 req, miss ratio 0.0689, byte miss ratio 0.0689
io_traces.ns64 S3FIFO-0.0250-0.9000 cache size   191206, 21800000 req, miss ratio 0.0578, byte miss ratio 0.0578
io_traces.ns64 S3FIFO-0.0250-0.9000 cache size   382412, 21800000 req, miss ratio 0.0492, byte miss ratio 0.0492
io_traces.ns64 S3FIFO-0.0250-0.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.8000-0.9000 cache size      956, 21800000 req, miss ratio 0.7672, byte miss ratio 0.7672
io_traces.ns64 S3FIFO-0.8000-0.9000 cache size     2868, 21800000 req, miss ratio 0.7089, byte miss ratio 0.7089
io_traces.ns64 S3FIFO-0.8000-0.9000 cache size     9560, 21800000 req, miss ratio 0.4515, byte miss ratio 0.4515
io_traces.ns64 S3FIFO-0.8000-0.9000 cache size    28680, 21800000 req, miss ratio 0.2165, byte miss ratio 0.2165
io_traces.ns64 S3FIFO-0.8000-0.9000 cache size    95603, 21800000 req, miss ratio 0.0948, byte miss ratio 0.0948
io_traces.ns64 S3FIFO-0.8000-0.9000 cache size   191206, 21800000 req, miss ratio 0.0634, byte miss ratio 0.0634
io_traces.ns64 S3FIFO-0.8000-0.9000 cache size   382412, 21800000 req, miss ratio 0.0531, byte miss ratio 0.0531
io_traces.ns64 S3FIFO-0.8000-0.9000 cache size   764824, 21800000 req, miss ratio 0.0443, byte miss ratio 0.0443
io_traces.ns64 S3FIFO-0.7000-0.9000 cache size      956, 21800000 req, miss ratio 0.7609, byte miss ratio 0.7609
io_traces.ns64 S3FIFO-0.7000-0.9000 cache size     2868, 21800000 req, miss ratio 0.6868, byte miss ratio 0.6868
io_traces.ns64 S3FIFO-0.7000-0.9000 cache size     9560, 21800000 req, miss ratio 0.4336, byte miss ratio 0.4336
io_traces.ns64 S3FIFO-0.7000-0.9000 cache size    28680, 21800000 req, miss ratio 0.2078, byte miss ratio 0.2078
io_traces.ns64 S3FIFO-0.7000-0.9000 cache size    95603, 21800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns64 S3FIFO-0.7000-0.9000 cache size   191206, 21800000 req, miss ratio 0.0589, byte miss ratio 0.0589
io_traces.ns64 S3FIFO-0.7000-0.9000 cache size   382412, 21800000 req, miss ratio 0.0522, byte miss ratio 0.0522
io_traces.ns64 S3FIFO-0.7000-0.9000 cache size   764824, 21800000 req, miss ratio 0.0441, byte miss ratio 0.0441
io_traces.ns64 S3FIFO-0.0050-0.9000 cache size      956, 21800000 req, miss ratio 0.7102, byte miss ratio 0.7102
io_traces.ns64 S3FIFO-0.0050-0.9000 cache size     2868, 21800000 req, miss ratio 0.5850, byte miss ratio 0.5850
io_traces.ns64 S3FIFO-0.0050-0.9000 cache size     9560, 21800000 req, miss ratio 0.2619, byte miss ratio 0.2619
io_traces.ns64 S3FIFO-0.0050-0.9000 cache size    28680, 21800000 req, miss ratio 0.1723, byte miss ratio 0.1723
io_traces.ns64 S3FIFO-0.0050-0.9000 cache size    95603, 21800000 req, miss ratio 0.0699, byte miss ratio 0.0699
io_traces.ns64 S3FIFO-0.0050-0.9000 cache size   191206, 21800000 req, miss ratio 0.0585, byte miss ratio 0.0585
io_traces.ns64 S3FIFO-0.0050-0.9000 cache size   382412, 21800000 req, miss ratio 0.0497, byte miss ratio 0.0497
io_traces.ns64 S3FIFO-0.0050-0.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.5500-1.9000 cache size      956, 21800000 req, miss ratio 0.7454, byte miss ratio 0.7454
io_traces.ns64 S3FIFO-0.5500-1.9000 cache size     2868, 21800000 req, miss ratio 0.6830, byte miss ratio 0.6830
io_traces.ns64 S3FIFO-0.5500-1.9000 cache size     9560, 21800000 req, miss ratio 0.3994, byte miss ratio 0.3994
io_traces.ns64 S3FIFO-0.5500-1.9000 cache size    28680, 21800000 req, miss ratio 0.1930, byte miss ratio 0.1930
io_traces.ns64 S3FIFO-0.5500-1.9000 cache size    95603, 21800000 req, miss ratio 0.0854, byte miss ratio 0.0854
io_traces.ns64 S3FIFO-0.5500-1.9000 cache size   191206, 21800000 req, miss ratio 0.0557, byte miss ratio 0.0557
io_traces.ns64 S3FIFO-0.5500-1.9000 cache size   382412, 21800000 req, miss ratio 0.0511, byte miss ratio 0.0511
io_traces.ns64 S3FIFO-0.5500-1.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.6000-1.9000 cache size      956, 21800000 req, miss ratio 0.7532, byte miss ratio 0.7532
io_traces.ns64 S3FIFO-0.6000-1.9000 cache size     2868, 21800000 req, miss ratio 0.6904, byte miss ratio 0.6904
io_traces.ns64 S3FIFO-0.6000-1.9000 cache size     9560, 21800000 req, miss ratio 0.4162, byte miss ratio 0.4162
io_traces.ns64 S3FIFO-0.6000-1.9000 cache size    28680, 21800000 req, miss ratio 0.1958, byte miss ratio 0.1958
io_traces.ns64 S3FIFO-0.6000-1.9000 cache size    95603, 21800000 req, miss ratio 0.0870, byte miss ratio 0.0870
io_traces.ns64 S3FIFO-0.6000-1.9000 cache size   191206, 21800000 req, miss ratio 0.0563, byte miss ratio 0.0563
io_traces.ns64 S3FIFO-0.6000-1.9000 cache size   382412, 21800000 req, miss ratio 0.0513, byte miss ratio 0.0513
io_traces.ns64 S3FIFO-0.6000-1.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.1500-0.9000 cache size      956, 21800000 req, miss ratio 0.7022, byte miss ratio 0.7022
io_traces.ns64 S3FIFO-0.1500-0.9000 cache size     2868, 21800000 req, miss ratio 0.5792, byte miss ratio 0.5792
io_traces.ns64 S3FIFO-0.1500-0.9000 cache size     9560, 21800000 req, miss ratio 0.3027, byte miss ratio 0.3027
io_traces.ns64 S3FIFO-0.1500-0.9000 cache size    28680, 21800000 req, miss ratio 0.1778, byte miss ratio 0.1778
io_traces.ns64 S3FIFO-0.1500-0.9000 cache size    95603, 21800000 req, miss ratio 0.0677, byte miss ratio 0.0677
io_traces.ns64 S3FIFO-0.1500-0.9000 cache size   191206, 21800000 req, miss ratio 0.0555, byte miss ratio 0.0555
io_traces.ns64 S3FIFO-0.1500-0.9000 cache size   382412, 21800000 req, miss ratio 0.0493, byte miss ratio 0.0493
io_traces.ns64 S3FIFO-0.1500-0.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.8500-1.9000 cache size      956, 21800000 req, miss ratio 0.7730, byte miss ratio 0.7730
io_traces.ns64 S3FIFO-0.8500-1.9000 cache size     2868, 21800000 req, miss ratio 0.7247, byte miss ratio 0.7247
io_traces.ns64 S3FIFO-0.8500-1.9000 cache size     9560, 21800000 req, miss ratio 0.4560, byte miss ratio 0.4560
io_traces.ns64 S3FIFO-0.8500-1.9000 cache size    28680, 21800000 req, miss ratio 0.2163, byte miss ratio 0.2163
io_traces.ns64 S3FIFO-0.8500-1.9000 cache size    95603, 21800000 req, miss ratio 0.0974, byte miss ratio 0.0974
io_traces.ns64 S3FIFO-0.8500-1.9000 cache size   191206, 21800000 req, miss ratio 0.0655, byte miss ratio 0.0655
io_traces.ns64 S3FIFO-0.8500-1.9000 cache size   382412, 21800000 req, miss ratio 0.0543, byte miss ratio 0.0543
io_traces.ns64 S3FIFO-0.8500-1.9000 cache size   764824, 21800000 req, miss ratio 0.0444, byte miss ratio 0.0444
io_traces.ns64 S3FIFO-0.6500-0.9000 cache size      956, 21800000 req, miss ratio 0.7555, byte miss ratio 0.7555
io_traces.ns64 S3FIFO-0.6500-0.9000 cache size     2868, 21800000 req, miss ratio 0.6741, byte miss ratio 0.6741
io_traces.ns64 S3FIFO-0.6500-0.9000 cache size     9560, 21800000 req, miss ratio 0.4241, byte miss ratio 0.4241
io_traces.ns64 S3FIFO-0.6500-0.9000 cache size    28680, 21800000 req, miss ratio 0.2016, byte miss ratio 0.2016
io_traces.ns64 S3FIFO-0.6500-0.9000 cache size    95603, 21800000 req, miss ratio 0.0886, byte miss ratio 0.0886
io_traces.ns64 S3FIFO-0.6500-0.9000 cache size   191206, 21800000 req, miss ratio 0.0571, byte miss ratio 0.0571
io_traces.ns64 S3FIFO-0.6500-0.9000 cache size   382412, 21800000 req, miss ratio 0.0518, byte miss ratio 0.0518
io_traces.ns64 S3FIFO-0.6500-0.9000 cache size   764824, 21800000 req, miss ratio 0.0441, byte miss ratio 0.0441
io_traces.ns64 S3FIFO-0.0250-1.9000 cache size      956, 21800000 req, miss ratio 0.7074, byte miss ratio 0.7074
io_traces.ns64 S3FIFO-0.0250-1.9000 cache size     2868, 21800000 req, miss ratio 0.5807, byte miss ratio 0.5807
io_traces.ns64 S3FIFO-0.0250-1.9000 cache size     9560, 21800000 req, miss ratio 0.2903, byte miss ratio 0.2903
io_traces.ns64 S3FIFO-0.0250-1.9000 cache size    28680, 21800000 req, miss ratio 0.1734, byte miss ratio 0.1734
io_traces.ns64 S3FIFO-0.0250-1.9000 cache size    95603, 21800000 req, miss ratio 0.0685, byte miss ratio 0.0685
io_traces.ns64 S3FIFO-0.0250-1.9000 cache size   191206, 21800000 req, miss ratio 0.0575, byte miss ratio 0.0575
io_traces.ns64 S3FIFO-0.0250-1.9000 cache size   382412, 21800000 req, miss ratio 0.0492, byte miss ratio 0.0492
io_traces.ns64 S3FIFO-0.0250-1.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.7000-1.9000 cache size      956, 21800000 req, miss ratio 0.7625, byte miss ratio 0.7625
io_traces.ns64 S3FIFO-0.7000-1.9000 cache size     2868, 21800000 req, miss ratio 0.7058, byte miss ratio 0.7058
io_traces.ns64 S3FIFO-0.7000-1.9000 cache size     9560, 21800000 req, miss ratio 0.4328, byte miss ratio 0.4328
io_traces.ns64 S3FIFO-0.7000-1.9000 cache size    28680, 21800000 req, miss ratio 0.2066, byte miss ratio 0.2066
io_traces.ns64 S3FIFO-0.7000-1.9000 cache size    95603, 21800000 req, miss ratio 0.0909, byte miss ratio 0.0909
io_traces.ns64 S3FIFO-0.7000-1.9000 cache size   191206, 21800000 req, miss ratio 0.0592, byte miss ratio 0.0592
io_traces.ns64 S3FIFO-0.7000-1.9000 cache size   382412, 21800000 req, miss ratio 0.0522, byte miss ratio 0.0522
io_traces.ns64 S3FIFO-0.7000-1.9000 cache size   764824, 21800000 req, miss ratio 0.0441, byte miss ratio 0.0441
io_traces.ns64 S3FIFO-0.5500-0.9000 cache size      956, 21800000 req, miss ratio 0.7388, byte miss ratio 0.7388
io_traces.ns64 S3FIFO-0.5500-0.9000 cache size     2868, 21800000 req, miss ratio 0.6498, byte miss ratio 0.6498
io_traces.ns64 S3FIFO-0.5500-0.9000 cache size     9560, 21800000 req, miss ratio 0.3888, byte miss ratio 0.3888
io_traces.ns64 S3FIFO-0.5500-0.9000 cache size    28680, 21800000 req, miss ratio 0.1916, byte miss ratio 0.1916
io_traces.ns64 S3FIFO-0.5500-0.9000 cache size    95603, 21800000 req, miss ratio 0.0851, byte miss ratio 0.0851
io_traces.ns64 S3FIFO-0.5500-0.9000 cache size   191206, 21800000 req, miss ratio 0.0554, byte miss ratio 0.0554
io_traces.ns64 S3FIFO-0.5500-0.9000 cache size   382412, 21800000 req, miss ratio 0.0511, byte miss ratio 0.0511
io_traces.ns64 S3FIFO-0.5500-0.9000 cache size   764824, 21800000 req, miss ratio 0.0440, byte miss ratio 0.0440
io_traces.ns64 S3FIFO-0.4500-0.9000 cache size      956, 21800000 req, miss ratio 0.7270, byte miss ratio 0.7270
io_traces.ns64 S3FIFO-0.4500-0.9000 cache size     2868, 21800000 req, miss ratio 0.6252, byte miss ratio 0.6252
io_traces.ns64 S3FIFO-0.4500-0.9000 cache size     9560, 21800000 req, miss ratio 0.3651, byte miss ratio 0.3651
io_traces.ns64 S3FIFO-0.4500-0.9000 cache size    28680, 21800000 req, miss ratio 0.1860, byte miss ratio 0.1860
io_traces.ns64 S3FIFO-0.4500-0.9000 cache size    95603, 21800000 req, miss ratio 0.0808, byte miss ratio 0.0808
io_traces.ns64 S3FIFO-0.4500-0.9000 cache size   191206, 21800000 req, miss ratio 0.0549, byte miss ratio 0.0549
