cdn1_colo28.ns1004 S3FIFO-0.6000-1.9000 cache size      392, 4558740 req, miss ratio 0.1749, byte miss ratio 0.1749
cdn1_colo28.ns1004 S3FIFO-0.6000-1.9000 cache size     1176, 4558740 req, miss ratio 0.1637, byte miss ratio 0.1637
cdn1_colo28.ns1004 S3FIFO-0.6000-1.9000 cache size     3923, 4558740 req, miss ratio 0.1487, byte miss ratio 0.1487
cdn1_colo28.ns1004 S3FIFO-0.6000-1.9000 cache size    11769, 4558740 req, miss ratio 0.1320, byte miss ratio 0.1320
cdn1_colo28.ns1004 S3FIFO-0.6000-1.9000 cache size    39231, 4558740 req, miss ratio 0.1104, byte miss ratio 0.1104
cdn1_colo28.ns1004 S3FIFO-0.6000-1.9000 cache size    78462, 4558740 req, miss ratio 0.0986, byte miss ratio 0.0986
cdn1_colo28.ns1004 S3FIFO-0.6000-1.9000 cache size   156925, 4558740 req, miss ratio 0.0902, byte miss ratio 0.0902
cdn1_colo28.ns1004 S3FIFO-0.6000-1.9000 cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
cdn1_colo28.ns1004 S3FIFO-0.4500-1.9000 cache size      392, 4558740 req, miss ratio 0.1731, byte miss ratio 0.1731
cdn1_colo28.ns1004 S3FIFO-0.4500-1.9000 cache size     1176, 4558740 req, miss ratio 0.1618, byte miss ratio 0.1618
cdn1_colo28.ns1004 S3FIFO-0.4500-1.9000 cache size     3923, 4558740 req, miss ratio 0.1464, byte miss ratio 0.1464
cdn1_colo28.ns1004 S3FIFO-0.4500-1.9000 cache size    11769, 4558740 req, miss ratio 0.1291, byte miss ratio 0.1291
cdn1_colo28.ns1004 S3FIFO-0.4500-1.9000 cache size    39231, 4558740 req, miss ratio 0.1077, byte miss ratio 0.1077
cdn1_colo28.ns1004 S3FIFO-0.4500-1.9000 cache size    78462, 4558740 req, miss ratio 0.0970, byte miss ratio 0.0970
cdn1_colo28.ns1004 S3FIFO-0.4500-1.9000 cache size   156925, 4558740 req, miss ratio 0.0899, byte miss ratio 0.0899
cdn1_colo28.ns1004 S3FIFO-0.4500-1.9000 cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
cdn1_colo28.ns1004 S3FIFO-0.2500-1.9000 cache size      392, 4558740 req, miss ratio 0.1718, byte miss ratio 0.1718
cdn1_colo28.ns1004 S3FIFO-0.2500-1.9000 cache size     1176, 4558740 req, miss ratio 0.1601, byte miss ratio 0.1601
cdn1_colo28.ns1004 S3FIFO-0.2500-1.9000 cache size     3923, 4558740 req, miss ratio 0.1441, byte miss ratio 0.1441
cdn1_colo28.ns1004 S3FIFO-0.2500-1.9000 cache size    11769, 4558740 req, miss ratio 0.1263, byte miss ratio 0.1263
cdn1_colo28.ns1004 S3FIFO-0.2500-1.9000 cache size    39231, 4558740 req, miss ratio 0.1054, byte miss ratio 0.1054
cdn1_colo28.ns1004 S3FIFO-0.2500-1.9000 cache size    78462, 4558740 req, miss ratio 0.0959, byte miss ratio 0.0959
cdn1_colo28.ns1004 S3FIFO-0.2500-1.9000 cache size   156925, 4558740 req, miss ratio 0.0899, byte miss ratio 0.0899
cdn1_colo28.ns1004 S3FIFO-0.2500-1.9000 cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
cdn1_colo28.ns1004 S3FIFO-0.7500-0.9000 cache size      392, 4558740 req, miss ratio 0.1778, byte miss ratio 0.1778
cdn1_colo28.ns1004 S3FIFO-0.7500-0.9000 cache size     1176, 4558740 req, miss ratio 0.1660, byte miss ratio 0.1660
cdn1_colo28.ns1004 S3FIFO-0.7500-0.9000 cache size     3923, 4558740 req, miss ratio 0.1514, byte miss ratio 0.1514
cdn1_colo28.ns1004 S3FIFO-0.7500-0.9000 cache size    11769, 4558740 req, miss ratio 0.1350, byte miss ratio 0.1350
cdn1_colo28.ns1004 S3FIFO-0.7500-0.9000 cache size    39231, 4558740 req, miss ratio 0.1137, byte miss ratio 0.1137
cdn1_colo28.ns1004 S3FIFO-0.7500-0.9000 cache size    78462, 4558740 req, miss ratio 0.1012, byte miss ratio 0.1012
cdn1_colo28.ns1004 S3FIFO-0.7500-0.9000 cache size   156925, 4558740 req, miss ratio 0.0916, byte miss ratio 0.0916
cdn1_colo28.ns1004 S3FIFO-0.7500-0.9000 cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
cdn1_colo28.ns1004 S3FIFO-0.4000-0.9000 cache size      392, 4558740 req, miss ratio 0.1727, byte miss ratio 0.1727
cdn1_colo28.ns1004 S3FIFO-0.4000-0.9000 cache size     1176, 4558740 req, miss ratio 0.1613, byte miss ratio 0.1613
cdn1_colo28.ns1004 S3FIFO-0.4000-0.9000 cache size     3923, 4558740 req, miss ratio 0.1456, byte miss ratio 0.1456
cdn1_colo28.ns1004 S3FIFO-0.4000-0.9000 cache size    11769, 4558740 req, miss ratio 0.1280, byte miss ratio 0.1280
cdn1_colo28.ns1004 S3FIFO-0.4000-0.9000 cache size    39231, 4558740 req, miss ratio 0.1068, byte miss ratio 0.1068
cdn1_colo28.ns1004 S3FIFO-0.4000-0.9000 cache size    78462, 4558740 req, miss ratio 0.0966, byte miss ratio 0.0966
cdn1_colo28.ns1004 S3FIFO-0.4000-0.9000 cache size   156925, 4558740 req, miss ratio 0.0899, byte miss ratio 0.0899
cdn1_colo28.ns1004 S3FIFO-0.4000-0.9000 cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
cdn1_colo28.ns1004 S3FIFO-0.9000-0.9000 cache size      392, 4558740 req, miss ratio 0.1859, byte miss ratio 0.1859
cdn1_colo28.ns1004 S3FIFO-0.9000-0.9000 cache size     1176, 4558740 req, miss ratio 0.1701, byte miss ratio 0.1701
cdn1_colo28.ns1004 S3FIFO-0.9000-0.9000 cache size     3923, 4558740 req, miss ratio 0.1557, byte miss ratio 0.1557
cdn1_colo28.ns1004 S3FIFO-0.9000-0.9000 cache size    11769, 4558740 req, miss ratio 0.1399, byte miss ratio 0.1399
cdn1_colo28.ns1004 S3FIFO-0.9000-0.9000 cache size    39231, 4558740 req, miss ratio 0.1189, byte miss ratio 0.1189
cdn1_colo28.ns1004 S3FIFO-0.9000-0.9000 cache size    78462, 4558740 req, miss ratio 0.1058, byte miss ratio 0.1058
cdn1_colo28.ns1004 S3FIFO-0.9000-0.9000 cache size   156925, 4558740 req, miss ratio 0.0947, byte miss ratio 0.0947
cdn1_colo28.ns1004 S3FIFO-0.9000-0.9000 cache size   313850, 4558740 req, miss ratio 0.0867, byte miss ratio 0.0867
cdn1_colo28.ns1004 S3FIFO-0.1500-1.9000 cache size      392, 4558740 req, miss ratio 0.1715, byte miss ratio 0.1715
