tencentBlock.ns12300 S3FIFO-0.9500-0.9000 cache size     1439, 14188478 req, miss ratio 0.2661, byte miss ratio 0.2661
tencentBlock.ns12300 S3FIFO-0.9500-0.9000 cache size     4318, 14188478 req, miss ratio 0.2143, byte miss ratio 0.2143
tencentBlock.ns12300 S3FIFO-0.9500-0.9000 cache size    14394, 14188478 req, miss ratio 0.1878, byte miss ratio 0.1878
tencentBlock.ns12300 S3FIFO-0.9500-0.9000 cache size    43184, 14188478 req, miss ratio 0.1616, byte miss ratio 0.1616
tencentBlock.ns12300 S3FIFO-0.9500-0.9000 cache size   143948, 14188478 req, miss ratio 0.1266, byte miss ratio 0.1266
tencentBlock.ns12300 S3FIFO-0.9500-0.9000 cache size   287897, 14188478 req, miss ratio 0.1134, byte miss ratio 0.1134
tencentBlock.ns12300 S3FIFO-0.9500-0.9000 cache size   575794, 14188478 req, miss ratio 0.1065, byte miss ratio 0.1065
tencentBlock.ns12300 S3FIFO-0.9500-0.9000 cache size  1151588, 14188478 req, miss ratio 0.1025, byte miss ratio 0.1025
tencentBlock.ns12300 S3FIFO-0.8000-1.9000 cache size     1439, 14188478 req, miss ratio 0.2501, byte miss ratio 0.2501
tencentBlock.ns12300 S3FIFO-0.8000-1.9000 cache size     4318, 14188478 req, miss ratio 0.2053, byte miss ratio 0.2053
tencentBlock.ns12300 S3FIFO-0.8000-1.9000 cache size    14394, 14188478 req, miss ratio 0.1869, byte miss ratio 0.1869
tencentBlock.ns12300 S3FIFO-0.8000-1.9000 cache size    43184, 14188478 req, miss ratio 0.1586, byte miss ratio 0.1586
tencentBlock.ns12300 S3FIFO-0.8000-1.9000 cache size   143948, 14188478 req, miss ratio 0.1213, byte miss ratio 0.1213
tencentBlock.ns12300 S3FIFO-0.8000-1.9000 cache size   287897, 14188478 req, miss ratio 0.1073, byte miss ratio 0.1073
tencentBlock.ns12300 S3FIFO-0.8000-1.9000 cache size   575794, 14188478 req, miss ratio 0.1027, byte miss ratio 0.1027
tencentBlock.ns12300 S3FIFO-0.8000-1.9000 cache size  1151588, 14188478 req, miss ratio 0.1015, byte miss ratio 0.1015
tencentBlock.ns12300 S3FIFO-0.7000-1.9000 cache size     1439, 14188478 req, miss ratio 0.2404, byte miss ratio 0.2404
tencentBlock.ns12300 S3FIFO-0.7000-1.9000 cache size     4318, 14188478 req, miss ratio 0.2027, byte miss ratio 0.2027
tencentBlock.ns12300 S3FIFO-0.7000-1.9000 cache size    14394, 14188478 req, miss ratio 0.1889, byte miss ratio 0.1889
tencentBlock.ns12300 S3FIFO-0.7000-1.9000 cache size    43184, 14188478 req, miss ratio 0.1558, byte miss ratio 0.1558
tencentBlock.ns12300 S3FIFO-0.7000-1.9000 cache size   143948, 14188478 req, miss ratio 0.1168, byte miss ratio 0.1168
