cdn1_colo28.ns229 S3FIFO-0.4000-1.9000 cache size     3071, 10280390 req, miss ratio 0.8254, byte miss ratio 0.8254
cdn1_colo28.ns229 S3FIFO-0.4000-1.9000 cache size     9215, 10280390 req, miss ratio 0.7785, byte miss ratio 0.7785
cdn1_colo28.ns229 S3FIFO-0.4000-1.9000 cache size    30719, 10280390 req, miss ratio 0.7130, byte miss ratio 0.7130
cdn1_colo28.ns229 S3FIFO-0.4000-1.9000 cache size    92157, 10280390 req, miss ratio 0.6227, byte miss ratio 0.6227
cdn1_colo28.ns229 S3FIFO-0.4000-1.9000 cache size   307192, 10280390 req, miss ratio 0.4775, byte miss ratio 0.4775
cdn1_colo28.ns229 S3FIFO-0.4000-1.9000 cache size   614385, 10280390 req, miss ratio 0.3869, byte miss ratio 0.3869
cdn1_colo28.ns229 S3FIFO-0.4000-1.9000 cache size  1228770, 10280390 req, miss ratio 0.3229, byte miss ratio 0.3229
cdn1_colo28.ns229 S3FIFO-0.4000-1.9000 cache size  2457541, 10280390 req, miss ratio 0.2997, byte miss ratio 0.2997
cdn1_colo28.ns229 S3FIFO-0.4500-0.9000 cache size     3071, 10280390 req, miss ratio 0.8273, byte miss ratio 0.8273
cdn1_colo28.ns229 S3FIFO-0.4500-0.9000 cache size     9215, 10280390 req, miss ratio 0.7800, byte miss ratio 0.7800
cdn1_colo28.ns229 S3FIFO-0.4500-0.9000 cache size    30719, 10280390 req, miss ratio 0.7140, byte miss ratio 0.7140
cdn1_colo28.ns229 S3FIFO-0.4500-0.9000 cache size    92157, 10280390 req, miss ratio 0.6223, byte miss ratio 0.6223
cdn1_colo28.ns229 S3FIFO-0.4500-0.9000 cache size   307192, 10280390 req, miss ratio 0.4777, byte miss ratio 0.4777
cdn1_colo28.ns229 S3FIFO-0.4500-0.9000 cache size   614385, 10280390 req, miss ratio 0.3879, byte miss ratio 0.3879
cdn1_colo28.ns229 S3FIFO-0.4500-0.9000 cache size  1228770, 10280390 req, miss ratio 0.3232, byte miss ratio 0.3232
cdn1_colo28.ns229 S3FIFO-0.4500-0.9000 cache size  2457541, 10280390 req, miss ratio 0.2997, byte miss ratio 0.2997
cdn1_colo28.ns229 S3FIFO-0.7000-1.9000 cache size     3071, 10280390 req, miss ratio 0.8443, byte miss ratio 0.8443
cdn1_colo28.ns229 S3FIFO-0.7000-1.9000 cache size     9215, 10280390 req, miss ratio 0.7977, byte miss ratio 0.7977
cdn1_colo28.ns229 S3FIFO-0.7000-1.9000 cache size    30719, 10280390 req, miss ratio 0.7325, byte miss ratio 0.7325
cdn1_colo28.ns229 S3FIFO-0.7000-1.9000 cache size    92157, 10280390 req, miss ratio 0.6440, byte miss ratio 0.6440
cdn1_colo28.ns229 S3FIFO-0.7000-1.9000 cache size   307192, 10280390 req, miss ratio 0.5088, byte miss ratio 0.5088
cdn1_colo28.ns229 S3FIFO-0.7000-1.9000 cache size   614385, 10280390 req, miss ratio 0.4072, byte miss ratio 0.4072
cdn1_colo28.ns229 S3FIFO-0.7000-1.9000 cache size  1228770, 10280390 req, miss ratio 0.3296, byte miss ratio 0.3296
cdn1_colo28.ns229 S3FIFO-0.7000-1.9000 cache size  2457541, 10280390 req, miss ratio 0.2997, byte miss ratio 0.2997
cdn1_colo28.ns229 S3FIFO-0.5000-0.9000 cache size     3071, 10280390 req, miss ratio 0.8297, byte miss ratio 0.8297
cdn1_colo28.ns229 S3FIFO-0.5000-0.9000 cache size     9215, 10280390 req, miss ratio 0.7824, byte miss ratio 0.7824
cdn1_colo28.ns229 S3FIFO-0.5000-0.9000 cache size    30719, 10280390 req, miss ratio 0.7163, byte miss ratio 0.7163
cdn1_colo28.ns229 S3FIFO-0.5000-0.9000 cache size    92157, 10280390 req, miss ratio 0.6255, byte miss ratio 0.6255
cdn1_colo28.ns229 S3FIFO-0.5000-0.9000 cache size   307192, 10280390 req, miss ratio 0.4824, byte miss ratio 0.4824
cdn1_colo28.ns229 S3FIFO-0.5000-0.9000 cache size   614385, 10280390 req, miss ratio 0.3906, byte miss ratio 0.3906
cdn1_colo28.ns229 S3FIFO-0.5000-0.9000 cache size  1228770, 10280390 req, miss ratio 0.3237, byte miss ratio 0.3237
cdn1_colo28.ns229 S3FIFO-0.5000-0.9000 cache size  2457541, 10280390 req, miss ratio 0.2997, byte miss ratio 0.2997
cdn1_colo28.ns229 S3FIFO-0.0100-0.9000 cache size     3071, 10280390 req, miss ratio 0.8282, byte miss ratio 0.8282
cdn1_colo28.ns229 S3FIFO-0.0100-0.9000 cache size     9215, 10280390 req, miss ratio 0.7768, byte miss ratio 0.7768
cdn1_colo28.ns229 S3FIFO-0.0100-0.9000 cache size    30719, 10280390 req, miss ratio 0.7055, byte miss ratio 0.7055
cdn1_colo28.ns229 S3FIFO-0.0100-0.9000 cache size    92157, 10280390 req, miss ratio 0.6059, byte miss ratio 0.6059
cdn1_colo28.ns229 S3FIFO-0.0100-0.9000 cache size   307192, 10280390 req, miss ratio 0.4647, byte miss ratio 0.4647
cdn1_colo28.ns229 S3FIFO-0.0100-0.9000 cache size   614385, 10280390 req, miss ratio 0.3912, byte miss ratio 0.3912
cdn1_colo28.ns229 S3FIFO-0.0100-0.9000 cache size  1228770, 10280390 req, miss ratio 0.3295, byte miss ratio 0.3295
