tencentBlock.ns9296 S3FIFO-0.7000-0.9000 cache size   539677, 4957575 req, miss ratio 0.1377, byte miss ratio 0.1377
tencentBlock.ns9296 S3FIFO-0.5500-0.9000 cache size      674, 4957575 req, miss ratio 0.5040, byte miss ratio 0.5040
tencentBlock.ns9296 S3FIFO-0.5500-0.9000 cache size     2023, 4957575 req, miss ratio 0.3883, byte miss ratio 0.3883
tencentBlock.ns9296 S3FIFO-0.5500-0.9000 cache size     6745, 4957575 req, miss ratio 0.3301, byte miss ratio 0.3301
tencentBlock.ns9296 S3FIFO-0.5500-0.9000 cache size    20237, 4957575 req, miss ratio 0.2922, byte miss ratio 0.2922
tencentBlock.ns9296 S3FIFO-0.5500-0.9000 cache size    67459, 4957575 req, miss ratio 0.2365, byte miss ratio 0.2365
tencentBlock.ns9296 S3FIFO-0.5500-0.9000 cache size   134919, 4957575 req, miss ratio 0.1913, byte miss ratio 0.1913
tencentBlock.ns9296 S3FIFO-0.5500-0.9000 cache size   269838, 4957575 req, miss ratio 0.1534, byte miss ratio 0.1534
tencentBlock.ns9296 S3FIFO-0.5500-0.9000 cache size   539677, 4957575 req, miss ratio 0.1367, byte miss ratio 0.1367
tencentBlock.ns9296 S3FIFO-0.8000-0.9000 cache size      674, 4957575 req, miss ratio 0.5252, byte miss ratio 0.5252
tencentBlock.ns9296 S3FIFO-0.8000-0.9000 cache size     2023, 4957575 req, miss ratio 0.4276, byte miss ratio 0.4276
tencentBlock.ns9296 S3FIFO-0.8000-0.9000 cache size     6745, 4957575 req, miss ratio 0.3376, byte miss ratio 0.3376
tencentBlock.ns9296 S3FIFO-0.8000-0.9000 cache size    20237, 4957575 req, miss ratio 0.2999, byte miss ratio 0.2999
tencentBlock.ns9296 S3FIFO-0.8000-0.9000 cache size    67459, 4957575 req, miss ratio 0.2383, byte miss ratio 0.2383
tencentBlock.ns9296 S3FIFO-0.8000-0.9000 cache size   134919, 4957575 req, miss ratio 0.1937, byte miss ratio 0.1937
tencentBlock.ns9296 S3FIFO-0.8000-0.9000 cache size   269838, 4957575 req, miss ratio 0.1556, byte miss ratio 0.1556
