tencentBlock.ns6579 S3FIFO-0.0010-1.9000 cache size     1508, 10681212 req, miss ratio 0.4187, byte miss ratio 0.4187
tencentBlock.ns6579 S3FIFO-0.0010-1.9000 cache size     4525, 10681212 req, miss ratio 0.3993, byte miss ratio 0.3993
tencentBlock.ns6579 S3FIFO-0.0010-1.9000 cache size    15085, 10681212 req, miss ratio 0.3529, byte miss ratio 0.3529
tencentBlock.ns6579 S3FIFO-0.0010-1.9000 cache size    45255, 10681212 req, miss ratio 0.2982, byte miss ratio 0.2982
tencentBlock.ns6579 S3FIFO-0.0010-1.9000 cache size   150851, 10681212 req, miss ratio 0.2143, byte miss ratio 0.2143
tencentBlock.ns6579 S3FIFO-0.0010-1.9000 cache size   301702, 10681212 req, miss ratio 0.1839, byte miss ratio 0.1839
tencentBlock.ns6579 S3FIFO-0.0010-1.9000 cache size   603404, 10681212 req, miss ratio 0.1602, byte miss ratio 0.1602
tencentBlock.ns6579 S3FIFO-0.0010-1.9000 cache size  1206808, 10681212 req, miss ratio 0.1419, byte miss ratio 0.1419
tencentBlock.ns6579 S3FIFO-0.2500-1.9000 cache size     1508, 10681212 req, miss ratio 0.4170, byte miss ratio 0.4170
tencentBlock.ns6579 S3FIFO-0.2500-1.9000 cache size     4525, 10681212 req, miss ratio 0.3686, byte miss ratio 0.3686
tencentBlock.ns6579 S3FIFO-0.2500-1.9000 cache size    15085, 10681212 req, miss ratio 0.3234, byte miss ratio 0.3234
tencentBlock.ns6579 S3FIFO-0.2500-1.9000 cache size    45255, 10681212 req, miss ratio 0.2676, byte miss ratio 0.2676
tencentBlock.ns6579 S3FIFO-0.2500-1.9000 cache size   150851, 10681212 req, miss ratio 0.1812, byte miss ratio 0.1812
tencentBlock.ns6579 S3FIFO-0.2500-1.9000 cache size   301702, 10681212 req, miss ratio 0.1578, byte miss ratio 0.1578
tencentBlock.ns6579 S3FIFO-0.2500-1.9000 cache size   603404, 10681212 req, miss ratio 0.1463, byte miss ratio 0.1463
tencentBlock.ns6579 S3FIFO-0.2500-1.9000 cache size  1206808, 10681212 req, miss ratio 0.1419, byte miss ratio 0.1419
tencentBlock.ns6579 S3FIFO-0.8000-1.9000 cache size     1508, 10681212 req, miss ratio 0.5672, byte miss ratio 0.5672
tencentBlock.ns6579 S3FIFO-0.8000-1.9000 cache size     4525, 10681212 req, miss ratio 0.3997, byte miss ratio 0.3997
tencentBlock.ns6579 S3FIFO-0.8000-1.9000 cache size    15085, 10681212 req, miss ratio 0.3404, byte miss ratio 0.3404
tencentBlock.ns6579 S3FIFO-0.8000-1.9000 cache size    45255, 10681212 req, miss ratio 0.2673, byte miss ratio 0.2673
tencentBlock.ns6579 S3FIFO-0.8000-1.9000 cache size   150851, 10681212 req, miss ratio 0.2043, byte miss ratio 0.2043
tencentBlock.ns6579 S3FIFO-0.8000-1.9000 cache size   301702, 10681212 req, miss ratio 0.1737, byte miss ratio 0.1737
tencentBlock.ns6579 S3FIFO-0.8000-1.9000 cache size   603404, 10681212 req, miss ratio 0.1511, byte miss ratio 0.1511
tencentBlock.ns6579 S3FIFO-0.8000-1.9000 cache size  1206808, 10681212 req, miss ratio 0.1429, byte miss ratio 0.1429
tencentBlock.ns6579 S3FIFO-0.0050-0.9000 cache size     1508, 10681212 req, miss ratio 0.4178, byte miss ratio 0.4178
tencentBlock.ns6579 S3FIFO-0.0050-0.9000 cache size     4525, 10681212 req, miss ratio 0.3972, byte miss ratio 0.3972
tencentBlock.ns6579 S3FIFO-0.0050-0.9000 cache size    15085, 10681212 req, miss ratio 0.3447, byte miss ratio 0.3447
tencentBlock.ns6579 S3FIFO-0.0050-0.9000 cache size    45255, 10681212 req, miss ratio 0.2839, byte miss ratio 0.2839
tencentBlock.ns6579 S3FIFO-0.0050-0.9000 cache size   150851, 10681212 req, miss ratio 0.2103, byte miss ratio 0.2103
tencentBlock.ns6579 S3FIFO-0.0050-0.9000 cache size   301702, 10681212 req, miss ratio 0.1791, byte miss ratio 0.1791
tencentBlock.ns6579 S3FIFO-0.0050-0.9000 cache size   603404, 10681212 req, miss ratio 0.1562, byte miss ratio 0.1562
tencentBlock.ns6579 S3FIFO-0.0050-0.9000 cache size  1206808, 10681212 req, miss ratio 0.1419, byte miss ratio 0.1419
tencentBlock.ns6579 S3FIFO-0.6500-1.9000 cache size     1508, 10681212 req, miss ratio 0.5312, byte miss ratio 0.5312
tencentBlock.ns6579 S3FIFO-0.6500-1.9000 cache size     4525, 10681212 req, miss ratio 0.3737, byte miss ratio 0.3737
tencentBlock.ns6579 S3FIFO-0.6500-1.9000 cache size    15085, 10681212 req, miss ratio 0.3379, byte miss ratio 0.3379
tencentBlock.ns6579 S3FIFO-0.6500-1.9000 cache size    45255, 10681212 req, miss ratio 0.2605, byte miss ratio 0.2605
tencentBlock.ns6579 S3FIFO-0.6500-1.9000 cache size   150851, 10681212 req, miss ratio 0.1973, byte miss ratio 0.1973
tencentBlock.ns6579 S3FIFO-0.6500-1.9000 cache size   301702, 10681212 req, miss ratio 0.1672, byte miss ratio 0.1672
