tencentBlock.ns8949 S3FIFO-0.1500-1.9000 cache size       81, 1876668 req, miss ratio 0.4799, byte miss ratio 0.4799
tencentBlock.ns8949 S3FIFO-0.1500-1.9000 cache size      244, 1876668 req, miss ratio 0.3269, byte miss ratio 0.3269
tencentBlock.ns8949 S3FIFO-0.1500-1.9000 cache size      816, 1876668 req, miss ratio 0.2453, byte miss ratio 0.2453
tencentBlock.ns8949 S3FIFO-0.1500-1.9000 cache size     2448, 1876668 req, miss ratio 0.2325, byte miss ratio 0.2325
tencentBlock.ns8949 S3FIFO-0.1500-1.9000 cache size     8160, 1876668 req, miss ratio 0.2168, byte miss ratio 0.2168
tencentBlock.ns8949 S3FIFO-0.1500-1.9000 cache size    16320, 1876668 req, miss ratio 0.2228, byte miss ratio 0.2228
tencentBlock.ns8949 S3FIFO-0.1500-1.9000 cache size    32640, 1876668 req, miss ratio 0.1751, byte miss ratio 0.1751
tencentBlock.ns8949 S3FIFO-0.1500-1.9000 cache size    65280, 1876668 req, miss ratio 0.0483, byte miss ratio 0.0483
tencentBlock.ns8949 S3FIFO-0.0500-1.9000 cache size       81, 1876668 req, miss ratio 0.4750, byte miss ratio 0.4750
tencentBlock.ns8949 S3FIFO-0.0500-1.9000 cache size      244, 1876668 req, miss ratio 0.3202, byte miss ratio 0.3202
tencentBlock.ns8949 S3FIFO-0.0500-1.9000 cache size      816, 1876668 req, miss ratio 0.2456, byte miss ratio 0.2456
tencentBlock.ns8949 S3FIFO-0.0500-1.9000 cache size     2448, 1876668 req, miss ratio 0.2332, byte miss ratio 0.2332
tencentBlock.ns8949 S3FIFO-0.0500-1.9000 cache size     8160, 1876668 req, miss ratio 0.2163, byte miss ratio 0.2163
tencentBlock.ns8949 S3FIFO-0.0500-1.9000 cache size    16320, 1876668 req, miss ratio 0.2169, byte miss ratio 0.2169
tencentBlock.ns8949 S3FIFO-0.0500-1.9000 cache size    32640, 1876668 req, miss ratio 0.1684, byte miss ratio 0.1684
tencentBlock.ns8949 S3FIFO-0.0500-1.9000 cache size    65280, 1876668 req, miss ratio 0.0450, byte miss ratio 0.0450
tencentBlock.ns8949 S3FIFO-0.5500-0.9000 cache size       81, 1876668 req, miss ratio 0.4885, byte miss ratio 0.4885
tencentBlock.ns8949 S3FIFO-0.5500-0.9000 cache size      244, 1876668 req, miss ratio 0.3616, byte miss ratio 0.3616
tencentBlock.ns8949 S3FIFO-0.5500-0.9000 cache size      816, 1876668 req, miss ratio 0.2494, byte miss ratio 0.2494
tencentBlock.ns8949 S3FIFO-0.5500-0.9000 cache size     2448, 1876668 req, miss ratio 0.2356, byte miss ratio 0.2356
tencentBlock.ns8949 S3FIFO-0.5500-0.9000 cache size     8160, 1876668 req, miss ratio 0.2287, byte miss ratio 0.2287
tencentBlock.ns8949 S3FIFO-0.5500-0.9000 cache size    16320, 1876668 req, miss ratio 0.2117, byte miss ratio 0.2117
tencentBlock.ns8949 S3FIFO-0.5500-0.9000 cache size    32640, 1876668 req, miss ratio 0.1942, byte miss ratio 0.1942
tencentBlock.ns8949 S3FIFO-0.5500-0.9000 cache size    65280, 1876668 req, miss ratio 0.0611, byte miss ratio 0.0611
tencentBlock.ns8949 S3FIFO-0.5000-1.9000 cache size       81, 1876668 req, miss ratio 0.5018, byte miss ratio 0.5018
tencentBlock.ns8949 S3FIFO-0.5000-1.9000 cache size      244, 1876668 req, miss ratio 0.3584, byte miss ratio 0.3584
tencentBlock.ns8949 S3FIFO-0.5000-1.9000 cache size      816, 1876668 req, miss ratio 0.2477, byte miss ratio 0.2477
tencentBlock.ns8949 S3FIFO-0.5000-1.9000 cache size     2448, 1876668 req, miss ratio 0.2346, byte miss ratio 0.2346
tencentBlock.ns8949 S3FIFO-0.5000-1.9000 cache size     8160, 1876668 req, miss ratio 0.2272, byte miss ratio 0.2272
tencentBlock.ns8949 S3FIFO-0.5000-1.9000 cache size    16320, 1876668 req, miss ratio 0.2301, byte miss ratio 0.2301
tencentBlock.ns8949 S3FIFO-0.5000-1.9000 cache size    32640, 1876668 req, miss ratio 0.1946, byte miss ratio 0.1946
tencentBlock.ns8949 S3FIFO-0.5000-1.9000 cache size    65280, 1876668 req, miss ratio 0.0595, byte miss ratio 0.0595
tencentBlock.ns8949 S3FIFO-0.7000-0.9000 cache size       81, 1876668 req, miss ratio 0.5158, byte miss ratio 0.5158
tencentBlock.ns8949 S3FIFO-0.7000-0.9000 cache size      244, 1876668 req, miss ratio 0.3779, byte miss ratio 0.3779
tencentBlock.ns8949 S3FIFO-0.7000-0.9000 cache size      816, 1876668 req, miss ratio 0.2546, byte miss ratio 0.2546
tencentBlock.ns8949 S3FIFO-0.7000-0.9000 cache size     2448, 1876668 req, miss ratio 0.2380, byte miss ratio 0.2380
tencentBlock.ns8949 S3FIFO-0.7000-0.9000 cache size     8160, 1876668 req, miss ratio 0.2307, byte miss ratio 0.2307
