cdn1_allcolo.ns994 S3FIFO-0.4000-1.9000 cache size      456, 8731092 req, miss ratio 0.8413, byte miss ratio 0.8413
cdn1_allcolo.ns994 S3FIFO-0.4000-1.9000 cache size     1368, 8731092 req, miss ratio 0.7527, byte miss ratio 0.7527
cdn1_allcolo.ns994 S3FIFO-0.4000-1.9000 cache size     4562, 8731092 req, miss ratio 0.6154, byte miss ratio 0.6154
cdn1_allcolo.ns994 S3FIFO-0.4000-1.9000 cache size    13687, 8731092 req, miss ratio 0.4525, byte miss ratio 0.4525
cdn1_allcolo.ns994 S3FIFO-0.4000-1.9000 cache size    45624, 8731092 req, miss ratio 0.2554, byte miss ratio 0.2554
cdn1_allcolo.ns994 S3FIFO-0.4000-1.9000 cache size    91248, 8731092 req, miss ratio 0.1568, byte miss ratio 0.1568
cdn1_allcolo.ns994 S3FIFO-0.4000-1.9000 cache size   182497, 8731092 req, miss ratio 0.0869, byte miss ratio 0.0869
cdn1_allcolo.ns994 S3FIFO-0.4000-1.9000 cache size   364995, 8731092 req, miss ratio 0.0543, byte miss ratio 0.0543
cdn1_allcolo.ns994 S3FIFO-0.6000-1.9000 cache size      456, 8731092 req, miss ratio 0.8582, byte miss ratio 0.8582
cdn1_allcolo.ns994 S3FIFO-0.6000-1.9000 cache size     1368, 8731092 req, miss ratio 0.7743, byte miss ratio 0.7743
cdn1_allcolo.ns994 S3FIFO-0.6000-1.9000 cache size     4562, 8731092 req, miss ratio 0.6414, byte miss ratio 0.6414
cdn1_allcolo.ns994 S3FIFO-0.6000-1.9000 cache size    13687, 8731092 req, miss ratio 0.4779, byte miss ratio 0.4779
cdn1_allcolo.ns994 S3FIFO-0.6000-1.9000 cache size    45624, 8731092 req, miss ratio 0.2730, byte miss ratio 0.2730
cdn1_allcolo.ns994 S3FIFO-0.6000-1.9000 cache size    91248, 8731092 req, miss ratio 0.1697, byte miss ratio 0.1697
cdn1_allcolo.ns994 S3FIFO-0.6000-1.9000 cache size   182497, 8731092 req, miss ratio 0.0942, byte miss ratio 0.0942
cdn1_allcolo.ns994 S3FIFO-0.6000-1.9000 cache size   364995, 8731092 req, miss ratio 0.0557, byte miss ratio 0.0557
cdn1_allcolo.ns994 S3FIFO-0.5500-1.9000 cache size      456, 8731092 req, miss ratio 0.8534, byte miss ratio 0.8534
cdn1_allcolo.ns994 S3FIFO-0.5500-1.9000 cache size     1368, 8731092 req, miss ratio 0.7683, byte miss ratio 0.7683
cdn1_allcolo.ns994 S3FIFO-0.5500-1.9000 cache size     4562, 8731092 req, miss ratio 0.6343, byte miss ratio 0.6343
cdn1_allcolo.ns994 S3FIFO-0.5500-1.9000 cache size    13687, 8731092 req, miss ratio 0.4711, byte miss ratio 0.4711
cdn1_allcolo.ns994 S3FIFO-0.5500-1.9000 cache size    45624, 8731092 req, miss ratio 0.2684, byte miss ratio 0.2684
cdn1_allcolo.ns994 S3FIFO-0.5500-1.9000 cache size    91248, 8731092 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns994 S3FIFO-0.5500-1.9000 cache size   182497, 8731092 req, miss ratio 0.0922, byte miss ratio 0.0922
cdn1_allcolo.ns994 S3FIFO-0.5500-1.9000 cache size   364995, 8731092 req, miss ratio 0.0553, byte miss ratio 0.0553
cdn1_allcolo.ns994 S3FIFO-0.2000-0.9000 cache size      456, 8731092 req, miss ratio 0.8287, byte miss ratio 0.8287
cdn1_allcolo.ns994 S3FIFO-0.2000-0.9000 cache size     1368, 8731092 req, miss ratio 0.7338, byte miss ratio 0.7338
cdn1_allcolo.ns994 S3FIFO-0.2000-0.9000 cache size     4562, 8731092 req, miss ratio 0.5899, byte miss ratio 0.5899
cdn1_allcolo.ns994 S3FIFO-0.2000-0.9000 cache size    13687, 8731092 req, miss ratio 0.4256, byte miss ratio 0.4256
cdn1_allcolo.ns994 S3FIFO-0.2000-0.9000 cache size    45624, 8731092 req, miss ratio 0.2358, byte miss ratio 0.2358
cdn1_allcolo.ns994 S3FIFO-0.2000-0.9000 cache size    91248, 8731092 req, miss ratio 0.1439, byte miss ratio 0.1439
cdn1_allcolo.ns994 S3FIFO-0.2000-0.9000 cache size   182497, 8731092 req, miss ratio 0.0815, byte miss ratio 0.0815
cdn1_allcolo.ns994 S3FIFO-0.2000-0.9000 cache size   364995, 8731092 req, miss ratio 0.0540, byte miss ratio 0.0540
cdn1_allcolo.ns994 S3FIFO-0.9500-0.9000 cache size      456, 8731092 req, miss ratio 0.9051, byte miss ratio 0.9051
cdn1_allcolo.ns994 S3FIFO-0.9500-0.9000 cache size     1368, 8731092 req, miss ratio 0.8302, byte miss ratio 0.8302
cdn1_allcolo.ns994 S3FIFO-0.9500-0.9000 cache size     4562, 8731092 req, miss ratio 0.7003, byte miss ratio 0.7003
cdn1_allcolo.ns994 S3FIFO-0.9500-0.9000 cache size    13687, 8731092 req, miss ratio 0.5336, byte miss ratio 0.5336
cdn1_allcolo.ns994 S3FIFO-0.9500-0.9000 cache size    45624, 8731092 req, miss ratio 0.3162, byte miss ratio 0.3162
cdn1_allcolo.ns994 S3FIFO-0.9500-0.9000 cache size    91248, 8731092 req, miss ratio 0.2016, byte miss ratio 0.2016
cdn1_allcolo.ns994 S3FIFO-0.9500-0.9000 cache size   182497, 8731092 req, miss ratio 0.1128, byte miss ratio 0.1128
cdn1_allcolo.ns994 S3FIFO-0.9500-0.9000 cache size   364995, 8731092 req, miss ratio 0.0637, byte miss ratio 0.0637
cdn1_allcolo.ns994 S3FIFO-0.7000-1.9000 cache size      456, 8731092 req, miss ratio 0.8694, byte miss ratio 0.8694
cdn1_allcolo.ns994 S3FIFO-0.7000-1.9000 cache size     1368, 8731092 req, miss ratio 0.7878, byte miss ratio 0.7878
cdn1_allcolo.ns994 S3FIFO-0.7000-1.9000 cache size     4562, 8731092 req, miss ratio 0.6568, byte miss ratio 0.6568
cdn1_allcolo.ns994 S3FIFO-0.7000-1.9000 cache size    13687, 8731092 req, miss ratio 0.4923, byte miss ratio 0.4923
cdn1_allcolo.ns994 S3FIFO-0.7000-1.9000 cache size    45624, 8731092 req, miss ratio 0.2828, byte miss ratio 0.2828
cdn1_allcolo.ns994 S3FIFO-0.7000-1.9000 cache size    91248, 8731092 req, miss ratio 0.1768, byte miss ratio 0.1768
cdn1_allcolo.ns994 S3FIFO-0.7000-1.9000 cache size   182497, 8731092 req, miss ratio 0.0987, byte miss ratio 0.0987
cdn1_allcolo.ns994 S3FIFO-0.7000-1.9000 cache size   364995, 8731092 req, miss ratio 0.0570, byte miss ratio 0.0570
cdn1_allcolo.ns994 S3FIFO-0.4500-1.9000 cache size      456, 8731092 req, miss ratio 0.8451, byte miss ratio 0.8451
