cdn1_colo28.ns527 S3FIFO-0.7500-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.8500-1.9000 cache size      298, 1136325 req, miss ratio 0.6619, byte miss ratio 0.6619
cdn1_colo28.ns527 S3FIFO-0.8500-1.9000 cache size      896, 1136325 req, miss ratio 0.5643, byte miss ratio 0.5643
cdn1_colo28.ns527 S3FIFO-0.8500-1.9000 cache size     2987, 1136325 req, miss ratio 0.4634, byte miss ratio 0.4634
cdn1_colo28.ns527 S3FIFO-0.8500-1.9000 cache size     8961, 1136325 req, miss ratio 0.3752, byte miss ratio 0.3752
cdn1_colo28.ns527 S3FIFO-0.8500-1.9000 cache size    29873, 1136325 req, miss ratio 0.3023, byte miss ratio 0.3023
cdn1_colo28.ns527 S3FIFO-0.8500-1.9000 cache size    59746, 1136325 req, miss ratio 0.2783, byte miss ratio 0.2783
cdn1_colo28.ns527 S3FIFO-0.8500-1.9000 cache size   119492, 1136325 req, miss ratio 0.2667, byte miss ratio 0.2667
cdn1_colo28.ns527 S3FIFO-0.8500-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.1000-1.9000 cache size      298, 1136325 req, miss ratio 0.5944, byte miss ratio 0.5944
cdn1_colo28.ns527 S3FIFO-0.1000-1.9000 cache size      896, 1136325 req, miss ratio 0.5026, byte miss ratio 0.5026
cdn1_colo28.ns527 S3FIFO-0.1000-1.9000 cache size     2987, 1136325 req, miss ratio 0.4125, byte miss ratio 0.4125
cdn1_colo28.ns527 S3FIFO-0.1000-1.9000 cache size     8961, 1136325 req, miss ratio 0.3453, byte miss ratio 0.3453
cdn1_colo28.ns527 S3FIFO-0.1000-1.9000 cache size    29873, 1136325 req, miss ratio 0.2952, byte miss ratio 0.2952
cdn1_colo28.ns527 S3FIFO-0.1000-1.9000 cache size    59746, 1136325 req, miss ratio 0.2768, byte miss ratio 0.2768
cdn1_colo28.ns527 S3FIFO-0.1000-1.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.1000-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.2000-0.9000 cache size      298, 1136325 req, miss ratio 0.5950, byte miss ratio 0.5950
cdn1_colo28.ns527 S3FIFO-0.2000-0.9000 cache size      896, 1136325 req, miss ratio 0.5042, byte miss ratio 0.5042
cdn1_colo28.ns527 S3FIFO-0.2000-0.9000 cache size     2987, 1136325 req, miss ratio 0.4136, byte miss ratio 0.4136
cdn1_colo28.ns527 S3FIFO-0.2000-0.9000 cache size     8961, 1136325 req, miss ratio 0.3441, byte miss ratio 0.3441
cdn1_colo28.ns527 S3FIFO-0.2000-0.9000 cache size    29873, 1136325 req, miss ratio 0.2919, byte miss ratio 0.2919
