cdn1_allcolo.ns705 S3FIFO-0.5500-0.9000 cache size        6, 2620630 req, miss ratio 0.3392, byte miss ratio 0.3392
cdn1_allcolo.ns705 S3FIFO-0.5500-0.9000 cache size       20, 2620630 req, miss ratio 0.0279, byte miss ratio 0.0279
cdn1_allcolo.ns705 S3FIFO-0.5500-0.9000 cache size       69, 2620630 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns705 S3FIFO-0.5500-0.9000 cache size      138, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.5500-0.9000 cache size      277, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.5500-0.9000 cache size      554, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.6000-0.9000 cache size        6, 2620630 req, miss ratio 0.3392, byte miss ratio 0.3392
cdn1_allcolo.ns705 S3FIFO-0.6000-0.9000 cache size       20, 2620630 req, miss ratio 0.0287, byte miss ratio 0.0287
cdn1_allcolo.ns705 S3FIFO-0.6000-0.9000 cache size       69, 2620630 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns705 S3FIFO-0.6000-0.9000 cache size      138, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.6000-0.9000 cache size      277, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.6000-0.9000 cache size      554, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.3000-1.9000 cache size        6, 2620630 req, miss ratio 0.3149, byte miss ratio 0.3149
cdn1_allcolo.ns705 S3FIFO-0.3000-1.9000 cache size       20, 2620630 req, miss ratio 0.0248, byte miss ratio 0.0248
cdn1_allcolo.ns705 S3FIFO-0.3000-1.9000 cache size       69, 2620630 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns705 S3FIFO-0.3000-1.9000 cache size      138, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.3000-1.9000 cache size      277, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.3000-1.9000 cache size      554, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.2000-0.9000 cache size        6, 2620630 req, miss ratio 0.2932, byte miss ratio 0.2932
cdn1_allcolo.ns705 S3FIFO-0.2000-0.9000 cache size       20, 2620630 req, miss ratio 0.0233, byte miss ratio 0.0233
cdn1_allcolo.ns705 S3FIFO-0.2000-0.9000 cache size       69, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.2000-0.9000 cache size      138, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.2000-0.9000 cache size      277, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.2000-0.9000 cache size      554, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.9000-0.9000 cache size        6, 2620630 req, miss ratio 0.3811, byte miss ratio 0.3811
cdn1_allcolo.ns705 S3FIFO-0.9000-0.9000 cache size       20, 2620630 req, miss ratio 0.0337, byte miss ratio 0.0337
cdn1_allcolo.ns705 S3FIFO-0.9000-0.9000 cache size       69, 2620630 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns705 S3FIFO-0.9000-0.9000 cache size      138, 2620630 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns705 S3FIFO-0.9000-0.9000 cache size      277, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.9000-0.9000 cache size      554, 2620630 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns705 S3FIFO-0.4000-1.9000 cache size        6, 2620630 req, miss ratio 0.3266, byte miss ratio 0.3266
cdn1_allcolo.ns705 S3FIFO-0.4000-1.9000 cache size       20, 2620630 req, miss ratio 0.0259, byte miss ratio 0.0259
