index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    30960, 235444220 req, miss ratio 0.1362, byte miss ratio 0.1362
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   103201, 235444220 req, miss ratio 0.0915, byte miss ratio 0.0915
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   309604, 235444220 req, miss ratio 0.0670, byte miss ratio 0.0670
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  1032015, 235444220 req, miss ratio 0.0524, byte miss ratio 0.0524
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  2064031, 235444220 req, miss ratio 0.0479, byte miss ratio 0.0479
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  4128062, 235444220 req, miss ratio 0.0458, byte miss ratio 0.0458
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  8256124, 235444220 req, miss ratio 0.0443, byte miss ratio 0.0443
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    10320, 235444220 req, miss ratio 0.1951, byte miss ratio 0.1951
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    30960, 235444220 req, miss ratio 0.1385, byte miss ratio 0.1385
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   103201, 235444220 req, miss ratio 0.0930, byte miss ratio 0.0930
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   309604, 235444220 req, miss ratio 0.0679, byte miss ratio 0.0679
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  1032015, 235444220 req, miss ratio 0.0528, byte miss ratio 0.0528
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  2064031, 235444220 req, miss ratio 0.0480, byte miss ratio 0.0480
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  4128062, 235444220 req, miss ratio 0.0458, byte miss ratio 0.0458
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  8256124, 235444220 req, miss ratio 0.0443, byte miss ratio 0.0443
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    10320, 235444220 req, miss ratio 0.2178, byte miss ratio 0.2178
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    30960, 235444220 req, miss ratio 0.1575, byte miss ratio 0.1575
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   103201, 235444220 req, miss ratio 0.1065, byte miss ratio 0.1065
