cdn1_colo28.ns259 S3FIFO-0.0050-0.9000 cache size       56, 5504594 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns259 S3FIFO-0.0050-0.9000 cache size      168, 5504594 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns259 S3FIFO-0.0050-0.9000 cache size      562, 5504594 req, miss ratio 0.2877, byte miss ratio 0.2877
cdn1_colo28.ns259 S3FIFO-0.0050-0.9000 cache size     1687, 5504594 req, miss ratio 0.1603, byte miss ratio 0.1603
cdn1_colo28.ns259 S3FIFO-0.0050-0.9000 cache size     5625, 5504594 req, miss ratio 0.0643, byte miss ratio 0.0643
cdn1_colo28.ns259 S3FIFO-0.0050-0.9000 cache size    11251, 5504594 req, miss ratio 0.0307, byte miss ratio 0.0307
cdn1_colo28.ns259 S3FIFO-0.0050-0.9000 cache size    22502, 5504594 req, miss ratio 0.0141, byte miss ratio 0.0141
cdn1_colo28.ns259 S3FIFO-0.0050-0.9000 cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_colo28.ns259 S3FIFO-0.9000-0.9000 cache size       56, 5504594 req, miss ratio 0.7205, byte miss ratio 0.7205
cdn1_colo28.ns259 S3FIFO-0.9000-0.9000 cache size      168, 5504594 req, miss ratio 0.5716, byte miss ratio 0.5716
cdn1_colo28.ns259 S3FIFO-0.9000-0.9000 cache size      562, 5504594 req, miss ratio 0.3967, byte miss ratio 0.3967
cdn1_colo28.ns259 S3FIFO-0.9000-0.9000 cache size     1687, 5504594 req, miss ratio 0.2370, byte miss ratio 0.2370
cdn1_colo28.ns259 S3FIFO-0.9000-0.9000 cache size     5625, 5504594 req, miss ratio 0.0996, byte miss ratio 0.0996
cdn1_colo28.ns259 S3FIFO-0.9000-0.9000 cache size    11251, 5504594 req, miss ratio 0.0513, byte miss ratio 0.0513
cdn1_colo28.ns259 S3FIFO-0.9000-0.9000 cache size    22502, 5504594 req, miss ratio 0.0240, byte miss ratio 0.0240
cdn1_colo28.ns259 S3FIFO-0.9000-0.9000 cache size    45004, 5504594 req, miss ratio 0.0126, byte miss ratio 0.0126
cdn1_colo28.ns259 S3FIFO-0.7000-1.9000 cache size       56, 5504594 req, miss ratio 0.6817, byte miss ratio 0.6817
cdn1_colo28.ns259 S3FIFO-0.7000-1.9000 cache size      168, 5504594 req, miss ratio 0.5298, byte miss ratio 0.5298
cdn1_colo28.ns259 S3FIFO-0.7000-1.9000 cache size      562, 5504594 req, miss ratio 0.3677, byte miss ratio 0.3677
cdn1_colo28.ns259 S3FIFO-0.7000-1.9000 cache size     1687, 5504594 req, miss ratio 0.2149, byte miss ratio 0.2149
cdn1_colo28.ns259 S3FIFO-0.7000-1.9000 cache size     5625, 5504594 req, miss ratio 0.0877, byte miss ratio 0.0877
cdn1_colo28.ns259 S3FIFO-0.7000-1.9000 cache size    11251, 5504594 req, miss ratio 0.0447, byte miss ratio 0.0447
cdn1_colo28.ns259 S3FIFO-0.7000-1.9000 cache size    22502, 5504594 req, miss ratio 0.0209, byte miss ratio 0.0209
cdn1_colo28.ns259 S3FIFO-0.7000-1.9000 cache size    45004, 5504594 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn1_colo28.ns259 S3FIFO-0.5000-1.9000 cache size       56, 5504594 req, miss ratio 0.6420, byte miss ratio 0.6420
cdn1_colo28.ns259 S3FIFO-0.5000-1.9000 cache size      168, 5504594 req, miss ratio 0.4964, byte miss ratio 0.4964
cdn1_colo28.ns259 S3FIFO-0.5000-1.9000 cache size      562, 5504594 req, miss ratio 0.3436, byte miss ratio 0.3436
cdn1_colo28.ns259 S3FIFO-0.5000-1.9000 cache size     1687, 5504594 req, miss ratio 0.1984, byte miss ratio 0.1984
cdn1_colo28.ns259 S3FIFO-0.5000-1.9000 cache size     5625, 5504594 req, miss ratio 0.0800, byte miss ratio 0.0800
cdn1_colo28.ns259 S3FIFO-0.5000-1.9000 cache size    11251, 5504594 req, miss ratio 0.0400, byte miss ratio 0.0400
cdn1_colo28.ns259 S3FIFO-0.5000-1.9000 cache size    22502, 5504594 req, miss ratio 0.0183, byte miss ratio 0.0183
cdn1_colo28.ns259 S3FIFO-0.5000-1.9000 cache size    45004, 5504594 req, miss ratio 0.0106, byte miss ratio 0.0106
cdn1_colo28.ns259 S3FIFO-0.4500-1.9000 cache size       56, 5504594 req, miss ratio 0.6321, byte miss ratio 0.6321
cdn1_colo28.ns259 S3FIFO-0.4500-1.9000 cache size      168, 5504594 req, miss ratio 0.4889, byte miss ratio 0.4889
cdn1_colo28.ns259 S3FIFO-0.4500-1.9000 cache size      562, 5504594 req, miss ratio 0.3377, byte miss ratio 0.3377
cdn1_colo28.ns259 S3FIFO-0.4500-1.9000 cache size     1687, 5504594 req, miss ratio 0.1945, byte miss ratio 0.1945
cdn1_colo28.ns259 S3FIFO-0.4500-1.9000 cache size     5625, 5504594 req, miss ratio 0.0783, byte miss ratio 0.0783
cdn1_colo28.ns259 S3FIFO-0.4500-1.9000 cache size    11251, 5504594 req, miss ratio 0.0389, byte miss ratio 0.0389
cdn1_colo28.ns259 S3FIFO-0.4500-1.9000 cache size    22502, 5504594 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn1_colo28.ns259 S3FIFO-0.4500-1.9000 cache size    45004, 5504594 req, miss ratio 0.0105, byte miss ratio 0.0105
cdn1_colo28.ns259 S3FIFO-0.0250-1.9000 cache size       56, 5504594 req, miss ratio 0.5755, byte miss ratio 0.5755
cdn1_colo28.ns259 S3FIFO-0.0250-1.9000 cache size      168, 5504594 req, miss ratio 0.4446, byte miss ratio 0.4446
cdn1_colo28.ns259 S3FIFO-0.0250-1.9000 cache size      562, 5504594 req, miss ratio 0.2947, byte miss ratio 0.2947
cdn1_colo28.ns259 S3FIFO-0.0250-1.9000 cache size     1687, 5504594 req, miss ratio 0.1651, byte miss ratio 0.1651
cdn1_colo28.ns259 S3FIFO-0.0250-1.9000 cache size     5625, 5504594 req, miss ratio 0.0661, byte miss ratio 0.0661
cdn1_colo28.ns259 S3FIFO-0.0250-1.9000 cache size    11251, 5504594 req, miss ratio 0.0314, byte miss ratio 0.0314
cdn1_colo28.ns259 S3FIFO-0.0250-1.9000 cache size    22502, 5504594 req, miss ratio 0.0142, byte miss ratio 0.0142
cdn1_colo28.ns259 S3FIFO-0.0250-1.9000 cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_colo28.ns259 S3FIFO-0.6500-0.9000 cache size       56, 5504594 req, miss ratio 0.6619, byte miss ratio 0.6619
cdn1_colo28.ns259 S3FIFO-0.6500-0.9000 cache size      168, 5504594 req, miss ratio 0.5133, byte miss ratio 0.5133
cdn1_colo28.ns259 S3FIFO-0.6500-0.9000 cache size      562, 5504594 req, miss ratio 0.3570, byte miss ratio 0.3570
cdn1_colo28.ns259 S3FIFO-0.6500-0.9000 cache size     1687, 5504594 req, miss ratio 0.2104, byte miss ratio 0.2104
cdn1_colo28.ns259 S3FIFO-0.6500-0.9000 cache size     5625, 5504594 req, miss ratio 0.0865, byte miss ratio 0.0865
cdn1_colo28.ns259 S3FIFO-0.6500-0.9000 cache size    11251, 5504594 req, miss ratio 0.0438, byte miss ratio 0.0438
cdn1_colo28.ns259 S3FIFO-0.6500-0.9000 cache size    22502, 5504594 req, miss ratio 0.0202, byte miss ratio 0.0202
cdn1_colo28.ns259 S3FIFO-0.6500-0.9000 cache size    45004, 5504594 req, miss ratio 0.0110, byte miss ratio 0.0110
cdn1_colo28.ns259 S3FIFO-0.0010-1.9000 cache size       56, 5504594 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns259 S3FIFO-0.0010-1.9000 cache size      168, 5504594 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns259 S3FIFO-0.0010-1.9000 cache size      562, 5504594 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns259 S3FIFO-0.0010-1.9000 cache size     1687, 5504594 req, miss ratio 0.1665, byte miss ratio 0.1665
cdn1_colo28.ns259 S3FIFO-0.0010-1.9000 cache size     5625, 5504594 req, miss ratio 0.0666, byte miss ratio 0.0666
cdn1_colo28.ns259 S3FIFO-0.0010-1.9000 cache size    11251, 5504594 req, miss ratio 0.0315, byte miss ratio 0.0315
cdn1_colo28.ns259 S3FIFO-0.0010-1.9000 cache size    22502, 5504594 req, miss ratio 0.0141, byte miss ratio 0.0141
cdn1_colo28.ns259 S3FIFO-0.0010-1.9000 cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_colo28.ns259 S3FIFO-0.4500-0.9000 cache size       56, 5504594 req, miss ratio 0.6229, byte miss ratio 0.6229
cdn1_colo28.ns259 S3FIFO-0.4500-0.9000 cache size      168, 5504594 req, miss ratio 0.4811, byte miss ratio 0.4811
cdn1_colo28.ns259 S3FIFO-0.4500-0.9000 cache size      562, 5504594 req, miss ratio 0.3306, byte miss ratio 0.3306
cdn1_colo28.ns259 S3FIFO-0.4500-0.9000 cache size     1687, 5504594 req, miss ratio 0.1916, byte miss ratio 0.1916
cdn1_colo28.ns259 S3FIFO-0.4500-0.9000 cache size     5625, 5504594 req, miss ratio 0.0781, byte miss ratio 0.0781
cdn1_colo28.ns259 S3FIFO-0.4500-0.9000 cache size    11251, 5504594 req, miss ratio 0.0390, byte miss ratio 0.0390
cdn1_colo28.ns259 S3FIFO-0.4500-0.9000 cache size    22502, 5504594 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn1_colo28.ns259 S3FIFO-0.4500-0.9000 cache size    45004, 5504594 req, miss ratio 0.0105, byte miss ratio 0.0105
cdn1_colo28.ns259 S3FIFO-0.0010-0.9000 cache size       56, 5504594 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns259 S3FIFO-0.0010-0.9000 cache size      168, 5504594 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns259 S3FIFO-0.0010-0.9000 cache size      562, 5504594 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns259 S3FIFO-0.0010-0.9000 cache size     1687, 5504594 req, miss ratio 0.1617, byte miss ratio 0.1617
cdn1_colo28.ns259 S3FIFO-0.0010-0.9000 cache size     5625, 5504594 req, miss ratio 0.0649, byte miss ratio 0.0649
cdn1_colo28.ns259 S3FIFO-0.0010-0.9000 cache size    11251, 5504594 req, miss ratio 0.0309, byte miss ratio 0.0309
cdn1_colo28.ns259 S3FIFO-0.0010-0.9000 cache size    22502, 5504594 req, miss ratio 0.0141, byte miss ratio 0.0141
cdn1_colo28.ns259 S3FIFO-0.0010-0.9000 cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_colo28.ns259 S3FIFO-0.9900-0.9000 cache size       56, 5504594 req, miss ratio 0.7389, byte miss ratio 0.7389
cdn1_colo28.ns259 S3FIFO-0.9900-0.9000 cache size      168, 5504594 req, miss ratio 0.5927, byte miss ratio 0.5927
cdn1_colo28.ns259 S3FIFO-0.9900-0.9000 cache size      562, 5504594 req, miss ratio 0.4141, byte miss ratio 0.4141
cdn1_colo28.ns259 S3FIFO-0.9900-0.9000 cache size     1687, 5504594 req, miss ratio 0.2479, byte miss ratio 0.2479
cdn1_colo28.ns259 S3FIFO-0.9900-0.9000 cache size     5625, 5504594 req, miss ratio 0.1052, byte miss ratio 0.1052
cdn1_colo28.ns259 S3FIFO-0.9900-0.9000 cache size    11251, 5504594 req, miss ratio 0.0544, byte miss ratio 0.0544
cdn1_colo28.ns259 S3FIFO-0.9900-0.9000 cache size    22502, 5504594 req, miss ratio 0.0256, byte miss ratio 0.0256
cdn1_colo28.ns259 S3FIFO-0.9900-0.9000 cache size    45004, 5504594 req, miss ratio 0.0132, byte miss ratio 0.0132
cdn1_colo28.ns259 S3FIFO-0.8500-0.9000 cache size       56, 5504594 req, miss ratio 0.7070, byte miss ratio 0.7070
cdn1_colo28.ns259 S3FIFO-0.8500-0.9000 cache size      168, 5504594 req, miss ratio 0.5577, byte miss ratio 0.5577
cdn1_colo28.ns259 S3FIFO-0.8500-0.9000 cache size      562, 5504594 req, miss ratio 0.3878, byte miss ratio 0.3878
cdn1_colo28.ns259 S3FIFO-0.8500-0.9000 cache size     1687, 5504594 req, miss ratio 0.2314, byte miss ratio 0.2314
cdn1_colo28.ns259 S3FIFO-0.8500-0.9000 cache size     5625, 5504594 req, miss ratio 0.0968, byte miss ratio 0.0968
cdn1_colo28.ns259 S3FIFO-0.8500-0.9000 cache size    11251, 5504594 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns259 S3FIFO-0.8500-0.9000 cache size    22502, 5504594 req, miss ratio 0.0231, byte miss ratio 0.0231
cdn1_colo28.ns259 S3FIFO-0.8500-0.9000 cache size    45004, 5504594 req, miss ratio 0.0123, byte miss ratio 0.0123
cdn1_colo28.ns259 S3FIFO-0.5500-0.9000 cache size       56, 5504594 req, miss ratio 0.6396, byte miss ratio 0.6396
cdn1_colo28.ns259 S3FIFO-0.5500-0.9000 cache size      168, 5504594 req, miss ratio 0.4958, byte miss ratio 0.4958
cdn1_colo28.ns259 S3FIFO-0.5500-0.9000 cache size      562, 5504594 req, miss ratio 0.3436, byte miss ratio 0.3436
cdn1_colo28.ns259 S3FIFO-0.5500-0.9000 cache size     1687, 5504594 req, miss ratio 0.2008, byte miss ratio 0.2008
cdn1_colo28.ns259 S3FIFO-0.5500-0.9000 cache size     5625, 5504594 req, miss ratio 0.0821, byte miss ratio 0.0821
cdn1_colo28.ns259 S3FIFO-0.5500-0.9000 cache size    11251, 5504594 req, miss ratio 0.0413, byte miss ratio 0.0413
cdn1_colo28.ns259 S3FIFO-0.5500-0.9000 cache size    22502, 5504594 req, miss ratio 0.0189, byte miss ratio 0.0189
cdn1_colo28.ns259 S3FIFO-0.5500-0.9000 cache size    45004, 5504594 req, miss ratio 0.0107, byte miss ratio 0.0107
cdn1_colo28.ns259 S3FIFO-0.9000-1.9000 cache size       56, 5504594 req, miss ratio 0.7255, byte miss ratio 0.7255
cdn1_colo28.ns259 S3FIFO-0.9000-1.9000 cache size      168, 5504594 req, miss ratio 0.5742, byte miss ratio 0.5742
