cdn1_allcolo.ns569 S3FIFO-0.0010-1.9000 cache size       15, 3201317 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns569 S3FIFO-0.0010-1.9000 cache size       47, 3201317 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns569 S3FIFO-0.0010-1.9000 cache size      158, 3201317 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns569 S3FIFO-0.0010-1.9000 cache size      316, 3201317 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns569 S3FIFO-0.0010-1.9000 cache size      632, 3201317 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns569 S3FIFO-0.0010-1.9000 cache size     1265, 3201317 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns569 S3FIFO-0.5500-0.9000 cache size       15, 3201317 req, miss ratio 0.5910, byte miss ratio 0.5910
cdn1_allcolo.ns569 S3FIFO-0.5500-0.9000 cache size       47, 3201317 req, miss ratio 0.3020, byte miss ratio 0.3020
cdn1_allcolo.ns569 S3FIFO-0.5500-0.9000 cache size      158, 3201317 req, miss ratio 0.0503, byte miss ratio 0.0503
cdn1_allcolo.ns569 S3FIFO-0.5500-0.9000 cache size      316, 3201317 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns569 S3FIFO-0.5500-0.9000 cache size      632, 3201317 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns569 S3FIFO-0.5500-0.9000 cache size     1265, 3201317 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns569 S3FIFO-0.2000-0.9000 cache size       15, 3201317 req, miss ratio 0.5135, byte miss ratio 0.5135
cdn1_allcolo.ns569 S3FIFO-0.2000-0.9000 cache size       47, 3201317 req, miss ratio 0.2621, byte miss ratio 0.2621
cdn1_allcolo.ns569 S3FIFO-0.2000-0.9000 cache size      158, 3201317 req, miss ratio 0.0384, byte miss ratio 0.0384
cdn1_allcolo.ns569 S3FIFO-0.2000-0.9000 cache size      316, 3201317 req, miss ratio 0.0060, byte miss ratio 0.0060
cdn1_allcolo.ns569 S3FIFO-0.2000-0.9000 cache size      632, 3201317 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns569 S3FIFO-0.2000-0.9000 cache size     1265, 3201317 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns569 S3FIFO-0.6500-1.9000 cache size       15, 3201317 req, miss ratio 0.6219, byte miss ratio 0.6219
cdn1_allcolo.ns569 S3FIFO-0.6500-1.9000 cache size       47, 3201317 req, miss ratio 0.3104, byte miss ratio 0.3104
cdn1_allcolo.ns569 S3FIFO-0.6500-1.9000 cache size      158, 3201317 req, miss ratio 0.0537, byte miss ratio 0.0537
cdn1_allcolo.ns569 S3FIFO-0.6500-1.9000 cache size      316, 3201317 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns569 S3FIFO-0.6500-1.9000 cache size      632, 3201317 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns569 S3FIFO-0.6500-1.9000 cache size     1265, 3201317 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns569 S3FIFO-0.2500-1.9000 cache size       15, 3201317 req, miss ratio 0.5341, byte miss ratio 0.5341
cdn1_allcolo.ns569 S3FIFO-0.2500-1.9000 cache size       47, 3201317 req, miss ratio 0.2734, byte miss ratio 0.2734
cdn1_allcolo.ns569 S3FIFO-0.2500-1.9000 cache size      158, 3201317 req, miss ratio 0.0399, byte miss ratio 0.0399
cdn1_allcolo.ns569 S3FIFO-0.2500-1.9000 cache size      316, 3201317 req, miss ratio 0.0063, byte miss ratio 0.0063
cdn1_allcolo.ns569 S3FIFO-0.2500-1.9000 cache size      632, 3201317 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns569 S3FIFO-0.2500-1.9000 cache size     1265, 3201317 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns569 S3FIFO-0.6000-0.9000 cache size       15, 3201317 req, miss ratio 0.6082, byte miss ratio 0.6082
cdn1_allcolo.ns569 S3FIFO-0.6000-0.9000 cache size       47, 3201317 req, miss ratio 0.3093, byte miss ratio 0.3093
cdn1_allcolo.ns569 S3FIFO-0.6000-0.9000 cache size      158, 3201317 req, miss ratio 0.0523, byte miss ratio 0.0523
cdn1_allcolo.ns569 S3FIFO-0.6000-0.9000 cache size      316, 3201317 req, miss ratio 0.0091, byte miss ratio 0.0091
cdn1_allcolo.ns569 S3FIFO-0.6000-0.9000 cache size      632, 3201317 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns569 S3FIFO-0.6000-0.9000 cache size     1265, 3201317 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns569 S3FIFO-0.5000-0.9000 cache size       15, 3201317 req, miss ratio 0.5733, byte miss ratio 0.5733
cdn1_allcolo.ns569 S3FIFO-0.5000-0.9000 cache size       47, 3201317 req, miss ratio 0.2973, byte miss ratio 0.2973
cdn1_allcolo.ns569 S3FIFO-0.5000-0.9000 cache size      158, 3201317 req, miss ratio 0.0486, byte miss ratio 0.0486
cdn1_allcolo.ns569 S3FIFO-0.5000-0.9000 cache size      316, 3201317 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns569 S3FIFO-0.5000-0.9000 cache size      632, 3201317 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns569 S3FIFO-0.5000-0.9000 cache size     1265, 3201317 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns569 S3FIFO-0.7500-1.9000 cache size       15, 3201317 req, miss ratio 0.6465, byte miss ratio 0.6465
cdn1_allcolo.ns569 S3FIFO-0.7500-1.9000 cache size       47, 3201317 req, miss ratio 0.3224, byte miss ratio 0.3224
cdn1_allcolo.ns569 S3FIFO-0.7500-1.9000 cache size      158, 3201317 req, miss ratio 0.0581, byte miss ratio 0.0581
cdn1_allcolo.ns569 S3FIFO-0.7500-1.9000 cache size      316, 3201317 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_allcolo.ns569 S3FIFO-0.7500-1.9000 cache size      632, 3201317 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_allcolo.ns569 S3FIFO-0.7500-1.9000 cache size     1265, 3201317 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns569 S3FIFO-0.3000-0.9000 cache size       15, 3201317 req, miss ratio 0.5264, byte miss ratio 0.5264
cdn1_allcolo.ns569 S3FIFO-0.3000-0.9000 cache size       47, 3201317 req, miss ratio 0.2750, byte miss ratio 0.2750
cdn1_allcolo.ns569 S3FIFO-0.3000-0.9000 cache size      158, 3201317 req, miss ratio 0.0415, byte miss ratio 0.0415
cdn1_allcolo.ns569 S3FIFO-0.3000-0.9000 cache size      316, 3201317 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_allcolo.ns569 S3FIFO-0.3000-0.9000 cache size      632, 3201317 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns569 S3FIFO-0.3000-0.9000 cache size     1265, 3201317 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns569 S3FIFO-0.1500-0.9000 cache size       15, 3201317 req, miss ratio 0.5020, byte miss ratio 0.5020
cdn1_allcolo.ns569 S3FIFO-0.1500-0.9000 cache size       47, 3201317 req, miss ratio 0.2566, byte miss ratio 0.2566
cdn1_allcolo.ns569 S3FIFO-0.1500-0.9000 cache size      158, 3201317 req, miss ratio 0.0368, byte miss ratio 0.0368
cdn1_allcolo.ns569 S3FIFO-0.1500-0.9000 cache size      316, 3201317 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn1_allcolo.ns569 S3FIFO-0.1500-0.9000 cache size      632, 3201317 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns569 S3FIFO-0.1500-0.9000 cache size     1265, 3201317 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns569 S3FIFO-0.9000-1.9000 cache size       15, 3201317 req, miss ratio 0.6637, byte miss ratio 0.6637
cdn1_allcolo.ns569 S3FIFO-0.9000-1.9000 cache size       47, 3201317 req, miss ratio 0.3422, byte miss ratio 0.3422
cdn1_allcolo.ns569 S3FIFO-0.9000-1.9000 cache size      158, 3201317 req, miss ratio 0.0646, byte miss ratio 0.0646
cdn1_allcolo.ns569 S3FIFO-0.9000-1.9000 cache size      316, 3201317 req, miss ratio 0.0120, byte miss ratio 0.0120
cdn1_allcolo.ns569 S3FIFO-0.9000-1.9000 cache size      632, 3201317 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns569 S3FIFO-0.9000-1.9000 cache size     1265, 3201317 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns569 S3FIFO-0.5500-1.9000 cache size       15, 3201317 req, miss ratio 0.6077, byte miss ratio 0.6077
cdn1_allcolo.ns569 S3FIFO-0.5500-1.9000 cache size       47, 3201317 req, miss ratio 0.3004, byte miss ratio 0.3004
cdn1_allcolo.ns569 S3FIFO-0.5500-1.9000 cache size      158, 3201317 req, miss ratio 0.0497, byte miss ratio 0.0497
cdn1_allcolo.ns569 S3FIFO-0.5500-1.9000 cache size      316, 3201317 req, miss ratio 0.0085, byte miss ratio 0.0085
cdn1_allcolo.ns569 S3FIFO-0.5500-1.9000 cache size      632, 3201317 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns569 S3FIFO-0.5500-1.9000 cache size     1265, 3201317 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns569 S3FIFO-0.9500-1.9000 cache size       15, 3201317 req, miss ratio 0.6695, byte miss ratio 0.6695
cdn1_allcolo.ns569 S3FIFO-0.9500-1.9000 cache size       47, 3201317 req, miss ratio 0.3461, byte miss ratio 0.3461
