tencentBlock.ns21300 S3FIFO-0.8500-1.9000 cache size       90, 2570078 req, miss ratio 0.3125, byte miss ratio 0.3125
tencentBlock.ns21300 S3FIFO-0.8500-1.9000 cache size      272, 2570078 req, miss ratio 0.2460, byte miss ratio 0.2460
tencentBlock.ns21300 S3FIFO-0.8500-1.9000 cache size      909, 2570078 req, miss ratio 0.2057, byte miss ratio 0.2057
tencentBlock.ns21300 S3FIFO-0.8500-1.9000 cache size     2727, 2570078 req, miss ratio 0.1967, byte miss ratio 0.1967
tencentBlock.ns21300 S3FIFO-0.8500-1.9000 cache size     9090, 2570078 req, miss ratio 0.1898, byte miss ratio 0.1898
tencentBlock.ns21300 S3FIFO-0.8500-1.9000 cache size    18181, 2570078 req, miss ratio 0.1699, byte miss ratio 0.1699
tencentBlock.ns21300 S3FIFO-0.8500-1.9000 cache size    36363, 2570078 req, miss ratio 0.1148, byte miss ratio 0.1148
tencentBlock.ns21300 S3FIFO-0.8500-1.9000 cache size    72727, 2570078 req, miss ratio 0.0530, byte miss ratio 0.0530
tencentBlock.ns21300 S3FIFO-0.9500-0.9000 cache size       90, 2570078 req, miss ratio 0.3345, byte miss ratio 0.3345
tencentBlock.ns21300 S3FIFO-0.9500-0.9000 cache size      272, 2570078 req, miss ratio 0.2577, byte miss ratio 0.2577
tencentBlock.ns21300 S3FIFO-0.9500-0.9000 cache size      909, 2570078 req, miss ratio 0.2174, byte miss ratio 0.2174
tencentBlock.ns21300 S3FIFO-0.9500-0.9000 cache size     2727, 2570078 req, miss ratio 0.2015, byte miss ratio 0.2015
tencentBlock.ns21300 S3FIFO-0.9500-0.9000 cache size     9090, 2570078 req, miss ratio 0.1920, byte miss ratio 0.1920
tencentBlock.ns21300 S3FIFO-0.9500-0.9000 cache size    18181, 2570078 req, miss ratio 0.1718, byte miss ratio 0.1718
tencentBlock.ns21300 S3FIFO-0.9500-0.9000 cache size    36363, 2570078 req, miss ratio 0.1126, byte miss ratio 0.1126
tencentBlock.ns21300 S3FIFO-0.9500-0.9000 cache size    72727, 2570078 req, miss ratio 0.0545, byte miss ratio 0.0545
tencentBlock.ns21300 S3FIFO-0.1000-1.9000 cache size       90, 2570078 req, miss ratio 0.2693, byte miss ratio 0.2693
tencentBlock.ns21300 S3FIFO-0.1000-1.9000 cache size      272, 2570078 req, miss ratio 0.2073, byte miss ratio 0.2073
tencentBlock.ns21300 S3FIFO-0.1000-1.9000 cache size      909, 2570078 req, miss ratio 0.1957, byte miss ratio 0.1957
tencentBlock.ns21300 S3FIFO-0.1000-1.9000 cache size     2727, 2570078 req, miss ratio 0.1872, byte miss ratio 0.1872
tencentBlock.ns21300 S3FIFO-0.1000-1.9000 cache size     9090, 2570078 req, miss ratio 0.1659, byte miss ratio 0.1659
tencentBlock.ns21300 S3FIFO-0.1000-1.9000 cache size    18181, 2570078 req, miss ratio 0.1589, byte miss ratio 0.1589
tencentBlock.ns21300 S3FIFO-0.1000-1.9000 cache size    36363, 2570078 req, miss ratio 0.1084, byte miss ratio 0.1084
tencentBlock.ns21300 S3FIFO-0.1000-1.9000 cache size    72727, 2570078 req, miss ratio 0.0363, byte miss ratio 0.0363
tencentBlock.ns21300 S3FIFO-0.0010-1.9000 cache size       90, 2570078 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21300 S3FIFO-0.0010-1.9000 cache size      272, 2570078 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21300 S3FIFO-0.0010-1.9000 cache size      909, 2570078 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21300 S3FIFO-0.0010-1.9000 cache size     2727, 2570078 req, miss ratio 0.1974, byte miss ratio 0.1974
tencentBlock.ns21300 S3FIFO-0.0010-1.9000 cache size     9090, 2570078 req, miss ratio 0.1676, byte miss ratio 0.1676
tencentBlock.ns21300 S3FIFO-0.0010-1.9000 cache size    18181, 2570078 req, miss ratio 0.1534, byte miss ratio 0.1534
tencentBlock.ns21300 S3FIFO-0.0010-1.9000 cache size    36363, 2570078 req, miss ratio 0.0990, byte miss ratio 0.0990
tencentBlock.ns21300 S3FIFO-0.0010-1.9000 cache size    72727, 2570078 req, miss ratio 0.0363, byte miss ratio 0.0363
tencentBlock.ns21300 S3FIFO-0.2000-1.9000 cache size       90, 2570078 req, miss ratio 0.2660, byte miss ratio 0.2660
tencentBlock.ns21300 S3FIFO-0.2000-1.9000 cache size      272, 2570078 req, miss ratio 0.2063, byte miss ratio 0.2063
tencentBlock.ns21300 S3FIFO-0.2000-1.9000 cache size      909, 2570078 req, miss ratio 0.1959, byte miss ratio 0.1959
tencentBlock.ns21300 S3FIFO-0.2000-1.9000 cache size     2727, 2570078 req, miss ratio 0.1876, byte miss ratio 0.1876
tencentBlock.ns21300 S3FIFO-0.2000-1.9000 cache size     9090, 2570078 req, miss ratio 0.1679, byte miss ratio 0.1679
tencentBlock.ns21300 S3FIFO-0.2000-1.9000 cache size    18181, 2570078 req, miss ratio 0.1648, byte miss ratio 0.1648
tencentBlock.ns21300 S3FIFO-0.2000-1.9000 cache size    36363, 2570078 req, miss ratio 0.1194, byte miss ratio 0.1194
tencentBlock.ns21300 S3FIFO-0.2000-1.9000 cache size    72727, 2570078 req, miss ratio 0.0377, byte miss ratio 0.0377
tencentBlock.ns21300 S3FIFO-0.0010-0.9000 cache size       90, 2570078 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21300 S3FIFO-0.0010-0.9000 cache size      272, 2570078 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21300 S3FIFO-0.0010-0.9000 cache size      909, 2570078 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21300 S3FIFO-0.0010-0.9000 cache size     2727, 2570078 req, miss ratio 0.1979, byte miss ratio 0.1979
tencentBlock.ns21300 S3FIFO-0.0010-0.9000 cache size     9090, 2570078 req, miss ratio 0.1805, byte miss ratio 0.1805
tencentBlock.ns21300 S3FIFO-0.0010-0.9000 cache size    18181, 2570078 req, miss ratio 0.1390, byte miss ratio 0.1390
tencentBlock.ns21300 S3FIFO-0.0010-0.9000 cache size    36363, 2570078 req, miss ratio 0.0987, byte miss ratio 0.0987
tencentBlock.ns21300 S3FIFO-0.0010-0.9000 cache size    72727, 2570078 req, miss ratio 0.0363, byte miss ratio 0.0363
