cdn1_allcolo.ns20 S3FIFO-0.7500-0.9000 cache size        5, 56552214 req, miss ratio 0.3251, byte miss ratio 0.3251
cdn1_allcolo.ns20 S3FIFO-0.7500-0.9000 cache size       19, 56552214 req, miss ratio 0.0987, byte miss ratio 0.0987
cdn1_allcolo.ns20 S3FIFO-0.7500-0.9000 cache size       57, 56552214 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns20 S3FIFO-0.7500-0.9000 cache size      191, 56552214 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns20 S3FIFO-0.7500-0.9000 cache size      383, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.7500-0.9000 cache size      767, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.7500-0.9000 cache size     1535, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.6500-0.9000 cache size        5, 56552214 req, miss ratio 0.3251, byte miss ratio 0.3251
cdn1_allcolo.ns20 S3FIFO-0.6500-0.9000 cache size       19, 56552214 req, miss ratio 0.0945, byte miss ratio 0.0945
cdn1_allcolo.ns20 S3FIFO-0.6500-0.9000 cache size       57, 56552214 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20 S3FIFO-0.6500-0.9000 cache size      191, 56552214 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns20 S3FIFO-0.6500-0.9000 cache size      383, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.6500-0.9000 cache size      767, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.6500-0.9000 cache size     1535, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.3000-1.9000 cache size        5, 56552214 req, miss ratio 0.2964, byte miss ratio 0.2964
cdn1_allcolo.ns20 S3FIFO-0.3000-1.9000 cache size       19, 56552214 req, miss ratio 0.0801, byte miss ratio 0.0801
cdn1_allcolo.ns20 S3FIFO-0.3000-1.9000 cache size       57, 56552214 req, miss ratio 0.0026, byte miss ratio 0.0026
cdn1_allcolo.ns20 S3FIFO-0.3000-1.9000 cache size      191, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.3000-1.9000 cache size      383, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.3000-1.9000 cache size      767, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.3000-1.9000 cache size     1535, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.7000-0.9000 cache size        5, 56552214 req, miss ratio 0.3251, byte miss ratio 0.3251
cdn1_allcolo.ns20 S3FIFO-0.7000-0.9000 cache size       19, 56552214 req, miss ratio 0.0965, byte miss ratio 0.0965
cdn1_allcolo.ns20 S3FIFO-0.7000-0.9000 cache size       57, 56552214 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns20 S3FIFO-0.7000-0.9000 cache size      191, 56552214 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns20 S3FIFO-0.7000-0.9000 cache size      383, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.7000-0.9000 cache size      767, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.7000-0.9000 cache size     1535, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.1500-0.9000 cache size        5, 56552214 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns20 S3FIFO-0.1500-0.9000 cache size       19, 56552214 req, miss ratio 0.0726, byte miss ratio 0.0726
cdn1_allcolo.ns20 S3FIFO-0.1500-0.9000 cache size       57, 56552214 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_allcolo.ns20 S3FIFO-0.1500-0.9000 cache size      191, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.1500-0.9000 cache size      383, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.1500-0.9000 cache size      767, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.1500-0.9000 cache size     1535, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.9500-0.9000 cache size        5, 56552214 req, miss ratio 0.3404, byte miss ratio 0.3404
cdn1_allcolo.ns20 S3FIFO-0.9500-0.9000 cache size       19, 56552214 req, miss ratio 0.1073, byte miss ratio 0.1073
cdn1_allcolo.ns20 S3FIFO-0.9500-0.9000 cache size       57, 56552214 req, miss ratio 0.0053, byte miss ratio 0.0053
cdn1_allcolo.ns20 S3FIFO-0.9500-0.9000 cache size      191, 56552214 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns20 S3FIFO-0.9500-0.9000 cache size      383, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.9500-0.9000 cache size      767, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.9500-0.9000 cache size     1535, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.5000-0.9000 cache size        5, 56552214 req, miss ratio 0.3057, byte miss ratio 0.3057
cdn1_allcolo.ns20 S3FIFO-0.5000-0.9000 cache size       19, 56552214 req, miss ratio 0.0884, byte miss ratio 0.0884
cdn1_allcolo.ns20 S3FIFO-0.5000-0.9000 cache size       57, 56552214 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_allcolo.ns20 S3FIFO-0.5000-0.9000 cache size      191, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.5000-0.9000 cache size      383, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.5000-0.9000 cache size      767, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.5000-0.9000 cache size     1535, 56552214 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns20 S3FIFO-0.0250-1.9000 cache size        5, 56552214 req, miss ratio 1.0000, byte miss ratio 1.0000
