cdn1_colo28.ns646 S3FIFO-0.9000-0.9000 cache size       13, 11256248 req, miss ratio 0.1040, byte miss ratio 0.1040
cdn1_colo28.ns646 S3FIFO-0.9000-0.9000 cache size       40, 11256248 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_colo28.ns646 S3FIFO-0.9000-0.9000 cache size      133, 11256248 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns646 S3FIFO-0.9000-0.9000 cache size      267, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.9000-0.9000 cache size      534, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.9000-0.9000 cache size     1068, 11256248 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns646 S3FIFO-0.0250-1.9000 cache size       13, 11256248 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns646 S3FIFO-0.0250-1.9000 cache size       40, 11256248 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns646 S3FIFO-0.0250-1.9000 cache size      133, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.0250-1.9000 cache size      267, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.0250-1.9000 cache size      534, 11256248 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns646 S3FIFO-0.0250-1.9000 cache size     1068, 11256248 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns646 S3FIFO-0.3500-1.9000 cache size       13, 11256248 req, miss ratio 0.0790, byte miss ratio 0.0790
cdn1_colo28.ns646 S3FIFO-0.3500-1.9000 cache size       40, 11256248 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns646 S3FIFO-0.3500-1.9000 cache size      133, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.3500-1.9000 cache size      267, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.3500-1.9000 cache size      534, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.3500-1.9000 cache size     1068, 11256248 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns646 S3FIFO-0.7000-1.9000 cache size       13, 11256248 req, miss ratio 0.0995, byte miss ratio 0.0995
cdn1_colo28.ns646 S3FIFO-0.7000-1.9000 cache size       40, 11256248 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_colo28.ns646 S3FIFO-0.7000-1.9000 cache size      133, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.7000-1.9000 cache size      267, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.7000-1.9000 cache size      534, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.7000-1.9000 cache size     1068, 11256248 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns646 S3FIFO-0.3000-1.9000 cache size       13, 11256248 req, miss ratio 0.0734, byte miss ratio 0.0734
cdn1_colo28.ns646 S3FIFO-0.3000-1.9000 cache size       40, 11256248 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns646 S3FIFO-0.3000-1.9000 cache size      133, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns646 S3FIFO-0.3000-1.9000 cache size      267, 11256248 req, miss ratio 0.0002, byte miss ratio 0.0002
