ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size    21845, 225290879 req, miss ratio 0.1475, byte miss ratio 0.1475
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size    72816, 225290879 req, miss ratio 0.0730, byte miss ratio 0.0730
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size   145633, 225290879 req, miss ratio 0.0497, byte miss ratio 0.0497
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size   291266, 225290879 req, miss ratio 0.0299, byte miss ratio 0.0299
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size   582533, 225290879 req, miss ratio 0.0038, byte miss ratio 0.0038
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size      728, 225290879 req, miss ratio 0.5660, byte miss ratio 0.5660
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     2184, 225290879 req, miss ratio 0.4664, byte miss ratio 0.4664
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     7281, 225290879 req, miss ratio 0.2484, byte miss ratio 0.2484
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    21845, 225290879 req, miss ratio 0.1453, byte miss ratio 0.1453
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    72816, 225290879 req, miss ratio 0.0737, byte miss ratio 0.0737
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   145633, 225290879 req, miss ratio 0.0505, byte miss ratio 0.0505
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   291266, 225290879 req, miss ratio 0.0317, byte miss ratio 0.0317
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   582533, 225290879 req, miss ratio 0.0040, byte miss ratio 0.0040
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size      728, 225290879 req, miss ratio 0.5415, byte miss ratio 0.5415
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     2184, 225290879 req, miss ratio 0.4221, byte miss ratio 0.4221
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     7281, 225290879 req, miss ratio 0.2866, byte miss ratio 0.2866
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    21845, 225290879 req, miss ratio 0.1719, byte miss ratio 0.1719
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    72816, 225290879 req, miss ratio 0.0933, byte miss ratio 0.0933
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   145633, 225290879 req, miss ratio 0.0648, byte miss ratio 0.0648
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   291266, 225290879 req, miss ratio 0.0340, byte miss ratio 0.0340
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   582533, 225290879 req, miss ratio 0.0059, byte miss ratio 0.0059
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.5000 cache size      728, 225290879 req, miss ratio 0.5439, byte miss ratio 0.5439
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.5000 cache size     2184, 225290879 req, miss ratio 0.4187, byte miss ratio 0.4187
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.5000 cache size     7281, 225290879 req, miss ratio 0.2813, byte miss ratio 0.2813
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.5000 cache size    21845, 225290879 req, miss ratio 0.1656, byte miss ratio 0.1656
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.5000 cache size    72816, 225290879 req, miss ratio 0.0897, byte miss ratio 0.0897
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.5000 cache size   145633, 225290879 req, miss ratio 0.0619, byte miss ratio 0.0619
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.5000 cache size   291266, 225290879 req, miss ratio 0.0327, byte miss ratio 0.0327
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.5000 cache size   582533, 225290879 req, miss ratio 0.0056, byte miss ratio 0.0056
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size      728, 225290879 req, miss ratio 0.5422, byte miss ratio 0.5422
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size     2184, 225290879 req, miss ratio 0.4212, byte miss ratio 0.4212
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size     7281, 225290879 req, miss ratio 0.2838, byte miss ratio 0.2838
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size    21845, 225290879 req, miss ratio 0.1685, byte miss ratio 0.1685
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size    72816, 225290879 req, miss ratio 0.0914, byte miss ratio 0.0914
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size   145633, 225290879 req, miss ratio 0.0633, byte miss ratio 0.0633
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size   291266, 225290879 req, miss ratio 0.0333, byte miss ratio 0.0333
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size   582533, 225290879 req, miss ratio 0.0057, byte miss ratio 0.0057
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.2000 cache size      728, 225290879 req, miss ratio 0.5489, byte miss ratio 0.5489
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.2000 cache size     2184, 225290879 req, miss ratio 0.4133, byte miss ratio 0.4133
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.2000 cache size     7281, 225290879 req, miss ratio 0.2738, byte miss ratio 0.2738
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.2000 cache size    21845, 225290879 req, miss ratio 0.1609, byte miss ratio 0.1609
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.2000 cache size    72816, 225290879 req, miss ratio 0.0864, byte miss ratio 0.0864
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.2000 cache size   145633, 225290879 req, miss ratio 0.0595, byte miss ratio 0.0595
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.2000 cache size   291266, 225290879 req, miss ratio 0.0319, byte miss ratio 0.0319
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.2000 cache size   582533, 225290879 req, miss ratio 0.0053, byte miss ratio 0.0053
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.6000 cache size      728, 225290879 req, miss ratio 0.5614, byte miss ratio 0.5614
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.6000 cache size     2184, 225290879 req, miss ratio 0.4585, byte miss ratio 0.4585
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.6000 cache size     7281, 225290879 req, miss ratio 0.2451, byte miss ratio 0.2451
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.6000 cache size    21845, 225290879 req, miss ratio 0.1457, byte miss ratio 0.1457
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.6000 cache size    72816, 225290879 req, miss ratio 0.0744, byte miss ratio 0.0744
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.6000 cache size   145633, 225290879 req, miss ratio 0.0510, byte miss ratio 0.0510
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.6000 cache size   291266, 225290879 req, miss ratio 0.0329, byte miss ratio 0.0329
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.6000 cache size   582533, 225290879 req, miss ratio 0.0040, byte miss ratio 0.0040
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.3000 cache size      728, 225290879 req, miss ratio 0.5503, byte miss ratio 0.5503
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.3000 cache size     2184, 225290879 req, miss ratio 0.4224, byte miss ratio 0.4224
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.3000 cache size     7281, 225290879 req, miss ratio 0.2927, byte miss ratio 0.2927
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.3000 cache size    21845, 225290879 req, miss ratio 0.1788, byte miss ratio 0.1788
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.3000 cache size    72816, 225290879 req, miss ratio 0.0972, byte miss ratio 0.0972
