cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size      377, 3138748 req, miss ratio 0.1311, byte miss ratio 0.1311
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     1132, 3138748 req, miss ratio 0.1262, byte miss ratio 0.1262
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     3773, 3138748 req, miss ratio 0.1229, byte miss ratio 0.1229
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    11320, 3138748 req, miss ratio 0.1212, byte miss ratio 0.1212
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      377, 3138748 req, miss ratio 0.1238, byte miss ratio 0.1238
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     1132, 3138748 req, miss ratio 0.1222, byte miss ratio 0.1222
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     3773, 3138748 req, miss ratio 0.1215, byte miss ratio 0.1215
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    11320, 3138748 req, miss ratio 0.1210, byte miss ratio 0.1210
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
