ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   701404, 311690077 req, miss ratio 0.0186, byte miss ratio 0.0186
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0064, byte miss ratio 0.0064
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size     1753, 311690077 req, miss ratio 0.3139, byte miss ratio 0.3139
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size     5260, 311690077 req, miss ratio 0.2442, byte miss ratio 0.2442
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size    17535, 311690077 req, miss ratio 0.1667, byte miss ratio 0.1667
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size    52605, 311690077 req, miss ratio 0.1072, byte miss ratio 0.1072
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   175351, 311690077 req, miss ratio 0.0647, byte miss ratio 0.0647
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   350702, 311690077 req, miss ratio 0.0498, byte miss ratio 0.0498
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   701404, 311690077 req, miss ratio 0.0186, byte miss ratio 0.0186
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size  1402808, 311690077 req, miss ratio 0.0064, byte miss ratio 0.0064
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     1753, 311690077 req, miss ratio 0.3107, byte miss ratio 0.3107
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     5260, 311690077 req, miss ratio 0.2406, byte miss ratio 0.2406
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    17535, 311690077 req, miss ratio 0.1632, byte miss ratio 0.1632
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    52605, 311690077 req, miss ratio 0.1045, byte miss ratio 0.1045
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   175351, 311690077 req, miss ratio 0.0632, byte miss ratio 0.0632
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   350702, 311690077 req, miss ratio 0.0485, byte miss ratio 0.0485
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   701404, 311690077 req, miss ratio 0.0174, byte miss ratio 0.0174
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size  1402808, 311690077 req, miss ratio 0.0063, byte miss ratio 0.0063
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size     1753, 311690077 req, miss ratio 0.3230, byte miss ratio 0.3230
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size     5260, 311690077 req, miss ratio 0.2548, byte miss ratio 0.2548
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    17535, 311690077 req, miss ratio 0.1768, byte miss ratio 0.1768
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    52605, 311690077 req, miss ratio 0.1154, byte miss ratio 0.1154
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   175351, 311690077 req, miss ratio 0.0696, byte miss ratio 0.0696
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   350702, 311690077 req, miss ratio 0.0533, byte miss ratio 0.0533
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   701404, 311690077 req, miss ratio 0.0223, byte miss ratio 0.0223
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  1402808, 311690077 req, miss ratio 0.0070, byte miss ratio 0.0070
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     1753, 311690077 req, miss ratio 0.3174, byte miss ratio 0.3174
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     5260, 311690077 req, miss ratio 0.2482, byte miss ratio 0.2482
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    17535, 311690077 req, miss ratio 0.1704, byte miss ratio 0.1704
