cdn1_colo28.ns94 S3FIFO-0.7500-0.9000 cache size      666, 3969006 req, miss ratio 0.8781, byte miss ratio 0.8781
cdn1_colo28.ns94 S3FIFO-0.7500-0.9000 cache size     2000, 3969006 req, miss ratio 0.7597, byte miss ratio 0.7597
cdn1_colo28.ns94 S3FIFO-0.7500-0.9000 cache size     6669, 3969006 req, miss ratio 0.5475, byte miss ratio 0.5475
cdn1_colo28.ns94 S3FIFO-0.7500-0.9000 cache size    20009, 3969006 req, miss ratio 0.3292, byte miss ratio 0.3292
cdn1_colo28.ns94 S3FIFO-0.7500-0.9000 cache size    66699, 3969006 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn1_colo28.ns94 S3FIFO-0.7500-0.9000 cache size   133399, 3969006 req, miss ratio 0.1715, byte miss ratio 0.1715
cdn1_colo28.ns94 S3FIFO-0.7500-0.9000 cache size   266798, 3969006 req, miss ratio 0.1686, byte miss ratio 0.1686
cdn1_colo28.ns94 S3FIFO-0.7500-0.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.6000-0.9000 cache size      666, 3969006 req, miss ratio 0.8642, byte miss ratio 0.8642
cdn1_colo28.ns94 S3FIFO-0.6000-0.9000 cache size     2000, 3969006 req, miss ratio 0.7339, byte miss ratio 0.7339
cdn1_colo28.ns94 S3FIFO-0.6000-0.9000 cache size     6669, 3969006 req, miss ratio 0.5185, byte miss ratio 0.5185
cdn1_colo28.ns94 S3FIFO-0.6000-0.9000 cache size    20009, 3969006 req, miss ratio 0.3138, byte miss ratio 0.3138
cdn1_colo28.ns94 S3FIFO-0.6000-0.9000 cache size    66699, 3969006 req, miss ratio 0.1824, byte miss ratio 0.1824
cdn1_colo28.ns94 S3FIFO-0.6000-0.9000 cache size   133399, 3969006 req, miss ratio 0.1707, byte miss ratio 0.1707
cdn1_colo28.ns94 S3FIFO-0.6000-0.9000 cache size   266798, 3969006 req, miss ratio 0.1685, byte miss ratio 0.1685
cdn1_colo28.ns94 S3FIFO-0.6000-0.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.8000-1.9000 cache size      666, 3969006 req, miss ratio 0.8860, byte miss ratio 0.8860
cdn1_colo28.ns94 S3FIFO-0.8000-1.9000 cache size     2000, 3969006 req, miss ratio 0.7743, byte miss ratio 0.7743
cdn1_colo28.ns94 S3FIFO-0.8000-1.9000 cache size     6669, 3969006 req, miss ratio 0.5593, byte miss ratio 0.5593
cdn1_colo28.ns94 S3FIFO-0.8000-1.9000 cache size    20009, 3969006 req, miss ratio 0.3351, byte miss ratio 0.3351
cdn1_colo28.ns94 S3FIFO-0.8000-1.9000 cache size    66699, 3969006 req, miss ratio 0.1837, byte miss ratio 0.1837
cdn1_colo28.ns94 S3FIFO-0.8000-1.9000 cache size   133399, 3969006 req, miss ratio 0.1719, byte miss ratio 0.1719
cdn1_colo28.ns94 S3FIFO-0.8000-1.9000 cache size   266798, 3969006 req, miss ratio 0.1687, byte miss ratio 0.1687
cdn1_colo28.ns94 S3FIFO-0.8000-1.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.1000-0.9000 cache size      666, 3969006 req, miss ratio 0.8226, byte miss ratio 0.8226
cdn1_colo28.ns94 S3FIFO-0.1000-0.9000 cache size     2000, 3969006 req, miss ratio 0.6660, byte miss ratio 0.6660
cdn1_colo28.ns94 S3FIFO-0.1000-0.9000 cache size     6669, 3969006 req, miss ratio 0.4500, byte miss ratio 0.4500
cdn1_colo28.ns94 S3FIFO-0.1000-0.9000 cache size    20009, 3969006 req, miss ratio 0.3004, byte miss ratio 0.3004
cdn1_colo28.ns94 S3FIFO-0.1000-0.9000 cache size    66699, 3969006 req, miss ratio 0.2168, byte miss ratio 0.2168
cdn1_colo28.ns94 S3FIFO-0.1000-0.9000 cache size   133399, 3969006 req, miss ratio 0.1909, byte miss ratio 0.1909
cdn1_colo28.ns94 S3FIFO-0.1000-0.9000 cache size   266798, 3969006 req, miss ratio 0.1719, byte miss ratio 0.1719
cdn1_colo28.ns94 S3FIFO-0.1000-0.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.4500-0.9000 cache size      666, 3969006 req, miss ratio 0.8502, byte miss ratio 0.8502
cdn1_colo28.ns94 S3FIFO-0.4500-0.9000 cache size     2000, 3969006 req, miss ratio 0.7100, byte miss ratio 0.7100
cdn1_colo28.ns94 S3FIFO-0.4500-0.9000 cache size     6669, 3969006 req, miss ratio 0.4920, byte miss ratio 0.4920
cdn1_colo28.ns94 S3FIFO-0.4500-0.9000 cache size    20009, 3969006 req, miss ratio 0.3033, byte miss ratio 0.3033
cdn1_colo28.ns94 S3FIFO-0.4500-0.9000 cache size    66699, 3969006 req, miss ratio 0.1856, byte miss ratio 0.1856
cdn1_colo28.ns94 S3FIFO-0.4500-0.9000 cache size   133399, 3969006 req, miss ratio 0.1706, byte miss ratio 0.1706
cdn1_colo28.ns94 S3FIFO-0.4500-0.9000 cache size   266798, 3969006 req, miss ratio 0.1685, byte miss ratio 0.1685
cdn1_colo28.ns94 S3FIFO-0.4500-0.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.4000-1.9000 cache size      666, 3969006 req, miss ratio 0.8511, byte miss ratio 0.8511
cdn1_colo28.ns94 S3FIFO-0.4000-1.9000 cache size     2000, 3969006 req, miss ratio 0.7127, byte miss ratio 0.7127
cdn1_colo28.ns94 S3FIFO-0.4000-1.9000 cache size     6669, 3969006 req, miss ratio 0.4937, byte miss ratio 0.4937
cdn1_colo28.ns94 S3FIFO-0.4000-1.9000 cache size    20009, 3969006 req, miss ratio 0.3023, byte miss ratio 0.3023
cdn1_colo28.ns94 S3FIFO-0.4000-1.9000 cache size    66699, 3969006 req, miss ratio 0.1875, byte miss ratio 0.1875
cdn1_colo28.ns94 S3FIFO-0.4000-1.9000 cache size   133399, 3969006 req, miss ratio 0.1709, byte miss ratio 0.1709
cdn1_colo28.ns94 S3FIFO-0.4000-1.9000 cache size   266798, 3969006 req, miss ratio 0.1685, byte miss ratio 0.1685
cdn1_colo28.ns94 S3FIFO-0.4000-1.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.2000-0.9000 cache size      666, 3969006 req, miss ratio 0.8290, byte miss ratio 0.8290
cdn1_colo28.ns94 S3FIFO-0.2000-0.9000 cache size     2000, 3969006 req, miss ratio 0.6765, byte miss ratio 0.6765
cdn1_colo28.ns94 S3FIFO-0.2000-0.9000 cache size     6669, 3969006 req, miss ratio 0.4581, byte miss ratio 0.4581
cdn1_colo28.ns94 S3FIFO-0.2000-0.9000 cache size    20009, 3969006 req, miss ratio 0.2979, byte miss ratio 0.2979
cdn1_colo28.ns94 S3FIFO-0.2000-0.9000 cache size    66699, 3969006 req, miss ratio 0.2018, byte miss ratio 0.2018
cdn1_colo28.ns94 S3FIFO-0.2000-0.9000 cache size   133399, 3969006 req, miss ratio 0.1779, byte miss ratio 0.1779
cdn1_colo28.ns94 S3FIFO-0.2000-0.9000 cache size   266798, 3969006 req, miss ratio 0.1686, byte miss ratio 0.1686
cdn1_colo28.ns94 S3FIFO-0.2000-0.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.8500-1.9000 cache size      666, 3969006 req, miss ratio 0.8902, byte miss ratio 0.8902
cdn1_colo28.ns94 S3FIFO-0.8500-1.9000 cache size     2000, 3969006 req, miss ratio 0.7817, byte miss ratio 0.7817
cdn1_colo28.ns94 S3FIFO-0.8500-1.9000 cache size     6669, 3969006 req, miss ratio 0.5681, byte miss ratio 0.5681
cdn1_colo28.ns94 S3FIFO-0.8500-1.9000 cache size    20009, 3969006 req, miss ratio 0.3419, byte miss ratio 0.3419
cdn1_colo28.ns94 S3FIFO-0.8500-1.9000 cache size    66699, 3969006 req, miss ratio 0.1855, byte miss ratio 0.1855
cdn1_colo28.ns94 S3FIFO-0.8500-1.9000 cache size   133399, 3969006 req, miss ratio 0.1724, byte miss ratio 0.1724
cdn1_colo28.ns94 S3FIFO-0.8500-1.9000 cache size   266798, 3969006 req, miss ratio 0.1688, byte miss ratio 0.1688
cdn1_colo28.ns94 S3FIFO-0.8500-1.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.2000-1.9000 cache size      666, 3969006 req, miss ratio 0.8349, byte miss ratio 0.8349
cdn1_colo28.ns94 S3FIFO-0.2000-1.9000 cache size     2000, 3969006 req, miss ratio 0.6860, byte miss ratio 0.6860
cdn1_colo28.ns94 S3FIFO-0.2000-1.9000 cache size     6669, 3969006 req, miss ratio 0.4678, byte miss ratio 0.4678
cdn1_colo28.ns94 S3FIFO-0.2000-1.9000 cache size    20009, 3969006 req, miss ratio 0.2997, byte miss ratio 0.2997
cdn1_colo28.ns94 S3FIFO-0.2000-1.9000 cache size    66699, 3969006 req, miss ratio 0.2018, byte miss ratio 0.2018
cdn1_colo28.ns94 S3FIFO-0.2000-1.9000 cache size   133399, 3969006 req, miss ratio 0.1779, byte miss ratio 0.1779
cdn1_colo28.ns94 S3FIFO-0.2000-1.9000 cache size   266798, 3969006 req, miss ratio 0.1686, byte miss ratio 0.1686
cdn1_colo28.ns94 S3FIFO-0.2000-1.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.0500-0.9000 cache size      666, 3969006 req, miss ratio 0.8208, byte miss ratio 0.8208
cdn1_colo28.ns94 S3FIFO-0.0500-0.9000 cache size     2000, 3969006 req, miss ratio 0.6622, byte miss ratio 0.6622
cdn1_colo28.ns94 S3FIFO-0.0500-0.9000 cache size     6669, 3969006 req, miss ratio 0.4478, byte miss ratio 0.4478
cdn1_colo28.ns94 S3FIFO-0.0500-0.9000 cache size    20009, 3969006 req, miss ratio 0.3034, byte miss ratio 0.3034
cdn1_colo28.ns94 S3FIFO-0.0500-0.9000 cache size    66699, 3969006 req, miss ratio 0.2285, byte miss ratio 0.2285
cdn1_colo28.ns94 S3FIFO-0.0500-0.9000 cache size   133399, 3969006 req, miss ratio 0.2032, byte miss ratio 0.2032
cdn1_colo28.ns94 S3FIFO-0.0500-0.9000 cache size   266798, 3969006 req, miss ratio 0.1782, byte miss ratio 0.1782
cdn1_colo28.ns94 S3FIFO-0.0500-0.9000 cache size   533596, 3969006 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_colo28.ns94 S3FIFO-0.6500-1.9000 cache size      666, 3969006 req, miss ratio 0.8733, byte miss ratio 0.8733
cdn1_colo28.ns94 S3FIFO-0.6500-1.9000 cache size     2000, 3969006 req, miss ratio 0.7512, byte miss ratio 0.7512
cdn1_colo28.ns94 S3FIFO-0.6500-1.9000 cache size     6669, 3969006 req, miss ratio 0.5335, byte miss ratio 0.5335
cdn1_colo28.ns94 S3FIFO-0.6500-1.9000 cache size    20009, 3969006 req, miss ratio 0.3185, byte miss ratio 0.3185
cdn1_colo28.ns94 S3FIFO-0.6500-1.9000 cache size    66699, 3969006 req, miss ratio 0.1823, byte miss ratio 0.1823
