tencentBlock.ns3475 S3FIFO-0.3500-1.9000 cache size      757, 8491328 req, miss ratio 0.4794, byte miss ratio 0.4794
tencentBlock.ns3475 S3FIFO-0.3500-1.9000 cache size     2271, 8491328 req, miss ratio 0.4400, byte miss ratio 0.4400
tencentBlock.ns3475 S3FIFO-0.3500-1.9000 cache size     7571, 8491328 req, miss ratio 0.4213, byte miss ratio 0.4213
tencentBlock.ns3475 S3FIFO-0.3500-1.9000 cache size    22713, 8491328 req, miss ratio 0.3788, byte miss ratio 0.3788
tencentBlock.ns3475 S3FIFO-0.3500-1.9000 cache size    75712, 8491328 req, miss ratio 0.2704, byte miss ratio 0.2704
tencentBlock.ns3475 S3FIFO-0.3500-1.9000 cache size   151424, 8491328 req, miss ratio 0.1895, byte miss ratio 0.1895
tencentBlock.ns3475 S3FIFO-0.3500-1.9000 cache size   302849, 8491328 req, miss ratio 0.1244, byte miss ratio 0.1244
tencentBlock.ns3475 S3FIFO-0.3500-1.9000 cache size   605698, 8491328 req, miss ratio 0.0929, byte miss ratio 0.0929
tencentBlock.ns3475 S3FIFO-0.6000-0.9000 cache size      757, 8491328 req, miss ratio 0.4926, byte miss ratio 0.4926
tencentBlock.ns3475 S3FIFO-0.6000-0.9000 cache size     2271, 8491328 req, miss ratio 0.4519, byte miss ratio 0.4519
tencentBlock.ns3475 S3FIFO-0.6000-0.9000 cache size     7571, 8491328 req, miss ratio 0.4259, byte miss ratio 0.4259
tencentBlock.ns3475 S3FIFO-0.6000-0.9000 cache size    22713, 8491328 req, miss ratio 0.3847, byte miss ratio 0.3847
tencentBlock.ns3475 S3FIFO-0.6000-0.9000 cache size    75712, 8491328 req, miss ratio 0.2826, byte miss ratio 0.2826
tencentBlock.ns3475 S3FIFO-0.6000-0.9000 cache size   151424, 8491328 req, miss ratio 0.2033, byte miss ratio 0.2033
tencentBlock.ns3475 S3FIFO-0.6000-0.9000 cache size   302849, 8491328 req, miss ratio 0.1326, byte miss ratio 0.1326
tencentBlock.ns3475 S3FIFO-0.6000-0.9000 cache size   605698, 8491328 req, miss ratio 0.0936, byte miss ratio 0.0936
tencentBlock.ns3475 S3FIFO-0.0010-1.9000 cache size      757, 8491328 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns3475 S3FIFO-0.0010-1.9000 cache size     2271, 8491328 req, miss ratio 0.4908, byte miss ratio 0.4908
tencentBlock.ns3475 S3FIFO-0.0010-1.9000 cache size     7571, 8491328 req, miss ratio 0.4636, byte miss ratio 0.4636
tencentBlock.ns3475 S3FIFO-0.0010-1.9000 cache size    22713, 8491328 req, miss ratio 0.3853, byte miss ratio 0.3853
tencentBlock.ns3475 S3FIFO-0.0010-1.9000 cache size    75712, 8491328 req, miss ratio 0.2517, byte miss ratio 0.2517
tencentBlock.ns3475 S3FIFO-0.0010-1.9000 cache size   151424, 8491328 req, miss ratio 0.1818, byte miss ratio 0.1818
tencentBlock.ns3475 S3FIFO-0.0010-1.9000 cache size   302849, 8491328 req, miss ratio 0.1259, byte miss ratio 0.1259
tencentBlock.ns3475 S3FIFO-0.0010-1.9000 cache size   605698, 8491328 req, miss ratio 0.0930, byte miss ratio 0.0930
tencentBlock.ns3475 S3FIFO-0.8500-0.9000 cache size      757, 8491328 req, miss ratio 0.5286, byte miss ratio 0.5286
tencentBlock.ns3475 S3FIFO-0.8500-0.9000 cache size     2271, 8491328 req, miss ratio 0.4728, byte miss ratio 0.4728
tencentBlock.ns3475 S3FIFO-0.8500-0.9000 cache size     7571, 8491328 req, miss ratio 0.4369, byte miss ratio 0.4369
tencentBlock.ns3475 S3FIFO-0.8500-0.9000 cache size    22713, 8491328 req, miss ratio 0.4002, byte miss ratio 0.4002
tencentBlock.ns3475 S3FIFO-0.8500-0.9000 cache size    75712, 8491328 req, miss ratio 0.2944, byte miss ratio 0.2944
tencentBlock.ns3475 S3FIFO-0.8500-0.9000 cache size   151424, 8491328 req, miss ratio 0.2192, byte miss ratio 0.2192
tencentBlock.ns3475 S3FIFO-0.8500-0.9000 cache size   302849, 8491328 req, miss ratio 0.1464, byte miss ratio 0.1464
tencentBlock.ns3475 S3FIFO-0.8500-0.9000 cache size   605698, 8491328 req, miss ratio 0.0983, byte miss ratio 0.0983
tencentBlock.ns3475 S3FIFO-0.2500-1.9000 cache size      757, 8491328 req, miss ratio 0.4770, byte miss ratio 0.4770
tencentBlock.ns3475 S3FIFO-0.2500-1.9000 cache size     2271, 8491328 req, miss ratio 0.4384, byte miss ratio 0.4384
tencentBlock.ns3475 S3FIFO-0.2500-1.9000 cache size     7571, 8491328 req, miss ratio 0.4149, byte miss ratio 0.4149
tencentBlock.ns3475 S3FIFO-0.2500-1.9000 cache size    22713, 8491328 req, miss ratio 0.3742, byte miss ratio 0.3742
tencentBlock.ns3475 S3FIFO-0.2500-1.9000 cache size    75712, 8491328 req, miss ratio 0.2637, byte miss ratio 0.2637
tencentBlock.ns3475 S3FIFO-0.2500-1.9000 cache size   151424, 8491328 req, miss ratio 0.1861, byte miss ratio 0.1861
tencentBlock.ns3475 S3FIFO-0.2500-1.9000 cache size   302849, 8491328 req, miss ratio 0.1233, byte miss ratio 0.1233
tencentBlock.ns3475 S3FIFO-0.2500-1.9000 cache size   605698, 8491328 req, miss ratio 0.0929, byte miss ratio 0.0929
tencentBlock.ns3475 S3FIFO-0.8000-1.9000 cache size      757, 8491328 req, miss ratio 0.5181, byte miss ratio 0.5181
tencentBlock.ns3475 S3FIFO-0.8000-1.9000 cache size     2271, 8491328 req, miss ratio 0.4685, byte miss ratio 0.4685
tencentBlock.ns3475 S3FIFO-0.8000-1.9000 cache size     7571, 8491328 req, miss ratio 0.4355, byte miss ratio 0.4355
tencentBlock.ns3475 S3FIFO-0.8000-1.9000 cache size    22713, 8491328 req, miss ratio 0.4000, byte miss ratio 0.4000
tencentBlock.ns3475 S3FIFO-0.8000-1.9000 cache size    75712, 8491328 req, miss ratio 0.2905, byte miss ratio 0.2905
tencentBlock.ns3475 S3FIFO-0.8000-1.9000 cache size   151424, 8491328 req, miss ratio 0.2158, byte miss ratio 0.2158
tencentBlock.ns3475 S3FIFO-0.8000-1.9000 cache size   302849, 8491328 req, miss ratio 0.1433, byte miss ratio 0.1433
tencentBlock.ns3475 S3FIFO-0.8000-1.9000 cache size   605698, 8491328 req, miss ratio 0.0963, byte miss ratio 0.0963
tencentBlock.ns3475 S3FIFO-0.0050-1.9000 cache size      757, 8491328 req, miss ratio 0.5263, byte miss ratio 0.5263
tencentBlock.ns3475 S3FIFO-0.0050-1.9000 cache size     2271, 8491328 req, miss ratio 0.4744, byte miss ratio 0.4744
tencentBlock.ns3475 S3FIFO-0.0050-1.9000 cache size     7571, 8491328 req, miss ratio 0.4300, byte miss ratio 0.4300
tencentBlock.ns3475 S3FIFO-0.0050-1.9000 cache size    22713, 8491328 req, miss ratio 0.3652, byte miss ratio 0.3652
tencentBlock.ns3475 S3FIFO-0.0050-1.9000 cache size    75712, 8491328 req, miss ratio 0.2471, byte miss ratio 0.2471
tencentBlock.ns3475 S3FIFO-0.0050-1.9000 cache size   151424, 8491328 req, miss ratio 0.1804, byte miss ratio 0.1804
tencentBlock.ns3475 S3FIFO-0.0050-1.9000 cache size   302849, 8491328 req, miss ratio 0.1257, byte miss ratio 0.1257
tencentBlock.ns3475 S3FIFO-0.0050-1.9000 cache size   605698, 8491328 req, miss ratio 0.0930, byte miss ratio 0.0930
tencentBlock.ns3475 S3FIFO-0.5000-0.9000 cache size      757, 8491328 req, miss ratio 0.4862, byte miss ratio 0.4862
tencentBlock.ns3475 S3FIFO-0.5000-0.9000 cache size     2271, 8491328 req, miss ratio 0.4460, byte miss ratio 0.4460
tencentBlock.ns3475 S3FIFO-0.5000-0.9000 cache size     7571, 8491328 req, miss ratio 0.4237, byte miss ratio 0.4237
tencentBlock.ns3475 S3FIFO-0.5000-0.9000 cache size    22713, 8491328 req, miss ratio 0.3831, byte miss ratio 0.3831
