io_traces.ns171 S3FIFO-0.6000-0.9000 cache size      228, 5600000 req, miss ratio 0.7057, byte miss ratio 0.7057
io_traces.ns171 S3FIFO-0.6000-0.9000 cache size      684, 5600000 req, miss ratio 0.6635, byte miss ratio 0.6635
io_traces.ns171 S3FIFO-0.6000-0.9000 cache size     2281, 5600000 req, miss ratio 0.6418, byte miss ratio 0.6418
io_traces.ns171 S3FIFO-0.6000-0.9000 cache size     6845, 5600000 req, miss ratio 0.5900, byte miss ratio 0.5900
io_traces.ns171 S3FIFO-0.6000-0.9000 cache size    22819, 5600000 req, miss ratio 0.3783, byte miss ratio 0.3783
io_traces.ns171 S3FIFO-0.6000-0.9000 cache size    45639, 5600000 req, miss ratio 0.1894, byte miss ratio 0.1894
io_traces.ns171 S3FIFO-0.6000-0.9000 cache size    91278, 5600000 req, miss ratio 0.0778, byte miss ratio 0.0778
io_traces.ns171 S3FIFO-0.6000-0.9000 cache size   182556, 5600000 req, miss ratio 0.0437, byte miss ratio 0.0437
io_traces.ns171 S3FIFO-0.9500-1.9000 cache size      228, 5600000 req, miss ratio 0.7549, byte miss ratio 0.7549
io_traces.ns171 S3FIFO-0.9500-1.9000 cache size      684, 5600000 req, miss ratio 0.6956, byte miss ratio 0.6956
io_traces.ns171 S3FIFO-0.9500-1.9000 cache size     2281, 5600000 req, miss ratio 0.6625, byte miss ratio 0.6625
io_traces.ns171 S3FIFO-0.9500-1.9000 cache size     6845, 5600000 req, miss ratio 0.6109, byte miss ratio 0.6109
io_traces.ns171 S3FIFO-0.9500-1.9000 cache size    22819, 5600000 req, miss ratio 0.3869, byte miss ratio 0.3869
io_traces.ns171 S3FIFO-0.9500-1.9000 cache size    45639, 5600000 req, miss ratio 0.2101, byte miss ratio 0.2101
io_traces.ns171 S3FIFO-0.9500-1.9000 cache size    91278, 5600000 req, miss ratio 0.0937, byte miss ratio 0.0937
io_traces.ns171 S3FIFO-0.9500-1.9000 cache size   182556, 5600000 req, miss ratio 0.0514, byte miss ratio 0.0514
