io_traces.ns0 S3FIFO-0.8500-1.9000 cache size     4698, 13800000 req, miss ratio 0.4553, byte miss ratio 0.4553
io_traces.ns0 S3FIFO-0.8500-1.9000 cache size    14095, 13800000 req, miss ratio 0.4544, byte miss ratio 0.4544
io_traces.ns0 S3FIFO-0.8500-1.9000 cache size    46984, 13800000 req, miss ratio 0.4372, byte miss ratio 0.4372
io_traces.ns0 S3FIFO-0.8500-1.9000 cache size   140953, 13800000 req, miss ratio 0.4073, byte miss ratio 0.4073
io_traces.ns0 S3FIFO-0.8500-1.9000 cache size   469845, 13800000 req, miss ratio 0.3655, byte miss ratio 0.3655
io_traces.ns0 S3FIFO-0.8500-1.9000 cache size   939690, 13800000 req, miss ratio 0.3627, byte miss ratio 0.3627
io_traces.ns0 S3FIFO-0.8500-1.9000 cache size  1879381, 13800000 req, miss ratio 0.3609, byte miss ratio 0.3609
io_traces.ns0 S3FIFO-0.8500-1.9000 cache size  3758763, 13800000 req, miss ratio 0.3405, byte miss ratio 0.3405
io_traces.ns0 S3FIFO-0.2000-1.9000 cache size     4698, 13800000 req, miss ratio 0.4546, byte miss ratio 0.4546
io_traces.ns0 S3FIFO-0.2000-1.9000 cache size    14095, 13800000 req, miss ratio 0.4480, byte miss ratio 0.4480
io_traces.ns0 S3FIFO-0.2000-1.9000 cache size    46984, 13800000 req, miss ratio 0.4107, byte miss ratio 0.4107
io_traces.ns0 S3FIFO-0.2000-1.9000 cache size   140953, 13800000 req, miss ratio 0.3670, byte miss ratio 0.3670
io_traces.ns0 S3FIFO-0.2000-1.9000 cache size   469845, 13800000 req, miss ratio 0.3629, byte miss ratio 0.3629
io_traces.ns0 S3FIFO-0.2000-1.9000 cache size   939690, 13800000 req, miss ratio 0.3607, byte miss ratio 0.3607
io_traces.ns0 S3FIFO-0.2000-1.9000 cache size  1879381, 13800000 req, miss ratio 0.3603, byte miss ratio 0.3603
io_traces.ns0 S3FIFO-0.2000-1.9000 cache size  3758763, 13800000 req, miss ratio 0.3405, byte miss ratio 0.3405
io_traces.ns0 S3FIFO-0.7500-0.9000 cache size     4698, 13800000 req, miss ratio 0.4549, byte miss ratio 0.4549
io_traces.ns0 S3FIFO-0.7500-0.9000 cache size    14095, 13800000 req, miss ratio 0.4521, byte miss ratio 0.4521
io_traces.ns0 S3FIFO-0.7500-0.9000 cache size    46984, 13800000 req, miss ratio 0.4359, byte miss ratio 0.4359
io_traces.ns0 S3FIFO-0.7500-0.9000 cache size   140953, 13800000 req, miss ratio 0.3963, byte miss ratio 0.3963
io_traces.ns0 S3FIFO-0.7500-0.9000 cache size   469845, 13800000 req, miss ratio 0.3633, byte miss ratio 0.3633
io_traces.ns0 S3FIFO-0.7500-0.9000 cache size   939690, 13800000 req, miss ratio 0.3621, byte miss ratio 0.3621
io_traces.ns0 S3FIFO-0.7500-0.9000 cache size  1879381, 13800000 req, miss ratio 0.3602, byte miss ratio 0.3602
io_traces.ns0 S3FIFO-0.7500-0.9000 cache size  3758763, 13800000 req, miss ratio 0.3405, byte miss ratio 0.3405
io_traces.ns0 S3FIFO-0.4500-0.9000 cache size     4698, 13800000 req, miss ratio 0.4546, byte miss ratio 0.4546
io_traces.ns0 S3FIFO-0.4500-0.9000 cache size    14095, 13800000 req, miss ratio 0.4505, byte miss ratio 0.4505
io_traces.ns0 S3FIFO-0.4500-0.9000 cache size    46984, 13800000 req, miss ratio 0.4239, byte miss ratio 0.4239
io_traces.ns0 S3FIFO-0.4500-0.9000 cache size   140953, 13800000 req, miss ratio 0.3690, byte miss ratio 0.3690
io_traces.ns0 S3FIFO-0.4500-0.9000 cache size   469845, 13800000 req, miss ratio 0.3624, byte miss ratio 0.3624
io_traces.ns0 S3FIFO-0.4500-0.9000 cache size   939690, 13800000 req, miss ratio 0.3608, byte miss ratio 0.3608
io_traces.ns0 S3FIFO-0.4500-0.9000 cache size  1879381, 13800000 req, miss ratio 0.3603, byte miss ratio 0.3603
io_traces.ns0 S3FIFO-0.4500-0.9000 cache size  3758763, 13800000 req, miss ratio 0.3405, byte miss ratio 0.3405
io_traces.ns0 S3FIFO-0.0050-0.9000 cache size     4698, 13800000 req, miss ratio 0.4788, byte miss ratio 0.4788
io_traces.ns0 S3FIFO-0.0050-0.9000 cache size    14095, 13800000 req, miss ratio 0.4609, byte miss ratio 0.4609
io_traces.ns0 S3FIFO-0.0050-0.9000 cache size    46984, 13800000 req, miss ratio 0.4084, byte miss ratio 0.4084
io_traces.ns0 S3FIFO-0.0050-0.9000 cache size   140953, 13800000 req, miss ratio 0.3673, byte miss ratio 0.3673
io_traces.ns0 S3FIFO-0.0050-0.9000 cache size   469845, 13800000 req, miss ratio 0.3634, byte miss ratio 0.3634
io_traces.ns0 S3FIFO-0.0050-0.9000 cache size   939690, 13800000 req, miss ratio 0.3609, byte miss ratio 0.3609
io_traces.ns0 S3FIFO-0.0050-0.9000 cache size  1879381, 13800000 req, miss ratio 0.3603, byte miss ratio 0.3603
io_traces.ns0 S3FIFO-0.0050-0.9000 cache size  3758763, 13800000 req, miss ratio 0.3405, byte miss ratio 0.3405
io_traces.ns0 S3FIFO-0.3500-0.9000 cache size     4698, 13800000 req, miss ratio 0.4546, byte miss ratio 0.4546
io_traces.ns0 S3FIFO-0.3500-0.9000 cache size    14095, 13800000 req, miss ratio 0.4508, byte miss ratio 0.4508
io_traces.ns0 S3FIFO-0.3500-0.9000 cache size    46984, 13800000 req, miss ratio 0.4225, byte miss ratio 0.4225
io_traces.ns0 S3FIFO-0.3500-0.9000 cache size   140953, 13800000 req, miss ratio 0.3677, byte miss ratio 0.3677
io_traces.ns0 S3FIFO-0.3500-0.9000 cache size   469845, 13800000 req, miss ratio 0.3623, byte miss ratio 0.3623
io_traces.ns0 S3FIFO-0.3500-0.9000 cache size   939690, 13800000 req, miss ratio 0.3608, byte miss ratio 0.3608
io_traces.ns0 S3FIFO-0.3500-0.9000 cache size  1879381, 13800000 req, miss ratio 0.3603, byte miss ratio 0.3603
io_traces.ns0 S3FIFO-0.3500-0.9000 cache size  3758763, 13800000 req, miss ratio 0.3405, byte miss ratio 0.3405
io_traces.ns0 S3FIFO-0.0500-0.9000 cache size     4698, 13800000 req, miss ratio 0.4552, byte miss ratio 0.4552
io_traces.ns0 S3FIFO-0.0500-0.9000 cache size    14095, 13800000 req, miss ratio 0.4528, byte miss ratio 0.4528
io_traces.ns0 S3FIFO-0.0500-0.9000 cache size    46984, 13800000 req, miss ratio 0.4071, byte miss ratio 0.4071
io_traces.ns0 S3FIFO-0.0500-0.9000 cache size   140953, 13800000 req, miss ratio 0.3674, byte miss ratio 0.3674
io_traces.ns0 S3FIFO-0.0500-0.9000 cache size   469845, 13800000 req, miss ratio 0.3635, byte miss ratio 0.3635
io_traces.ns0 S3FIFO-0.0500-0.9000 cache size   939690, 13800000 req, miss ratio 0.3609, byte miss ratio 0.3609
