cdn1_colo28.ns681 S3FIFO-0.7500-0.9000 cache size      697, 1484869 req, miss ratio 0.5088, byte miss ratio 0.5088
cdn1_colo28.ns681 S3FIFO-0.7500-0.9000 cache size     2093, 1484869 req, miss ratio 0.4912, byte miss ratio 0.4912
cdn1_colo28.ns681 S3FIFO-0.7500-0.9000 cache size     6979, 1484869 req, miss ratio 0.4786, byte miss ratio 0.4786
cdn1_colo28.ns681 S3FIFO-0.7500-0.9000 cache size    20937, 1484869 req, miss ratio 0.4737, byte miss ratio 0.4737
cdn1_colo28.ns681 S3FIFO-0.7500-0.9000 cache size    69791, 1484869 req, miss ratio 0.4715, byte miss ratio 0.4715
cdn1_colo28.ns681 S3FIFO-0.7500-0.9000 cache size   139583, 1484869 req, miss ratio 0.4708, byte miss ratio 0.4708
cdn1_colo28.ns681 S3FIFO-0.7500-0.9000 cache size   279166, 1484869 req, miss ratio 0.4703, byte miss ratio 0.4703
cdn1_colo28.ns681 S3FIFO-0.7500-0.9000 cache size   558332, 1484869 req, miss ratio 0.4700, byte miss ratio 0.4700
cdn1_colo28.ns681 S3FIFO-0.3500-1.9000 cache size      697, 1484869 req, miss ratio 0.4966, byte miss ratio 0.4966
cdn1_colo28.ns681 S3FIFO-0.3500-1.9000 cache size     2093, 1484869 req, miss ratio 0.4830, byte miss ratio 0.4830
cdn1_colo28.ns681 S3FIFO-0.3500-1.9000 cache size     6979, 1484869 req, miss ratio 0.4764, byte miss ratio 0.4764
cdn1_colo28.ns681 S3FIFO-0.3500-1.9000 cache size    20937, 1484869 req, miss ratio 0.4733, byte miss ratio 0.4733
cdn1_colo28.ns681 S3FIFO-0.3500-1.9000 cache size    69791, 1484869 req, miss ratio 0.4714, byte miss ratio 0.4714
cdn1_colo28.ns681 S3FIFO-0.3500-1.9000 cache size   139583, 1484869 req, miss ratio 0.4707, byte miss ratio 0.4707
cdn1_colo28.ns681 S3FIFO-0.3500-1.9000 cache size   279166, 1484869 req, miss ratio 0.4703, byte miss ratio 0.4703
cdn1_colo28.ns681 S3FIFO-0.3500-1.9000 cache size   558332, 1484869 req, miss ratio 0.4700, byte miss ratio 0.4700
cdn1_colo28.ns681 S3FIFO-0.3000-0.9000 cache size      697, 1484869 req, miss ratio 0.4965, byte miss ratio 0.4965
cdn1_colo28.ns681 S3FIFO-0.3000-0.9000 cache size     2093, 1484869 req, miss ratio 0.4834, byte miss ratio 0.4834
cdn1_colo28.ns681 S3FIFO-0.3000-0.9000 cache size     6979, 1484869 req, miss ratio 0.4769, byte miss ratio 0.4769
cdn1_colo28.ns681 S3FIFO-0.3000-0.9000 cache size    20937, 1484869 req, miss ratio 0.4735, byte miss ratio 0.4735
cdn1_colo28.ns681 S3FIFO-0.3000-0.9000 cache size    69791, 1484869 req, miss ratio 0.4715, byte miss ratio 0.4715
cdn1_colo28.ns681 S3FIFO-0.3000-0.9000 cache size   139583, 1484869 req, miss ratio 0.4708, byte miss ratio 0.4708
cdn1_colo28.ns681 S3FIFO-0.3000-0.9000 cache size   279166, 1484869 req, miss ratio 0.4703, byte miss ratio 0.4703
cdn1_colo28.ns681 S3FIFO-0.3000-0.9000 cache size   558332, 1484869 req, miss ratio 0.4700, byte miss ratio 0.4700
cdn1_colo28.ns681 S3FIFO-0.9900-1.9000 cache size      697, 1484869 req, miss ratio 0.5464, byte miss ratio 0.5464
cdn1_colo28.ns681 S3FIFO-0.9900-1.9000 cache size     2093, 1484869 req, miss ratio 0.5208, byte miss ratio 0.5208
cdn1_colo28.ns681 S3FIFO-0.9900-1.9000 cache size     6979, 1484869 req, miss ratio 0.4997, byte miss ratio 0.4997
cdn1_colo28.ns681 S3FIFO-0.9900-1.9000 cache size    20937, 1484869 req, miss ratio 0.4855, byte miss ratio 0.4855
cdn1_colo28.ns681 S3FIFO-0.9900-1.9000 cache size    69791, 1484869 req, miss ratio 0.4755, byte miss ratio 0.4755
cdn1_colo28.ns681 S3FIFO-0.9900-1.9000 cache size   139583, 1484869 req, miss ratio 0.4723, byte miss ratio 0.4723
cdn1_colo28.ns681 S3FIFO-0.9900-1.9000 cache size   279166, 1484869 req, miss ratio 0.4708, byte miss ratio 0.4708
cdn1_colo28.ns681 S3FIFO-0.9900-1.9000 cache size   558332, 1484869 req, miss ratio 0.4700, byte miss ratio 0.4700
cdn1_colo28.ns681 S3FIFO-0.0010-1.9000 cache size      697, 1484869 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns681 S3FIFO-0.0010-1.9000 cache size     2093, 1484869 req, miss ratio 0.4831, byte miss ratio 0.4831
cdn1_colo28.ns681 S3FIFO-0.0010-1.9000 cache size     6979, 1484869 req, miss ratio 0.4770, byte miss ratio 0.4770
cdn1_colo28.ns681 S3FIFO-0.0010-1.9000 cache size    20937, 1484869 req, miss ratio 0.4733, byte miss ratio 0.4733
cdn1_colo28.ns681 S3FIFO-0.0010-1.9000 cache size    69791, 1484869 req, miss ratio 0.4714, byte miss ratio 0.4714
