cdn1_allcolo.ns2609 S3FIFO-0.6500-0.9000 cache size        5, 1181274 req, miss ratio 0.5381, byte miss ratio 0.5381
cdn1_allcolo.ns2609 S3FIFO-0.6500-0.9000 cache size       18, 1181274 req, miss ratio 0.3256, byte miss ratio 0.3256
cdn1_allcolo.ns2609 S3FIFO-0.6500-0.9000 cache size       54, 1181274 req, miss ratio 0.1380, byte miss ratio 0.1380
cdn1_allcolo.ns2609 S3FIFO-0.6500-0.9000 cache size      182, 1181274 req, miss ratio 0.0265, byte miss ratio 0.0265
cdn1_allcolo.ns2609 S3FIFO-0.6500-0.9000 cache size      365, 1181274 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_allcolo.ns2609 S3FIFO-0.6500-0.9000 cache size      731, 1181274 req, miss ratio 0.0026, byte miss ratio 0.0026
cdn1_allcolo.ns2609 S3FIFO-0.6500-0.9000 cache size     1463, 1181274 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns2609 S3FIFO-0.8000-0.9000 cache size        5, 1181274 req, miss ratio 0.5575, byte miss ratio 0.5575
cdn1_allcolo.ns2609 S3FIFO-0.8000-0.9000 cache size       18, 1181274 req, miss ratio 0.3472, byte miss ratio 0.3472
cdn1_allcolo.ns2609 S3FIFO-0.8000-0.9000 cache size       54, 1181274 req, miss ratio 0.1489, byte miss ratio 0.1489
cdn1_allcolo.ns2609 S3FIFO-0.8000-0.9000 cache size      182, 1181274 req, miss ratio 0.0295, byte miss ratio 0.0295
cdn1_allcolo.ns2609 S3FIFO-0.8000-0.9000 cache size      365, 1181274 req, miss ratio 0.0077, byte miss ratio 0.0077
cdn1_allcolo.ns2609 S3FIFO-0.8000-0.9000 cache size      731, 1181274 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_allcolo.ns2609 S3FIFO-0.8000-0.9000 cache size     1463, 1181274 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns2609 S3FIFO-0.0250-1.9000 cache size        5, 1181274 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2609 S3FIFO-0.0250-1.9000 cache size       18, 1181274 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2609 S3FIFO-0.0250-1.9000 cache size       54, 1181274 req, miss ratio 0.0983, byte miss ratio 0.0983
cdn1_allcolo.ns2609 S3FIFO-0.0250-1.9000 cache size      182, 1181274 req, miss ratio 0.0177, byte miss ratio 0.0177
cdn1_allcolo.ns2609 S3FIFO-0.0250-1.9000 cache size      365, 1181274 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_allcolo.ns2609 S3FIFO-0.0250-1.9000 cache size      731, 1181274 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns2609 S3FIFO-0.0250-1.9000 cache size     1463, 1181274 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns2609 S3FIFO-0.0500-0.9000 cache size        5, 1181274 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2609 S3FIFO-0.0500-0.9000 cache size       18, 1181274 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2609 S3FIFO-0.0500-0.9000 cache size       54, 1181274 req, miss ratio 0.0954, byte miss ratio 0.0954
cdn1_allcolo.ns2609 S3FIFO-0.0500-0.9000 cache size      182, 1181274 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn1_allcolo.ns2609 S3FIFO-0.0500-0.9000 cache size      365, 1181274 req, miss ratio 0.0036, byte miss ratio 0.0036
