cdn1_allcolo.ns951 S3FIFO-0.4500-1.9000 cache size        7, 1072474 req, miss ratio 0.3484, byte miss ratio 0.3484
cdn1_allcolo.ns951 S3FIFO-0.4500-1.9000 cache size       23, 1072474 req, miss ratio 0.2206, byte miss ratio 0.2206
cdn1_allcolo.ns951 S3FIFO-0.4500-1.9000 cache size       77, 1072474 req, miss ratio 0.1000, byte miss ratio 0.1000
cdn1_allcolo.ns951 S3FIFO-0.4500-1.9000 cache size      154, 1072474 req, miss ratio 0.0430, byte miss ratio 0.0430
cdn1_allcolo.ns951 S3FIFO-0.4500-1.9000 cache size      308, 1072474 req, miss ratio 0.0115, byte miss ratio 0.0115
cdn1_allcolo.ns951 S3FIFO-0.4500-1.9000 cache size      616, 1072474 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns951 S3FIFO-0.7500-0.9000 cache size        7, 1072474 req, miss ratio 0.3840, byte miss ratio 0.3840
cdn1_allcolo.ns951 S3FIFO-0.7500-0.9000 cache size       23, 1072474 req, miss ratio 0.2442, byte miss ratio 0.2442
cdn1_allcolo.ns951 S3FIFO-0.7500-0.9000 cache size       77, 1072474 req, miss ratio 0.1136, byte miss ratio 0.1136
cdn1_allcolo.ns951 S3FIFO-0.7500-0.9000 cache size      154, 1072474 req, miss ratio 0.0510, byte miss ratio 0.0510
cdn1_allcolo.ns951 S3FIFO-0.7500-0.9000 cache size      308, 1072474 req, miss ratio 0.0144, byte miss ratio 0.0144
cdn1_allcolo.ns951 S3FIFO-0.7500-0.9000 cache size      616, 1072474 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns951 S3FIFO-0.0500-1.9000 cache size        7, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns951 S3FIFO-0.0500-1.9000 cache size       23, 1072474 req, miss ratio 0.1952, byte miss ratio 0.1952
cdn1_allcolo.ns951 S3FIFO-0.0500-1.9000 cache size       77, 1072474 req, miss ratio 0.0860, byte miss ratio 0.0860
cdn1_allcolo.ns951 S3FIFO-0.0500-1.9000 cache size      154, 1072474 req, miss ratio 0.0353, byte miss ratio 0.0353
cdn1_allcolo.ns951 S3FIFO-0.0500-1.9000 cache size      308, 1072474 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns951 S3FIFO-0.0500-1.9000 cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns951 S3FIFO-0.2000-0.9000 cache size        7, 1072474 req, miss ratio 0.3079, byte miss ratio 0.3079
cdn1_allcolo.ns951 S3FIFO-0.2000-0.9000 cache size       23, 1072474 req, miss ratio 0.1961, byte miss ratio 0.1961
cdn1_allcolo.ns951 S3FIFO-0.2000-0.9000 cache size       77, 1072474 req, miss ratio 0.0887, byte miss ratio 0.0887
cdn1_allcolo.ns951 S3FIFO-0.2000-0.9000 cache size      154, 1072474 req, miss ratio 0.0377, byte miss ratio 0.0377
cdn1_allcolo.ns951 S3FIFO-0.2000-0.9000 cache size      308, 1072474 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn1_allcolo.ns951 S3FIFO-0.2000-0.9000 cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns951 S3FIFO-0.8000-1.9000 cache size        7, 1072474 req, miss ratio 0.3896, byte miss ratio 0.3896
cdn1_allcolo.ns951 S3FIFO-0.8000-1.9000 cache size       23, 1072474 req, miss ratio 0.2496, byte miss ratio 0.2496
cdn1_allcolo.ns951 S3FIFO-0.8000-1.9000 cache size       77, 1072474 req, miss ratio 0.1135, byte miss ratio 0.1135
cdn1_allcolo.ns951 S3FIFO-0.8000-1.9000 cache size      154, 1072474 req, miss ratio 0.0518, byte miss ratio 0.0518
cdn1_allcolo.ns951 S3FIFO-0.8000-1.9000 cache size      308, 1072474 req, miss ratio 0.0151, byte miss ratio 0.0151
cdn1_allcolo.ns951 S3FIFO-0.8000-1.9000 cache size      616, 1072474 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns951 S3FIFO-0.0100-0.9000 cache size        7, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns951 S3FIFO-0.0100-0.9000 cache size       23, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns951 S3FIFO-0.0100-0.9000 cache size       77, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns951 S3FIFO-0.0100-0.9000 cache size      154, 1072474 req, miss ratio 0.0344, byte miss ratio 0.0344
cdn1_allcolo.ns951 S3FIFO-0.0100-0.9000 cache size      308, 1072474 req, miss ratio 0.0084, byte miss ratio 0.0084
cdn1_allcolo.ns951 S3FIFO-0.0100-0.9000 cache size      616, 1072474 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns951 S3FIFO-0.4000-1.9000 cache size        7, 1072474 req, miss ratio 0.3305, byte miss ratio 0.3305
cdn1_allcolo.ns951 S3FIFO-0.4000-1.9000 cache size       23, 1072474 req, miss ratio 0.2175, byte miss ratio 0.2175
cdn1_allcolo.ns951 S3FIFO-0.4000-1.9000 cache size       77, 1072474 req, miss ratio 0.0981, byte miss ratio 0.0981
cdn1_allcolo.ns951 S3FIFO-0.4000-1.9000 cache size      154, 1072474 req, miss ratio 0.0418, byte miss ratio 0.0418
cdn1_allcolo.ns951 S3FIFO-0.4000-1.9000 cache size      308, 1072474 req, miss ratio 0.0110, byte miss ratio 0.0110
cdn1_allcolo.ns951 S3FIFO-0.4000-1.9000 cache size      616, 1072474 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns951 S3FIFO-0.5000-0.9000 cache size        7, 1072474 req, miss ratio 0.3403, byte miss ratio 0.3403
cdn1_allcolo.ns951 S3FIFO-0.5000-0.9000 cache size       23, 1072474 req, miss ratio 0.2191, byte miss ratio 0.2191
cdn1_allcolo.ns951 S3FIFO-0.5000-0.9000 cache size       77, 1072474 req, miss ratio 0.1021, byte miss ratio 0.1021
cdn1_allcolo.ns951 S3FIFO-0.5000-0.9000 cache size      154, 1072474 req, miss ratio 0.0444, byte miss ratio 0.0444
cdn1_allcolo.ns951 S3FIFO-0.5000-0.9000 cache size      308, 1072474 req, miss ratio 0.0120, byte miss ratio 0.0120
cdn1_allcolo.ns951 S3FIFO-0.5000-0.9000 cache size      616, 1072474 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns951 S3FIFO-0.0100-1.9000 cache size        7, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns951 S3FIFO-0.0100-1.9000 cache size       23, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns951 S3FIFO-0.0100-1.9000 cache size       77, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns951 S3FIFO-0.0100-1.9000 cache size      154, 1072474 req, miss ratio 0.0352, byte miss ratio 0.0352
cdn1_allcolo.ns951 S3FIFO-0.0100-1.9000 cache size      308, 1072474 req, miss ratio 0.0084, byte miss ratio 0.0084
cdn1_allcolo.ns951 S3FIFO-0.0100-1.9000 cache size      616, 1072474 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns951 S3FIFO-0.9900-0.9000 cache size        7, 1072474 req, miss ratio 0.4123, byte miss ratio 0.4123
cdn1_allcolo.ns951 S3FIFO-0.9900-0.9000 cache size       23, 1072474 req, miss ratio 0.2710, byte miss ratio 0.2710
cdn1_allcolo.ns951 S3FIFO-0.9900-0.9000 cache size       77, 1072474 req, miss ratio 0.1273, byte miss ratio 0.1273
cdn1_allcolo.ns951 S3FIFO-0.9900-0.9000 cache size      154, 1072474 req, miss ratio 0.0581, byte miss ratio 0.0581
cdn1_allcolo.ns951 S3FIFO-0.9900-0.9000 cache size      308, 1072474 req, miss ratio 0.0171, byte miss ratio 0.0171
cdn1_allcolo.ns951 S3FIFO-0.9900-0.9000 cache size      616, 1072474 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns951 S3FIFO-0.8500-0.9000 cache size        7, 1072474 req, miss ratio 0.3840, byte miss ratio 0.3840
cdn1_allcolo.ns951 S3FIFO-0.8500-0.9000 cache size       23, 1072474 req, miss ratio 0.2542, byte miss ratio 0.2542
cdn1_allcolo.ns951 S3FIFO-0.8500-0.9000 cache size       77, 1072474 req, miss ratio 0.1191, byte miss ratio 0.1191
cdn1_allcolo.ns951 S3FIFO-0.8500-0.9000 cache size      154, 1072474 req, miss ratio 0.0537, byte miss ratio 0.0537
cdn1_allcolo.ns951 S3FIFO-0.8500-0.9000 cache size      308, 1072474 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns951 S3FIFO-0.8500-0.9000 cache size      616, 1072474 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns951 S3FIFO-0.7500-1.9000 cache size        7, 1072474 req, miss ratio 0.3896, byte miss ratio 0.3896
cdn1_allcolo.ns951 S3FIFO-0.7500-1.9000 cache size       23, 1072474 req, miss ratio 0.2453, byte miss ratio 0.2453
cdn1_allcolo.ns951 S3FIFO-0.7500-1.9000 cache size       77, 1072474 req, miss ratio 0.1112, byte miss ratio 0.1112
cdn1_allcolo.ns951 S3FIFO-0.7500-1.9000 cache size      154, 1072474 req, miss ratio 0.0503, byte miss ratio 0.0503
cdn1_allcolo.ns951 S3FIFO-0.7500-1.9000 cache size      308, 1072474 req, miss ratio 0.0144, byte miss ratio 0.0144
cdn1_allcolo.ns951 S3FIFO-0.7500-1.9000 cache size      616, 1072474 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns951 S3FIFO-0.4500-0.9000 cache size        7, 1072474 req, miss ratio 0.3403, byte miss ratio 0.3403
cdn1_allcolo.ns951 S3FIFO-0.4500-0.9000 cache size       23, 1072474 req, miss ratio 0.2154, byte miss ratio 0.2154
cdn1_allcolo.ns951 S3FIFO-0.4500-0.9000 cache size       77, 1072474 req, miss ratio 0.0998, byte miss ratio 0.0998
cdn1_allcolo.ns951 S3FIFO-0.4500-0.9000 cache size      154, 1072474 req, miss ratio 0.0432, byte miss ratio 0.0432
cdn1_allcolo.ns951 S3FIFO-0.4500-0.9000 cache size      308, 1072474 req, miss ratio 0.0115, byte miss ratio 0.0115
cdn1_allcolo.ns951 S3FIFO-0.4500-0.9000 cache size      616, 1072474 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns951 S3FIFO-0.8500-1.9000 cache size        7, 1072474 req, miss ratio 0.3896, byte miss ratio 0.3896
cdn1_allcolo.ns951 S3FIFO-0.8500-1.9000 cache size       23, 1072474 req, miss ratio 0.2538, byte miss ratio 0.2538
cdn1_allcolo.ns951 S3FIFO-0.8500-1.9000 cache size       77, 1072474 req, miss ratio 0.1158, byte miss ratio 0.1158
cdn1_allcolo.ns951 S3FIFO-0.8500-1.9000 cache size      154, 1072474 req, miss ratio 0.0530, byte miss ratio 0.0530
cdn1_allcolo.ns951 S3FIFO-0.8500-1.9000 cache size      308, 1072474 req, miss ratio 0.0156, byte miss ratio 0.0156
