tencentBlock.ns19945 S3FIFO-0.4000-1.9000 cache size       53, 1426539 req, miss ratio 0.2782, byte miss ratio 0.2782
tencentBlock.ns19945 S3FIFO-0.4000-1.9000 cache size      161, 1426539 req, miss ratio 0.1817, byte miss ratio 0.1817
tencentBlock.ns19945 S3FIFO-0.4000-1.9000 cache size      539, 1426539 req, miss ratio 0.1626, byte miss ratio 0.1626
tencentBlock.ns19945 S3FIFO-0.4000-1.9000 cache size     1618, 1426539 req, miss ratio 0.1479, byte miss ratio 0.1479
tencentBlock.ns19945 S3FIFO-0.4000-1.9000 cache size     5394, 1426539 req, miss ratio 0.1407, byte miss ratio 0.1407
tencentBlock.ns19945 S3FIFO-0.4000-1.9000 cache size    10788, 1426539 req, miss ratio 0.1398, byte miss ratio 0.1398
tencentBlock.ns19945 S3FIFO-0.4000-1.9000 cache size    21577, 1426539 req, miss ratio 0.0751, byte miss ratio 0.0751
tencentBlock.ns19945 S3FIFO-0.4000-1.9000 cache size    43155, 1426539 req, miss ratio 0.0419, byte miss ratio 0.0419
tencentBlock.ns19945 S3FIFO-0.2000-1.9000 cache size       53, 1426539 req, miss ratio 0.2621, byte miss ratio 0.2621
tencentBlock.ns19945 S3FIFO-0.2000-1.9000 cache size      161, 1426539 req, miss ratio 0.1748, byte miss ratio 0.1748
tencentBlock.ns19945 S3FIFO-0.2000-1.9000 cache size      539, 1426539 req, miss ratio 0.1613, byte miss ratio 0.1613
tencentBlock.ns19945 S3FIFO-0.2000-1.9000 cache size     1618, 1426539 req, miss ratio 0.1472, byte miss ratio 0.1472
tencentBlock.ns19945 S3FIFO-0.2000-1.9000 cache size     5394, 1426539 req, miss ratio 0.1352, byte miss ratio 0.1352
tencentBlock.ns19945 S3FIFO-0.2000-1.9000 cache size    10788, 1426539 req, miss ratio 0.1318, byte miss ratio 0.1318
tencentBlock.ns19945 S3FIFO-0.2000-1.9000 cache size    21577, 1426539 req, miss ratio 0.0715, byte miss ratio 0.0715
tencentBlock.ns19945 S3FIFO-0.2000-1.9000 cache size    43155, 1426539 req, miss ratio 0.0392, byte miss ratio 0.0392
tencentBlock.ns19945 S3FIFO-0.7000-1.9000 cache size       53, 1426539 req, miss ratio 0.3190, byte miss ratio 0.3190
tencentBlock.ns19945 S3FIFO-0.7000-1.9000 cache size      161, 1426539 req, miss ratio 0.2132, byte miss ratio 0.2132
tencentBlock.ns19945 S3FIFO-0.7000-1.9000 cache size      539, 1426539 req, miss ratio 0.1683, byte miss ratio 0.1683
tencentBlock.ns19945 S3FIFO-0.7000-1.9000 cache size     1618, 1426539 req, miss ratio 0.1562, byte miss ratio 0.1562
tencentBlock.ns19945 S3FIFO-0.7000-1.9000 cache size     5394, 1426539 req, miss ratio 0.1468, byte miss ratio 0.1468
tencentBlock.ns19945 S3FIFO-0.7000-1.9000 cache size    10788, 1426539 req, miss ratio 0.1400, byte miss ratio 0.1400
tencentBlock.ns19945 S3FIFO-0.7000-1.9000 cache size    21577, 1426539 req, miss ratio 0.0821, byte miss ratio 0.0821
tencentBlock.ns19945 S3FIFO-0.7000-1.9000 cache size    43155, 1426539 req, miss ratio 0.0491, byte miss ratio 0.0491
tencentBlock.ns19945 S3FIFO-0.0010-0.9000 cache size       53, 1426539 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns19945 S3FIFO-0.0010-0.9000 cache size      161, 1426539 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns19945 S3FIFO-0.0010-0.9000 cache size      539, 1426539 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns19945 S3FIFO-0.0010-0.9000 cache size     1618, 1426539 req, miss ratio 0.1652, byte miss ratio 0.1652
tencentBlock.ns19945 S3FIFO-0.0010-0.9000 cache size     5394, 1426539 req, miss ratio 0.1374, byte miss ratio 0.1374
tencentBlock.ns19945 S3FIFO-0.0010-0.9000 cache size    10788, 1426539 req, miss ratio 0.1208, byte miss ratio 0.1208
tencentBlock.ns19945 S3FIFO-0.0010-0.9000 cache size    21577, 1426539 req, miss ratio 0.0638, byte miss ratio 0.0638
tencentBlock.ns19945 S3FIFO-0.0010-0.9000 cache size    43155, 1426539 req, miss ratio 0.0392, byte miss ratio 0.0392
tencentBlock.ns19945 S3FIFO-0.0100-0.9000 cache size       53, 1426539 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns19945 S3FIFO-0.0100-0.9000 cache size      161, 1426539 req, miss ratio 0.1944, byte miss ratio 0.1944
tencentBlock.ns19945 S3FIFO-0.0100-0.9000 cache size      539, 1426539 req, miss ratio 0.1702, byte miss ratio 0.1702
tencentBlock.ns19945 S3FIFO-0.0100-0.9000 cache size     1618, 1426539 req, miss ratio 0.1486, byte miss ratio 0.1486
tencentBlock.ns19945 S3FIFO-0.0100-0.9000 cache size     5394, 1426539 req, miss ratio 0.1353, byte miss ratio 0.1353
tencentBlock.ns19945 S3FIFO-0.0100-0.9000 cache size    10788, 1426539 req, miss ratio 0.1211, byte miss ratio 0.1211
tencentBlock.ns19945 S3FIFO-0.0100-0.9000 cache size    21577, 1426539 req, miss ratio 0.0641, byte miss ratio 0.0641
