cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size      254, 1187208 req, miss ratio 0.2769, byte miss ratio 0.2769
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size      763, 1187208 req, miss ratio 0.2704, byte miss ratio 0.2704
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size     2543, 1187208 req, miss ratio 0.2542, byte miss ratio 0.2542
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size     7631, 1187208 req, miss ratio 0.2358, byte miss ratio 0.2358
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size    25436, 1187208 req, miss ratio 0.2239, byte miss ratio 0.2239
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size    50873, 1187208 req, miss ratio 0.2172, byte miss ratio 0.2172
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size   101746, 1187208 req, miss ratio 0.2146, byte miss ratio 0.2146
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size      254, 1187208 req, miss ratio 0.2756, byte miss ratio 0.2756
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size      763, 1187208 req, miss ratio 0.2691, byte miss ratio 0.2691
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     2543, 1187208 req, miss ratio 0.2546, byte miss ratio 0.2546
