geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   259542, 924495397 req, miss ratio 0.0315, byte miss ratio 0.0315
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   519085, 924495397 req, miss ratio 0.0093, byte miss ratio 0.0093
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0019, byte miss ratio 0.0019
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     1297, 924495397 req, miss ratio 0.3652, byte miss ratio 0.3652
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     3893, 924495397 req, miss ratio 0.2251, byte miss ratio 0.2251
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    12977, 924495397 req, miss ratio 0.1373, byte miss ratio 0.1373
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    38931, 924495397 req, miss ratio 0.0842, byte miss ratio 0.0842
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   129771, 924495397 req, miss ratio 0.0556, byte miss ratio 0.0556
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   259542, 924495397 req, miss ratio 0.0312, byte miss ratio 0.0312
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   519085, 924495397 req, miss ratio 0.0090, byte miss ratio 0.0090
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  1038171, 924495397 req, miss ratio 0.0018, byte miss ratio 0.0018
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     1297, 924495397 req, miss ratio 0.3448, byte miss ratio 0.3448
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     3893, 924495397 req, miss ratio 0.2077, byte miss ratio 0.2077
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    12977, 924495397 req, miss ratio 0.1255, byte miss ratio 0.1255
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    38931, 924495397 req, miss ratio 0.0789, byte miss ratio 0.0789
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   129771, 924495397 req, miss ratio 0.0524, byte miss ratio 0.0524
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   259542, 924495397 req, miss ratio 0.0305, byte miss ratio 0.0305
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   519085, 924495397 req, miss ratio 0.0076, byte miss ratio 0.0076
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  1038171, 924495397 req, miss ratio 0.0016, byte miss ratio 0.0016
