cdn1_colo28.ns2349 S3FIFO-0.5000-1.9000 cache size        6, 1106200 req, miss ratio 0.1233, byte miss ratio 0.1233
cdn1_colo28.ns2349 S3FIFO-0.5000-1.9000 cache size       18, 1106200 req, miss ratio 0.0612, byte miss ratio 0.0612
cdn1_colo28.ns2349 S3FIFO-0.5000-1.9000 cache size       61, 1106200 req, miss ratio 0.0216, byte miss ratio 0.0216
cdn1_colo28.ns2349 S3FIFO-0.5000-1.9000 cache size      184, 1106200 req, miss ratio 0.0103, byte miss ratio 0.0103
cdn1_colo28.ns2349 S3FIFO-0.5000-1.9000 cache size      616, 1106200 req, miss ratio 0.0074, byte miss ratio 0.0074
cdn1_colo28.ns2349 S3FIFO-0.5000-1.9000 cache size     1232, 1106200 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns2349 S3FIFO-0.5000-1.9000 cache size     2464, 1106200 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_colo28.ns2349 S3FIFO-0.5000-1.9000 cache size     4929, 1106200 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns2349 S3FIFO-0.0500-0.9000 cache size        6, 1106200 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2349 S3FIFO-0.0500-0.9000 cache size       18, 1106200 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2349 S3FIFO-0.0500-0.9000 cache size       61, 1106200 req, miss ratio 0.0157, byte miss ratio 0.0157
cdn1_colo28.ns2349 S3FIFO-0.0500-0.9000 cache size      184, 1106200 req, miss ratio 0.0088, byte miss ratio 0.0088
cdn1_colo28.ns2349 S3FIFO-0.0500-0.9000 cache size      616, 1106200 req, miss ratio 0.0070, byte miss ratio 0.0070
cdn1_colo28.ns2349 S3FIFO-0.0500-0.9000 cache size     1232, 1106200 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns2349 S3FIFO-0.0500-0.9000 cache size     2464, 1106200 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_colo28.ns2349 S3FIFO-0.0500-0.9000 cache size     4929, 1106200 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns2349 S3FIFO-0.2000-1.9000 cache size        6, 1106200 req, miss ratio 0.1059, byte miss ratio 0.1059
cdn1_colo28.ns2349 S3FIFO-0.2000-1.9000 cache size       18, 1106200 req, miss ratio 0.0515, byte miss ratio 0.0515
cdn1_colo28.ns2349 S3FIFO-0.2000-1.9000 cache size       61, 1106200 req, miss ratio 0.0175, byte miss ratio 0.0175
cdn1_colo28.ns2349 S3FIFO-0.2000-1.9000 cache size      184, 1106200 req, miss ratio 0.0091, byte miss ratio 0.0091
cdn1_colo28.ns2349 S3FIFO-0.2000-1.9000 cache size      616, 1106200 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_colo28.ns2349 S3FIFO-0.2000-1.9000 cache size     1232, 1106200 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns2349 S3FIFO-0.2000-1.9000 cache size     2464, 1106200 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_colo28.ns2349 S3FIFO-0.2000-1.9000 cache size     4929, 1106200 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns2349 S3FIFO-0.9900-0.9000 cache size        6, 1106200 req, miss ratio 0.1520, byte miss ratio 0.1520
cdn1_colo28.ns2349 S3FIFO-0.9900-0.9000 cache size       18, 1106200 req, miss ratio 0.0777, byte miss ratio 0.0777
cdn1_colo28.ns2349 S3FIFO-0.9900-0.9000 cache size       61, 1106200 req, miss ratio 0.0306, byte miss ratio 0.0306
cdn1_colo28.ns2349 S3FIFO-0.9900-0.9000 cache size      184, 1106200 req, miss ratio 0.0148, byte miss ratio 0.0148
cdn1_colo28.ns2349 S3FIFO-0.9900-0.9000 cache size      616, 1106200 req, miss ratio 0.0092, byte miss ratio 0.0092
cdn1_colo28.ns2349 S3FIFO-0.9900-0.9000 cache size     1232, 1106200 req, miss ratio 0.0077, byte miss ratio 0.0077
cdn1_colo28.ns2349 S3FIFO-0.9900-0.9000 cache size     2464, 1106200 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns2349 S3FIFO-0.9900-0.9000 cache size     4929, 1106200 req, miss ratio 0.0058, byte miss ratio 0.0058
cdn1_colo28.ns2349 S3FIFO-0.2500-1.9000 cache size        6, 1106200 req, miss ratio 0.1059, byte miss ratio 0.1059
cdn1_colo28.ns2349 S3FIFO-0.2500-1.9000 cache size       18, 1106200 req, miss ratio 0.0532, byte miss ratio 0.0532
cdn1_colo28.ns2349 S3FIFO-0.2500-1.9000 cache size       61, 1106200 req, miss ratio 0.0181, byte miss ratio 0.0181
cdn1_colo28.ns2349 S3FIFO-0.2500-1.9000 cache size      184, 1106200 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns2349 S3FIFO-0.2500-1.9000 cache size      616, 1106200 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_colo28.ns2349 S3FIFO-0.2500-1.9000 cache size     1232, 1106200 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns2349 S3FIFO-0.2500-1.9000 cache size     2464, 1106200 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_colo28.ns2349 S3FIFO-0.2500-1.9000 cache size     4929, 1106200 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns2349 S3FIFO-0.4000-1.9000 cache size        6, 1106200 req, miss ratio 0.1124, byte miss ratio 0.1124
cdn1_colo28.ns2349 S3FIFO-0.4000-1.9000 cache size       18, 1106200 req, miss ratio 0.0581, byte miss ratio 0.0581
cdn1_colo28.ns2349 S3FIFO-0.4000-1.9000 cache size       61, 1106200 req, miss ratio 0.0202, byte miss ratio 0.0202
cdn1_colo28.ns2349 S3FIFO-0.4000-1.9000 cache size      184, 1106200 req, miss ratio 0.0098, byte miss ratio 0.0098
cdn1_colo28.ns2349 S3FIFO-0.4000-1.9000 cache size      616, 1106200 req, miss ratio 0.0072, byte miss ratio 0.0072
cdn1_colo28.ns2349 S3FIFO-0.4000-1.9000 cache size     1232, 1106200 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns2349 S3FIFO-0.4000-1.9000 cache size     2464, 1106200 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_colo28.ns2349 S3FIFO-0.4000-1.9000 cache size     4929, 1106200 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns2349 S3FIFO-0.6000-0.9000 cache size        6, 1106200 req, miss ratio 0.1209, byte miss ratio 0.1209
cdn1_colo28.ns2349 S3FIFO-0.6000-0.9000 cache size       18, 1106200 req, miss ratio 0.0624, byte miss ratio 0.0624
cdn1_colo28.ns2349 S3FIFO-0.6000-0.9000 cache size       61, 1106200 req, miss ratio 0.0230, byte miss ratio 0.0230
cdn1_colo28.ns2349 S3FIFO-0.6000-0.9000 cache size      184, 1106200 req, miss ratio 0.0108, byte miss ratio 0.0108
cdn1_colo28.ns2349 S3FIFO-0.6000-0.9000 cache size      616, 1106200 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn1_colo28.ns2349 S3FIFO-0.6000-0.9000 cache size     1232, 1106200 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns2349 S3FIFO-0.6000-0.9000 cache size     2464, 1106200 req, miss ratio 0.0060, byte miss ratio 0.0060
cdn1_colo28.ns2349 S3FIFO-0.6000-0.9000 cache size     4929, 1106200 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns2349 S3FIFO-0.8500-1.9000 cache size        6, 1106200 req, miss ratio 0.1519, byte miss ratio 0.1519
cdn1_colo28.ns2349 S3FIFO-0.8500-1.9000 cache size       18, 1106200 req, miss ratio 0.0712, byte miss ratio 0.0712
cdn1_colo28.ns2349 S3FIFO-0.8500-1.9000 cache size       61, 1106200 req, miss ratio 0.0274, byte miss ratio 0.0274
cdn1_colo28.ns2349 S3FIFO-0.8500-1.9000 cache size      184, 1106200 req, miss ratio 0.0131, byte miss ratio 0.0131
cdn1_colo28.ns2349 S3FIFO-0.8500-1.9000 cache size      616, 1106200 req, miss ratio 0.0083, byte miss ratio 0.0083
cdn1_colo28.ns2349 S3FIFO-0.8500-1.9000 cache size     1232, 1106200 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_colo28.ns2349 S3FIFO-0.8500-1.9000 cache size     2464, 1106200 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_colo28.ns2349 S3FIFO-0.8500-1.9000 cache size     4929, 1106200 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns2349 S3FIFO-0.1500-0.9000 cache size        6, 1106200 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2349 S3FIFO-0.1500-0.9000 cache size       18, 1106200 req, miss ratio 0.0481, byte miss ratio 0.0481
cdn1_colo28.ns2349 S3FIFO-0.1500-0.9000 cache size       61, 1106200 req, miss ratio 0.0166, byte miss ratio 0.0166
