cdn1_colo28.ns689 S3FIFO-0.6000-1.9000 cache size      582, 1218606 req, miss ratio 0.4832, byte miss ratio 0.4832
cdn1_colo28.ns689 S3FIFO-0.6000-1.9000 cache size     1747, 1218606 req, miss ratio 0.4813, byte miss ratio 0.4813
cdn1_colo28.ns689 S3FIFO-0.6000-1.9000 cache size     5826, 1218606 req, miss ratio 0.4801, byte miss ratio 0.4801
cdn1_colo28.ns689 S3FIFO-0.6000-1.9000 cache size    17478, 1218606 req, miss ratio 0.4793, byte miss ratio 0.4793
cdn1_colo28.ns689 S3FIFO-0.6000-1.9000 cache size    58261, 1218606 req, miss ratio 0.4788, byte miss ratio 0.4788
cdn1_colo28.ns689 S3FIFO-0.6000-1.9000 cache size   116523, 1218606 req, miss ratio 0.4785, byte miss ratio 0.4785
cdn1_colo28.ns689 S3FIFO-0.6000-1.9000 cache size   233046, 1218606 req, miss ratio 0.4782, byte miss ratio 0.4782
cdn1_colo28.ns689 S3FIFO-0.6000-1.9000 cache size   466093, 1218606 req, miss ratio 0.4781, byte miss ratio 0.4781
cdn1_colo28.ns689 S3FIFO-0.1500-0.9000 cache size      582, 1218606 req, miss ratio 0.4819, byte miss ratio 0.4819
cdn1_colo28.ns689 S3FIFO-0.1500-0.9000 cache size     1747, 1218606 req, miss ratio 0.4808, byte miss ratio 0.4808
cdn1_colo28.ns689 S3FIFO-0.1500-0.9000 cache size     5826, 1218606 req, miss ratio 0.4797, byte miss ratio 0.4797
cdn1_colo28.ns689 S3FIFO-0.1500-0.9000 cache size    17478, 1218606 req, miss ratio 0.4791, byte miss ratio 0.4791
cdn1_colo28.ns689 S3FIFO-0.1500-0.9000 cache size    58261, 1218606 req, miss ratio 0.4787, byte miss ratio 0.4787
cdn1_colo28.ns689 S3FIFO-0.1500-0.9000 cache size   116523, 1218606 req, miss ratio 0.4785, byte miss ratio 0.4785
cdn1_colo28.ns689 S3FIFO-0.1500-0.9000 cache size   233046, 1218606 req, miss ratio 0.4782, byte miss ratio 0.4782
cdn1_colo28.ns689 S3FIFO-0.1500-0.9000 cache size   466093, 1218606 req, miss ratio 0.4781, byte miss ratio 0.4781
cdn1_colo28.ns689 S3FIFO-0.9900-0.9000 cache size      582, 1218606 req, miss ratio 0.4850, byte miss ratio 0.4850
cdn1_colo28.ns689 S3FIFO-0.9900-0.9000 cache size     1747, 1218606 req, miss ratio 0.4827, byte miss ratio 0.4827
cdn1_colo28.ns689 S3FIFO-0.9900-0.9000 cache size     5826, 1218606 req, miss ratio 0.4810, byte miss ratio 0.4810
cdn1_colo28.ns689 S3FIFO-0.9900-0.9000 cache size    17478, 1218606 req, miss ratio 0.4799, byte miss ratio 0.4799
cdn1_colo28.ns689 S3FIFO-0.9900-0.9000 cache size    58261, 1218606 req, miss ratio 0.4791, byte miss ratio 0.4791
cdn1_colo28.ns689 S3FIFO-0.9900-0.9000 cache size   116523, 1218606 req, miss ratio 0.4786, byte miss ratio 0.4786
cdn1_colo28.ns689 S3FIFO-0.9900-0.9000 cache size   233046, 1218606 req, miss ratio 0.4783, byte miss ratio 0.4783
cdn1_colo28.ns689 S3FIFO-0.9900-0.9000 cache size   466093, 1218606 req, miss ratio 0.4781, byte miss ratio 0.4781
cdn1_colo28.ns689 S3FIFO-0.0500-0.9000 cache size      582, 1218606 req, miss ratio 0.4818, byte miss ratio 0.4818
cdn1_colo28.ns689 S3FIFO-0.0500-0.9000 cache size     1747, 1218606 req, miss ratio 0.4807, byte miss ratio 0.4807
