tencentBlock.ns7116 S3FIFO-0.9900-1.9000 cache size     2205, 10675331 req, miss ratio 0.7767, byte miss ratio 0.7767
tencentBlock.ns7116 S3FIFO-0.9900-1.9000 cache size     6617, 10675331 req, miss ratio 0.6311, byte miss ratio 0.6311
tencentBlock.ns7116 S3FIFO-0.9900-1.9000 cache size    22057, 10675331 req, miss ratio 0.5166, byte miss ratio 0.5166
tencentBlock.ns7116 S3FIFO-0.9900-1.9000 cache size    66171, 10675331 req, miss ratio 0.4331, byte miss ratio 0.4331
tencentBlock.ns7116 S3FIFO-0.9900-1.9000 cache size   220572, 10675331 req, miss ratio 0.3513, byte miss ratio 0.3513
tencentBlock.ns7116 S3FIFO-0.9900-1.9000 cache size   441145, 10675331 req, miss ratio 0.3118, byte miss ratio 0.3118
tencentBlock.ns7116 S3FIFO-0.9900-1.9000 cache size   882291, 10675331 req, miss ratio 0.2504, byte miss ratio 0.2504
tencentBlock.ns7116 S3FIFO-0.9900-1.9000 cache size  1764583, 10675331 req, miss ratio 0.2177, byte miss ratio 0.2177
tencentBlock.ns7116 S3FIFO-0.1500-0.9000 cache size     2205, 10675331 req, miss ratio 0.6392, byte miss ratio 0.6392
tencentBlock.ns7116 S3FIFO-0.1500-0.9000 cache size     6617, 10675331 req, miss ratio 0.5395, byte miss ratio 0.5395
tencentBlock.ns7116 S3FIFO-0.1500-0.9000 cache size    22057, 10675331 req, miss ratio 0.4435, byte miss ratio 0.4435
tencentBlock.ns7116 S3FIFO-0.1500-0.9000 cache size    66171, 10675331 req, miss ratio 0.3655, byte miss ratio 0.3655
tencentBlock.ns7116 S3FIFO-0.1500-0.9000 cache size   220572, 10675331 req, miss ratio 0.2963, byte miss ratio 0.2963
tencentBlock.ns7116 S3FIFO-0.1500-0.9000 cache size   441145, 10675331 req, miss ratio 0.2572, byte miss ratio 0.2572
tencentBlock.ns7116 S3FIFO-0.1500-0.9000 cache size   882291, 10675331 req, miss ratio 0.2214, byte miss ratio 0.2214
tencentBlock.ns7116 S3FIFO-0.1500-0.9000 cache size  1764583, 10675331 req, miss ratio 0.2080, byte miss ratio 0.2080
tencentBlock.ns7116 S3FIFO-0.6000-0.9000 cache size     2205, 10675331 req, miss ratio 0.6878, byte miss ratio 0.6878
tencentBlock.ns7116 S3FIFO-0.6000-0.9000 cache size     6617, 10675331 req, miss ratio 0.5582, byte miss ratio 0.5582
tencentBlock.ns7116 S3FIFO-0.6000-0.9000 cache size    22057, 10675331 req, miss ratio 0.4568, byte miss ratio 0.4568
tencentBlock.ns7116 S3FIFO-0.6000-0.9000 cache size    66171, 10675331 req, miss ratio 0.3887, byte miss ratio 0.3887
tencentBlock.ns7116 S3FIFO-0.6000-0.9000 cache size   220572, 10675331 req, miss ratio 0.3062, byte miss ratio 0.3062
tencentBlock.ns7116 S3FIFO-0.6000-0.9000 cache size   441145, 10675331 req, miss ratio 0.2933, byte miss ratio 0.2933
tencentBlock.ns7116 S3FIFO-0.6000-0.9000 cache size   882291, 10675331 req, miss ratio 0.2240, byte miss ratio 0.2240
tencentBlock.ns7116 S3FIFO-0.6000-0.9000 cache size  1764583, 10675331 req, miss ratio 0.2080, byte miss ratio 0.2080
tencentBlock.ns7116 S3FIFO-0.6500-0.9000 cache size     2205, 10675331 req, miss ratio 0.7088, byte miss ratio 0.7088
tencentBlock.ns7116 S3FIFO-0.6500-0.9000 cache size     6617, 10675331 req, miss ratio 0.5624, byte miss ratio 0.5624
tencentBlock.ns7116 S3FIFO-0.6500-0.9000 cache size    22057, 10675331 req, miss ratio 0.4627, byte miss ratio 0.4627
tencentBlock.ns7116 S3FIFO-0.6500-0.9000 cache size    66171, 10675331 req, miss ratio 0.3927, byte miss ratio 0.3927
tencentBlock.ns7116 S3FIFO-0.6500-0.9000 cache size   220572, 10675331 req, miss ratio 0.3109, byte miss ratio 0.3109
tencentBlock.ns7116 S3FIFO-0.6500-0.9000 cache size   441145, 10675331 req, miss ratio 0.2945, byte miss ratio 0.2945
tencentBlock.ns7116 S3FIFO-0.6500-0.9000 cache size   882291, 10675331 req, miss ratio 0.2271, byte miss ratio 0.2271
tencentBlock.ns7116 S3FIFO-0.6500-0.9000 cache size  1764583, 10675331 req, miss ratio 0.2080, byte miss ratio 0.2080
tencentBlock.ns7116 S3FIFO-0.0010-1.9000 cache size     2205, 10675331 req, miss ratio 0.6353, byte miss ratio 0.6353
tencentBlock.ns7116 S3FIFO-0.0010-1.9000 cache size     6617, 10675331 req, miss ratio 0.5471, byte miss ratio 0.5471
tencentBlock.ns7116 S3FIFO-0.0010-1.9000 cache size    22057, 10675331 req, miss ratio 0.4682, byte miss ratio 0.4682
tencentBlock.ns7116 S3FIFO-0.0010-1.9000 cache size    66171, 10675331 req, miss ratio 0.3878, byte miss ratio 0.3878
