cdn1_allcolo.ns1185 S3FIFO-0.8000-1.9000 cache size      182, 4212048 req, miss ratio 0.8515, byte miss ratio 0.8515
cdn1_allcolo.ns1185 S3FIFO-0.8000-1.9000 cache size      547, 4212048 req, miss ratio 0.7574, byte miss ratio 0.7574
cdn1_allcolo.ns1185 S3FIFO-0.8000-1.9000 cache size     1825, 4212048 req, miss ratio 0.6078, byte miss ratio 0.6078
cdn1_allcolo.ns1185 S3FIFO-0.8000-1.9000 cache size     5477, 4212048 req, miss ratio 0.4349, byte miss ratio 0.4349
cdn1_allcolo.ns1185 S3FIFO-0.8000-1.9000 cache size    18258, 4212048 req, miss ratio 0.2371, byte miss ratio 0.2371
cdn1_allcolo.ns1185 S3FIFO-0.8000-1.9000 cache size    36517, 4212048 req, miss ratio 0.1443, byte miss ratio 0.1443
cdn1_allcolo.ns1185 S3FIFO-0.8000-1.9000 cache size    73035, 4212048 req, miss ratio 0.0809, byte miss ratio 0.0809
cdn1_allcolo.ns1185 S3FIFO-0.8000-1.9000 cache size   146071, 4212048 req, miss ratio 0.0477, byte miss ratio 0.0477
cdn1_allcolo.ns1185 S3FIFO-0.3000-1.9000 cache size      182, 4212048 req, miss ratio 0.7866, byte miss ratio 0.7866
cdn1_allcolo.ns1185 S3FIFO-0.3000-1.9000 cache size      547, 4212048 req, miss ratio 0.6751, byte miss ratio 0.6751
cdn1_allcolo.ns1185 S3FIFO-0.3000-1.9000 cache size     1825, 4212048 req, miss ratio 0.5242, byte miss ratio 0.5242
cdn1_allcolo.ns1185 S3FIFO-0.3000-1.9000 cache size     5477, 4212048 req, miss ratio 0.3665, byte miss ratio 0.3665
cdn1_allcolo.ns1185 S3FIFO-0.3000-1.9000 cache size    18258, 4212048 req, miss ratio 0.1949, byte miss ratio 0.1949
cdn1_allcolo.ns1185 S3FIFO-0.3000-1.9000 cache size    36517, 4212048 req, miss ratio 0.1166, byte miss ratio 0.1166
cdn1_allcolo.ns1185 S3FIFO-0.3000-1.9000 cache size    73035, 4212048 req, miss ratio 0.0655, byte miss ratio 0.0655
cdn1_allcolo.ns1185 S3FIFO-0.3000-1.9000 cache size   146071, 4212048 req, miss ratio 0.0447, byte miss ratio 0.0447
cdn1_allcolo.ns1185 S3FIFO-0.1500-0.9000 cache size      182, 4212048 req, miss ratio 0.7685, byte miss ratio 0.7685
cdn1_allcolo.ns1185 S3FIFO-0.1500-0.9000 cache size      547, 4212048 req, miss ratio 0.6517, byte miss ratio 0.6517
cdn1_allcolo.ns1185 S3FIFO-0.1500-0.9000 cache size     1825, 4212048 req, miss ratio 0.4975, byte miss ratio 0.4975
cdn1_allcolo.ns1185 S3FIFO-0.1500-0.9000 cache size     5477, 4212048 req, miss ratio 0.3422, byte miss ratio 0.3422
cdn1_allcolo.ns1185 S3FIFO-0.1500-0.9000 cache size    18258, 4212048 req, miss ratio 0.1798, byte miss ratio 0.1798
cdn1_allcolo.ns1185 S3FIFO-0.1500-0.9000 cache size    36517, 4212048 req, miss ratio 0.1086, byte miss ratio 0.1086
cdn1_allcolo.ns1185 S3FIFO-0.1500-0.9000 cache size    73035, 4212048 req, miss ratio 0.0632, byte miss ratio 0.0632
cdn1_allcolo.ns1185 S3FIFO-0.1500-0.9000 cache size   146071, 4212048 req, miss ratio 0.0447, byte miss ratio 0.0447
cdn1_allcolo.ns1185 S3FIFO-0.0100-1.9000 cache size      182, 4212048 req, miss ratio 0.7667, byte miss ratio 0.7667
cdn1_allcolo.ns1185 S3FIFO-0.0100-1.9000 cache size      547, 4212048 req, miss ratio 0.6493, byte miss ratio 0.6493
cdn1_allcolo.ns1185 S3FIFO-0.0100-1.9000 cache size     1825, 4212048 req, miss ratio 0.4935, byte miss ratio 0.4935
cdn1_allcolo.ns1185 S3FIFO-0.0100-1.9000 cache size     5477, 4212048 req, miss ratio 0.3386, byte miss ratio 0.3386
cdn1_allcolo.ns1185 S3FIFO-0.0100-1.9000 cache size    18258, 4212048 req, miss ratio 0.1777, byte miss ratio 0.1777
cdn1_allcolo.ns1185 S3FIFO-0.0100-1.9000 cache size    36517, 4212048 req, miss ratio 0.1069, byte miss ratio 0.1069
cdn1_allcolo.ns1185 S3FIFO-0.0100-1.9000 cache size    73035, 4212048 req, miss ratio 0.0624, byte miss ratio 0.0624
cdn1_allcolo.ns1185 S3FIFO-0.0100-1.9000 cache size   146071, 4212048 req, miss ratio 0.0447, byte miss ratio 0.0447
cdn1_allcolo.ns1185 S3FIFO-0.0500-1.9000 cache size      182, 4212048 req, miss ratio 0.7674, byte miss ratio 0.7674
cdn1_allcolo.ns1185 S3FIFO-0.0500-1.9000 cache size      547, 4212048 req, miss ratio 0.6495, byte miss ratio 0.6495
cdn1_allcolo.ns1185 S3FIFO-0.0500-1.9000 cache size     1825, 4212048 req, miss ratio 0.4959, byte miss ratio 0.4959
cdn1_allcolo.ns1185 S3FIFO-0.0500-1.9000 cache size     5477, 4212048 req, miss ratio 0.3411, byte miss ratio 0.3411
cdn1_allcolo.ns1185 S3FIFO-0.0500-1.9000 cache size    18258, 4212048 req, miss ratio 0.1790, byte miss ratio 0.1790
cdn1_allcolo.ns1185 S3FIFO-0.0500-1.9000 cache size    36517, 4212048 req, miss ratio 0.1072, byte miss ratio 0.1072
