io_traces.ns271 S3FIFO-0.7500-1.9000 cache size      558, 6600000 req, miss ratio 0.7792, byte miss ratio 0.7792
io_traces.ns271 S3FIFO-0.7500-1.9000 cache size     1674, 6600000 req, miss ratio 0.6512, byte miss ratio 0.6512
io_traces.ns271 S3FIFO-0.7500-1.9000 cache size     5580, 6600000 req, miss ratio 0.4148, byte miss ratio 0.4148
io_traces.ns271 S3FIFO-0.7500-1.9000 cache size    16741, 6600000 req, miss ratio 0.3468, byte miss ratio 0.3468
io_traces.ns271 S3FIFO-0.7500-1.9000 cache size    55803, 6600000 req, miss ratio 0.2344, byte miss ratio 0.2344
io_traces.ns271 S3FIFO-0.7500-1.9000 cache size   111607, 6600000 req, miss ratio 0.1554, byte miss ratio 0.1554
io_traces.ns271 S3FIFO-0.7500-1.9000 cache size   223214, 6600000 req, miss ratio 0.1094, byte miss ratio 0.1094
io_traces.ns271 S3FIFO-0.7500-1.9000 cache size   446428, 6600000 req, miss ratio 0.0914, byte miss ratio 0.0914
io_traces.ns271 S3FIFO-0.7000-0.9000 cache size      558, 6600000 req, miss ratio 0.7685, byte miss ratio 0.7685
io_traces.ns271 S3FIFO-0.7000-0.9000 cache size     1674, 6600000 req, miss ratio 0.6465, byte miss ratio 0.6465
io_traces.ns271 S3FIFO-0.7000-0.9000 cache size     5580, 6600000 req, miss ratio 0.4010, byte miss ratio 0.4010
io_traces.ns271 S3FIFO-0.7000-0.9000 cache size    16741, 6600000 req, miss ratio 0.3448, byte miss ratio 0.3448
io_traces.ns271 S3FIFO-0.7000-0.9000 cache size    55803, 6600000 req, miss ratio 0.2361, byte miss ratio 0.2361
io_traces.ns271 S3FIFO-0.7000-0.9000 cache size   111607, 6600000 req, miss ratio 0.1525, byte miss ratio 0.1525
io_traces.ns271 S3FIFO-0.7000-0.9000 cache size   223214, 6600000 req, miss ratio 0.1091, byte miss ratio 0.1091
io_traces.ns271 S3FIFO-0.7000-0.9000 cache size   446428, 6600000 req, miss ratio 0.0896, byte miss ratio 0.0896
io_traces.ns271 S3FIFO-0.7500-0.9000 cache size      558, 6600000 req, miss ratio 0.7747, byte miss ratio 0.7747
io_traces.ns271 S3FIFO-0.7500-0.9000 cache size     1674, 6600000 req, miss ratio 0.6487, byte miss ratio 0.6487
io_traces.ns271 S3FIFO-0.7500-0.9000 cache size     5580, 6600000 req, miss ratio 0.4119, byte miss ratio 0.4119
io_traces.ns271 S3FIFO-0.7500-0.9000 cache size    16741, 6600000 req, miss ratio 0.3462, byte miss ratio 0.3462
io_traces.ns271 S3FIFO-0.7500-0.9000 cache size    55803, 6600000 req, miss ratio 0.2351, byte miss ratio 0.2351
io_traces.ns271 S3FIFO-0.7500-0.9000 cache size   111607, 6600000 req, miss ratio 0.1549, byte miss ratio 0.1549
io_traces.ns271 S3FIFO-0.7500-0.9000 cache size   223214, 6600000 req, miss ratio 0.1094, byte miss ratio 0.1094
io_traces.ns271 S3FIFO-0.7500-0.9000 cache size   446428, 6600000 req, miss ratio 0.0914, byte miss ratio 0.0914
io_traces.ns271 S3FIFO-0.3000-1.9000 cache size      558, 6600000 req, miss ratio 0.7453, byte miss ratio 0.7453
io_traces.ns271 S3FIFO-0.3000-1.9000 cache size     1674, 6600000 req, miss ratio 0.6027, byte miss ratio 0.6027
io_traces.ns271 S3FIFO-0.3000-1.9000 cache size     5580, 6600000 req, miss ratio 0.3786, byte miss ratio 0.3786
io_traces.ns271 S3FIFO-0.3000-1.9000 cache size    16741, 6600000 req, miss ratio 0.3302, byte miss ratio 0.3302
io_traces.ns271 S3FIFO-0.3000-1.9000 cache size    55803, 6600000 req, miss ratio 0.2275, byte miss ratio 0.2275
io_traces.ns271 S3FIFO-0.3000-1.9000 cache size   111607, 6600000 req, miss ratio 0.1437, byte miss ratio 0.1437
io_traces.ns271 S3FIFO-0.3000-1.9000 cache size   223214, 6600000 req, miss ratio 0.1115, byte miss ratio 0.1115
io_traces.ns271 S3FIFO-0.3000-1.9000 cache size   446428, 6600000 req, miss ratio 0.0862, byte miss ratio 0.0862
io_traces.ns271 S3FIFO-0.3000-0.9000 cache size      558, 6600000 req, miss ratio 0.7403, byte miss ratio 0.7403
io_traces.ns271 S3FIFO-0.3000-0.9000 cache size     1674, 6600000 req, miss ratio 0.5977, byte miss ratio 0.5977
io_traces.ns271 S3FIFO-0.3000-0.9000 cache size     5580, 6600000 req, miss ratio 0.3790, byte miss ratio 0.3790
io_traces.ns271 S3FIFO-0.3000-0.9000 cache size    16741, 6600000 req, miss ratio 0.3254, byte miss ratio 0.3254
io_traces.ns271 S3FIFO-0.3000-0.9000 cache size    55803, 6600000 req, miss ratio 0.2272, byte miss ratio 0.2272
io_traces.ns271 S3FIFO-0.3000-0.9000 cache size   111607, 6600000 req, miss ratio 0.1436, byte miss ratio 0.1436
io_traces.ns271 S3FIFO-0.3000-0.9000 cache size   223214, 6600000 req, miss ratio 0.1115, byte miss ratio 0.1115
io_traces.ns271 S3FIFO-0.3000-0.9000 cache size   446428, 6600000 req, miss ratio 0.0862, byte miss ratio 0.0862
io_traces.ns271 S3FIFO-0.0050-1.9000 cache size      558, 6600000 req, miss ratio 0.7306, byte miss ratio 0.7306
io_traces.ns271 S3FIFO-0.0050-1.9000 cache size     1674, 6600000 req, miss ratio 0.4834, byte miss ratio 0.4834
io_traces.ns271 S3FIFO-0.0050-1.9000 cache size     5580, 6600000 req, miss ratio 0.3765, byte miss ratio 0.3765
io_traces.ns271 S3FIFO-0.0050-1.9000 cache size    16741, 6600000 req, miss ratio 0.3224, byte miss ratio 0.3224
io_traces.ns271 S3FIFO-0.0050-1.9000 cache size    55803, 6600000 req, miss ratio 0.2136, byte miss ratio 0.2136
io_traces.ns271 S3FIFO-0.0050-1.9000 cache size   111607, 6600000 req, miss ratio 0.1608, byte miss ratio 0.1608
io_traces.ns271 S3FIFO-0.0050-1.9000 cache size   223214, 6600000 req, miss ratio 0.1179, byte miss ratio 0.1179
io_traces.ns271 S3FIFO-0.0050-1.9000 cache size   446428, 6600000 req, miss ratio 0.0862, byte miss ratio 0.0862
io_traces.ns271 S3FIFO-0.6000-1.9000 cache size      558, 6600000 req, miss ratio 0.7654, byte miss ratio 0.7654
io_traces.ns271 S3FIFO-0.6000-1.9000 cache size     1674, 6600000 req, miss ratio 0.6433, byte miss ratio 0.6433
io_traces.ns271 S3FIFO-0.6000-1.9000 cache size     5580, 6600000 req, miss ratio 0.3906, byte miss ratio 0.3906
io_traces.ns271 S3FIFO-0.6000-1.9000 cache size    16741, 6600000 req, miss ratio 0.3422, byte miss ratio 0.3422
io_traces.ns271 S3FIFO-0.6000-1.9000 cache size    55803, 6600000 req, miss ratio 0.2361, byte miss ratio 0.2361
io_traces.ns271 S3FIFO-0.6000-1.9000 cache size   111607, 6600000 req, miss ratio 0.1485, byte miss ratio 0.1485
io_traces.ns271 S3FIFO-0.6000-1.9000 cache size   223214, 6600000 req, miss ratio 0.1081, byte miss ratio 0.1081
io_traces.ns271 S3FIFO-0.6000-1.9000 cache size   446428, 6600000 req, miss ratio 0.0883, byte miss ratio 0.0883
io_traces.ns271 S3FIFO-0.9900-0.9000 cache size      558, 6600000 req, miss ratio 0.8122, byte miss ratio 0.8122
io_traces.ns271 S3FIFO-0.9900-0.9000 cache size     1674, 6600000 req, miss ratio 0.6631, byte miss ratio 0.6631
io_traces.ns271 S3FIFO-0.9900-0.9000 cache size     5580, 6600000 req, miss ratio 0.4574, byte miss ratio 0.4574
io_traces.ns271 S3FIFO-0.9900-0.9000 cache size    16741, 6600000 req, miss ratio 0.3697, byte miss ratio 0.3697
io_traces.ns271 S3FIFO-0.9900-0.9000 cache size    55803, 6600000 req, miss ratio 0.2430, byte miss ratio 0.2430
