tencentBlock.ns14072 S3FIFO-0.6500-0.9000 cache size      707, 5851148 req, miss ratio 0.3843, byte miss ratio 0.3843
tencentBlock.ns14072 S3FIFO-0.6500-0.9000 cache size     2122, 5851148 req, miss ratio 0.3519, byte miss ratio 0.3519
tencentBlock.ns14072 S3FIFO-0.6500-0.9000 cache size     7074, 5851148 req, miss ratio 0.3111, byte miss ratio 0.3111
tencentBlock.ns14072 S3FIFO-0.6500-0.9000 cache size    21222, 5851148 req, miss ratio 0.3005, byte miss ratio 0.3005
tencentBlock.ns14072 S3FIFO-0.6500-0.9000 cache size    70742, 5851148 req, miss ratio 0.2549, byte miss ratio 0.2549
tencentBlock.ns14072 S3FIFO-0.6500-0.9000 cache size   141484, 5851148 req, miss ratio 0.2138, byte miss ratio 0.2138
tencentBlock.ns14072 S3FIFO-0.6500-0.9000 cache size   282968, 5851148 req, miss ratio 0.1460, byte miss ratio 0.1460
tencentBlock.ns14072 S3FIFO-0.6500-0.9000 cache size   565936, 5851148 req, miss ratio 0.1227, byte miss ratio 0.1227
tencentBlock.ns14072 S3FIFO-0.7500-0.9000 cache size      707, 5851148 req, miss ratio 0.4024, byte miss ratio 0.4024
tencentBlock.ns14072 S3FIFO-0.7500-0.9000 cache size     2122, 5851148 req, miss ratio 0.3555, byte miss ratio 0.3555
tencentBlock.ns14072 S3FIFO-0.7500-0.9000 cache size     7074, 5851148 req, miss ratio 0.3183, byte miss ratio 0.3183
tencentBlock.ns14072 S3FIFO-0.7500-0.9000 cache size    21222, 5851148 req, miss ratio 0.3038, byte miss ratio 0.3038
tencentBlock.ns14072 S3FIFO-0.7500-0.9000 cache size    70742, 5851148 req, miss ratio 0.2573, byte miss ratio 0.2573
tencentBlock.ns14072 S3FIFO-0.7500-0.9000 cache size   141484, 5851148 req, miss ratio 0.2107, byte miss ratio 0.2107
tencentBlock.ns14072 S3FIFO-0.7500-0.9000 cache size   282968, 5851148 req, miss ratio 0.1515, byte miss ratio 0.1515
tencentBlock.ns14072 S3FIFO-0.7500-0.9000 cache size   565936, 5851148 req, miss ratio 0.1239, byte miss ratio 0.1239
tencentBlock.ns14072 S3FIFO-0.4500-0.9000 cache size      707, 5851148 req, miss ratio 0.3733, byte miss ratio 0.3733
tencentBlock.ns14072 S3FIFO-0.4500-0.9000 cache size     2122, 5851148 req, miss ratio 0.3441, byte miss ratio 0.3441
tencentBlock.ns14072 S3FIFO-0.4500-0.9000 cache size     7074, 5851148 req, miss ratio 0.3092, byte miss ratio 0.3092
tencentBlock.ns14072 S3FIFO-0.4500-0.9000 cache size    21222, 5851148 req, miss ratio 0.2903, byte miss ratio 0.2903
tencentBlock.ns14072 S3FIFO-0.4500-0.9000 cache size    70742, 5851148 req, miss ratio 0.2514, byte miss ratio 0.2514
tencentBlock.ns14072 S3FIFO-0.4500-0.9000 cache size   141484, 5851148 req, miss ratio 0.2123, byte miss ratio 0.2123
tencentBlock.ns14072 S3FIFO-0.4500-0.9000 cache size   282968, 5851148 req, miss ratio 0.1368, byte miss ratio 0.1368
tencentBlock.ns14072 S3FIFO-0.4500-0.9000 cache size   565936, 5851148 req, miss ratio 0.1217, byte miss ratio 0.1217
tencentBlock.ns14072 S3FIFO-0.8500-1.9000 cache size      707, 5851148 req, miss ratio 0.4358, byte miss ratio 0.4358
tencentBlock.ns14072 S3FIFO-0.8500-1.9000 cache size     2122, 5851148 req, miss ratio 0.3614, byte miss ratio 0.3614
tencentBlock.ns14072 S3FIFO-0.8500-1.9000 cache size     7074, 5851148 req, miss ratio 0.3289, byte miss ratio 0.3289
tencentBlock.ns14072 S3FIFO-0.8500-1.9000 cache size    21222, 5851148 req, miss ratio 0.3062, byte miss ratio 0.3062
tencentBlock.ns14072 S3FIFO-0.8500-1.9000 cache size    70742, 5851148 req, miss ratio 0.2609, byte miss ratio 0.2609
tencentBlock.ns14072 S3FIFO-0.8500-1.9000 cache size   141484, 5851148 req, miss ratio 0.2105, byte miss ratio 0.2105
tencentBlock.ns14072 S3FIFO-0.8500-1.9000 cache size   282968, 5851148 req, miss ratio 0.1560, byte miss ratio 0.1560
