cdn1_allcolo.ns32729 S3FIFO-0.0010-1.9000 cache size       26, 2860012 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns32729 S3FIFO-0.0010-1.9000 cache size       80, 2860012 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns32729 S3FIFO-0.0010-1.9000 cache size      269, 2860012 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns32729 S3FIFO-0.0010-1.9000 cache size      807, 2860012 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns32729 S3FIFO-0.0010-1.9000 cache size     2693, 2860012 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_allcolo.ns32729 S3FIFO-0.0010-1.9000 cache size     5386, 2860012 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns32729 S3FIFO-0.0010-1.9000 cache size    10772, 2860012 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns32729 S3FIFO-0.0010-1.9000 cache size    21544, 2860012 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns32729 S3FIFO-0.0050-1.9000 cache size       26, 2860012 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns32729 S3FIFO-0.0050-1.9000 cache size       80, 2860012 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns32729 S3FIFO-0.0050-1.9000 cache size      269, 2860012 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn1_allcolo.ns32729 S3FIFO-0.0050-1.9000 cache size      807, 2860012 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_allcolo.ns32729 S3FIFO-0.0050-1.9000 cache size     2693, 2860012 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_allcolo.ns32729 S3FIFO-0.0050-1.9000 cache size     5386, 2860012 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns32729 S3FIFO-0.0050-1.9000 cache size    10772, 2860012 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns32729 S3FIFO-0.0050-1.9000 cache size    21544, 2860012 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns32729 S3FIFO-0.9900-0.9000 cache size       26, 2860012 req, miss ratio 0.0243, byte miss ratio 0.0243
cdn1_allcolo.ns32729 S3FIFO-0.9900-0.9000 cache size       80, 2860012 req, miss ratio 0.0143, byte miss ratio 0.0143
cdn1_allcolo.ns32729 S3FIFO-0.9900-0.9000 cache size      269, 2860012 req, miss ratio 0.0111, byte miss ratio 0.0111
cdn1_allcolo.ns32729 S3FIFO-0.9900-0.9000 cache size      807, 2860012 req, miss ratio 0.0101, byte miss ratio 0.0101
cdn1_allcolo.ns32729 S3FIFO-0.9900-0.9000 cache size     2693, 2860012 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns32729 S3FIFO-0.9900-0.9000 cache size     5386, 2860012 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_allcolo.ns32729 S3FIFO-0.9900-0.9000 cache size    10772, 2860012 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns32729 S3FIFO-0.9900-0.9000 cache size    21544, 2860012 req, miss ratio 0.0094, byte miss ratio 0.0094
