cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size       21, 4953252 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size       63, 4953252 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size      210, 4953252 req, miss ratio 0.2212, byte miss ratio 0.2212
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size      631, 4953252 req, miss ratio 0.0490, byte miss ratio 0.0490
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     2105, 4953252 req, miss ratio 0.0115, byte miss ratio 0.0115
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     4210, 4953252 req, miss ratio 0.0080, byte miss ratio 0.0080
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     8420, 4953252 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size       21, 4953252 req, miss ratio 0.5788, byte miss ratio 0.5788
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size       63, 4953252 req, miss ratio 0.5274, byte miss ratio 0.5274
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size      210, 4953252 req, miss ratio 0.2728, byte miss ratio 0.2728
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size      631, 4953252 req, miss ratio 0.0893, byte miss ratio 0.0893
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size     2105, 4953252 req, miss ratio 0.0195, byte miss ratio 0.0195
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size     4210, 4953252 req, miss ratio 0.0107, byte miss ratio 0.0107
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size     8420, 4953252 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size    16840, 4953252 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size       21, 4953252 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size       63, 4953252 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size      210, 4953252 req, miss ratio 0.2148, byte miss ratio 0.2148
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size      631, 4953252 req, miss ratio 0.0469, byte miss ratio 0.0469
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     2105, 4953252 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     4210, 4953252 req, miss ratio 0.0080, byte miss ratio 0.0080
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     8420, 4953252 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size       21, 4953252 req, miss ratio 0.5741, byte miss ratio 0.5741
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size       63, 4953252 req, miss ratio 0.5269, byte miss ratio 0.5269
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      210, 4953252 req, miss ratio 0.2676, byte miss ratio 0.2676
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      631, 4953252 req, miss ratio 0.0835, byte miss ratio 0.0835
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     2105, 4953252 req, miss ratio 0.0176, byte miss ratio 0.0176
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     4210, 4953252 req, miss ratio 0.0099, byte miss ratio 0.0099
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     8420, 4953252 req, miss ratio 0.0063, byte miss ratio 0.0063
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    16840, 4953252 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size       21, 4953252 req, miss ratio 0.5632, byte miss ratio 0.5632
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size       63, 4953252 req, miss ratio 0.5182, byte miss ratio 0.5182
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size      210, 4953252 req, miss ratio 0.2463, byte miss ratio 0.2463
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size      631, 4953252 req, miss ratio 0.0626, byte miss ratio 0.0626
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     2105, 4953252 req, miss ratio 0.0123, byte miss ratio 0.0123
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     4210, 4953252 req, miss ratio 0.0080, byte miss ratio 0.0080
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     8420, 4953252 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size       21, 4953252 req, miss ratio 0.5682, byte miss ratio 0.5682
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size       63, 4953252 req, miss ratio 0.5226, byte miss ratio 0.5226
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      210, 4953252 req, miss ratio 0.2639, byte miss ratio 0.2639
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      631, 4953252 req, miss ratio 0.0784, byte miss ratio 0.0784
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     2105, 4953252 req, miss ratio 0.0157, byte miss ratio 0.0157
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     4210, 4953252 req, miss ratio 0.0090, byte miss ratio 0.0090
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     8420, 4953252 req, miss ratio 0.0061, byte miss ratio 0.0061
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    16840, 4953252 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size       21, 4953252 req, miss ratio 0.5633, byte miss ratio 0.5633
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size       63, 4953252 req, miss ratio 0.5198, byte miss ratio 0.5198
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size      210, 4953252 req, miss ratio 0.2503, byte miss ratio 0.2503
