io_traces.ns734 S3FIFO-0.8000-1.9000 cache size      103, 3200000 req, miss ratio 0.2318, byte miss ratio 0.2318
io_traces.ns734 S3FIFO-0.8000-1.9000 cache size      311, 3200000 req, miss ratio 0.1987, byte miss ratio 0.1987
io_traces.ns734 S3FIFO-0.8000-1.9000 cache size     1037, 3200000 req, miss ratio 0.1862, byte miss ratio 0.1862
io_traces.ns734 S3FIFO-0.8000-1.9000 cache size     3111, 3200000 req, miss ratio 0.1780, byte miss ratio 0.1780
io_traces.ns734 S3FIFO-0.8000-1.9000 cache size    10372, 3200000 req, miss ratio 0.1248, byte miss ratio 0.1248
io_traces.ns734 S3FIFO-0.8000-1.9000 cache size    20744, 3200000 req, miss ratio 0.0711, byte miss ratio 0.0711
io_traces.ns734 S3FIFO-0.8000-1.9000 cache size    41489, 3200000 req, miss ratio 0.0487, byte miss ratio 0.0487
io_traces.ns734 S3FIFO-0.8000-1.9000 cache size    82979, 3200000 req, miss ratio 0.0382, byte miss ratio 0.0382
io_traces.ns734 S3FIFO-0.4500-1.9000 cache size      103, 3200000 req, miss ratio 0.2074, byte miss ratio 0.2074
io_traces.ns734 S3FIFO-0.4500-1.9000 cache size      311, 3200000 req, miss ratio 0.1900, byte miss ratio 0.1900
io_traces.ns734 S3FIFO-0.4500-1.9000 cache size     1037, 3200000 req, miss ratio 0.1798, byte miss ratio 0.1798
io_traces.ns734 S3FIFO-0.4500-1.9000 cache size     3111, 3200000 req, miss ratio 0.1763, byte miss ratio 0.1763
io_traces.ns734 S3FIFO-0.4500-1.9000 cache size    10372, 3200000 req, miss ratio 0.1220, byte miss ratio 0.1220
io_traces.ns734 S3FIFO-0.4500-1.9000 cache size    20744, 3200000 req, miss ratio 0.0630, byte miss ratio 0.0630
io_traces.ns734 S3FIFO-0.4500-1.9000 cache size    41489, 3200000 req, miss ratio 0.0422, byte miss ratio 0.0422
io_traces.ns734 S3FIFO-0.4500-1.9000 cache size    82979, 3200000 req, miss ratio 0.0377, byte miss ratio 0.0377
io_traces.ns734 S3FIFO-0.9500-1.9000 cache size      103, 3200000 req, miss ratio 0.2590, byte miss ratio 0.2590
io_traces.ns734 S3FIFO-0.9500-1.9000 cache size      311, 3200000 req, miss ratio 0.2118, byte miss ratio 0.2118
io_traces.ns734 S3FIFO-0.9500-1.9000 cache size     1037, 3200000 req, miss ratio 0.1930, byte miss ratio 0.1930
io_traces.ns734 S3FIFO-0.9500-1.9000 cache size     3111, 3200000 req, miss ratio 0.1800, byte miss ratio 0.1800
io_traces.ns734 S3FIFO-0.9500-1.9000 cache size    10372, 3200000 req, miss ratio 0.1206, byte miss ratio 0.1206
io_traces.ns734 S3FIFO-0.9500-1.9000 cache size    20744, 3200000 req, miss ratio 0.0739, byte miss ratio 0.0739
io_traces.ns734 S3FIFO-0.9500-1.9000 cache size    41489, 3200000 req, miss ratio 0.0497, byte miss ratio 0.0497
io_traces.ns734 S3FIFO-0.9500-1.9000 cache size    82979, 3200000 req, miss ratio 0.0394, byte miss ratio 0.0394
io_traces.ns734 S3FIFO-0.9900-1.9000 cache size      103, 3200000 req, miss ratio 0.2668, byte miss ratio 0.2668
io_traces.ns734 S3FIFO-0.9900-1.9000 cache size      311, 3200000 req, miss ratio 0.2178, byte miss ratio 0.2178
io_traces.ns734 S3FIFO-0.9900-1.9000 cache size     1037, 3200000 req, miss ratio 0.1969, byte miss ratio 0.1969
io_traces.ns734 S3FIFO-0.9900-1.9000 cache size     3111, 3200000 req, miss ratio 0.1809, byte miss ratio 0.1809
io_traces.ns734 S3FIFO-0.9900-1.9000 cache size    10372, 3200000 req, miss ratio 0.1207, byte miss ratio 0.1207
io_traces.ns734 S3FIFO-0.9900-1.9000 cache size    20744, 3200000 req, miss ratio 0.0742, byte miss ratio 0.0742
io_traces.ns734 S3FIFO-0.9900-1.9000 cache size    41489, 3200000 req, miss ratio 0.0499, byte miss ratio 0.0499
io_traces.ns734 S3FIFO-0.9900-1.9000 cache size    82979, 3200000 req, miss ratio 0.0392, byte miss ratio 0.0392
