tencentBlock.ns11487 S3FIFO-0.4500-0.9000 cache size      931, 4873733 req, miss ratio 0.4935, byte miss ratio 0.4935
tencentBlock.ns11487 S3FIFO-0.4500-0.9000 cache size     2793, 4873733 req, miss ratio 0.3796, byte miss ratio 0.3796
tencentBlock.ns11487 S3FIFO-0.4500-0.9000 cache size     9312, 4873733 req, miss ratio 0.3603, byte miss ratio 0.3603
tencentBlock.ns11487 S3FIFO-0.4500-0.9000 cache size    27937, 4873733 req, miss ratio 0.3330, byte miss ratio 0.3330
tencentBlock.ns11487 S3FIFO-0.4500-0.9000 cache size    93123, 4873733 req, miss ratio 0.2718, byte miss ratio 0.2718
tencentBlock.ns11487 S3FIFO-0.4500-0.9000 cache size   186246, 4873733 req, miss ratio 0.2240, byte miss ratio 0.2240
tencentBlock.ns11487 S3FIFO-0.4500-0.9000 cache size   372493, 4873733 req, miss ratio 0.2004, byte miss ratio 0.2004
tencentBlock.ns11487 S3FIFO-0.4500-0.9000 cache size   744987, 4873733 req, miss ratio 0.1914, byte miss ratio 0.1914
tencentBlock.ns11487 S3FIFO-0.9900-0.9000 cache size      931, 4873733 req, miss ratio 0.5641, byte miss ratio 0.5641
tencentBlock.ns11487 S3FIFO-0.9900-0.9000 cache size     2793, 4873733 req, miss ratio 0.4674, byte miss ratio 0.4674
tencentBlock.ns11487 S3FIFO-0.9900-0.9000 cache size     9312, 4873733 req, miss ratio 0.3957, byte miss ratio 0.3957
tencentBlock.ns11487 S3FIFO-0.9900-0.9000 cache size    27937, 4873733 req, miss ratio 0.3530, byte miss ratio 0.3530
tencentBlock.ns11487 S3FIFO-0.9900-0.9000 cache size    93123, 4873733 req, miss ratio 0.2940, byte miss ratio 0.2940
tencentBlock.ns11487 S3FIFO-0.9900-0.9000 cache size   186246, 4873733 req, miss ratio 0.2546, byte miss ratio 0.2546
tencentBlock.ns11487 S3FIFO-0.9900-0.9000 cache size   372493, 4873733 req, miss ratio 0.2195, byte miss ratio 0.2195
tencentBlock.ns11487 S3FIFO-0.9900-0.9000 cache size   744987, 4873733 req, miss ratio 0.1986, byte miss ratio 0.1986
tencentBlock.ns11487 S3FIFO-0.6500-1.9000 cache size      931, 4873733 req, miss ratio 0.5075, byte miss ratio 0.5075
tencentBlock.ns11487 S3FIFO-0.6500-1.9000 cache size     2793, 4873733 req, miss ratio 0.4078, byte miss ratio 0.4078
tencentBlock.ns11487 S3FIFO-0.6500-1.9000 cache size     9312, 4873733 req, miss ratio 0.3621, byte miss ratio 0.3621
tencentBlock.ns11487 S3FIFO-0.6500-1.9000 cache size    27937, 4873733 req, miss ratio 0.3424, byte miss ratio 0.3424
tencentBlock.ns11487 S3FIFO-0.6500-1.9000 cache size    93123, 4873733 req, miss ratio 0.2810, byte miss ratio 0.2810
tencentBlock.ns11487 S3FIFO-0.6500-1.9000 cache size   186246, 4873733 req, miss ratio 0.2366, byte miss ratio 0.2366
tencentBlock.ns11487 S3FIFO-0.6500-1.9000 cache size   372493, 4873733 req, miss ratio 0.2023, byte miss ratio 0.2023
tencentBlock.ns11487 S3FIFO-0.6500-1.9000 cache size   744987, 4873733 req, miss ratio 0.1914, byte miss ratio 0.1914
tencentBlock.ns11487 S3FIFO-0.0050-0.9000 cache size      931, 4873733 req, miss ratio 0.5083, byte miss ratio 0.5083
tencentBlock.ns11487 S3FIFO-0.0050-0.9000 cache size     2793, 4873733 req, miss ratio 0.4045, byte miss ratio 0.4045
tencentBlock.ns11487 S3FIFO-0.0050-0.9000 cache size     9312, 4873733 req, miss ratio 0.3767, byte miss ratio 0.3767
tencentBlock.ns11487 S3FIFO-0.0050-0.9000 cache size    27937, 4873733 req, miss ratio 0.3376, byte miss ratio 0.3376
tencentBlock.ns11487 S3FIFO-0.0050-0.9000 cache size    93123, 4873733 req, miss ratio 0.2627, byte miss ratio 0.2627
tencentBlock.ns11487 S3FIFO-0.0050-0.9000 cache size   186246, 4873733 req, miss ratio 0.2248, byte miss ratio 0.2248
tencentBlock.ns11487 S3FIFO-0.0050-0.9000 cache size   372493, 4873733 req, miss ratio 0.1994, byte miss ratio 0.1994
tencentBlock.ns11487 S3FIFO-0.0050-0.9000 cache size   744987, 4873733 req, miss ratio 0.1914, byte miss ratio 0.1914
tencentBlock.ns11487 S3FIFO-0.8500-1.9000 cache size      931, 4873733 req, miss ratio 0.5271, byte miss ratio 0.5271
tencentBlock.ns11487 S3FIFO-0.8500-1.9000 cache size     2793, 4873733 req, miss ratio 0.4422, byte miss ratio 0.4422
tencentBlock.ns11487 S3FIFO-0.8500-1.9000 cache size     9312, 4873733 req, miss ratio 0.3710, byte miss ratio 0.3710
tencentBlock.ns11487 S3FIFO-0.8500-1.9000 cache size    27937, 4873733 req, miss ratio 0.3435, byte miss ratio 0.3435
tencentBlock.ns11487 S3FIFO-0.8500-1.9000 cache size    93123, 4873733 req, miss ratio 0.2883, byte miss ratio 0.2883
tencentBlock.ns11487 S3FIFO-0.8500-1.9000 cache size   186246, 4873733 req, miss ratio 0.2485, byte miss ratio 0.2485
tencentBlock.ns11487 S3FIFO-0.8500-1.9000 cache size   372493, 4873733 req, miss ratio 0.2122, byte miss ratio 0.2122
tencentBlock.ns11487 S3FIFO-0.8500-1.9000 cache size   744987, 4873733 req, miss ratio 0.1927, byte miss ratio 0.1927
tencentBlock.ns11487 S3FIFO-0.7500-1.9000 cache size      931, 4873733 req, miss ratio 0.5146, byte miss ratio 0.5146
tencentBlock.ns11487 S3FIFO-0.7500-1.9000 cache size     2793, 4873733 req, miss ratio 0.4260, byte miss ratio 0.4260
tencentBlock.ns11487 S3FIFO-0.7500-1.9000 cache size     9312, 4873733 req, miss ratio 0.3635, byte miss ratio 0.3635
tencentBlock.ns11487 S3FIFO-0.7500-1.9000 cache size    27937, 4873733 req, miss ratio 0.3436, byte miss ratio 0.3436
tencentBlock.ns11487 S3FIFO-0.7500-1.9000 cache size    93123, 4873733 req, miss ratio 0.2839, byte miss ratio 0.2839
tencentBlock.ns11487 S3FIFO-0.7500-1.9000 cache size   186246, 4873733 req, miss ratio 0.2429, byte miss ratio 0.2429
tencentBlock.ns11487 S3FIFO-0.7500-1.9000 cache size   372493, 4873733 req, miss ratio 0.2057, byte miss ratio 0.2057
tencentBlock.ns11487 S3FIFO-0.7500-1.9000 cache size   744987, 4873733 req, miss ratio 0.1914, byte miss ratio 0.1914
tencentBlock.ns11487 S3FIFO-0.5000-0.9000 cache size      931, 4873733 req, miss ratio 0.4968, byte miss ratio 0.4968
tencentBlock.ns11487 S3FIFO-0.5000-0.9000 cache size     2793, 4873733 req, miss ratio 0.3828, byte miss ratio 0.3828
tencentBlock.ns11487 S3FIFO-0.5000-0.9000 cache size     9312, 4873733 req, miss ratio 0.3606, byte miss ratio 0.3606
tencentBlock.ns11487 S3FIFO-0.5000-0.9000 cache size    27937, 4873733 req, miss ratio 0.3340, byte miss ratio 0.3340
tencentBlock.ns11487 S3FIFO-0.5000-0.9000 cache size    93123, 4873733 req, miss ratio 0.2735, byte miss ratio 0.2735
tencentBlock.ns11487 S3FIFO-0.5000-0.9000 cache size   186246, 4873733 req, miss ratio 0.2266, byte miss ratio 0.2266
tencentBlock.ns11487 S3FIFO-0.5000-0.9000 cache size   372493, 4873733 req, miss ratio 0.1996, byte miss ratio 0.1996
tencentBlock.ns11487 S3FIFO-0.5000-0.9000 cache size   744987, 4873733 req, miss ratio 0.1914, byte miss ratio 0.1914
tencentBlock.ns11487 S3FIFO-0.0050-1.9000 cache size      931, 4873733 req, miss ratio 0.5043, byte miss ratio 0.5043
tencentBlock.ns11487 S3FIFO-0.0050-1.9000 cache size     2793, 4873733 req, miss ratio 0.4035, byte miss ratio 0.4035
tencentBlock.ns11487 S3FIFO-0.0050-1.9000 cache size     9312, 4873733 req, miss ratio 0.3744, byte miss ratio 0.3744
tencentBlock.ns11487 S3FIFO-0.0050-1.9000 cache size    27937, 4873733 req, miss ratio 0.3305, byte miss ratio 0.3305
tencentBlock.ns11487 S3FIFO-0.0050-1.9000 cache size    93123, 4873733 req, miss ratio 0.2626, byte miss ratio 0.2626
tencentBlock.ns11487 S3FIFO-0.0050-1.9000 cache size   186246, 4873733 req, miss ratio 0.2234, byte miss ratio 0.2234
tencentBlock.ns11487 S3FIFO-0.0050-1.9000 cache size   372493, 4873733 req, miss ratio 0.1994, byte miss ratio 0.1994
tencentBlock.ns11487 S3FIFO-0.0050-1.9000 cache size   744987, 4873733 req, miss ratio 0.1914, byte miss ratio 0.1914
tencentBlock.ns11487 S3FIFO-0.2000-0.9000 cache size      931, 4873733 req, miss ratio 0.4762, byte miss ratio 0.4762
tencentBlock.ns11487 S3FIFO-0.2000-0.9000 cache size     2793, 4873733 req, miss ratio 0.3748, byte miss ratio 0.3748
tencentBlock.ns11487 S3FIFO-0.2000-0.9000 cache size     9312, 4873733 req, miss ratio 0.3595, byte miss ratio 0.3595
tencentBlock.ns11487 S3FIFO-0.2000-0.9000 cache size    27937, 4873733 req, miss ratio 0.3307, byte miss ratio 0.3307
tencentBlock.ns11487 S3FIFO-0.2000-0.9000 cache size    93123, 4873733 req, miss ratio 0.2634, byte miss ratio 0.2634
tencentBlock.ns11487 S3FIFO-0.2000-0.9000 cache size   186246, 4873733 req, miss ratio 0.2180, byte miss ratio 0.2180
tencentBlock.ns11487 S3FIFO-0.2000-0.9000 cache size   372493, 4873733 req, miss ratio 0.1979, byte miss ratio 0.1979
tencentBlock.ns11487 S3FIFO-0.2000-0.9000 cache size   744987, 4873733 req, miss ratio 0.1914, byte miss ratio 0.1914
tencentBlock.ns11487 S3FIFO-0.1000-0.9000 cache size      931, 4873733 req, miss ratio 0.4751, byte miss ratio 0.4751
tencentBlock.ns11487 S3FIFO-0.1000-0.9000 cache size     2793, 4873733 req, miss ratio 0.3747, byte miss ratio 0.3747
tencentBlock.ns11487 S3FIFO-0.1000-0.9000 cache size     9312, 4873733 req, miss ratio 0.3603, byte miss ratio 0.3603
tencentBlock.ns11487 S3FIFO-0.1000-0.9000 cache size    27937, 4873733 req, miss ratio 0.3312, byte miss ratio 0.3312
tencentBlock.ns11487 S3FIFO-0.1000-0.9000 cache size    93123, 4873733 req, miss ratio 0.2608, byte miss ratio 0.2608
tencentBlock.ns11487 S3FIFO-0.1000-0.9000 cache size   186246, 4873733 req, miss ratio 0.2188, byte miss ratio 0.2188
