cdn1_colo28.ns384 S3FIFO-0.9500-0.9000 cache size     1453, 10479205 req, miss ratio 0.9280, byte miss ratio 0.9280
cdn1_colo28.ns384 S3FIFO-0.9500-0.9000 cache size     4360, 10479205 req, miss ratio 0.8683, byte miss ratio 0.8683
cdn1_colo28.ns384 S3FIFO-0.9500-0.9000 cache size    14535, 10479205 req, miss ratio 0.7581, byte miss ratio 0.7581
cdn1_colo28.ns384 S3FIFO-0.9500-0.9000 cache size    43605, 10479205 req, miss ratio 0.6119, byte miss ratio 0.6119
cdn1_colo28.ns384 S3FIFO-0.9500-0.9000 cache size   145350, 10479205 req, miss ratio 0.4186, byte miss ratio 0.4186
cdn1_colo28.ns384 S3FIFO-0.9500-0.9000 cache size   290700, 10479205 req, miss ratio 0.3060, byte miss ratio 0.3060
cdn1_colo28.ns384 S3FIFO-0.9500-0.9000 cache size   581401, 10479205 req, miss ratio 0.2124, byte miss ratio 0.2124
cdn1_colo28.ns384 S3FIFO-0.9500-0.9000 cache size  1162803, 10479205 req, miss ratio 0.1526, byte miss ratio 0.1526
cdn1_colo28.ns384 S3FIFO-0.0050-0.9000 cache size     1453, 10479205 req, miss ratio 0.8769, byte miss ratio 0.8769
cdn1_colo28.ns384 S3FIFO-0.0050-0.9000 cache size     4360, 10479205 req, miss ratio 0.7907, byte miss ratio 0.7907
cdn1_colo28.ns384 S3FIFO-0.0050-0.9000 cache size    14535, 10479205 req, miss ratio 0.6557, byte miss ratio 0.6557
cdn1_colo28.ns384 S3FIFO-0.0050-0.9000 cache size    43605, 10479205 req, miss ratio 0.4989, byte miss ratio 0.4989
cdn1_colo28.ns384 S3FIFO-0.0050-0.9000 cache size   145350, 10479205 req, miss ratio 0.3194, byte miss ratio 0.3194
cdn1_colo28.ns384 S3FIFO-0.0050-0.9000 cache size   290700, 10479205 req, miss ratio 0.2323, byte miss ratio 0.2323
cdn1_colo28.ns384 S3FIFO-0.0050-0.9000 cache size   581401, 10479205 req, miss ratio 0.1709, byte miss ratio 0.1709
cdn1_colo28.ns384 S3FIFO-0.0050-0.9000 cache size  1162803, 10479205 req, miss ratio 0.1410, byte miss ratio 0.1410
cdn1_colo28.ns384 S3FIFO-0.2000-0.9000 cache size     1453, 10479205 req, miss ratio 0.8758, byte miss ratio 0.8758
cdn1_colo28.ns384 S3FIFO-0.2000-0.9000 cache size     4360, 10479205 req, miss ratio 0.7922, byte miss ratio 0.7922
cdn1_colo28.ns384 S3FIFO-0.2000-0.9000 cache size    14535, 10479205 req, miss ratio 0.6584, byte miss ratio 0.6584
cdn1_colo28.ns384 S3FIFO-0.2000-0.9000 cache size    43605, 10479205 req, miss ratio 0.5022, byte miss ratio 0.5022
cdn1_colo28.ns384 S3FIFO-0.2000-0.9000 cache size   145350, 10479205 req, miss ratio 0.3230, byte miss ratio 0.3230
cdn1_colo28.ns384 S3FIFO-0.2000-0.9000 cache size   290700, 10479205 req, miss ratio 0.2352, byte miss ratio 0.2352
cdn1_colo28.ns384 S3FIFO-0.2000-0.9000 cache size   581401, 10479205 req, miss ratio 0.1712, byte miss ratio 0.1712
cdn1_colo28.ns384 S3FIFO-0.2000-0.9000 cache size  1162803, 10479205 req, miss ratio 0.1410, byte miss ratio 0.1410
cdn1_colo28.ns384 S3FIFO-0.5500-0.9000 cache size     1453, 10479205 req, miss ratio 0.8909, byte miss ratio 0.8909
cdn1_colo28.ns384 S3FIFO-0.5500-0.9000 cache size     4360, 10479205 req, miss ratio 0.8147, byte miss ratio 0.8147
cdn1_colo28.ns384 S3FIFO-0.5500-0.9000 cache size    14535, 10479205 req, miss ratio 0.6897, byte miss ratio 0.6897
cdn1_colo28.ns384 S3FIFO-0.5500-0.9000 cache size    43605, 10479205 req, miss ratio 0.5394, byte miss ratio 0.5394
cdn1_colo28.ns384 S3FIFO-0.5500-0.9000 cache size   145350, 10479205 req, miss ratio 0.3582, byte miss ratio 0.3582
cdn1_colo28.ns384 S3FIFO-0.5500-0.9000 cache size   290700, 10479205 req, miss ratio 0.2602, byte miss ratio 0.2602
cdn1_colo28.ns384 S3FIFO-0.5500-0.9000 cache size   581401, 10479205 req, miss ratio 0.1824, byte miss ratio 0.1824
cdn1_colo28.ns384 S3FIFO-0.5500-0.9000 cache size  1162803, 10479205 req, miss ratio 0.1411, byte miss ratio 0.1411
cdn1_colo28.ns384 S3FIFO-0.4500-0.9000 cache size     1453, 10479205 req, miss ratio 0.8855, byte miss ratio 0.8855
cdn1_colo28.ns384 S3FIFO-0.4500-0.9000 cache size     4360, 10479205 req, miss ratio 0.8066, byte miss ratio 0.8066
cdn1_colo28.ns384 S3FIFO-0.4500-0.9000 cache size    14535, 10479205 req, miss ratio 0.6784, byte miss ratio 0.6784
cdn1_colo28.ns384 S3FIFO-0.4500-0.9000 cache size    43605, 10479205 req, miss ratio 0.5266, byte miss ratio 0.5266
cdn1_colo28.ns384 S3FIFO-0.4500-0.9000 cache size   145350, 10479205 req, miss ratio 0.3464, byte miss ratio 0.3464
cdn1_colo28.ns384 S3FIFO-0.4500-0.9000 cache size   290700, 10479205 req, miss ratio 0.2516, byte miss ratio 0.2516
cdn1_colo28.ns384 S3FIFO-0.4500-0.9000 cache size   581401, 10479205 req, miss ratio 0.1783, byte miss ratio 0.1783
cdn1_colo28.ns384 S3FIFO-0.4500-0.9000 cache size  1162803, 10479205 req, miss ratio 0.1410, byte miss ratio 0.1410
cdn1_colo28.ns384 S3FIFO-0.7000-1.9000 cache size     1453, 10479205 req, miss ratio 0.9034, byte miss ratio 0.9034
cdn1_colo28.ns384 S3FIFO-0.7000-1.9000 cache size     4360, 10479205 req, miss ratio 0.8343, byte miss ratio 0.8343
cdn1_colo28.ns384 S3FIFO-0.7000-1.9000 cache size    14535, 10479205 req, miss ratio 0.7169, byte miss ratio 0.7169
cdn1_colo28.ns384 S3FIFO-0.7000-1.9000 cache size    43605, 10479205 req, miss ratio 0.5685, byte miss ratio 0.5685
cdn1_colo28.ns384 S3FIFO-0.7000-1.9000 cache size   145350, 10479205 req, miss ratio 0.3802, byte miss ratio 0.3802
cdn1_colo28.ns384 S3FIFO-0.7000-1.9000 cache size   290700, 10479205 req, miss ratio 0.2753, byte miss ratio 0.2753
cdn1_colo28.ns384 S3FIFO-0.7000-1.9000 cache size   581401, 10479205 req, miss ratio 0.1913, byte miss ratio 0.1913
cdn1_colo28.ns384 S3FIFO-0.7000-1.9000 cache size  1162803, 10479205 req, miss ratio 0.1427, byte miss ratio 0.1427
cdn1_colo28.ns384 S3FIFO-0.1500-1.9000 cache size     1453, 10479205 req, miss ratio 0.8733, byte miss ratio 0.8733
cdn1_colo28.ns384 S3FIFO-0.1500-1.9000 cache size     4360, 10479205 req, miss ratio 0.7908, byte miss ratio 0.7908
cdn1_colo28.ns384 S3FIFO-0.1500-1.9000 cache size    14535, 10479205 req, miss ratio 0.6589, byte miss ratio 0.6589
cdn1_colo28.ns384 S3FIFO-0.1500-1.9000 cache size    43605, 10479205 req, miss ratio 0.5038, byte miss ratio 0.5038
cdn1_colo28.ns384 S3FIFO-0.1500-1.9000 cache size   145350, 10479205 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn1_colo28.ns384 S3FIFO-0.1500-1.9000 cache size   290700, 10479205 req, miss ratio 0.2351, byte miss ratio 0.2351
cdn1_colo28.ns384 S3FIFO-0.1500-1.9000 cache size   581401, 10479205 req, miss ratio 0.1706, byte miss ratio 0.1706
cdn1_colo28.ns384 S3FIFO-0.1500-1.9000 cache size  1162803, 10479205 req, miss ratio 0.1410, byte miss ratio 0.1410
cdn1_colo28.ns384 S3FIFO-0.9000-0.9000 cache size     1453, 10479205 req, miss ratio 0.9213, byte miss ratio 0.9213
cdn1_colo28.ns384 S3FIFO-0.9000-0.9000 cache size     4360, 10479205 req, miss ratio 0.8589, byte miss ratio 0.8589
cdn1_colo28.ns384 S3FIFO-0.9000-0.9000 cache size    14535, 10479205 req, miss ratio 0.7471, byte miss ratio 0.7471
cdn1_colo28.ns384 S3FIFO-0.9000-0.9000 cache size    43605, 10479205 req, miss ratio 0.6010, byte miss ratio 0.6010
cdn1_colo28.ns384 S3FIFO-0.9000-0.9000 cache size   145350, 10479205 req, miss ratio 0.4098, byte miss ratio 0.4098
cdn1_colo28.ns384 S3FIFO-0.9000-0.9000 cache size   290700, 10479205 req, miss ratio 0.2990, byte miss ratio 0.2990
cdn1_colo28.ns384 S3FIFO-0.9000-0.9000 cache size   581401, 10479205 req, miss ratio 0.2072, byte miss ratio 0.2072
cdn1_colo28.ns384 S3FIFO-0.9000-0.9000 cache size  1162803, 10479205 req, miss ratio 0.1492, byte miss ratio 0.1492
cdn1_colo28.ns384 S3FIFO-0.5000-0.9000 cache size     1453, 10479205 req, miss ratio 0.8880, byte miss ratio 0.8880
cdn1_colo28.ns384 S3FIFO-0.5000-0.9000 cache size     4360, 10479205 req, miss ratio 0.8105, byte miss ratio 0.8105
cdn1_colo28.ns384 S3FIFO-0.5000-0.9000 cache size    14535, 10479205 req, miss ratio 0.6837, byte miss ratio 0.6837
cdn1_colo28.ns384 S3FIFO-0.5000-0.9000 cache size    43605, 10479205 req, miss ratio 0.5327, byte miss ratio 0.5327
cdn1_colo28.ns384 S3FIFO-0.5000-0.9000 cache size   145350, 10479205 req, miss ratio 0.3521, byte miss ratio 0.3521
cdn1_colo28.ns384 S3FIFO-0.5000-0.9000 cache size   290700, 10479205 req, miss ratio 0.2558, byte miss ratio 0.2558
cdn1_colo28.ns384 S3FIFO-0.5000-0.9000 cache size   581401, 10479205 req, miss ratio 0.1801, byte miss ratio 0.1801
cdn1_colo28.ns384 S3FIFO-0.5000-0.9000 cache size  1162803, 10479205 req, miss ratio 0.1410, byte miss ratio 0.1410
cdn1_colo28.ns384 S3FIFO-0.6500-0.9000 cache size     1453, 10479205 req, miss ratio 0.8974, byte miss ratio 0.8974
cdn1_colo28.ns384 S3FIFO-0.6500-0.9000 cache size     4360, 10479205 req, miss ratio 0.8243, byte miss ratio 0.8243
cdn1_colo28.ns384 S3FIFO-0.6500-0.9000 cache size    14535, 10479205 req, miss ratio 0.7030, byte miss ratio 0.7030
cdn1_colo28.ns384 S3FIFO-0.6500-0.9000 cache size    43605, 10479205 req, miss ratio 0.5543, byte miss ratio 0.5543
cdn1_colo28.ns384 S3FIFO-0.6500-0.9000 cache size   145350, 10479205 req, miss ratio 0.3711, byte miss ratio 0.3711
cdn1_colo28.ns384 S3FIFO-0.6500-0.9000 cache size   290700, 10479205 req, miss ratio 0.2699, byte miss ratio 0.2699
