cdn1_allcolo.ns1869 S3FIFO-0.1500-0.9000 cache size        9, 1037969 req, miss ratio 0.3403, byte miss ratio 0.3403
cdn1_allcolo.ns1869 S3FIFO-0.1500-0.9000 cache size       28, 1037969 req, miss ratio 0.2497, byte miss ratio 0.2497
cdn1_allcolo.ns1869 S3FIFO-0.1500-0.9000 cache size       96, 1037969 req, miss ratio 0.1396, byte miss ratio 0.1396
cdn1_allcolo.ns1869 S3FIFO-0.1500-0.9000 cache size      288, 1037969 req, miss ratio 0.0719, byte miss ratio 0.0719
cdn1_allcolo.ns1869 S3FIFO-0.1500-0.9000 cache size      962, 1037969 req, miss ratio 0.0309, byte miss ratio 0.0309
cdn1_allcolo.ns1869 S3FIFO-0.1500-0.9000 cache size     1925, 1037969 req, miss ratio 0.0186, byte miss ratio 0.0186
cdn1_allcolo.ns1869 S3FIFO-0.1500-0.9000 cache size     3850, 1037969 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_allcolo.ns1869 S3FIFO-0.1500-0.9000 cache size     7700, 1037969 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns1869 S3FIFO-0.0250-0.9000 cache size        9, 1037969 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1869 S3FIFO-0.0250-0.9000 cache size       28, 1037969 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1869 S3FIFO-0.0250-0.9000 cache size       96, 1037969 req, miss ratio 0.1400, byte miss ratio 0.1400
cdn1_allcolo.ns1869 S3FIFO-0.0250-0.9000 cache size      288, 1037969 req, miss ratio 0.0718, byte miss ratio 0.0718
cdn1_allcolo.ns1869 S3FIFO-0.0250-0.9000 cache size      962, 1037969 req, miss ratio 0.0304, byte miss ratio 0.0304
cdn1_allcolo.ns1869 S3FIFO-0.0250-0.9000 cache size     1925, 1037969 req, miss ratio 0.0181, byte miss ratio 0.0181
cdn1_allcolo.ns1869 S3FIFO-0.0250-0.9000 cache size     3850, 1037969 req, miss ratio 0.0117, byte miss ratio 0.0117
cdn1_allcolo.ns1869 S3FIFO-0.0250-0.9000 cache size     7700, 1037969 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns1869 S3FIFO-0.5000-0.9000 cache size        9, 1037969 req, miss ratio 0.3548, byte miss ratio 0.3548
cdn1_allcolo.ns1869 S3FIFO-0.5000-0.9000 cache size       28, 1037969 req, miss ratio 0.2717, byte miss ratio 0.2717
