cdn1_allcolo.ns453 S3FIFO-0.4000-1.9000 cache size        6, 3487272 req, miss ratio 0.7720, byte miss ratio 0.7720
cdn1_allcolo.ns453 S3FIFO-0.4000-1.9000 cache size       18, 3487272 req, miss ratio 0.6512, byte miss ratio 0.6512
cdn1_allcolo.ns453 S3FIFO-0.4000-1.9000 cache size       61, 3487272 req, miss ratio 0.4603, byte miss ratio 0.4603
cdn1_allcolo.ns453 S3FIFO-0.4000-1.9000 cache size      185, 3487272 req, miss ratio 0.2216, byte miss ratio 0.2216
cdn1_allcolo.ns453 S3FIFO-0.4000-1.9000 cache size      617, 3487272 req, miss ratio 0.0316, byte miss ratio 0.0316
cdn1_allcolo.ns453 S3FIFO-0.4000-1.9000 cache size     1235, 3487272 req, miss ratio 0.0054, byte miss ratio 0.0054
cdn1_allcolo.ns453 S3FIFO-0.4000-1.9000 cache size     2470, 3487272 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns453 S3FIFO-0.4000-1.9000 cache size     4940, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.0100-1.9000 cache size        6, 3487272 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns453 S3FIFO-0.0100-1.9000 cache size       18, 3487272 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns453 S3FIFO-0.0100-1.9000 cache size       61, 3487272 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns453 S3FIFO-0.0100-1.9000 cache size      185, 3487272 req, miss ratio 0.1972, byte miss ratio 0.1972
cdn1_allcolo.ns453 S3FIFO-0.0100-1.9000 cache size      617, 3487272 req, miss ratio 0.0243, byte miss ratio 0.0243
cdn1_allcolo.ns453 S3FIFO-0.0100-1.9000 cache size     1235, 3487272 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_allcolo.ns453 S3FIFO-0.0100-1.9000 cache size     2470, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.0100-1.9000 cache size     4940, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.5000-1.9000 cache size        6, 3487272 req, miss ratio 0.7914, byte miss ratio 0.7914
cdn1_allcolo.ns453 S3FIFO-0.5000-1.9000 cache size       18, 3487272 req, miss ratio 0.6629, byte miss ratio 0.6629
cdn1_allcolo.ns453 S3FIFO-0.5000-1.9000 cache size       61, 3487272 req, miss ratio 0.4718, byte miss ratio 0.4718
cdn1_allcolo.ns453 S3FIFO-0.5000-1.9000 cache size      185, 3487272 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_allcolo.ns453 S3FIFO-0.5000-1.9000 cache size      617, 3487272 req, miss ratio 0.0342, byte miss ratio 0.0342
cdn1_allcolo.ns453 S3FIFO-0.5000-1.9000 cache size     1235, 3487272 req, miss ratio 0.0061, byte miss ratio 0.0061
cdn1_allcolo.ns453 S3FIFO-0.5000-1.9000 cache size     2470, 3487272 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_allcolo.ns453 S3FIFO-0.5000-1.9000 cache size     4940, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.1000-1.9000 cache size        6, 3487272 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns453 S3FIFO-0.1000-1.9000 cache size       18, 3487272 req, miss ratio 0.6256, byte miss ratio 0.6256
cdn1_allcolo.ns453 S3FIFO-0.1000-1.9000 cache size       61, 3487272 req, miss ratio 0.4289, byte miss ratio 0.4289
cdn1_allcolo.ns453 S3FIFO-0.1000-1.9000 cache size      185, 3487272 req, miss ratio 0.2011, byte miss ratio 0.2011
cdn1_allcolo.ns453 S3FIFO-0.1000-1.9000 cache size      617, 3487272 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns453 S3FIFO-0.1000-1.9000 cache size     1235, 3487272 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_allcolo.ns453 S3FIFO-0.1000-1.9000 cache size     2470, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.1000-1.9000 cache size     4940, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.3500-1.9000 cache size        6, 3487272 req, miss ratio 0.7720, byte miss ratio 0.7720
cdn1_allcolo.ns453 S3FIFO-0.3500-1.9000 cache size       18, 3487272 req, miss ratio 0.6460, byte miss ratio 0.6460
cdn1_allcolo.ns453 S3FIFO-0.3500-1.9000 cache size       61, 3487272 req, miss ratio 0.4546, byte miss ratio 0.4546
cdn1_allcolo.ns453 S3FIFO-0.3500-1.9000 cache size      185, 3487272 req, miss ratio 0.2179, byte miss ratio 0.2179
cdn1_allcolo.ns453 S3FIFO-0.3500-1.9000 cache size      617, 3487272 req, miss ratio 0.0304, byte miss ratio 0.0304
cdn1_allcolo.ns453 S3FIFO-0.3500-1.9000 cache size     1235, 3487272 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns453 S3FIFO-0.3500-1.9000 cache size     2470, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.3500-1.9000 cache size     4940, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.6500-0.9000 cache size        6, 3487272 req, miss ratio 0.7848, byte miss ratio 0.7848
cdn1_allcolo.ns453 S3FIFO-0.6500-0.9000 cache size       18, 3487272 req, miss ratio 0.6680, byte miss ratio 0.6680
cdn1_allcolo.ns453 S3FIFO-0.6500-0.9000 cache size       61, 3487272 req, miss ratio 0.4838, byte miss ratio 0.4838
cdn1_allcolo.ns453 S3FIFO-0.6500-0.9000 cache size      185, 3487272 req, miss ratio 0.2434, byte miss ratio 0.2434
cdn1_allcolo.ns453 S3FIFO-0.6500-0.9000 cache size      617, 3487272 req, miss ratio 0.0388, byte miss ratio 0.0388
cdn1_allcolo.ns453 S3FIFO-0.6500-0.9000 cache size     1235, 3487272 req, miss ratio 0.0072, byte miss ratio 0.0072
cdn1_allcolo.ns453 S3FIFO-0.6500-0.9000 cache size     2470, 3487272 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns453 S3FIFO-0.6500-0.9000 cache size     4940, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.4500-1.9000 cache size        6, 3487272 req, miss ratio 0.7720, byte miss ratio 0.7720
cdn1_allcolo.ns453 S3FIFO-0.4500-1.9000 cache size       18, 3487272 req, miss ratio 0.6568, byte miss ratio 0.6568
cdn1_allcolo.ns453 S3FIFO-0.4500-1.9000 cache size       61, 3487272 req, miss ratio 0.4661, byte miss ratio 0.4661
cdn1_allcolo.ns453 S3FIFO-0.4500-1.9000 cache size      185, 3487272 req, miss ratio 0.2250, byte miss ratio 0.2250
cdn1_allcolo.ns453 S3FIFO-0.4500-1.9000 cache size      617, 3487272 req, miss ratio 0.0329, byte miss ratio 0.0329
cdn1_allcolo.ns453 S3FIFO-0.4500-1.9000 cache size     1235, 3487272 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn1_allcolo.ns453 S3FIFO-0.4500-1.9000 cache size     2470, 3487272 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_allcolo.ns453 S3FIFO-0.4500-1.9000 cache size     4940, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.5500-1.9000 cache size        6, 3487272 req, miss ratio 0.7914, byte miss ratio 0.7914
cdn1_allcolo.ns453 S3FIFO-0.5500-1.9000 cache size       18, 3487272 req, miss ratio 0.6629, byte miss ratio 0.6629
cdn1_allcolo.ns453 S3FIFO-0.5500-1.9000 cache size       61, 3487272 req, miss ratio 0.4777, byte miss ratio 0.4777
cdn1_allcolo.ns453 S3FIFO-0.5500-1.9000 cache size      185, 3487272 req, miss ratio 0.2319, byte miss ratio 0.2319
cdn1_allcolo.ns453 S3FIFO-0.5500-1.9000 cache size      617, 3487272 req, miss ratio 0.0356, byte miss ratio 0.0356
cdn1_allcolo.ns453 S3FIFO-0.5500-1.9000 cache size     1235, 3487272 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_allcolo.ns453 S3FIFO-0.5500-1.9000 cache size     2470, 3487272 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_allcolo.ns453 S3FIFO-0.5500-1.9000 cache size     4940, 3487272 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns453 S3FIFO-0.9500-0.9000 cache size        6, 3487272 req, miss ratio 0.8384, byte miss ratio 0.8384
cdn1_allcolo.ns453 S3FIFO-0.9500-0.9000 cache size       18, 3487272 req, miss ratio 0.7321, byte miss ratio 0.7321
cdn1_allcolo.ns453 S3FIFO-0.9500-0.9000 cache size       61, 3487272 req, miss ratio 0.5297, byte miss ratio 0.5297
cdn1_allcolo.ns453 S3FIFO-0.9500-0.9000 cache size      185, 3487272 req, miss ratio 0.2724, byte miss ratio 0.2724
cdn1_allcolo.ns453 S3FIFO-0.9500-0.9000 cache size      617, 3487272 req, miss ratio 0.0493, byte miss ratio 0.0493
cdn1_allcolo.ns453 S3FIFO-0.9500-0.9000 cache size     1235, 3487272 req, miss ratio 0.0099, byte miss ratio 0.0099
cdn1_allcolo.ns453 S3FIFO-0.9500-0.9000 cache size     2470, 3487272 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_allcolo.ns453 S3FIFO-0.9500-0.9000 cache size     4940, 3487272 req, miss ratio 0.0021, byte miss ratio 0.0021
