tencentBlock.ns7478 S3FIFO-0.7500-1.9000 cache size       48, 1367371 req, miss ratio 0.3741, byte miss ratio 0.3741
tencentBlock.ns7478 S3FIFO-0.7500-1.9000 cache size      144, 1367371 req, miss ratio 0.2098, byte miss ratio 0.2098
tencentBlock.ns7478 S3FIFO-0.7500-1.9000 cache size      482, 1367371 req, miss ratio 0.1770, byte miss ratio 0.1770
tencentBlock.ns7478 S3FIFO-0.7500-1.9000 cache size     1448, 1367371 req, miss ratio 0.1608, byte miss ratio 0.1608
tencentBlock.ns7478 S3FIFO-0.7500-1.9000 cache size     4827, 1367371 req, miss ratio 0.1120, byte miss ratio 0.1120
tencentBlock.ns7478 S3FIFO-0.7500-1.9000 cache size     9654, 1367371 req, miss ratio 0.0881, byte miss ratio 0.0881
tencentBlock.ns7478 S3FIFO-0.7500-1.9000 cache size    19308, 1367371 req, miss ratio 0.0633, byte miss ratio 0.0633
tencentBlock.ns7478 S3FIFO-0.7500-1.9000 cache size    38616, 1367371 req, miss ratio 0.0385, byte miss ratio 0.0385
tencentBlock.ns7478 S3FIFO-0.8000-0.9000 cache size       48, 1367371 req, miss ratio 0.3814, byte miss ratio 0.3814
tencentBlock.ns7478 S3FIFO-0.8000-0.9000 cache size      144, 1367371 req, miss ratio 0.2183, byte miss ratio 0.2183
tencentBlock.ns7478 S3FIFO-0.8000-0.9000 cache size      482, 1367371 req, miss ratio 0.1796, byte miss ratio 0.1796
tencentBlock.ns7478 S3FIFO-0.8000-0.9000 cache size     1448, 1367371 req, miss ratio 0.1618, byte miss ratio 0.1618
tencentBlock.ns7478 S3FIFO-0.8000-0.9000 cache size     4827, 1367371 req, miss ratio 0.1138, byte miss ratio 0.1138
tencentBlock.ns7478 S3FIFO-0.8000-0.9000 cache size     9654, 1367371 req, miss ratio 0.0909, byte miss ratio 0.0909
tencentBlock.ns7478 S3FIFO-0.8000-0.9000 cache size    19308, 1367371 req, miss ratio 0.0631, byte miss ratio 0.0631
tencentBlock.ns7478 S3FIFO-0.8000-0.9000 cache size    38616, 1367371 req, miss ratio 0.0387, byte miss ratio 0.0387
tencentBlock.ns7478 S3FIFO-0.1000-0.9000 cache size       48, 1367371 req, miss ratio 0.2611, byte miss ratio 0.2611
tencentBlock.ns7478 S3FIFO-0.1000-0.9000 cache size      144, 1367371 req, miss ratio 0.1898, byte miss ratio 0.1898
tencentBlock.ns7478 S3FIFO-0.1000-0.9000 cache size      482, 1367371 req, miss ratio 0.1637, byte miss ratio 0.1637
tencentBlock.ns7478 S3FIFO-0.1000-0.9000 cache size     1448, 1367371 req, miss ratio 0.1421, byte miss ratio 0.1421
tencentBlock.ns7478 S3FIFO-0.1000-0.9000 cache size     4827, 1367371 req, miss ratio 0.0992, byte miss ratio 0.0992
tencentBlock.ns7478 S3FIFO-0.1000-0.9000 cache size     9654, 1367371 req, miss ratio 0.0873, byte miss ratio 0.0873
tencentBlock.ns7478 S3FIFO-0.1000-0.9000 cache size    19308, 1367371 req, miss ratio 0.0624, byte miss ratio 0.0624
tencentBlock.ns7478 S3FIFO-0.1000-0.9000 cache size    38616, 1367371 req, miss ratio 0.0376, byte miss ratio 0.0376
tencentBlock.ns7478 S3FIFO-0.3000-0.9000 cache size       48, 1367371 req, miss ratio 0.3124, byte miss ratio 0.3124
tencentBlock.ns7478 S3FIFO-0.3000-0.9000 cache size      144, 1367371 req, miss ratio 0.1959, byte miss ratio 0.1959
tencentBlock.ns7478 S3FIFO-0.3000-0.9000 cache size      482, 1367371 req, miss ratio 0.1638, byte miss ratio 0.1638
tencentBlock.ns7478 S3FIFO-0.3000-0.9000 cache size     1448, 1367371 req, miss ratio 0.1441, byte miss ratio 0.1441
tencentBlock.ns7478 S3FIFO-0.3000-0.9000 cache size     4827, 1367371 req, miss ratio 0.1002, byte miss ratio 0.1002
tencentBlock.ns7478 S3FIFO-0.3000-0.9000 cache size     9654, 1367371 req, miss ratio 0.0876, byte miss ratio 0.0876
tencentBlock.ns7478 S3FIFO-0.3000-0.9000 cache size    19308, 1367371 req, miss ratio 0.0650, byte miss ratio 0.0650
tencentBlock.ns7478 S3FIFO-0.3000-0.9000 cache size    38616, 1367371 req, miss ratio 0.0378, byte miss ratio 0.0378
tencentBlock.ns7478 S3FIFO-0.0500-1.9000 cache size       48, 1367371 req, miss ratio 0.2664, byte miss ratio 0.2664
tencentBlock.ns7478 S3FIFO-0.0500-1.9000 cache size      144, 1367371 req, miss ratio 0.1996, byte miss ratio 0.1996
tencentBlock.ns7478 S3FIFO-0.0500-1.9000 cache size      482, 1367371 req, miss ratio 0.1626, byte miss ratio 0.1626
