cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size      371, 1620818 req, miss ratio 0.2538, byte miss ratio 0.2538
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size     1114, 1620818 req, miss ratio 0.2348, byte miss ratio 0.2348
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size     3714, 1620818 req, miss ratio 0.2310, byte miss ratio 0.2310
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size      371, 1620818 req, miss ratio 0.3728, byte miss ratio 0.3728
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size     1114, 1620818 req, miss ratio 0.3036, byte miss ratio 0.3036
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size     3714, 1620818 req, miss ratio 0.2615, byte miss ratio 0.2615
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size    11144, 1620818 req, miss ratio 0.2422, byte miss ratio 0.2422
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size    37149, 1620818 req, miss ratio 0.2328, byte miss ratio 0.2328
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size    74298, 1620818 req, miss ratio 0.2304, byte miss ratio 0.2304
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size   148596, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.0500-1.9000 cache size      371, 1620818 req, miss ratio 0.2552, byte miss ratio 0.2552
cdn1_allcolo.ns3642 S3FIFO-0.0500-1.9000 cache size     1114, 1620818 req, miss ratio 0.2338, byte miss ratio 0.2338
cdn1_allcolo.ns3642 S3FIFO-0.0500-1.9000 cache size     3714, 1620818 req, miss ratio 0.2307, byte miss ratio 0.2307
cdn1_allcolo.ns3642 S3FIFO-0.0500-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.0500-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.0500-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.0500-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.0500-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.3000-0.9000 cache size      371, 1620818 req, miss ratio 0.2672, byte miss ratio 0.2672
cdn1_allcolo.ns3642 S3FIFO-0.3000-0.9000 cache size     1114, 1620818 req, miss ratio 0.2353, byte miss ratio 0.2353
cdn1_allcolo.ns3642 S3FIFO-0.3000-0.9000 cache size     3714, 1620818 req, miss ratio 0.2310, byte miss ratio 0.2310
cdn1_allcolo.ns3642 S3FIFO-0.3000-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.3000-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.3000-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.3000-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.3000-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.1500-1.9000 cache size      371, 1620818 req, miss ratio 0.2595, byte miss ratio 0.2595
cdn1_allcolo.ns3642 S3FIFO-0.1500-1.9000 cache size     1114, 1620818 req, miss ratio 0.2339, byte miss ratio 0.2339
cdn1_allcolo.ns3642 S3FIFO-0.1500-1.9000 cache size     3714, 1620818 req, miss ratio 0.2307, byte miss ratio 0.2307
cdn1_allcolo.ns3642 S3FIFO-0.1500-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.1500-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.1500-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.1500-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.1500-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.1000-1.9000 cache size      371, 1620818 req, miss ratio 0.2573, byte miss ratio 0.2573
cdn1_allcolo.ns3642 S3FIFO-0.1000-1.9000 cache size     1114, 1620818 req, miss ratio 0.2339, byte miss ratio 0.2339
cdn1_allcolo.ns3642 S3FIFO-0.1000-1.9000 cache size     3714, 1620818 req, miss ratio 0.2307, byte miss ratio 0.2307
cdn1_allcolo.ns3642 S3FIFO-0.1000-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.1000-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.1000-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.1000-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.1000-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.4500-0.9000 cache size      371, 1620818 req, miss ratio 0.2779, byte miss ratio 0.2779
cdn1_allcolo.ns3642 S3FIFO-0.4500-0.9000 cache size     1114, 1620818 req, miss ratio 0.2379, byte miss ratio 0.2379
cdn1_allcolo.ns3642 S3FIFO-0.4500-0.9000 cache size     3714, 1620818 req, miss ratio 0.2310, byte miss ratio 0.2310
cdn1_allcolo.ns3642 S3FIFO-0.4500-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
