cdn1_allcolo.ns2907 S3FIFO-0.0500-1.9000 cache size       15, 1055411 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2907 S3FIFO-0.0500-1.9000 cache size       45, 1055411 req, miss ratio 0.4959, byte miss ratio 0.4959
cdn1_allcolo.ns2907 S3FIFO-0.0500-1.9000 cache size      152, 1055411 req, miss ratio 0.2054, byte miss ratio 0.2054
cdn1_allcolo.ns2907 S3FIFO-0.0500-1.9000 cache size      458, 1055411 req, miss ratio 0.1148, byte miss ratio 0.1148
cdn1_allcolo.ns2907 S3FIFO-0.0500-1.9000 cache size     1528, 1055411 req, miss ratio 0.0518, byte miss ratio 0.0518
cdn1_allcolo.ns2907 S3FIFO-0.0500-1.9000 cache size     3056, 1055411 req, miss ratio 0.0307, byte miss ratio 0.0307
cdn1_allcolo.ns2907 S3FIFO-0.0500-1.9000 cache size     6113, 1055411 req, miss ratio 0.0195, byte miss ratio 0.0195
cdn1_allcolo.ns2907 S3FIFO-0.0500-1.9000 cache size    12227, 1055411 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns2907 S3FIFO-0.1500-0.9000 cache size       15, 1055411 req, miss ratio 0.6894, byte miss ratio 0.6894
cdn1_allcolo.ns2907 S3FIFO-0.1500-0.9000 cache size       45, 1055411 req, miss ratio 0.3520, byte miss ratio 0.3520
cdn1_allcolo.ns2907 S3FIFO-0.1500-0.9000 cache size      152, 1055411 req, miss ratio 0.2098, byte miss ratio 0.2098
cdn1_allcolo.ns2907 S3FIFO-0.1500-0.9000 cache size      458, 1055411 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_allcolo.ns2907 S3FIFO-0.1500-0.9000 cache size     1528, 1055411 req, miss ratio 0.0532, byte miss ratio 0.0532
cdn1_allcolo.ns2907 S3FIFO-0.1500-0.9000 cache size     3056, 1055411 req, miss ratio 0.0318, byte miss ratio 0.0318
cdn1_allcolo.ns2907 S3FIFO-0.1500-0.9000 cache size     6113, 1055411 req, miss ratio 0.0198, byte miss ratio 0.0198
cdn1_allcolo.ns2907 S3FIFO-0.1500-0.9000 cache size    12227, 1055411 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns2907 S3FIFO-0.6000-0.9000 cache size       15, 1055411 req, miss ratio 0.4534, byte miss ratio 0.4534
cdn1_allcolo.ns2907 S3FIFO-0.6000-0.9000 cache size       45, 1055411 req, miss ratio 0.3717, byte miss ratio 0.3717
cdn1_allcolo.ns2907 S3FIFO-0.6000-0.9000 cache size      152, 1055411 req, miss ratio 0.2402, byte miss ratio 0.2402
cdn1_allcolo.ns2907 S3FIFO-0.6000-0.9000 cache size      458, 1055411 req, miss ratio 0.1375, byte miss ratio 0.1375
cdn1_allcolo.ns2907 S3FIFO-0.6000-0.9000 cache size     1528, 1055411 req, miss ratio 0.0630, byte miss ratio 0.0630
cdn1_allcolo.ns2907 S3FIFO-0.6000-0.9000 cache size     3056, 1055411 req, miss ratio 0.0378, byte miss ratio 0.0378
cdn1_allcolo.ns2907 S3FIFO-0.6000-0.9000 cache size     6113, 1055411 req, miss ratio 0.0226, byte miss ratio 0.0226
cdn1_allcolo.ns2907 S3FIFO-0.6000-0.9000 cache size    12227, 1055411 req, miss ratio 0.0157, byte miss ratio 0.0157
cdn1_allcolo.ns2907 S3FIFO-0.3000-1.9000 cache size       15, 1055411 req, miss ratio 0.5255, byte miss ratio 0.5255
cdn1_allcolo.ns2907 S3FIFO-0.3000-1.9000 cache size       45, 1055411 req, miss ratio 0.3538, byte miss ratio 0.3538
cdn1_allcolo.ns2907 S3FIFO-0.3000-1.9000 cache size      152, 1055411 req, miss ratio 0.2186, byte miss ratio 0.2186
cdn1_allcolo.ns2907 S3FIFO-0.3000-1.9000 cache size      458, 1055411 req, miss ratio 0.1237, byte miss ratio 0.1237
cdn1_allcolo.ns2907 S3FIFO-0.3000-1.9000 cache size     1528, 1055411 req, miss ratio 0.0558, byte miss ratio 0.0558
cdn1_allcolo.ns2907 S3FIFO-0.3000-1.9000 cache size     3056, 1055411 req, miss ratio 0.0337, byte miss ratio 0.0337
cdn1_allcolo.ns2907 S3FIFO-0.3000-1.9000 cache size     6113, 1055411 req, miss ratio 0.0204, byte miss ratio 0.0204
cdn1_allcolo.ns2907 S3FIFO-0.3000-1.9000 cache size    12227, 1055411 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns2907 S3FIFO-0.5000-1.9000 cache size       15, 1055411 req, miss ratio 0.4590, byte miss ratio 0.4590
cdn1_allcolo.ns2907 S3FIFO-0.5000-1.9000 cache size       45, 1055411 req, miss ratio 0.3655, byte miss ratio 0.3655
cdn1_allcolo.ns2907 S3FIFO-0.5000-1.9000 cache size      152, 1055411 req, miss ratio 0.2326, byte miss ratio 0.2326
cdn1_allcolo.ns2907 S3FIFO-0.5000-1.9000 cache size      458, 1055411 req, miss ratio 0.1327, byte miss ratio 0.1327
cdn1_allcolo.ns2907 S3FIFO-0.5000-1.9000 cache size     1528, 1055411 req, miss ratio 0.0604, byte miss ratio 0.0604
cdn1_allcolo.ns2907 S3FIFO-0.5000-1.9000 cache size     3056, 1055411 req, miss ratio 0.0363, byte miss ratio 0.0363
cdn1_allcolo.ns2907 S3FIFO-0.5000-1.9000 cache size     6113, 1055411 req, miss ratio 0.0216, byte miss ratio 0.0216
cdn1_allcolo.ns2907 S3FIFO-0.5000-1.9000 cache size    12227, 1055411 req, miss ratio 0.0157, byte miss ratio 0.0157
cdn1_allcolo.ns2907 S3FIFO-0.4000-0.9000 cache size       15, 1055411 req, miss ratio 0.4685, byte miss ratio 0.4685
cdn1_allcolo.ns2907 S3FIFO-0.4000-0.9000 cache size       45, 1055411 req, miss ratio 0.3603, byte miss ratio 0.3603
cdn1_allcolo.ns2907 S3FIFO-0.4000-0.9000 cache size      152, 1055411 req, miss ratio 0.2249, byte miss ratio 0.2249
cdn1_allcolo.ns2907 S3FIFO-0.4000-0.9000 cache size      458, 1055411 req, miss ratio 0.1279, byte miss ratio 0.1279
cdn1_allcolo.ns2907 S3FIFO-0.4000-0.9000 cache size     1528, 1055411 req, miss ratio 0.0581, byte miss ratio 0.0581
cdn1_allcolo.ns2907 S3FIFO-0.4000-0.9000 cache size     3056, 1055411 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns2907 S3FIFO-0.4000-0.9000 cache size     6113, 1055411 req, miss ratio 0.0209, byte miss ratio 0.0209
cdn1_allcolo.ns2907 S3FIFO-0.4000-0.9000 cache size    12227, 1055411 req, miss ratio 0.0157, byte miss ratio 0.0157
cdn1_allcolo.ns2907 S3FIFO-0.9500-0.9000 cache size       15, 1055411 req, miss ratio 0.4642, byte miss ratio 0.4642
cdn1_allcolo.ns2907 S3FIFO-0.9500-0.9000 cache size       45, 1055411 req, miss ratio 0.3849, byte miss ratio 0.3849
cdn1_allcolo.ns2907 S3FIFO-0.9500-0.9000 cache size      152, 1055411 req, miss ratio 0.2674, byte miss ratio 0.2674
cdn1_allcolo.ns2907 S3FIFO-0.9500-0.9000 cache size      458, 1055411 req, miss ratio 0.1600, byte miss ratio 0.1600
cdn1_allcolo.ns2907 S3FIFO-0.9500-0.9000 cache size     1528, 1055411 req, miss ratio 0.0749, byte miss ratio 0.0749
cdn1_allcolo.ns2907 S3FIFO-0.9500-0.9000 cache size     3056, 1055411 req, miss ratio 0.0455, byte miss ratio 0.0455
cdn1_allcolo.ns2907 S3FIFO-0.9500-0.9000 cache size     6113, 1055411 req, miss ratio 0.0269, byte miss ratio 0.0269
cdn1_allcolo.ns2907 S3FIFO-0.9500-0.9000 cache size    12227, 1055411 req, miss ratio 0.0173, byte miss ratio 0.0173
cdn1_allcolo.ns2907 S3FIFO-0.7500-1.9000 cache size       15, 1055411 req, miss ratio 0.4540, byte miss ratio 0.4540
cdn1_allcolo.ns2907 S3FIFO-0.7500-1.9000 cache size       45, 1055411 req, miss ratio 0.3781, byte miss ratio 0.3781
cdn1_allcolo.ns2907 S3FIFO-0.7500-1.9000 cache size      152, 1055411 req, miss ratio 0.2529, byte miss ratio 0.2529
cdn1_allcolo.ns2907 S3FIFO-0.7500-1.9000 cache size      458, 1055411 req, miss ratio 0.1460, byte miss ratio 0.1460
cdn1_allcolo.ns2907 S3FIFO-0.7500-1.9000 cache size     1528, 1055411 req, miss ratio 0.0674, byte miss ratio 0.0674
cdn1_allcolo.ns2907 S3FIFO-0.7500-1.9000 cache size     3056, 1055411 req, miss ratio 0.0405, byte miss ratio 0.0405
cdn1_allcolo.ns2907 S3FIFO-0.7500-1.9000 cache size     6113, 1055411 req, miss ratio 0.0242, byte miss ratio 0.0242
cdn1_allcolo.ns2907 S3FIFO-0.7500-1.9000 cache size    12227, 1055411 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns2907 S3FIFO-0.0050-0.9000 cache size       15, 1055411 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2907 S3FIFO-0.0050-0.9000 cache size       45, 1055411 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2907 S3FIFO-0.0050-0.9000 cache size      152, 1055411 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2907 S3FIFO-0.0050-0.9000 cache size      458, 1055411 req, miss ratio 0.1288, byte miss ratio 0.1288
cdn1_allcolo.ns2907 S3FIFO-0.0050-0.9000 cache size     1528, 1055411 req, miss ratio 0.0512, byte miss ratio 0.0512
cdn1_allcolo.ns2907 S3FIFO-0.0050-0.9000 cache size     3056, 1055411 req, miss ratio 0.0303, byte miss ratio 0.0303
cdn1_allcolo.ns2907 S3FIFO-0.0050-0.9000 cache size     6113, 1055411 req, miss ratio 0.0193, byte miss ratio 0.0193
cdn1_allcolo.ns2907 S3FIFO-0.0050-0.9000 cache size    12227, 1055411 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns2907 S3FIFO-0.2500-1.9000 cache size       15, 1055411 req, miss ratio 0.5911, byte miss ratio 0.5911
cdn1_allcolo.ns2907 S3FIFO-0.2500-1.9000 cache size       45, 1055411 req, miss ratio 0.3515, byte miss ratio 0.3515
cdn1_allcolo.ns2907 S3FIFO-0.2500-1.9000 cache size      152, 1055411 req, miss ratio 0.2157, byte miss ratio 0.2157
cdn1_allcolo.ns2907 S3FIFO-0.2500-1.9000 cache size      458, 1055411 req, miss ratio 0.1218, byte miss ratio 0.1218
cdn1_allcolo.ns2907 S3FIFO-0.2500-1.9000 cache size     1528, 1055411 req, miss ratio 0.0548, byte miss ratio 0.0548
cdn1_allcolo.ns2907 S3FIFO-0.2500-1.9000 cache size     3056, 1055411 req, miss ratio 0.0330, byte miss ratio 0.0330
cdn1_allcolo.ns2907 S3FIFO-0.2500-1.9000 cache size     6113, 1055411 req, miss ratio 0.0201, byte miss ratio 0.0201
cdn1_allcolo.ns2907 S3FIFO-0.2500-1.9000 cache size    12227, 1055411 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns2907 S3FIFO-0.1000-1.9000 cache size       15, 1055411 req, miss ratio 0.8054, byte miss ratio 0.8054
cdn1_allcolo.ns2907 S3FIFO-0.1000-1.9000 cache size       45, 1055411 req, miss ratio 0.3787, byte miss ratio 0.3787
cdn1_allcolo.ns2907 S3FIFO-0.1000-1.9000 cache size      152, 1055411 req, miss ratio 0.2074, byte miss ratio 0.2074
cdn1_allcolo.ns2907 S3FIFO-0.1000-1.9000 cache size      458, 1055411 req, miss ratio 0.1165, byte miss ratio 0.1165
cdn1_allcolo.ns2907 S3FIFO-0.1000-1.9000 cache size     1528, 1055411 req, miss ratio 0.0525, byte miss ratio 0.0525
cdn1_allcolo.ns2907 S3FIFO-0.1000-1.9000 cache size     3056, 1055411 req, miss ratio 0.0312, byte miss ratio 0.0312
cdn1_allcolo.ns2907 S3FIFO-0.1000-1.9000 cache size     6113, 1055411 req, miss ratio 0.0196, byte miss ratio 0.0196
cdn1_allcolo.ns2907 S3FIFO-0.1000-1.9000 cache size    12227, 1055411 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns2907 S3FIFO-0.1000-0.9000 cache size       15, 1055411 req, miss ratio 0.8055, byte miss ratio 0.8055
cdn1_allcolo.ns2907 S3FIFO-0.1000-0.9000 cache size       45, 1055411 req, miss ratio 0.3787, byte miss ratio 0.3787
cdn1_allcolo.ns2907 S3FIFO-0.1000-0.9000 cache size      152, 1055411 req, miss ratio 0.2074, byte miss ratio 0.2074
cdn1_allcolo.ns2907 S3FIFO-0.1000-0.9000 cache size      458, 1055411 req, miss ratio 0.1165, byte miss ratio 0.1165
cdn1_allcolo.ns2907 S3FIFO-0.1000-0.9000 cache size     1528, 1055411 req, miss ratio 0.0525, byte miss ratio 0.0525
cdn1_allcolo.ns2907 S3FIFO-0.1000-0.9000 cache size     3056, 1055411 req, miss ratio 0.0312, byte miss ratio 0.0312
cdn1_allcolo.ns2907 S3FIFO-0.1000-0.9000 cache size     6113, 1055411 req, miss ratio 0.0196, byte miss ratio 0.0196
cdn1_allcolo.ns2907 S3FIFO-0.1000-0.9000 cache size    12227, 1055411 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns2907 S3FIFO-0.8000-1.9000 cache size       15, 1055411 req, miss ratio 0.4558, byte miss ratio 0.4558
cdn1_allcolo.ns2907 S3FIFO-0.8000-1.9000 cache size       45, 1055411 req, miss ratio 0.3805, byte miss ratio 0.3805
cdn1_allcolo.ns2907 S3FIFO-0.8000-1.9000 cache size      152, 1055411 req, miss ratio 0.2569, byte miss ratio 0.2569
cdn1_allcolo.ns2907 S3FIFO-0.8000-1.9000 cache size      458, 1055411 req, miss ratio 0.1493, byte miss ratio 0.1493
cdn1_allcolo.ns2907 S3FIFO-0.8000-1.9000 cache size     1528, 1055411 req, miss ratio 0.0691, byte miss ratio 0.0691
cdn1_allcolo.ns2907 S3FIFO-0.8000-1.9000 cache size     3056, 1055411 req, miss ratio 0.0417, byte miss ratio 0.0417
cdn1_allcolo.ns2907 S3FIFO-0.8000-1.9000 cache size     6113, 1055411 req, miss ratio 0.0248, byte miss ratio 0.0248
cdn1_allcolo.ns2907 S3FIFO-0.8000-1.9000 cache size    12227, 1055411 req, miss ratio 0.0161, byte miss ratio 0.0161
cdn1_allcolo.ns2907 S3FIFO-0.0500-0.9000 cache size       15, 1055411 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2907 S3FIFO-0.0500-0.9000 cache size       45, 1055411 req, miss ratio 0.4959, byte miss ratio 0.4959
cdn1_allcolo.ns2907 S3FIFO-0.0500-0.9000 cache size      152, 1055411 req, miss ratio 0.2053, byte miss ratio 0.2053
cdn1_allcolo.ns2907 S3FIFO-0.0500-0.9000 cache size      458, 1055411 req, miss ratio 0.1148, byte miss ratio 0.1148
cdn1_allcolo.ns2907 S3FIFO-0.0500-0.9000 cache size     1528, 1055411 req, miss ratio 0.0518, byte miss ratio 0.0518
cdn1_allcolo.ns2907 S3FIFO-0.0500-0.9000 cache size     3056, 1055411 req, miss ratio 0.0307, byte miss ratio 0.0307
cdn1_allcolo.ns2907 S3FIFO-0.0500-0.9000 cache size     6113, 1055411 req, miss ratio 0.0195, byte miss ratio 0.0195
cdn1_allcolo.ns2907 S3FIFO-0.0500-0.9000 cache size    12227, 1055411 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns2907 S3FIFO-0.2500-0.9000 cache size       15, 1055411 req, miss ratio 0.5912, byte miss ratio 0.5912
cdn1_allcolo.ns2907 S3FIFO-0.2500-0.9000 cache size       45, 1055411 req, miss ratio 0.3515, byte miss ratio 0.3515
cdn1_allcolo.ns2907 S3FIFO-0.2500-0.9000 cache size      152, 1055411 req, miss ratio 0.2156, byte miss ratio 0.2156
cdn1_allcolo.ns2907 S3FIFO-0.2500-0.9000 cache size      458, 1055411 req, miss ratio 0.1218, byte miss ratio 0.1218
cdn1_allcolo.ns2907 S3FIFO-0.2500-0.9000 cache size     1528, 1055411 req, miss ratio 0.0548, byte miss ratio 0.0548
cdn1_allcolo.ns2907 S3FIFO-0.2500-0.9000 cache size     3056, 1055411 req, miss ratio 0.0330, byte miss ratio 0.0330
cdn1_allcolo.ns2907 S3FIFO-0.2500-0.9000 cache size     6113, 1055411 req, miss ratio 0.0201, byte miss ratio 0.0201
cdn1_allcolo.ns2907 S3FIFO-0.2500-0.9000 cache size    12227, 1055411 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns2907 S3FIFO-0.8500-0.9000 cache size       15, 1055411 req, miss ratio 0.4557, byte miss ratio 0.4557
cdn1_allcolo.ns2907 S3FIFO-0.8500-0.9000 cache size       45, 1055411 req, miss ratio 0.3819, byte miss ratio 0.3819
cdn1_allcolo.ns2907 S3FIFO-0.8500-0.9000 cache size      152, 1055411 req, miss ratio 0.2613, byte miss ratio 0.2613
cdn1_allcolo.ns2907 S3FIFO-0.8500-0.9000 cache size      458, 1055411 req, miss ratio 0.1527, byte miss ratio 0.1527
cdn1_allcolo.ns2907 S3FIFO-0.8500-0.9000 cache size     1528, 1055411 req, miss ratio 0.0709, byte miss ratio 0.0709
cdn1_allcolo.ns2907 S3FIFO-0.8500-0.9000 cache size     3056, 1055411 req, miss ratio 0.0429, byte miss ratio 0.0429
cdn1_allcolo.ns2907 S3FIFO-0.8500-0.9000 cache size     6113, 1055411 req, miss ratio 0.0254, byte miss ratio 0.0254
cdn1_allcolo.ns2907 S3FIFO-0.8500-0.9000 cache size    12227, 1055411 req, miss ratio 0.0165, byte miss ratio 0.0165
cdn1_allcolo.ns2907 S3FIFO-0.9000-0.9000 cache size       15, 1055411 req, miss ratio 0.4592, byte miss ratio 0.4592
cdn1_allcolo.ns2907 S3FIFO-0.9000-0.9000 cache size       45, 1055411 req, miss ratio 0.3831, byte miss ratio 0.3831
cdn1_allcolo.ns2907 S3FIFO-0.9000-0.9000 cache size      152, 1055411 req, miss ratio 0.2647, byte miss ratio 0.2647
