tencentBlock.ns1326 S3FIFO-0.4500-0.9000 cache size     2972, 349295602 req, miss ratio 0.8786, byte miss ratio 0.8786
tencentBlock.ns1326 S3FIFO-0.4500-0.9000 cache size     8917, 349295602 req, miss ratio 0.7963, byte miss ratio 0.7963
tencentBlock.ns1326 S3FIFO-0.4500-0.9000 cache size    29724, 349295602 req, miss ratio 0.5165, byte miss ratio 0.5165
tencentBlock.ns1326 S3FIFO-0.4500-0.9000 cache size    89174, 349295602 req, miss ratio 0.2288, byte miss ratio 0.2288
tencentBlock.ns1326 S3FIFO-0.4500-0.9000 cache size   297249, 349295602 req, miss ratio 0.1463, byte miss ratio 0.1463
tencentBlock.ns1326 S3FIFO-0.4500-0.9000 cache size   594499, 349295602 req, miss ratio 0.1095, byte miss ratio 0.1095
tencentBlock.ns1326 S3FIFO-0.4500-0.9000 cache size  1188998, 349295602 req, miss ratio 0.0544, byte miss ratio 0.0544
tencentBlock.ns1326 S3FIFO-0.4500-0.9000 cache size  2377997, 349295602 req, miss ratio 0.0106, byte miss ratio 0.0106
tencentBlock.ns1326 S3FIFO-0.0100-0.9000 cache size     2972, 349295602 req, miss ratio 0.8622, byte miss ratio 0.8622
tencentBlock.ns1326 S3FIFO-0.0100-0.9000 cache size     8917, 349295602 req, miss ratio 0.7310, byte miss ratio 0.7310
tencentBlock.ns1326 S3FIFO-0.0100-0.9000 cache size    29724, 349295602 req, miss ratio 0.3855, byte miss ratio 0.3855
tencentBlock.ns1326 S3FIFO-0.0100-0.9000 cache size    89174, 349295602 req, miss ratio 0.2498, byte miss ratio 0.2498
tencentBlock.ns1326 S3FIFO-0.0100-0.9000 cache size   297249, 349295602 req, miss ratio 0.1663, byte miss ratio 0.1663
tencentBlock.ns1326 S3FIFO-0.0100-0.9000 cache size   594499, 349295602 req, miss ratio 0.1186, byte miss ratio 0.1186
tencentBlock.ns1326 S3FIFO-0.0100-0.9000 cache size  1188998, 349295602 req, miss ratio 0.0528, byte miss ratio 0.0528
tencentBlock.ns1326 S3FIFO-0.0100-0.9000 cache size  2377997, 349295602 req, miss ratio 0.0091, byte miss ratio 0.0091
tencentBlock.ns1326 S3FIFO-0.3500-0.9000 cache size     2972, 349295602 req, miss ratio 0.8738, byte miss ratio 0.8738
tencentBlock.ns1326 S3FIFO-0.3500-0.9000 cache size     8917, 349295602 req, miss ratio 0.7806, byte miss ratio 0.7806
tencentBlock.ns1326 S3FIFO-0.3500-0.9000 cache size    29724, 349295602 req, miss ratio 0.4882, byte miss ratio 0.4882
tencentBlock.ns1326 S3FIFO-0.3500-0.9000 cache size    89174, 349295602 req, miss ratio 0.2277, byte miss ratio 0.2277
tencentBlock.ns1326 S3FIFO-0.3500-0.9000 cache size   297249, 349295602 req, miss ratio 0.1455, byte miss ratio 0.1455
tencentBlock.ns1326 S3FIFO-0.3500-0.9000 cache size   594499, 349295602 req, miss ratio 0.1091, byte miss ratio 0.1091
tencentBlock.ns1326 S3FIFO-0.3500-0.9000 cache size  1188998, 349295602 req, miss ratio 0.0534, byte miss ratio 0.0534
tencentBlock.ns1326 S3FIFO-0.3500-0.9000 cache size  2377997, 349295602 req, miss ratio 0.0100, byte miss ratio 0.0100
tencentBlock.ns1326 S3FIFO-0.1500-1.9000 cache size     2972, 349295602 req, miss ratio 0.8725, byte miss ratio 0.8725
tencentBlock.ns1326 S3FIFO-0.1500-1.9000 cache size     8917, 349295602 req, miss ratio 0.7754, byte miss ratio 0.7754
tencentBlock.ns1326 S3FIFO-0.1500-1.9000 cache size    29724, 349295602 req, miss ratio 0.4390, byte miss ratio 0.4390
tencentBlock.ns1326 S3FIFO-0.1500-1.9000 cache size    89174, 349295602 req, miss ratio 0.2284, byte miss ratio 0.2284
tencentBlock.ns1326 S3FIFO-0.1500-1.9000 cache size   297249, 349295602 req, miss ratio 0.1466, byte miss ratio 0.1466
tencentBlock.ns1326 S3FIFO-0.1500-1.9000 cache size   594499, 349295602 req, miss ratio 0.1093, byte miss ratio 0.1093
tencentBlock.ns1326 S3FIFO-0.1500-1.9000 cache size  1188998, 349295602 req, miss ratio 0.0519, byte miss ratio 0.0519
tencentBlock.ns1326 S3FIFO-0.1500-1.9000 cache size  2377997, 349295602 req, miss ratio 0.0092, byte miss ratio 0.0092
