io_traces.ns391 S3FIFO-0.1000-1.9000 cache size     4276, 42200000 req, miss ratio 0.3038, byte miss ratio 0.3038
io_traces.ns391 S3FIFO-0.1000-1.9000 cache size    12830, 42200000 req, miss ratio 0.2224, byte miss ratio 0.2224
io_traces.ns391 S3FIFO-0.1000-1.9000 cache size    42768, 42200000 req, miss ratio 0.1681, byte miss ratio 0.1681
io_traces.ns391 S3FIFO-0.1000-1.9000 cache size   128305, 42200000 req, miss ratio 0.1344, byte miss ratio 0.1344
io_traces.ns391 S3FIFO-0.1000-1.9000 cache size   427684, 42200000 req, miss ratio 0.1112, byte miss ratio 0.1112
io_traces.ns391 S3FIFO-0.1000-1.9000 cache size   855369, 42200000 req, miss ratio 0.1088, byte miss ratio 0.1088
io_traces.ns391 S3FIFO-0.1000-1.9000 cache size  1710738, 42200000 req, miss ratio 0.1028, byte miss ratio 0.1028
io_traces.ns391 S3FIFO-0.1000-1.9000 cache size  3421476, 42200000 req, miss ratio 0.1016, byte miss ratio 0.1016
io_traces.ns391 S3FIFO-0.7000-0.9000 cache size     4276, 42200000 req, miss ratio 0.3091, byte miss ratio 0.3091
io_traces.ns391 S3FIFO-0.7000-0.9000 cache size    12830, 42200000 req, miss ratio 0.2121, byte miss ratio 0.2121
io_traces.ns391 S3FIFO-0.7000-0.9000 cache size    42768, 42200000 req, miss ratio 0.1516, byte miss ratio 0.1516
io_traces.ns391 S3FIFO-0.7000-0.9000 cache size   128305, 42200000 req, miss ratio 0.1348, byte miss ratio 0.1348
io_traces.ns391 S3FIFO-0.7000-0.9000 cache size   427684, 42200000 req, miss ratio 0.1147, byte miss ratio 0.1147
io_traces.ns391 S3FIFO-0.7000-0.9000 cache size   855369, 42200000 req, miss ratio 0.1079, byte miss ratio 0.1079
io_traces.ns391 S3FIFO-0.7000-0.9000 cache size  1710738, 42200000 req, miss ratio 0.1028, byte miss ratio 0.1028
io_traces.ns391 S3FIFO-0.7000-0.9000 cache size  3421476, 42200000 req, miss ratio 0.1014, byte miss ratio 0.1014
io_traces.ns391 S3FIFO-0.0100-1.9000 cache size     4276, 42200000 req, miss ratio 0.3310, byte miss ratio 0.3310
io_traces.ns391 S3FIFO-0.0100-1.9000 cache size    12830, 42200000 req, miss ratio 0.2446, byte miss ratio 0.2446
io_traces.ns391 S3FIFO-0.0100-1.9000 cache size    42768, 42200000 req, miss ratio 0.1997, byte miss ratio 0.1997
